['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep1_opt0vr1_qn1.log']
2020-08-01 16:16:44.679021

['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep1_opt0vr1_qn1.log']
2020-08-01 16:24:57.643895

Round   0, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.607, Local accuracy on global train data 10.486, Local accuracy on local train data 10.060
Round   1, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.777, Local accuracy on global train data 10.422, Local accuracy on local train data 11.180
Round   2, Devices participated 10, Average loss 2.303, Central accuracy on global test data 11.639, Local accuracy on global train data 10.989, Local accuracy on local train data 10.060
Round   3, Devices participated 10, Average loss 2.298, Central accuracy on global test data 13.762, Local accuracy on global train data 12.522, Local accuracy on local train data 11.400
Round   4, Devices participated 10, Average loss 2.295, Central accuracy on global test data 17.718, Local accuracy on global train data 14.331, Local accuracy on local train data 14.640
Round   5, Devices participated 10, Average loss 2.286, Central accuracy on global test data 17.929, Local accuracy on global train data 17.786, Local accuracy on local train data 17.680
Round   6, Devices participated 10, Average loss 2.267, Central accuracy on global test data 17.768, Local accuracy on global train data 17.283, Local accuracy on local train data 17.740
Round   7, Devices participated 10, Average loss 2.234, Central accuracy on global test data 18.399, Local accuracy on global train data 17.917, Local accuracy on local train data 16.580
Round   8, Devices participated 10, Average loss 2.172, Central accuracy on global test data 20.833, Local accuracy on global train data 20.151, Local accuracy on local train data 18.760
Round   9, Devices participated 10, Average loss 2.125, Central accuracy on global test data 22.776, Local accuracy on global train data 21.187, Local accuracy on local train data 19.880
Round  10, Devices participated 10, Average loss 2.073, Central accuracy on global test data 26.452, Local accuracy on global train data 21.912, Local accuracy on local train data 22.120
Round  11, Devices participated 10, Average loss 2.059, Central accuracy on global test data 26.793, Local accuracy on global train data 23.618, Local accuracy on local train data 21.700
Round  12, Devices participated 10, Average loss 2.044, Central accuracy on global test data 27.865, Local accuracy on global train data 24.297, Local accuracy on local train data 23.060
Round  13, Devices participated 10, Average loss 2.005, Central accuracy on global test data 29.677, Local accuracy on global train data 26.282, Local accuracy on local train data 24.960
Round  14, Devices participated 10, Average loss 1.976, Central accuracy on global test data 30.419, Local accuracy on global train data 26.777, Local accuracy on local train data 26.420
Round  15, Devices participated 10, Average loss 1.966, Central accuracy on global test data 33.003, Local accuracy on global train data 28.777, Local accuracy on local train data 29.080
Round  16, Devices participated 10, Average loss 1.910, Central accuracy on global test data 32.863, Local accuracy on global train data 29.612, Local accuracy on local train data 29.460
Round  17, Devices participated 10, Average loss 1.892, Central accuracy on global test data 34.525, Local accuracy on global train data 29.534, Local accuracy on local train data 29.660
Round  18, Devices participated 10, Average loss 1.847, Central accuracy on global test data 35.467, Local accuracy on global train data 31.216, Local accuracy on local train data 31.060
