['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '0', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep3_opt0vr1_qn0.log']
2020-08-01 16:16:39.955986

Round   0, Devices participated 10, Average loss 2.300, Central accuracy on global test data 11.548, Local accuracy on global train data 10.430, Local accuracy on local train data 11.367
Round   1, Devices participated 10, Average loss 2.297, Central accuracy on global test data 16.186, Local accuracy on global train data 11.687, Local accuracy on local train data 12.533
Round   2, Devices participated 10, Average loss 2.215, Central accuracy on global test data 19.411, Local accuracy on global train data 18.972, Local accuracy on local train data 17.960
Round   3, Devices participated 10, Average loss 2.077, Central accuracy on global test data 25.321, Local accuracy on global train data 22.322, Local accuracy on local train data 21.500
Round   4, Devices participated 10, Average loss 2.001, Central accuracy on global test data 29.848, Local accuracy on global train data 24.902, Local accuracy on local train data 24.960
Round   5, Devices participated 10, Average loss 1.934, Central accuracy on global test data 34.285, Local accuracy on global train data 28.103, Local accuracy on local train data 28.207
Round   6, Devices participated 10, Average loss 1.866, Central accuracy on global test data 33.514, Local accuracy on global train data 30.588, Local accuracy on local train data 30.940
Round   7, Devices participated 10, Average loss 1.791, Central accuracy on global test data 36.759, Local accuracy on global train data 32.954, Local accuracy on local train data 33.933
Round   8, Devices participated 10, Average loss 1.742, Central accuracy on global test data 38.281, Local accuracy on global train data 33.987, Local accuracy on local train data 35.860
Round   9, Devices participated 10, Average loss 1.678, Central accuracy on global test data 40.525, Local accuracy on global train data 36.101, Local accuracy on local train data 38.853
Round  10, Devices participated 10, Average loss 1.625, Central accuracy on global test data 41.877, Local accuracy on global train data 38.140, Local accuracy on local train data 39.880
Round  11, Devices participated 10, Average loss 1.578, Central accuracy on global test data 44.311, Local accuracy on global train data 39.705, Local accuracy on local train data 42.167
Round  12, Devices participated 10, Average loss 1.547, Central accuracy on global test data 45.773, Local accuracy on global train data 41.995, Local accuracy on local train data 43.880
Round  13, Devices participated 10, Average loss 1.480, Central accuracy on global test data 46.605, Local accuracy on global train data 41.970, Local accuracy on local train data 46.327
Round  14, Devices participated 10, Average loss 1.455, Central accuracy on global test data 48.007, Local accuracy on global train data 43.386, Local accuracy on local train data 47.560
Round  15, Devices participated 10, Average loss 1.439, Central accuracy on global test data 47.987, Local accuracy on global train data 44.065, Local accuracy on local train data 48.593
Round  16, Devices participated 10, Average loss 1.406, Central accuracy on global test data 49.509, Local accuracy on global train data 45.803, Local accuracy on local train data 50.340
Round  17, Devices participated 10, Average loss 1.383, Central accuracy on global test data 50.771, Local accuracy on global train data 46.416, Local accuracy on local train data 50.460
