['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--opt_mode', '1', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep3_opt1vr0.log']
2020-08-01 16:16:40.664438

Round   0, Devices participated 10, Average loss 2.300, Central accuracy on global test data 11.599, Local accuracy on global train data 10.430, Local accuracy on local train data 11.367
Round   1, Devices participated 10, Average loss 2.297, Central accuracy on global test data 11.839, Local accuracy on global train data 11.724, Local accuracy on local train data 12.420
Round   2, Devices participated 10, Average loss 2.283, Central accuracy on global test data 18.560, Local accuracy on global train data 16.160, Local accuracy on local train data 14.760
Round   3, Devices participated 10, Average loss 2.211, Central accuracy on global test data 18.750, Local accuracy on global train data 18.730, Local accuracy on local train data 18.640
Round   4, Devices participated 10, Average loss 2.089, Central accuracy on global test data 25.901, Local accuracy on global train data 20.984, Local accuracy on local train data 22.267
Round   5, Devices participated 10, Average loss 2.042, Central accuracy on global test data 27.694, Local accuracy on global train data 24.207, Local accuracy on local train data 23.387
Round   6, Devices participated 10, Average loss 1.990, Central accuracy on global test data 28.816, Local accuracy on global train data 24.971, Local accuracy on local train data 26.247
Round   7, Devices participated 10, Average loss 1.949, Central accuracy on global test data 31.190, Local accuracy on global train data 27.241, Local accuracy on local train data 27.633
Round   8, Devices participated 10, Average loss 1.909, Central accuracy on global test data 32.752, Local accuracy on global train data 29.092, Local accuracy on local train data 29.507
Round   9, Devices participated 10, Average loss 1.879, Central accuracy on global test data 35.597, Local accuracy on global train data 29.666, Local accuracy on local train data 30.980
Round  10, Devices participated 10, Average loss 1.832, Central accuracy on global test data 36.609, Local accuracy on global train data 31.980, Local accuracy on local train data 32.387
Round  11, Devices participated 10, Average loss 1.782, Central accuracy on global test data 37.800, Local accuracy on global train data 32.065, Local accuracy on local train data 33.867
Round  12, Devices participated 10, Average loss 1.755, Central accuracy on global test data 38.281, Local accuracy on global train data 34.822, Local accuracy on local train data 35.733
Round  13, Devices participated 10, Average loss 1.716, Central accuracy on global test data 39.643, Local accuracy on global train data 34.927, Local accuracy on local train data 37.047
Round  14, Devices participated 10, Average loss 1.670, Central accuracy on global test data 40.114, Local accuracy on global train data 34.749, Local accuracy on local train data 39.140
Round  15, Devices participated 10, Average loss 1.671, Central accuracy on global test data 41.126, Local accuracy on global train data 36.128, Local accuracy on local train data 38.973
Round  16, Devices participated 10, Average loss 1.642, Central accuracy on global test data 42.208, Local accuracy on global train data 37.434, Local accuracy on local train data 40.527
Round  17, Devices participated 10, Average loss 1.594, Central accuracy on global test data 43.069, Local accuracy on global train data 38.074, Local accuracy on local train data 41.627
Round  18, Devices participated 10, Average loss 1.559, Central accuracy on global test data 44.631, Local accuracy on global train data 39.119, Local accuracy on local train data 42.753
Round  19, Devices participated 10, Average loss 1.532, Central accuracy on global test data 44.712, Local accuracy on global train data 39.978, Local accuracy on local train data 44.207
Round  20, Devices participated 10, Average loss 1.525, Central accuracy on global test data 45.803, Local accuracy on global train data 40.144, Local accuracy on local train data 44.620
