['main_fedlisa.py', '--dataset', 'mnist', '--model', 'mlp', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--opt_mode', '0', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_mnistnoniid_mlp_bs50ep1_opt0vr0.log']
2020-08-02 00:10:39.412449

Round   0, Devices participated 10, Average loss 1.787, Central accuracy on global test data 27.334, Local accuracy on global train data 20.352, Local accuracy on local train data 75.533
Round   1, Devices participated 10, Average loss 0.379, Central accuracy on global test data 35.867, Local accuracy on global train data 19.270, Local accuracy on local train data 88.183
Round   2, Devices participated 10, Average loss 0.353, Central accuracy on global test data 55.329, Local accuracy on global train data 21.746, Local accuracy on local train data 88.467
Round   3, Devices participated 10, Average loss 0.305, Central accuracy on global test data 64.153, Local accuracy on global train data 30.693, Local accuracy on local train data 91.733
Round   4, Devices participated 10, Average loss 0.318, Central accuracy on global test data 74.910, Local accuracy on global train data 37.634, Local accuracy on local train data 92.283
Round   5, Devices participated 10, Average loss 0.397, Central accuracy on global test data 83.904, Local accuracy on global train data 43.240, Local accuracy on local train data 88.700
Round   6, Devices participated 10, Average loss 0.183, Central accuracy on global test data 81.390, Local accuracy on global train data 53.647, Local accuracy on local train data 94.717
Round   7, Devices participated 10, Average loss 0.106, Central accuracy on global test data 85.577, Local accuracy on global train data 63.433, Local accuracy on local train data 96.483
Round   8, Devices participated 10, Average loss 0.107, Central accuracy on global test data 86.729, Local accuracy on global train data 60.667, Local accuracy on local train data 97.050
Round   9, Devices participated 10, Average loss 0.083, Central accuracy on global test data 88.492, Local accuracy on global train data 66.406, Local accuracy on local train data 97.100
Round  10, Devices participated 10, Average loss 0.096, Central accuracy on global test data 87.951, Local accuracy on global train data 65.894, Local accuracy on local train data 97.250
Round  11, Devices participated 10, Average loss 0.092, Central accuracy on global test data 86.999, Local accuracy on global train data 64.431, Local accuracy on local train data 97.083
Round  12, Devices participated 10, Average loss 0.112, Central accuracy on global test data 83.333, Local accuracy on global train data 71.787, Local accuracy on local train data 96.533
Round  13, Devices participated 10, Average loss 0.074, Central accuracy on global test data 90.395, Local accuracy on global train data 69.995, Local accuracy on local train data 97.683
Round  14, Devices participated 10, Average loss 0.160, Central accuracy on global test data 90.895, Local accuracy on global train data 71.458, Local accuracy on local train data 96.000
Round  15, Devices participated 10, Average loss 0.150, Central accuracy on global test data 86.108, Local accuracy on global train data 71.956, Local accuracy on local train data 96.233
Round  16, Devices participated 10, Average loss 0.078, Central accuracy on global test data 91.867, Local accuracy on global train data 77.485, Local accuracy on local train data 97.517
Round  17, Devices participated 10, Average loss 0.052, Central accuracy on global test data 89.804, Local accuracy on global train data 79.951, Local accuracy on local train data 98.367
Round  18, Devices participated 10, Average loss 0.067, Central accuracy on global test data 94.060, Local accuracy on global train data 76.685, Local accuracy on local train data 98.033
Round  19, Devices participated 10, Average loss 0.068, Central accuracy on global test data 92.438, Local accuracy on global train data 78.455, Local accuracy on local train data 97.817
Round  20, Devices participated 10, Average loss 0.060, Central accuracy on global test data 93.760, Local accuracy on global train data 77.859, Local accuracy on local train data 98.000
Round  21, Devices participated 10, Average loss 0.053, Central accuracy on global test data 93.930, Local accuracy on global train data 77.563, Local accuracy on local train data 98.250
Round  22, Devices participated 10, Average loss 0.077, Central accuracy on global test data 93.239, Local accuracy on global train data 80.881, Local accuracy on local train data 97.550
Round  23, Devices participated 10, Average loss 0.051, Central accuracy on global test data 93.830, Local accuracy on global train data 81.858, Local accuracy on local train data 98.417
Round  24, Devices participated 10, Average loss 0.043, Central accuracy on global test data 93.880, Local accuracy on global train data 79.897, Local accuracy on local train data 98.767
Round  25, Devices participated 10, Average loss 0.034, Central accuracy on global test data 91.967, Local accuracy on global train data 81.333, Local accuracy on local train data 98.900
Round  26, Devices participated 10, Average loss 0.045, Central accuracy on global test data 92.668, Local accuracy on global train data 79.653, Local accuracy on local train data 98.600
Round  27, Devices participated 10, Average loss 0.166, Central accuracy on global test data 83.043, Local accuracy on global train data 82.205, Local accuracy on local train data 97.367
Round  28, Devices participated 10, Average loss 0.149, Central accuracy on global test data 92.909, Local accuracy on global train data 76.440, Local accuracy on local train data 96.500
Round  29, Devices participated 10, Average loss 0.049, Central accuracy on global test data 92.548, Local accuracy on global train data 81.406, Local accuracy on local train data 98.167
Round  30, Devices participated 10, Average loss 0.051, Central accuracy on global test data 93.219, Local accuracy on global train data 78.938, Local accuracy on local train data 98.300
Round  31, Devices participated 10, Average loss 0.040, Central accuracy on global test data 94.341, Local accuracy on global train data 85.120, Local accuracy on local train data 98.917
Round  32, Devices participated 10, Average loss 0.095, Central accuracy on global test data 93.409, Local accuracy on global train data 86.135, Local accuracy on local train data 97.483
Round  33, Devices participated 10, Average loss 0.056, Central accuracy on global test data 94.101, Local accuracy on global train data 81.873, Local accuracy on local train data 98.100
Round  34, Devices participated 10, Average loss 0.032, Central accuracy on global test data 94.982, Local accuracy on global train data 86.118, Local accuracy on local train data 99.100
Round  35, Devices participated 10, Average loss 0.040, Central accuracy on global test data 94.692, Local accuracy on global train data 85.178, Local accuracy on local train data 98.700
Round  36, Devices participated 10, Average loss 0.031, Central accuracy on global test data 95.242, Local accuracy on global train data 87.917, Local accuracy on local train data 99.033
Round  37, Devices participated 10, Average loss 0.030, Central accuracy on global test data 93.590, Local accuracy on global train data 89.304, Local accuracy on local train data 99.083
