python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 5 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 0 --async_s2d 1 --weight_init kaiming --bias_init zero

Round   0, Devices participated 10, Average loss 0.051, Central accuracy on global test data 26.201, Ensemble accuracy on global test data 27.646, Local accuracy on global train data 19.812, Local accuracy on local train data 98.550
Round   1, Devices participated 10, Average loss 0.060, Central accuracy on global test data 33.838, Ensemble accuracy on global test data 33.545, Local accuracy on global train data 17.439, Local accuracy on local train data 98.373
Round   2, Devices participated 10, Average loss 0.055, Central accuracy on global test data 33.096, Ensemble accuracy on global test data 33.848, Local accuracy on global train data 20.842, Local accuracy on local train data 98.527
Round   3, Devices participated 10, Average loss 0.052, Central accuracy on global test data 42.246, Ensemble accuracy on global test data 41.797, Local accuracy on global train data 20.935, Local accuracy on local train data 98.537
Round   4, Devices participated 10, Average loss 0.037, Central accuracy on global test data 35.908, Ensemble accuracy on global test data 37.207, Local accuracy on global train data 19.155, Local accuracy on local train data 98.917
Round   5, Devices participated 10, Average loss 0.054, Central accuracy on global test data 35.908, Ensemble accuracy on global test data 37.656, Local accuracy on global train data 20.220, Local accuracy on local train data 98.617
Round   6, Devices participated 10, Average loss 0.048, Central accuracy on global test data 41.875, Ensemble accuracy on global test data 41.426, Local accuracy on global train data 20.029, Local accuracy on local train data 98.723
Round   7, Devices participated 10, Average loss 0.055, Central accuracy on global test data 50.400, Ensemble accuracy on global test data 52.256, Local accuracy on global train data 22.239, Local accuracy on local train data 98.660
Round   8, Devices participated 10, Average loss 0.044, Central accuracy on global test data 51.162, Ensemble accuracy on global test data 52.480, Local accuracy on global train data 22.144, Local accuracy on local train data 98.880
Round   9, Devices participated 10, Average loss 0.048, Central accuracy on global test data 44.727, Ensemble accuracy on global test data 43.936, Local accuracy on global train data 22.446, Local accuracy on local train data 98.760
Round  10, Devices participated 10, Average loss 0.039, Central accuracy on global test data 53.643, Ensemble accuracy on global test data 52.393, Local accuracy on global train data 21.392, Local accuracy on local train data 98.893
Round  11, Devices participated 10, Average loss 0.031, Central accuracy on global test data 52.598, Ensemble accuracy on global test data 52.627, Local accuracy on global train data 23.718, Local accuracy on local train data 99.173
Round  12, Devices participated 10, Average loss 0.052, Central accuracy on global test data 46.436, Ensemble accuracy on global test data 49.121, Local accuracy on global train data 21.721, Local accuracy on local train data 98.547
Round  13, Devices participated 10, Average loss 0.051, Central accuracy on global test data 51.113, Ensemble accuracy on global test data 51.982, Local accuracy on global train data 20.874, Local accuracy on local train data 98.730
Round  14, Devices participated 10, Average loss 0.053, Central accuracy on global test data 59.717, Ensemble accuracy on global test data 61.064, Local accuracy on global train data 26.594, Local accuracy on local train data 98.607
Round  15, Devices participated 10, Average loss 0.039, Central accuracy on global test data 55.352, Ensemble accuracy on global test data 55.488, Local accuracy on global train data 22.273, Local accuracy on local train data 98.980
Round  16, Devices participated 10, Average loss 0.052, Central accuracy on global test data 61.348, Ensemble accuracy on global test data 60.996, Local accuracy on global train data 22.893, Local accuracy on local train data 98.663
Round  17, Devices participated 10, Average loss 0.039, Central accuracy on global test data 64.111, Ensemble accuracy on global test data 64.570, Local accuracy on global train data 24.648, Local accuracy on local train data 99.020
Round  18, Devices participated 10, Average loss 0.056, Central accuracy on global test data 61.104, Ensemble accuracy on global test data 61.006, Local accuracy on global train data 24.702, Local accuracy on local train data 98.680
Round  19, Devices participated 10, Average loss 0.039, Central accuracy on global test data 66.514, Ensemble accuracy on global test data 67.090, Local accuracy on global train data 26.809, Local accuracy on local train data 99.243
Round  20, Devices participated 10, Average loss 0.042, Central accuracy on global test data 48.457, Ensemble accuracy on global test data 48.818, Local accuracy on global train data 25.852, Local accuracy on local train data 98.987
Round  21, Devices participated 10, Average loss 0.037, Central accuracy on global test data 58.047, Ensemble accuracy on global test data 57.354, Local accuracy on global train data 23.367, Local accuracy on local train data 99.127
Round  22, Devices participated 10, Average loss 0.033, Central accuracy on global test data 67.910, Ensemble accuracy on global test data 68.379, Local accuracy on global train data 29.033, Local accuracy on local train data 99.130
Round  23, Devices participated 10, Average loss 0.043, Central accuracy on global test data 48.428, Ensemble accuracy on global test data 49.609, Local accuracy on global train data 29.817, Local accuracy on local train data 98.963
Round  24, Devices participated 10, Average loss 0.041, Central accuracy on global test data 65.244, Ensemble accuracy on global test data 66.025, Local accuracy on global train data 26.155, Local accuracy on local train data 99.010
Round  25, Devices participated 10, Average loss 0.034, Central accuracy on global test data 52.109, Ensemble accuracy on global test data 53.174, Local accuracy on global train data 24.207, Local accuracy on local train data 99.003
Round  26, Devices participated 10, Average loss 0.045, Central accuracy on global test data 66.729, Ensemble accuracy on global test data 66.045, Local accuracy on global train data 27.126, Local accuracy on local train data 98.933
Round  27, Devices participated 10, Average loss 0.037, Central accuracy on global test data 66.172, Ensemble accuracy on global test data 65.967, Local accuracy on global train data 31.775, Local accuracy on local train data 99.043
Round  28, Devices participated 10, Average loss 0.031, Central accuracy on global test data 67.324, Ensemble accuracy on global test data 68.145, Local accuracy on global train data 33.809, Local accuracy on local train data 99.207
Round  29, Devices participated 10, Average loss 0.051, Central accuracy on global test data 67.490, Ensemble accuracy on global test data 67.900, Local accuracy on global train data 31.233, Local accuracy on local train data 98.647
Round  30, Devices participated 10, Average loss 0.037, Central accuracy on global test data 65.479, Ensemble accuracy on global test data 63.721, Local accuracy on global train data 29.766, Local accuracy on local train data 99.100
Round  31, Devices participated 10, Average loss 0.038, Central accuracy on global test data 63.125, Ensemble accuracy on global test data 62.451, Local accuracy on global train data 29.172, Local accuracy on local train data 99.227
Round  32, Devices participated 10, Average loss 0.030, Central accuracy on global test data 74.014, Ensemble accuracy on global test data 73.965, Local accuracy on global train data 33.157, Local accuracy on local train data 99.250
Round  33, Devices participated 10, Average loss 0.047, Central accuracy on global test data 69.199, Ensemble accuracy on global test data 68.730, Local accuracy on global train data 32.556, Local accuracy on local train data 98.983
