python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 0 --async_s2d 1 --weight_init kaiming --bias_init zero

Round   0, Devices participated 10, Average loss 0.194, Central accuracy on global test data 25.791, Ensemble accuracy on global test data 24.883, Local accuracy on global train data 19.714, Local accuracy on local train data 93.417
Round   1, Devices participated 10, Average loss 0.233, Central accuracy on global test data 30.127, Ensemble accuracy on global test data 32.734, Local accuracy on global train data 17.415, Local accuracy on local train data 92.850
Round   2, Devices participated 10, Average loss 0.212, Central accuracy on global test data 33.281, Ensemble accuracy on global test data 32.100, Local accuracy on global train data 20.542, Local accuracy on local train data 93.683
Round   3, Devices participated 10, Average loss 0.215, Central accuracy on global test data 40.615, Ensemble accuracy on global test data 38.262, Local accuracy on global train data 20.735, Local accuracy on local train data 93.250
Round   4, Devices participated 10, Average loss 0.154, Central accuracy on global test data 28.174, Ensemble accuracy on global test data 31.162, Local accuracy on global train data 19.116, Local accuracy on local train data 94.983
Round   5, Devices participated 10, Average loss 0.221, Central accuracy on global test data 33.477, Ensemble accuracy on global test data 35.527, Local accuracy on global train data 20.664, Local accuracy on local train data 94.117
Round   6, Devices participated 10, Average loss 0.195, Central accuracy on global test data 38.711, Ensemble accuracy on global test data 39.033, Local accuracy on global train data 19.712, Local accuracy on local train data 94.883
Round   7, Devices participated 10, Average loss 0.229, Central accuracy on global test data 43.115, Ensemble accuracy on global test data 45.771, Local accuracy on global train data 21.711, Local accuracy on local train data 93.617
Round   8, Devices participated 10, Average loss 0.194, Central accuracy on global test data 51.426, Ensemble accuracy on global test data 47.930, Local accuracy on global train data 20.994, Local accuracy on local train data 94.950
Round   9, Devices participated 10, Average loss 0.222, Central accuracy on global test data 49.854, Ensemble accuracy on global test data 46.836, Local accuracy on global train data 21.907, Local accuracy on local train data 94.750
Round  10, Devices participated 10, Average loss 0.181, Central accuracy on global test data 47.666, Ensemble accuracy on global test data 47.012, Local accuracy on global train data 20.332, Local accuracy on local train data 95.017
Round  11, Devices participated 10, Average loss 0.149, Central accuracy on global test data 45.352, Ensemble accuracy on global test data 44.785, Local accuracy on global train data 22.949, Local accuracy on local train data 95.767
Round  12, Devices participated 10, Average loss 0.220, Central accuracy on global test data 42.188, Ensemble accuracy on global test data 42.607, Local accuracy on global train data 21.096, Local accuracy on local train data 93.783
Round  13, Devices participated 10, Average loss 0.245, Central accuracy on global test data 50.469, Ensemble accuracy on global test data 51.680, Local accuracy on global train data 20.073, Local accuracy on local train data 94.383
Round  14, Devices participated 10, Average loss 0.232, Central accuracy on global test data 57.734, Ensemble accuracy on global test data 57.920, Local accuracy on global train data 24.539, Local accuracy on local train data 94.483
Round  15, Devices participated 10, Average loss 0.199, Central accuracy on global test data 48.730, Ensemble accuracy on global test data 47.646, Local accuracy on global train data 21.372, Local accuracy on local train data 94.983
Round  16, Devices participated 10, Average loss 0.247, Central accuracy on global test data 55.732, Ensemble accuracy on global test data 57.207, Local accuracy on global train data 23.538, Local accuracy on local train data 94.000
Round  17, Devices participated 10, Average loss 0.193, Central accuracy on global test data 63.604, Ensemble accuracy on global test data 63.701, Local accuracy on global train data 24.233, Local accuracy on local train data 95.733
Round  18, Devices participated 10, Average loss 0.228, Central accuracy on global test data 54.004, Ensemble accuracy on global test data 53.779, Local accuracy on global train data 22.576, Local accuracy on local train data 94.033
Round  19, Devices participated 10, Average loss 0.130, Central accuracy on global test data 65.459, Ensemble accuracy on global test data 63.633, Local accuracy on global train data 26.372, Local accuracy on local train data 97.183
Round  20, Devices participated 10, Average loss 0.225, Central accuracy on global test data 50.723, Ensemble accuracy on global test data 49.346, Local accuracy on global train data 24.856, Local accuracy on local train data 95.367
Round  21, Devices participated 10, Average loss 0.164, Central accuracy on global test data 56.367, Ensemble accuracy on global test data 55.166, Local accuracy on global train data 21.624, Local accuracy on local train data 95.967
Round  22, Devices participated 10, Average loss 0.157, Central accuracy on global test data 64.854, Ensemble accuracy on global test data 64.492, Local accuracy on global train data 29.341, Local accuracy on local train data 95.883
Round  23, Devices participated 10, Average loss 0.192, Central accuracy on global test data 46.182, Ensemble accuracy on global test data 44.287, Local accuracy on global train data 28.291, Local accuracy on local train data 95.883
Round  24, Devices participated 10, Average loss 0.203, Central accuracy on global test data 63.760, Ensemble accuracy on global test data 62.861, Local accuracy on global train data 24.888, Local accuracy on local train data 95.400
Round  25, Devices participated 10, Average loss 0.162, Central accuracy on global test data 53.555, Ensemble accuracy on global test data 53.838, Local accuracy on global train data 24.553, Local accuracy on local train data 95.350
Round  26, Devices participated 10, Average loss 0.198, Central accuracy on global test data 65.869, Ensemble accuracy on global test data 66.260, Local accuracy on global train data 27.703, Local accuracy on local train data 95.200
Round  27, Devices participated 10, Average loss 0.180, Central accuracy on global test data 61.572, Ensemble accuracy on global test data 61.348, Local accuracy on global train data 32.371, Local accuracy on local train data 95.683
Round  28, Devices participated 10, Average loss 0.167, Central accuracy on global test data 64.062, Ensemble accuracy on global test data 64.043, Local accuracy on global train data 28.616, Local accuracy on local train data 96.133
Round  29, Devices participated 10, Average loss 0.265, Central accuracy on global test data 69.961, Ensemble accuracy on global test data 68.369, Local accuracy on global train data 28.396, Local accuracy on local train data 94.033
Round  30, Devices participated 10, Average loss 0.155, Central accuracy on global test data 57.432, Ensemble accuracy on global test data 54.648, Local accuracy on global train data 27.097, Local accuracy on local train data 96.350
Round  31, Devices participated 10, Average loss 0.154, Central accuracy on global test data 57.979, Ensemble accuracy on global test data 57.734, Local accuracy on global train data 29.734, Local accuracy on local train data 96.350
Round  32, Devices participated 10, Average loss 0.147, Central accuracy on global test data 72.754, Ensemble accuracy on global test data 72.646, Local accuracy on global train data 31.611, Local accuracy on local train data 96.583
Round  33, Devices participated 10, Average loss 0.194, Central accuracy on global test data 67.998, Ensemble accuracy on global test data 67.344, Local accuracy on global train data 29.468, Local accuracy on local train data 95.950
Round  34, Devices participated 10, Average loss 0.108, Central accuracy on global test data 64.521, Ensemble accuracy on global test data 63.369, Local accuracy on global train data 31.189, Local accuracy on local train data 97.567
Round  35, Devices participated 10, Average loss 0.144, Central accuracy on global test data 69.795, Ensemble accuracy on global test data 70.293, Local accuracy on global train data 29.695, Local accuracy on local train data 96.333
Round  36, Devices participated 10, Average loss 0.193, Central accuracy on global test data 67.920, Ensemble accuracy on global test data 67.900, Local accuracy on global train data 32.178, Local accuracy on local train data 95.733
Round  37, Devices participated 10, Average loss 0.229, Central accuracy on global test data 65.947, Ensemble accuracy on global test data 67.070, Local accuracy on global train data 31.697, Local accuracy on local train data 94.617
Round  38, Devices participated 10, Average loss 0.181, Central accuracy on global test data 68.369, Ensemble accuracy on global test data 67.939, Local accuracy on global train data 31.082, Local accuracy on local train data 95.800
Round  39, Devices participated 10, Average loss 0.120, Central accuracy on global test data 60.859, Ensemble accuracy on global test data 61.885, Local accuracy on global train data 28.936, Local accuracy on local train data 96.700
Round  40, Devices participated 10, Average loss 0.194, Central accuracy on global test data 74.453, Ensemble accuracy on global test data 73.701, Local accuracy on global train data 30.535, Local accuracy on local train data 95.333
Round  41, Devices participated 10, Average loss 0.224, Central accuracy on global test data 73.408, Ensemble accuracy on global test data 72.334, Local accuracy on global train data 35.105, Local accuracy on local train data 95.167
Round  42, Devices participated 10, Average loss 0.178, Central accuracy on global test data 68.877, Ensemble accuracy on global test data 68.262, Local accuracy on global train data 30.767, Local accuracy on local train data 95.900
Round  43, Devices participated 10, Average loss 0.153, Central accuracy on global test data 74.697, Ensemble accuracy on global test data 74.883, Local accuracy on global train data 29.382, Local accuracy on local train data 96.650
Round  44, Devices participated 10, Average loss 0.251, Central accuracy on global test data 66.592, Ensemble accuracy on global test data 66.670, Local accuracy on global train data 32.952, Local accuracy on local train data 94.567
Round  45, Devices participated 10, Average loss 0.174, Central accuracy on global test data 68.945, Ensemble accuracy on global test data 68.242, Local accuracy on global train data 37.185, Local accuracy on local train data 96.217
Round  46, Devices participated 10, Average loss 0.234, Central accuracy on global test data 72.109, Ensemble accuracy on global test data 72.236, Local accuracy on global train data 37.429, Local accuracy on local train data 94.950
Round  47, Devices participated 10, Average loss 0.142, Central accuracy on global test data 68.477, Ensemble accuracy on global test data 68.047, Local accuracy on global train data 35.493, Local accuracy on local train data 97.300
Round  48, Devices participated 10, Average loss 0.206, Central accuracy on global test data 75.215, Ensemble accuracy on global test data 75.713, Local accuracy on global train data 41.721, Local accuracy on local train data 95.517
Round  49, Devices participated 10, Average loss 0.176, Central accuracy on global test data 73.955, Ensemble accuracy on global test data 74.053, Local accuracy on global train data 37.739, Local accuracy on local train data 96.467
Round  50, Devices participated 10, Average loss 0.204, Central accuracy on global test data 67.598, Ensemble accuracy on global test data 65.430, Local accuracy on global train data 33.613, Local accuracy on local train data 95.767
Round  51, Devices participated 10, Average loss 0.150, Central accuracy on global test data 76.338, Ensemble accuracy on global test data 76.865, Local accuracy on global train data 38.467, Local accuracy on local train data 96.550
Round  52, Devices participated 10, Average loss 0.198, Central accuracy on global test data 71.553, Ensemble accuracy on global test data 69.746, Local accuracy on global train data 34.133, Local accuracy on local train data 95.983
Round  53, Devices participated 10, Average loss 0.178, Central accuracy on global test data 68.564, Ensemble accuracy on global test data 65.586, Local accuracy on global train data 34.680, Local accuracy on local train data 96.300
Round  54, Devices participated 10, Average loss 0.130, Central accuracy on global test data 72.178, Ensemble accuracy on global test data 71.230, Local accuracy on global train data 33.494, Local accuracy on local train data 97.000
Round  55, Devices participated 10, Average loss 0.178, Central accuracy on global test data 76.631, Ensemble accuracy on global test data 77.363, Local accuracy on global train data 38.687, Local accuracy on local train data 96.183
Round  56, Devices participated 10, Average loss 0.184, Central accuracy on global test data 76.631, Ensemble accuracy on global test data 77.881, Local accuracy on global train data 36.804, Local accuracy on local train data 96.017
Round  57, Devices participated 10, Average loss 0.145, Central accuracy on global test data 74.189, Ensemble accuracy on global test data 74.668, Local accuracy on global train data 37.192, Local accuracy on local train data 96.733
