python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 1 --async_s2d 1 --weight_init kaiming --bias_init zero

Round   0, Devices participated 10, Average loss 0.195, Central accuracy on global test data 24.307, Ensemble accuracy on global test data 24.902, Local accuracy on global train data 19.709, Local accuracy on local train data 93.467
Round   1, Devices participated 10, Average loss 0.233, Central accuracy on global test data 34.307, Ensemble accuracy on global test data 34.219, Local accuracy on global train data 17.717, Local accuracy on local train data 92.550
Round   2, Devices participated 10, Average loss 0.220, Central accuracy on global test data 33.037, Ensemble accuracy on global test data 32.754, Local accuracy on global train data 20.930, Local accuracy on local train data 93.950
Round   3, Devices participated 10, Average loss 0.213, Central accuracy on global test data 38.574, Ensemble accuracy on global test data 36.885, Local accuracy on global train data 20.637, Local accuracy on local train data 93.217
Round   4, Devices participated 10, Average loss 0.148, Central accuracy on global test data 33.389, Ensemble accuracy on global test data 34.307, Local accuracy on global train data 19.170, Local accuracy on local train data 95.483
Round   5, Devices participated 10, Average loss 0.227, Central accuracy on global test data 35.137, Ensemble accuracy on global test data 35.361, Local accuracy on global train data 20.237, Local accuracy on local train data 94.033
Round   6, Devices participated 10, Average loss 0.212, Central accuracy on global test data 38.779, Ensemble accuracy on global test data 37.754, Local accuracy on global train data 19.944, Local accuracy on local train data 94.367
Round   7, Devices participated 10, Average loss 0.241, Central accuracy on global test data 45.928, Ensemble accuracy on global test data 46.934, Local accuracy on global train data 21.675, Local accuracy on local train data 93.817
Round   8, Devices participated 10, Average loss 0.193, Central accuracy on global test data 49.805, Ensemble accuracy on global test data 49.756, Local accuracy on global train data 21.184, Local accuracy on local train data 95.100
Round   9, Devices participated 10, Average loss 0.203, Central accuracy on global test data 42.422, Ensemble accuracy on global test data 43.281, Local accuracy on global train data 22.317, Local accuracy on local train data 94.833
Round  10, Devices participated 10, Average loss 0.223, Central accuracy on global test data 48.506, Ensemble accuracy on global test data 47.861, Local accuracy on global train data 21.160, Local accuracy on local train data 94.567
