python main_dfan_ensemble1c.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 0 --async_s2d 1 --weight_init kaiming --bias_init zero

Round   0, Devices participated 10, Average loss 0.195, Central accuracy on global test data 23.633, Ensemble accuracy on global test data 24.902, Local accuracy on global train data 19.709, Local accuracy on local train data 93.467
Round   1, Devices participated 10, Average loss 0.238, Central accuracy on global test data 31.279, Ensemble accuracy on global test data 33.037, Local accuracy on global train data 17.510, Local accuracy on local train data 92.733
Round   2, Devices participated 10, Average loss 0.216, Central accuracy on global test data 32.188, Ensemble accuracy on global test data 32.051, Local accuracy on global train data 20.356, Local accuracy on local train data 93.733
Round   3, Devices participated 10, Average loss 0.223, Central accuracy on global test data 40.264, Ensemble accuracy on global test data 39.463, Local accuracy on global train data 20.618, Local accuracy on local train data 93.133
Round   4, Devices participated 10, Average loss 0.164, Central accuracy on global test data 31.289, Ensemble accuracy on global test data 32.715, Local accuracy on global train data 19.146, Local accuracy on local train data 94.800
Round   5, Devices participated 10, Average loss 0.219, Central accuracy on global test data 35.664, Ensemble accuracy on global test data 36.680, Local accuracy on global train data 20.618, Local accuracy on local train data 94.217
Round   6, Devices participated 10, Average loss 0.197, Central accuracy on global test data 39.795, Ensemble accuracy on global test data 39.941, Local accuracy on global train data 20.083, Local accuracy on local train data 94.800
Round   7, Devices participated 10, Average loss 0.233, Central accuracy on global test data 44.307, Ensemble accuracy on global test data 44.609, Local accuracy on global train data 22.097, Local accuracy on local train data 93.433
Round   8, Devices participated 10, Average loss 0.199, Central accuracy on global test data 48.027, Ensemble accuracy on global test data 47.256, Local accuracy on global train data 21.287, Local accuracy on local train data 95.083
Round   9, Devices participated 10, Average loss 0.230, Central accuracy on global test data 47.354, Ensemble accuracy on global test data 47.383, Local accuracy on global train data 21.646, Local accuracy on local train data 94.583
Round  10, Devices participated 10, Average loss 0.193, Central accuracy on global test data 48.535, Ensemble accuracy on global test data 47.549, Local accuracy on global train data 20.793, Local accuracy on local train data 95.083
Round  11, Devices participated 10, Average loss 0.149, Central accuracy on global test data 46.123, Ensemble accuracy on global test data 46.230, Local accuracy on global train data 22.932, Local accuracy on local train data 96.017
Round  12, Devices participated 10, Average loss 0.226, Central accuracy on global test data 42.168, Ensemble accuracy on global test data 42.617, Local accuracy on global train data 20.886, Local accuracy on local train data 93.933
Round  13, Devices participated 10, Average loss 0.247, Central accuracy on global test data 48.604, Ensemble accuracy on global test data 48.838, Local accuracy on global train data 20.374, Local accuracy on local train data 94.583
Round  14, Devices participated 10, Average loss 0.239, Central accuracy on global test data 56.426, Ensemble accuracy on global test data 55.908, Local accuracy on global train data 24.939, Local accuracy on local train data 94.350
Round  15, Devices participated 10, Average loss 0.210, Central accuracy on global test data 48.975, Ensemble accuracy on global test data 46.279, Local accuracy on global train data 21.831, Local accuracy on local train data 95.433
Round  16, Devices participated 10, Average loss 0.249, Central accuracy on global test data 57.764, Ensemble accuracy on global test data 59.277, Local accuracy on global train data 23.264, Local accuracy on local train data 94.050
Round  17, Devices participated 10, Average loss 0.216, Central accuracy on global test data 62.246, Ensemble accuracy on global test data 62.002, Local accuracy on global train data 23.938, Local accuracy on local train data 95.850
Round  18, Devices participated 10, Average loss 0.250, Central accuracy on global test data 55.215, Ensemble accuracy on global test data 55.674, Local accuracy on global train data 22.727, Local accuracy on local train data 94.183
Round  19, Devices participated 10, Average loss 0.152, Central accuracy on global test data 62.178, Ensemble accuracy on global test data 62.627, Local accuracy on global train data 25.850, Local accuracy on local train data 96.950
Round  20, Devices participated 10, Average loss 0.249, Central accuracy on global test data 49.023, Ensemble accuracy on global test data 49.912, Local accuracy on global train data 24.343, Local accuracy on local train data 95.200
Round  21, Devices participated 10, Average loss 0.180, Central accuracy on global test data 55.811, Ensemble accuracy on global test data 55.566, Local accuracy on global train data 21.826, Local accuracy on local train data 95.850
Round  22, Devices participated 10, Average loss 0.197, Central accuracy on global test data 65.771, Ensemble accuracy on global test data 65.273, Local accuracy on global train data 28.936, Local accuracy on local train data 95.833
Round  23, Devices participated 10, Average loss 0.233, Central accuracy on global test data 44.307, Ensemble accuracy on global test data 44.590, Local accuracy on global train data 27.954, Local accuracy on local train data 95.733
Round  24, Devices participated 10, Average loss 0.235, Central accuracy on global test data 63.945, Ensemble accuracy on global test data 63.730, Local accuracy on global train data 25.417, Local accuracy on local train data 95.733
Round  25, Devices participated 10, Average loss 0.175, Central accuracy on global test data 52.168, Ensemble accuracy on global test data 53.438, Local accuracy on global train data 23.894, Local accuracy on local train data 95.167
Round  26, Devices participated 10, Average loss 0.230, Central accuracy on global test data 66.104, Ensemble accuracy on global test data 65.967, Local accuracy on global train data 26.750, Local accuracy on local train data 95.483
Round  27, Devices participated 10, Average loss 0.190, Central accuracy on global test data 64.697, Ensemble accuracy on global test data 62.666, Local accuracy on global train data 31.157, Local accuracy on local train data 95.717
Round  28, Devices participated 10, Average loss 0.190, Central accuracy on global test data 65.889, Ensemble accuracy on global test data 66.318, Local accuracy on global train data 29.402, Local accuracy on local train data 96.467
Round  29, Devices participated 10, Average loss 0.317, Central accuracy on global test data 70.781, Ensemble accuracy on global test data 70.820, Local accuracy on global train data 29.514, Local accuracy on local train data 94.000
Round  30, Devices participated 10, Average loss 0.177, Central accuracy on global test data 61.182, Ensemble accuracy on global test data 60.840, Local accuracy on global train data 27.219, Local accuracy on local train data 96.083
Round  31, Devices participated 10, Average loss 0.194, Central accuracy on global test data 59.863, Ensemble accuracy on global test data 58.740, Local accuracy on global train data 28.618, Local accuracy on local train data 96.383
Round  32, Devices participated 10, Average loss 0.176, Central accuracy on global test data 71.240, Ensemble accuracy on global test data 72.422, Local accuracy on global train data 30.151, Local accuracy on local train data 96.750
Round  33, Devices participated 10, Average loss 0.231, Central accuracy on global test data 69.238, Ensemble accuracy on global test data 68.154, Local accuracy on global train data 29.885, Local accuracy on local train data 95.600
Round  34, Devices participated 10, Average loss 0.131, Central accuracy on global test data 62.246, Ensemble accuracy on global test data 63.516, Local accuracy on global train data 29.873, Local accuracy on local train data 97.800
Round  35, Devices participated 10, Average loss 0.197, Central accuracy on global test data 69.961, Ensemble accuracy on global test data 70.537, Local accuracy on global train data 27.781, Local accuracy on local train data 96.150
Round  36, Devices participated 10, Average loss 0.216, Central accuracy on global test data 71.582, Ensemble accuracy on global test data 71.035, Local accuracy on global train data 32.471, Local accuracy on local train data 95.833
Round  37, Devices participated 10, Average loss 0.278, Central accuracy on global test data 65.811, Ensemble accuracy on global test data 66.260, Local accuracy on global train data 31.619, Local accuracy on local train data 94.800
Round  38, Devices participated 10, Average loss 0.220, Central accuracy on global test data 73.291, Ensemble accuracy on global test data 73.037, Local accuracy on global train data 33.621, Local accuracy on local train data 96.083
Round  39, Devices participated 10, Average loss 0.181, Central accuracy on global test data 62.334, Ensemble accuracy on global test data 63.389, Local accuracy on global train data 29.805, Local accuracy on local train data 96.467
Round  40, Devices participated 10, Average loss 0.226, Central accuracy on global test data 73.975, Ensemble accuracy on global test data 73.750, Local accuracy on global train data 30.566, Local accuracy on local train data 95.600
Round  41, Devices participated 10, Average loss 0.229, Central accuracy on global test data 73.242, Ensemble accuracy on global test data 72.773, Local accuracy on global train data 36.030, Local accuracy on local train data 95.067
Round  42, Devices participated 10, Average loss 0.203, Central accuracy on global test data 66.162, Ensemble accuracy on global test data 66.934, Local accuracy on global train data 30.613, Local accuracy on local train data 96.150
Round  43, Devices participated 10, Average loss 0.179, Central accuracy on global test data 76.738, Ensemble accuracy on global test data 76.514, Local accuracy on global train data 30.547, Local accuracy on local train data 96.617
Round  44, Devices participated 10, Average loss 0.293, Central accuracy on global test data 68.027, Ensemble accuracy on global test data 68.086, Local accuracy on global train data 31.135, Local accuracy on local train data 94.750
Round  45, Devices participated 10, Average loss 0.189, Central accuracy on global test data 66.113, Ensemble accuracy on global test data 66.338, Local accuracy on global train data 37.795, Local accuracy on local train data 96.383
Round  46, Devices participated 10, Average loss 0.302, Central accuracy on global test data 73.291, Ensemble accuracy on global test data 72.441, Local accuracy on global train data 38.440, Local accuracy on local train data 94.550
Round  47, Devices participated 10, Average loss 0.130, Central accuracy on global test data 69.600, Ensemble accuracy on global test data 70.322, Local accuracy on global train data 38.325, Local accuracy on local train data 97.450
Round  48, Devices participated 10, Average loss 0.216, Central accuracy on global test data 76.885, Ensemble accuracy on global test data 76.680, Local accuracy on global train data 40.959, Local accuracy on local train data 95.667
Round  49, Devices participated 10, Average loss 0.194, Central accuracy on global test data 73.760, Ensemble accuracy on global test data 74.199, Local accuracy on global train data 39.236, Local accuracy on local train data 96.567
Round  50, Devices participated 10, Average loss 0.212, Central accuracy on global test data 67.871, Ensemble accuracy on global test data 68.809, Local accuracy on global train data 34.873, Local accuracy on local train data 95.783
Round  51, Devices participated 10, Average loss 0.178, Central accuracy on global test data 76.455, Ensemble accuracy on global test data 77.012, Local accuracy on global train data 42.524, Local accuracy on local train data 96.283
Round  52, Devices participated 10, Average loss 0.218, Central accuracy on global test data 72.539, Ensemble accuracy on global test data 71.943, Local accuracy on global train data 36.494, Local accuracy on local train data 95.950
Round  53, Devices participated 10, Average loss 0.205, Central accuracy on global test data 68.389, Ensemble accuracy on global test data 67.998, Local accuracy on global train data 35.693, Local accuracy on local train data 96.267
Round  54, Devices participated 10, Average loss 0.147, Central accuracy on global test data 71.660, Ensemble accuracy on global test data 71.982, Local accuracy on global train data 33.694, Local accuracy on local train data 97.267
Round  55, Devices participated 10, Average loss 0.210, Central accuracy on global test data 76.240, Ensemble accuracy on global test data 77.002, Local accuracy on global train data 40.378, Local accuracy on local train data 96.200
Round  56, Devices participated 10, Average loss 0.229, Central accuracy on global test data 78.242, Ensemble accuracy on global test data 78.506, Local accuracy on global train data 38.784, Local accuracy on local train data 95.683
Round  57, Devices participated 10, Average loss 0.155, Central accuracy on global test data 73.916, Ensemble accuracy on global test data 75.186, Local accuracy on global train data 38.916, Local accuracy on local train data 97.167
Round  58, Devices participated 10, Average loss 0.189, Central accuracy on global test data 80.098, Ensemble accuracy on global test data 79.414, Local accuracy on global train data 38.708, Local accuracy on local train data 96.133
Round  59, Devices participated 10, Average loss 0.170, Central accuracy on global test data 76.748, Ensemble accuracy on global test data 76.064, Local accuracy on global train data 39.502, Local accuracy on local train data 96.717
Round  60, Devices participated 10, Average loss 0.210, Central accuracy on global test data 75.537, Ensemble accuracy on global test data 76.641, Local accuracy on global train data 39.902, Local accuracy on local train data 96.000
Round  61, Devices participated 10, Average loss 0.177, Central accuracy on global test data 72.510, Ensemble accuracy on global test data 73.467, Local accuracy on global train data 38.032, Local accuracy on local train data 96.750
Round  62, Devices participated 10, Average loss 0.152, Central accuracy on global test data 75.322, Ensemble accuracy on global test data 75.479, Local accuracy on global train data 40.706, Local accuracy on local train data 97.117
Round  63, Devices participated 10, Average loss 0.141, Central accuracy on global test data 76.250, Ensemble accuracy on global test data 77.227, Local accuracy on global train data 39.717, Local accuracy on local train data 96.833
Round  64, Devices participated 10, Average loss 0.185, Central accuracy on global test data 68.848, Ensemble accuracy on global test data 68.896, Local accuracy on global train data 40.361, Local accuracy on local train data 96.200
Round  65, Devices participated 10, Average loss 0.246, Central accuracy on global test data 76.533, Ensemble accuracy on global test data 77.480, Local accuracy on global train data 46.506, Local accuracy on local train data 95.333
Round  66, Devices participated 10, Average loss 0.162, Central accuracy on global test data 76.592, Ensemble accuracy on global test data 77.715, Local accuracy on global train data 46.082, Local accuracy on local train data 96.650
Round  67, Devices participated 10, Average loss 0.144, Central accuracy on global test data 78.545, Ensemble accuracy on global test data 79.180, Local accuracy on global train data 40.969, Local accuracy on local train data 97.017
Round  68, Devices participated 10, Average loss 0.144, Central accuracy on global test data 79.307, Ensemble accuracy on global test data 79.766, Local accuracy on global train data 43.018, Local accuracy on local train data 97.033
Round  69, Devices participated 10, Average loss 0.127, Central accuracy on global test data 69.932, Ensemble accuracy on global test data 69.375, Local accuracy on global train data 39.509, Local accuracy on local train data 97.533
Round  70, Devices participated 10, Average loss 0.180, Central accuracy on global test data 78.506, Ensemble accuracy on global test data 76.689, Local accuracy on global train data 44.319, Local accuracy on local train data 96.117
Round  71, Devices participated 10, Average loss 0.142, Central accuracy on global test data 79.443, Ensemble accuracy on global test data 79.365, Local accuracy on global train data 41.975, Local accuracy on local train data 97.017
Round  72, Devices participated 10, Average loss 0.151, Central accuracy on global test data 76.025, Ensemble accuracy on global test data 75.811, Local accuracy on global train data 44.460, Local accuracy on local train data 96.817
Round  73, Devices participated 10, Average loss 0.148, Central accuracy on global test data 79.570, Ensemble accuracy on global test data 78.604, Local accuracy on global train data 45.034, Local accuracy on local train data 97.233
Round  74, Devices participated 10, Average loss 0.188, Central accuracy on global test data 76.338, Ensemble accuracy on global test data 77.061, Local accuracy on global train data 40.771, Local accuracy on local train data 96.400
Round  75, Devices participated 10, Average loss 0.157, Central accuracy on global test data 78.926, Ensemble accuracy on global test data 79.326, Local accuracy on global train data 41.643, Local accuracy on local train data 96.667
Round  76, Devices participated 10, Average loss 0.174, Central accuracy on global test data 82.002, Ensemble accuracy on global test data 80.264, Local accuracy on global train data 44.373, Local accuracy on local train data 95.983
Round  77, Devices participated 10, Average loss 0.129, Central accuracy on global test data 75.371, Ensemble accuracy on global test data 76.475, Local accuracy on global train data 41.758, Local accuracy on local train data 97.067
Round  78, Devices participated 10, Average loss 0.144, Central accuracy on global test data 78.037, Ensemble accuracy on global test data 78.994, Local accuracy on global train data 41.604, Local accuracy on local train data 96.950
Round  79, Devices participated 10, Average loss 0.178, Central accuracy on global test data 81.230, Ensemble accuracy on global test data 80.996, Local accuracy on global train data 42.827, Local accuracy on local train data 96.500
Round  80, Devices participated 10, Average loss 0.229, Central accuracy on global test data 76.865, Ensemble accuracy on global test data 78.096, Local accuracy on global train data 46.570, Local accuracy on local train data 95.583
Round  81, Devices participated 10, Average loss 0.130, Central accuracy on global test data 76.025, Ensemble accuracy on global test data 77.012, Local accuracy on global train data 45.444, Local accuracy on local train data 96.883
Round  82, Devices participated 10, Average loss 0.112, Central accuracy on global test data 80.225, Ensemble accuracy on global test data 80.518, Local accuracy on global train data 44.812, Local accuracy on local train data 97.483
Round  83, Devices participated 10, Average loss 0.139, Central accuracy on global test data 80.879, Ensemble accuracy on global test data 81.133, Local accuracy on global train data 42.578, Local accuracy on local train data 96.833
Round  84, Devices participated 10, Average loss 0.167, Central accuracy on global test data 73.145, Ensemble accuracy on global test data 72.383, Local accuracy on global train data 47.676, Local accuracy on local train data 96.417
