python main_dfan_ensemble2.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 0 --async_s2d 1 --weight_init kaiming --bias_init zeros

Round   0, Devices participated 10, Average loss 0.194, Central accuracy on global test data 25.625, Ensemble accuracy on global test data 24.883, Local accuracy on global train data 19.714, Local accuracy on local train data 93.417
Round   1, Devices participated 10, Average loss 0.220, Central accuracy on global test data 30.088, Ensemble accuracy on global test data 32.256, Local accuracy on global train data 17.385, Local accuracy on local train data 92.883
Round   2, Devices participated 10, Average loss 0.212, Central accuracy on global test data 29.727, Ensemble accuracy on global test data 30.977, Local accuracy on global train data 20.596, Local accuracy on local train data 93.950
Round   3, Devices participated 10, Average loss 0.221, Central accuracy on global test data 40.918, Ensemble accuracy on global test data 39.043, Local accuracy on global train data 20.811, Local accuracy on local train data 93.583
Round   4, Devices participated 10, Average loss 0.157, Central accuracy on global test data 32.832, Ensemble accuracy on global test data 32.295, Local accuracy on global train data 19.165, Local accuracy on local train data 94.950
Round   5, Devices participated 10, Average loss 0.223, Central accuracy on global test data 33.428, Ensemble accuracy on global test data 33.818, Local accuracy on global train data 20.476, Local accuracy on local train data 93.833
Round   6, Devices participated 10, Average loss 0.217, Central accuracy on global test data 35.566, Ensemble accuracy on global test data 36.729, Local accuracy on global train data 20.947, Local accuracy on local train data 94.483
Round   7, Devices participated 10, Average loss 0.236, Central accuracy on global test data 43.027, Ensemble accuracy on global test data 42.627, Local accuracy on global train data 21.514, Local accuracy on local train data 93.517
Round   8, Devices participated 10, Average loss 0.201, Central accuracy on global test data 48.369, Ensemble accuracy on global test data 49.004, Local accuracy on global train data 21.028, Local accuracy on local train data 94.783
Round   9, Devices participated 10, Average loss 0.202, Central accuracy on global test data 42.070, Ensemble accuracy on global test data 42.275, Local accuracy on global train data 21.575, Local accuracy on local train data 95.017
Round  10, Devices participated 10, Average loss 0.200, Central accuracy on global test data 46.572, Ensemble accuracy on global test data 46.064, Local accuracy on global train data 20.674, Local accuracy on local train data 94.967
Round  11, Devices participated 10, Average loss 0.155, Central accuracy on global test data 48.408, Ensemble accuracy on global test data 47.842, Local accuracy on global train data 23.694, Local accuracy on local train data 96.300
Round  12, Devices participated 10, Average loss 0.226, Central accuracy on global test data 44.014, Ensemble accuracy on global test data 45.264, Local accuracy on global train data 21.287, Local accuracy on local train data 93.633
Round  13, Devices participated 10, Average loss 0.222, Central accuracy on global test data 49.463, Ensemble accuracy on global test data 51.045, Local accuracy on global train data 20.657, Local accuracy on local train data 94.717
Round  14, Devices participated 10, Average loss 0.259, Central accuracy on global test data 56.309, Ensemble accuracy on global test data 55.791, Local accuracy on global train data 24.695, Local accuracy on local train data 93.700
Round  15, Devices participated 10, Average loss 0.195, Central accuracy on global test data 50.879, Ensemble accuracy on global test data 50.244, Local accuracy on global train data 20.974, Local accuracy on local train data 95.650
Round  16, Devices participated 10, Average loss 0.223, Central accuracy on global test data 56.191, Ensemble accuracy on global test data 56.738, Local accuracy on global train data 23.457, Local accuracy on local train data 94.283
