python main_dfan_ensemble2.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 0 --async_s2d 1 

Round   0, Devices participated 10, Average loss 0.255, Central accuracy on global test data 26.924, Ensemble accuracy on global test data 31.211, Local accuracy on global train data 19.753, Local accuracy on local train data 92.417
Round   1, Devices participated 10, Average loss 0.220, Central accuracy on global test data 27.949, Ensemble accuracy on global test data 27.988, Local accuracy on global train data 17.483, Local accuracy on local train data 92.750
Round   2, Devices participated 10, Average loss 0.249, Central accuracy on global test data 31.768, Ensemble accuracy on global test data 31.689, Local accuracy on global train data 20.542, Local accuracy on local train data 92.883
Round   3, Devices participated 10, Average loss 0.255, Central accuracy on global test data 34.141, Ensemble accuracy on global test data 35.146, Local accuracy on global train data 20.986, Local accuracy on local train data 92.750
Round   4, Devices participated 10, Average loss 0.205, Central accuracy on global test data 27.471, Ensemble accuracy on global test data 27.500, Local accuracy on global train data 19.250, Local accuracy on local train data 94.517
Round   5, Devices participated 10, Average loss 0.251, Central accuracy on global test data 33.096, Ensemble accuracy on global test data 32.969, Local accuracy on global train data 20.776, Local accuracy on local train data 93.883
Round   6, Devices participated 10, Average loss 0.238, Central accuracy on global test data 37.441, Ensemble accuracy on global test data 35.693, Local accuracy on global train data 20.688, Local accuracy on local train data 93.867
Round   7, Devices participated 10, Average loss 0.295, Central accuracy on global test data 38.545, Ensemble accuracy on global test data 42.109, Local accuracy on global train data 21.165, Local accuracy on local train data 92.667
Round   8, Devices participated 10, Average loss 0.216, Central accuracy on global test data 45.488, Ensemble accuracy on global test data 46.738, Local accuracy on global train data 20.886, Local accuracy on local train data 94.200
Round   9, Devices participated 10, Average loss 0.269, Central accuracy on global test data 46.543, Ensemble accuracy on global test data 45.234, Local accuracy on global train data 21.858, Local accuracy on local train data 93.700
Round  10, Devices participated 10, Average loss 0.219, Central accuracy on global test data 47.568, Ensemble accuracy on global test data 46.680, Local accuracy on global train data 21.907, Local accuracy on local train data 94.683
Round  11, Devices participated 10, Average loss 0.160, Central accuracy on global test data 42.617, Ensemble accuracy on global test data 43.584, Local accuracy on global train data 21.790, Local accuracy on local train data 96.067
Round  12, Devices participated 10, Average loss 0.260, Central accuracy on global test data 29.102, Ensemble accuracy on global test data 31.504, Local accuracy on global train data 20.876, Local accuracy on local train data 92.983
Round  13, Devices participated 10, Average loss 0.227, Central accuracy on global test data 49.170, Ensemble accuracy on global test data 47.549, Local accuracy on global train data 21.021, Local accuracy on local train data 94.000
Round  14, Devices participated 10, Average loss 0.242, Central accuracy on global test data 50.869, Ensemble accuracy on global test data 50.723, Local accuracy on global train data 24.045, Local accuracy on local train data 93.767
Round  15, Devices participated 10, Average loss 0.192, Central accuracy on global test data 51.094, Ensemble accuracy on global test data 50.742, Local accuracy on global train data 21.472, Local accuracy on local train data 95.467
Round  16, Devices participated 10, Average loss 0.230, Central accuracy on global test data 55.576, Ensemble accuracy on global test data 55.703, Local accuracy on global train data 23.862, Local accuracy on local train data 94.050
Round  17, Devices participated 10, Average loss 0.215, Central accuracy on global test data 55.811, Ensemble accuracy on global test data 59.893, Local accuracy on global train data 23.462, Local accuracy on local train data 94.817
Round  18, Devices participated 10, Average loss 0.271, Central accuracy on global test data 56.934, Ensemble accuracy on global test data 56.777, Local accuracy on global train data 22.451, Local accuracy on local train data 93.383
Round  19, Devices participated 10, Average loss 0.147, Central accuracy on global test data 60.107, Ensemble accuracy on global test data 59.961, Local accuracy on global train data 24.880, Local accuracy on local train data 96.400
Round  20, Devices participated 10, Average loss 0.219, Central accuracy on global test data 47.910, Ensemble accuracy on global test data 48.213, Local accuracy on global train data 25.017, Local accuracy on local train data 95.483
Round  21, Devices participated 10, Average loss 0.160, Central accuracy on global test data 53.672, Ensemble accuracy on global test data 53.662, Local accuracy on global train data 23.394, Local accuracy on local train data 95.967
Round  22, Devices participated 10, Average loss 0.172, Central accuracy on global test data 61.055, Ensemble accuracy on global test data 60.508, Local accuracy on global train data 27.634, Local accuracy on local train data 95.583
Round  23, Devices participated 10, Average loss 0.215, Central accuracy on global test data 46.064, Ensemble accuracy on global test data 44.258, Local accuracy on global train data 27.542, Local accuracy on local train data 95.333
