python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --async_s2d 1 --weight_init kaiming --bias_init zeros

Round   0, Devices participated 10, Average loss 0.194, Central accuracy on global test data 25.625, Ensemble accuracy on global test data 24.883, Local accuracy on global train data 19.714, Local accuracy on local train data 93.417
Round   1, Devices participated 10, Average loss 0.220, Central accuracy on global test data 32.549, Ensemble accuracy on global test data 32.256, Local accuracy on global train data 17.385, Local accuracy on local train data 92.883
Round   2, Devices participated 10, Average loss 0.203, Central accuracy on global test data 32.441, Ensemble accuracy on global test data 32.480, Local accuracy on global train data 20.422, Local accuracy on local train data 93.900
Round   3, Devices participated 10, Average loss 0.224, Central accuracy on global test data 39.609, Ensemble accuracy on global test data 39.326, Local accuracy on global train data 20.620, Local accuracy on local train data 93.367
Round   4, Devices participated 10, Average loss 0.155, Central accuracy on global test data 28.691, Ensemble accuracy on global test data 33.848, Local accuracy on global train data 18.696, Local accuracy on local train data 94.917
Round   5, Devices participated 10, Average loss 0.222, Central accuracy on global test data 35.537, Ensemble accuracy on global test data 34.629, Local accuracy on global train data 20.637, Local accuracy on local train data 93.900
Round   6, Devices participated 10, Average loss 0.233, Central accuracy on global test data 40.713, Ensemble accuracy on global test data 37.549, Local accuracy on global train data 19.990, Local accuracy on local train data 94.367
Round   7, Devices participated 10, Average loss 0.251, Central accuracy on global test data 44.834, Ensemble accuracy on global test data 45.332, Local accuracy on global train data 21.531, Local accuracy on local train data 93.267
Round   8, Devices participated 10, Average loss 0.187, Central accuracy on global test data 56.738, Ensemble accuracy on global test data 54.590, Local accuracy on global train data 20.771, Local accuracy on local train data 95.333
Round   9, Devices participated 10, Average loss 0.257, Central accuracy on global test data 46.895, Ensemble accuracy on global test data 45.596, Local accuracy on global train data 22.141, Local accuracy on local train data 94.367
Round  10, Devices participated 10, Average loss 0.207, Central accuracy on global test data 51.738, Ensemble accuracy on global test data 51.699, Local accuracy on global train data 22.185, Local accuracy on local train data 94.700
Round  11, Devices participated 10, Average loss 0.176, Central accuracy on global test data 50.000, Ensemble accuracy on global test data 48.574, Local accuracy on global train data 22.703, Local accuracy on local train data 95.983
Round  12, Devices participated 10, Average loss 0.223, Central accuracy on global test data 49.434, Ensemble accuracy on global test data 47.812, Local accuracy on global train data 21.392, Local accuracy on local train data 93.833
Round  13, Devices participated 10, Average loss 0.241, Central accuracy on global test data 56.084, Ensemble accuracy on global test data 55.928, Local accuracy on global train data 20.173, Local accuracy on local train data 94.400
Round  14, Devices participated 10, Average loss 0.268, Central accuracy on global test data 62.480, Ensemble accuracy on global test data 58.584, Local accuracy on global train data 25.212, Local accuracy on local train data 94.000
Round  15, Devices participated 10, Average loss 0.208, Central accuracy on global test data 54.121, Ensemble accuracy on global test data 51.943, Local accuracy on global train data 21.060, Local accuracy on local train data 95.400
Round  16, Devices participated 10, Average loss 0.238, Central accuracy on global test data 57.051, Ensemble accuracy on global test data 58.271, Local accuracy on global train data 23.623, Local accuracy on local train data 94.350
Round  17, Devices participated 10, Average loss 0.209, Central accuracy on global test data 66.553, Ensemble accuracy on global test data 67.080, Local accuracy on global train data 26.494, Local accuracy on local train data 95.450
Round  18, Devices participated 10, Average loss 0.247, Central accuracy on global test data 59.893, Ensemble accuracy on global test data 58.730, Local accuracy on global train data 24.236, Local accuracy on local train data 93.900
Round  19, Devices participated 10, Average loss 0.144, Central accuracy on global test data 66.045, Ensemble accuracy on global test data 66.260, Local accuracy on global train data 27.703, Local accuracy on local train data 97.167
Round  20, Devices participated 10, Average loss 0.193, Central accuracy on global test data 43.877, Ensemble accuracy on global test data 43.486, Local accuracy on global train data 25.208, Local accuracy on local train data 95.683
