python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 0 --async_s2d 1 --weight_init random --bias_init random

Round   0, Devices participated 10, Average loss 0.588, Central accuracy on global test data 27.070, Ensemble accuracy on global test data 27.646, Local accuracy on global train data 19.548, Local accuracy on local train data 89.167
Round   1, Devices participated 10, Average loss 0.454, Central accuracy on global test data 28.359, Ensemble accuracy on global test data 27.021, Local accuracy on global train data 20.186, Local accuracy on local train data 90.000
Round   2, Devices participated 10, Average loss 0.520, Central accuracy on global test data 48.936, Ensemble accuracy on global test data 49.453, Local accuracy on global train data 22.090, Local accuracy on local train data 91.817
Round   3, Devices participated 10, Average loss 0.516, Central accuracy on global test data 54.883, Ensemble accuracy on global test data 53.877, Local accuracy on global train data 22.817, Local accuracy on local train data 89.200
Round   4, Devices participated 10, Average loss 0.446, Central accuracy on global test data 44.580, Ensemble accuracy on global test data 47.129, Local accuracy on global train data 21.482, Local accuracy on local train data 91.733
Round   5, Devices participated 10, Average loss 0.511, Central accuracy on global test data 52.646, Ensemble accuracy on global test data 51.465, Local accuracy on global train data 27.500, Local accuracy on local train data 91.783
Round   6, Devices participated 10, Average loss 0.409, Central accuracy on global test data 66.045, Ensemble accuracy on global test data 63.525, Local accuracy on global train data 26.316, Local accuracy on local train data 92.417
Round   7, Devices participated 10, Average loss 0.462, Central accuracy on global test data 60.244, Ensemble accuracy on global test data 59.141, Local accuracy on global train data 28.306, Local accuracy on local train data 90.833
Round   8, Devices participated 10, Average loss 0.382, Central accuracy on global test data 69.834, Ensemble accuracy on global test data 71.182, Local accuracy on global train data 35.088, Local accuracy on local train data 93.500
Round   9, Devices participated 10, Average loss 0.388, Central accuracy on global test data 65.127, Ensemble accuracy on global test data 67.637, Local accuracy on global train data 35.513, Local accuracy on local train data 93.700
Round  10, Devices participated 10, Average loss 0.374, Central accuracy on global test data 66.553, Ensemble accuracy on global test data 63.750, Local accuracy on global train data 33.164, Local accuracy on local train data 94.050
Round  11, Devices participated 10, Average loss 0.217, Central accuracy on global test data 69.590, Ensemble accuracy on global test data 70.205, Local accuracy on global train data 39.490, Local accuracy on local train data 96.350
Round  12, Devices participated 10, Average loss 0.502, Central accuracy on global test data 57.246, Ensemble accuracy on global test data 59.639, Local accuracy on global train data 27.109, Local accuracy on local train data 89.450
