python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 5 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200  --nn_refresh 0 --async_s2d 1 --weight_init random --bias_init random

Round   0, Devices participated 10, Average loss 0.153, Central accuracy on global test data 30.156, Ensemble accuracy on global test data 31.445, Local accuracy on global train data 20.139, Local accuracy on local train data 97.073
Round   1, Devices participated 10, Average loss 0.131, Central accuracy on global test data 24.590, Ensemble accuracy on global test data 24.043, Local accuracy on global train data 19.849, Local accuracy on local train data 96.783
Round   2, Devices participated 10, Average loss 0.144, Central accuracy on global test data 45.430, Ensemble accuracy on global test data 47.139, Local accuracy on global train data 22.461, Local accuracy on local train data 96.950
Round   3, Devices participated 10, Average loss 0.137, Central accuracy on global test data 52.070, Ensemble accuracy on global test data 51.768, Local accuracy on global train data 22.996, Local accuracy on local train data 96.850
Round   4, Devices participated 10, Average loss 0.116, Central accuracy on global test data 50.420, Ensemble accuracy on global test data 52.822, Local accuracy on global train data 20.701, Local accuracy on local train data 97.647
Round   5, Devices participated 10, Average loss 0.130, Central accuracy on global test data 50.508, Ensemble accuracy on global test data 50.449, Local accuracy on global train data 27.578, Local accuracy on local train data 97.413
Round   6, Devices participated 10, Average loss 0.096, Central accuracy on global test data 57.939, Ensemble accuracy on global test data 55.146, Local accuracy on global train data 26.836, Local accuracy on local train data 97.973
Round   7, Devices participated 10, Average loss 0.118, Central accuracy on global test data 63.193, Ensemble accuracy on global test data 64.854, Local accuracy on global train data 29.062, Local accuracy on local train data 97.197
Round   8, Devices participated 10, Average loss 0.097, Central accuracy on global test data 70.537, Ensemble accuracy on global test data 71.992, Local accuracy on global train data 34.509, Local accuracy on local train data 98.083
Round   9, Devices participated 10, Average loss 0.101, Central accuracy on global test data 71.396, Ensemble accuracy on global test data 71.494, Local accuracy on global train data 35.767, Local accuracy on local train data 97.957
Round  10, Devices participated 10, Average loss 0.075, Central accuracy on global test data 63.506, Ensemble accuracy on global test data 63.838, Local accuracy on global train data 35.383, Local accuracy on local train data 98.480
Round  11, Devices participated 10, Average loss 0.044, Central accuracy on global test data 65.273, Ensemble accuracy on global test data 66.211, Local accuracy on global train data 39.294, Local accuracy on local train data 99.113
Round  12, Devices participated 10, Average loss 0.139, Central accuracy on global test data 58.125, Ensemble accuracy on global test data 57.109, Local accuracy on global train data 27.415, Local accuracy on local train data 96.983
Round  13, Devices participated 10, Average loss 0.106, Central accuracy on global test data 69.980, Ensemble accuracy on global test data 70.137, Local accuracy on global train data 33.628, Local accuracy on local train data 98.097
