python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 20 --frac 0.1 --local_ep 5 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200  --nn_refresh 0 --async_s2d 1 --weight_init random --bias_init random

Round   0, Devices participated 10, Average loss 0.269, Central accuracy on global test data 29.150, Ensemble accuracy on global test data 29.531, Local accuracy on global train data 20.081, Local accuracy on local train data 95.567
Round   1, Devices participated 10, Average loss 0.211, Central accuracy on global test data 28.262, Ensemble accuracy on global test data 27.002, Local accuracy on global train data 20.583, Local accuracy on local train data 95.473
Round   2, Devices participated 10, Average loss 0.244, Central accuracy on global test data 51.172, Ensemble accuracy on global test data 51.885, Local accuracy on global train data 22.263, Local accuracy on local train data 95.673
Round   3, Devices participated 10, Average loss 0.229, Central accuracy on global test data 53.662, Ensemble accuracy on global test data 54.004, Local accuracy on global train data 23.733, Local accuracy on local train data 95.610
Round   4, Devices participated 10, Average loss 0.198, Central accuracy on global test data 51.562, Ensemble accuracy on global test data 53.311, Local accuracy on global train data 22.368, Local accuracy on local train data 96.503
Round   5, Devices participated 10, Average loss 0.209, Central accuracy on global test data 53.213, Ensemble accuracy on global test data 52.842, Local accuracy on global train data 27.961, Local accuracy on local train data 96.623
Round   6, Devices participated 10, Average loss 0.159, Central accuracy on global test data 64.473, Ensemble accuracy on global test data 61.006, Local accuracy on global train data 27.778, Local accuracy on local train data 97.173
Round   7, Devices participated 10, Average loss 0.196, Central accuracy on global test data 64.502, Ensemble accuracy on global test data 65.732, Local accuracy on global train data 30.535, Local accuracy on local train data 95.863
Round   8, Devices participated 10, Average loss 0.139, Central accuracy on global test data 73.027, Ensemble accuracy on global test data 72.988, Local accuracy on global train data 37.644, Local accuracy on local train data 97.220
Round   9, Devices participated 10, Average loss 0.141, Central accuracy on global test data 71.113, Ensemble accuracy on global test data 73.408, Local accuracy on global train data 39.170, Local accuracy on local train data 97.257
Round  10, Devices participated 10, Average loss 0.110, Central accuracy on global test data 67.646, Ensemble accuracy on global test data 66.973, Local accuracy on global train data 37.554, Local accuracy on local train data 97.860
Round  11, Devices participated 10, Average loss 0.071, Central accuracy on global test data 69.668, Ensemble accuracy on global test data 71.133, Local accuracy on global train data 42.937, Local accuracy on local train data 98.777
Round  12, Devices participated 10, Average loss 0.222, Central accuracy on global test data 59.912, Ensemble accuracy on global test data 62.803, Local accuracy on global train data 28.933, Local accuracy on local train data 95.673
Round  13, Devices participated 10, Average loss 0.129, Central accuracy on global test data 71.533, Ensemble accuracy on global test data 73.311, Local accuracy on global train data 36.438, Local accuracy on local train data 97.797
Round  14, Devices participated 10, Average loss 0.176, Central accuracy on global test data 75.410, Ensemble accuracy on global test data 75.977, Local accuracy on global train data 43.357, Local accuracy on local train data 96.880
Round  15, Devices participated 10, Average loss 0.120, Central accuracy on global test data 75.020, Ensemble accuracy on global test data 74.619, Local accuracy on global train data 42.998, Local accuracy on local train data 98.210
Round  16, Devices participated 10, Average loss 0.162, Central accuracy on global test data 73.018, Ensemble accuracy on global test data 73.867, Local accuracy on global train data 41.062, Local accuracy on local train data 97.210
Round  17, Devices participated 10, Average loss 0.122, Central accuracy on global test data 81.318, Ensemble accuracy on global test data 80.762, Local accuracy on global train data 44.822, Local accuracy on local train data 98.097
Round  18, Devices participated 10, Average loss 0.163, Central accuracy on global test data 71.562, Ensemble accuracy on global test data 72.881, Local accuracy on global train data 43.921, Local accuracy on local train data 97.293
Round  19, Devices participated 10, Average loss 0.080, Central accuracy on global test data 76.348, Ensemble accuracy on global test data 76.240, Local accuracy on global train data 51.501, Local accuracy on local train data 98.943
Round  20, Devices participated 10, Average loss 0.101, Central accuracy on global test data 66.387, Ensemble accuracy on global test data 67.090, Local accuracy on global train data 46.929, Local accuracy on local train data 98.430
Round  21, Devices participated 10, Average loss 0.127, Central accuracy on global test data 73.760, Ensemble accuracy on global test data 74.658, Local accuracy on global train data 40.813, Local accuracy on local train data 97.737
Round  22, Devices participated 10, Average loss 0.112, Central accuracy on global test data 78.604, Ensemble accuracy on global test data 78.965, Local accuracy on global train data 54.580, Local accuracy on local train data 97.920
Round  23, Devices participated 10, Average loss 0.119, Central accuracy on global test data 68.018, Ensemble accuracy on global test data 66.494, Local accuracy on global train data 53.479, Local accuracy on local train data 98.440
Round  24, Devices participated 10, Average loss 0.105, Central accuracy on global test data 78.438, Ensemble accuracy on global test data 78.213, Local accuracy on global train data 51.919, Local accuracy on local train data 98.637
Round  25, Devices participated 10, Average loss 0.148, Central accuracy on global test data 71.602, Ensemble accuracy on global test data 72.588, Local accuracy on global train data 37.671, Local accuracy on local train data 97.793
Round  26, Devices participated 10, Average loss 0.108, Central accuracy on global test data 82.705, Ensemble accuracy on global test data 82.520, Local accuracy on global train data 53.472, Local accuracy on local train data 98.487
Round  27, Devices participated 10, Average loss 0.116, Central accuracy on global test data 81.758, Ensemble accuracy on global test data 81.689, Local accuracy on global train data 52.996, Local accuracy on local train data 98.230
Round  28, Devices participated 10, Average loss 0.105, Central accuracy on global test data 78.613, Ensemble accuracy on global test data 79.307, Local accuracy on global train data 55.354, Local accuracy on local train data 98.567
Round  29, Devices participated 10, Average loss 0.137, Central accuracy on global test data 82.383, Ensemble accuracy on global test data 82.793, Local accuracy on global train data 52.268, Local accuracy on local train data 97.793
Round  30, Devices participated 10, Average loss 0.093, Central accuracy on global test data 79.385, Ensemble accuracy on global test data 78.145, Local accuracy on global train data 50.078, Local accuracy on local train data 98.750
Round  31, Devices participated 10, Average loss 0.091, Central accuracy on global test data 74.697, Ensemble accuracy on global test data 76.104, Local accuracy on global train data 54.294, Local accuracy on local train data 98.767
Round  32, Devices participated 10, Average loss 0.078, Central accuracy on global test data 82.441, Ensemble accuracy on global test data 82.021, Local accuracy on global train data 54.912, Local accuracy on local train data 98.947
Round  33, Devices participated 10, Average loss 0.123, Central accuracy on global test data 78.799, Ensemble accuracy on global test data 79.277, Local accuracy on global train data 54.644, Local accuracy on local train data 98.507
Round  34, Devices participated 10, Average loss 0.064, Central accuracy on global test data 81.152, Ensemble accuracy on global test data 81.172, Local accuracy on global train data 53.892, Local accuracy on local train data 99.163
Round  35, Devices participated 10, Average loss 0.117, Central accuracy on global test data 82.041, Ensemble accuracy on global test data 82.715, Local accuracy on global train data 49.519, Local accuracy on local train data 98.463
Round  36, Devices participated 10, Average loss 0.111, Central accuracy on global test data 82.861, Ensemble accuracy on global test data 83.115, Local accuracy on global train data 58.254, Local accuracy on local train data 98.523
Round  37, Devices participated 10, Average loss 0.142, Central accuracy on global test data 81.602, Ensemble accuracy on global test data 82.744, Local accuracy on global train data 59.941, Local accuracy on local train data 97.947
Round  38, Devices participated 10, Average loss 0.104, Central accuracy on global test data 81.523, Ensemble accuracy on global test data 81.875, Local accuracy on global train data 55.178, Local accuracy on local train data 98.593
Round  39, Devices participated 10, Average loss 0.099, Central accuracy on global test data 78.740, Ensemble accuracy on global test data 80.166, Local accuracy on global train data 54.575, Local accuracy on local train data 98.597
Round  40, Devices participated 10, Average loss 0.123, Central accuracy on global test data 81.943, Ensemble accuracy on global test data 82.637, Local accuracy on global train data 50.723, Local accuracy on local train data 98.343
Round  41, Devices participated 10, Average loss 0.122, Central accuracy on global test data 81.787, Ensemble accuracy on global test data 82.041, Local accuracy on global train data 59.275, Local accuracy on local train data 98.443
Round  42, Devices participated 10, Average loss 0.095, Central accuracy on global test data 81.260, Ensemble accuracy on global test data 82.314, Local accuracy on global train data 52.295, Local accuracy on local train data 98.660
Round  43, Devices participated 10, Average loss 0.126, Central accuracy on global test data 82.197, Ensemble accuracy on global test data 83.057, Local accuracy on global train data 53.696, Local accuracy on local train data 98.687
Round  44, Devices participated 10, Average loss 0.138, Central accuracy on global test data 79.121, Ensemble accuracy on global test data 80.596, Local accuracy on global train data 56.475, Local accuracy on local train data 98.137
Round  45, Devices participated 10, Average loss 0.113, Central accuracy on global test data 82.695, Ensemble accuracy on global test data 83.066, Local accuracy on global train data 62.546, Local accuracy on local train data 98.573
Round  46, Devices participated 10, Average loss 0.146, Central accuracy on global test data 81.367, Ensemble accuracy on global test data 82.031, Local accuracy on global train data 62.261, Local accuracy on local train data 98.293
Round  47, Devices participated 10, Average loss 0.086, Central accuracy on global test data 82.119, Ensemble accuracy on global test data 82.178, Local accuracy on global train data 57.798, Local accuracy on local train data 99.117
Round  48, Devices participated 10, Average loss 0.119, Central accuracy on global test data 81.367, Ensemble accuracy on global test data 82.402, Local accuracy on global train data 62.708, Local accuracy on local train data 98.390
Round  49, Devices participated 10, Average loss 0.093, Central accuracy on global test data 81.709, Ensemble accuracy on global test data 82.295, Local accuracy on global train data 62.854, Local accuracy on local train data 98.860
Round  50, Devices participated 10, Average loss 0.108, Central accuracy on global test data 81.631, Ensemble accuracy on global test data 81.592, Local accuracy on global train data 60.500, Local accuracy on local train data 98.630
Round  51, Devices participated 10, Average loss 0.112, Central accuracy on global test data 84.463, Ensemble accuracy on global test data 84.580, Local accuracy on global train data 64.275, Local accuracy on local train data 98.653
Round  52, Devices participated 10, Average loss 0.126, Central accuracy on global test data 83.076, Ensemble accuracy on global test data 82.510, Local accuracy on global train data 56.057, Local accuracy on local train data 98.533
Round  53, Devices participated 10, Average loss 0.102, Central accuracy on global test data 82.188, Ensemble accuracy on global test data 81.309, Local accuracy on global train data 58.538, Local accuracy on local train data 98.773
Round  54, Devices participated 10, Average loss 0.069, Central accuracy on global test data 80.361, Ensemble accuracy on global test data 80.732, Local accuracy on global train data 56.646, Local accuracy on local train data 99.167
Round  55, Devices participated 10, Average loss 0.105, Central accuracy on global test data 84.600, Ensemble accuracy on global test data 84.268, Local accuracy on global train data 57.244, Local accuracy on local train data 98.733
Round  56, Devices participated 10, Average loss 0.111, Central accuracy on global test data 83.223, Ensemble accuracy on global test data 83.193, Local accuracy on global train data 62.734, Local accuracy on local train data 98.643
Round  57, Devices participated 10, Average loss 0.103, Central accuracy on global test data 83.252, Ensemble accuracy on global test data 83.174, Local accuracy on global train data 60.232, Local accuracy on local train data 98.763
Round  58, Devices participated 10, Average loss 0.111, Central accuracy on global test data 83.896, Ensemble accuracy on global test data 83.955, Local accuracy on global train data 56.262, Local accuracy on local train data 98.470
Round  59, Devices participated 10, Average loss 0.093, Central accuracy on global test data 83.496, Ensemble accuracy on global test data 83.779, Local accuracy on global train data 63.513, Local accuracy on local train data 98.853
Round  60, Devices participated 10, Average loss 0.115, Central accuracy on global test data 83.760, Ensemble accuracy on global test data 82.979, Local accuracy on global train data 57.329, Local accuracy on local train data 98.533
Round  61, Devices participated 10, Average loss 0.083, Central accuracy on global test data 83.057, Ensemble accuracy on global test data 82.705, Local accuracy on global train data 58.411, Local accuracy on local train data 98.870
Round  62, Devices participated 10, Average loss 0.101, Central accuracy on global test data 83.379, Ensemble accuracy on global test data 83.340, Local accuracy on global train data 59.656, Local accuracy on local train data 98.820
Round  63, Devices participated 10, Average loss 0.091, Central accuracy on global test data 84.404, Ensemble accuracy on global test data 84.014, Local accuracy on global train data 59.929, Local accuracy on local train data 98.717
Round  64, Devices participated 10, Average loss 0.093, Central accuracy on global test data 79.980, Ensemble accuracy on global test data 79.756, Local accuracy on global train data 60.132, Local accuracy on local train data 98.603
Round  65, Devices participated 10, Average loss 0.129, Central accuracy on global test data 84.199, Ensemble accuracy on global test data 84.062, Local accuracy on global train data 67.610, Local accuracy on local train data 98.350
Round  66, Devices participated 10, Average loss 0.097, Central accuracy on global test data 83.574, Ensemble accuracy on global test data 83.838, Local accuracy on global train data 64.058, Local accuracy on local train data 98.630
Round  67, Devices participated 10, Average loss 0.087, Central accuracy on global test data 83.965, Ensemble accuracy on global test data 84.160, Local accuracy on global train data 60.825, Local accuracy on local train data 98.863
Round  68, Devices participated 10, Average loss 0.062, Central accuracy on global test data 84.658, Ensemble accuracy on global test data 84.580, Local accuracy on global train data 64.563, Local accuracy on local train data 99.163
Round  69, Devices participated 10, Average loss 0.068, Central accuracy on global test data 79.854, Ensemble accuracy on global test data 79.727, Local accuracy on global train data 58.674, Local accuracy on local train data 99.060
Round  70, Devices participated 10, Average loss 0.092, Central accuracy on global test data 83.643, Ensemble accuracy on global test data 83.730, Local accuracy on global train data 64.307, Local accuracy on local train data 98.620
Round  71, Devices participated 10, Average loss 0.084, Central accuracy on global test data 83.721, Ensemble accuracy on global test data 84.092, Local accuracy on global train data 63.921, Local accuracy on local train data 98.957
Round  72, Devices participated 10, Average loss 0.095, Central accuracy on global test data 83.828, Ensemble accuracy on global test data 84.453, Local accuracy on global train data 64.304, Local accuracy on local train data 98.723
Round  73, Devices participated 10, Average loss 0.065, Central accuracy on global test data 83.994, Ensemble accuracy on global test data 84.229, Local accuracy on global train data 65.730, Local accuracy on local train data 99.127
Round  74, Devices participated 10, Average loss 0.114, Central accuracy on global test data 82.969, Ensemble accuracy on global test data 83.350, Local accuracy on global train data 62.256, Local accuracy on local train data 98.510
Round  75, Devices participated 10, Average loss 0.109, Central accuracy on global test data 83.945, Ensemble accuracy on global test data 83.799, Local accuracy on global train data 61.838, Local accuracy on local train data 98.543
Round  76, Devices participated 10, Average loss 0.108, Central accuracy on global test data 83.457, Ensemble accuracy on global test data 84.033, Local accuracy on global train data 63.704, Local accuracy on local train data 98.593
Round  77, Devices participated 10, Average loss 0.094, Central accuracy on global test data 85.537, Ensemble accuracy on global test data 85.332, Local accuracy on global train data 61.873, Local accuracy on local train data 98.557
Round  78, Devices participated 10, Average loss 0.080, Central accuracy on global test data 84.297, Ensemble accuracy on global test data 84.482, Local accuracy on global train data 60.171, Local accuracy on local train data 99.040
Round  79, Devices participated 10, Average loss 0.100, Central accuracy on global test data 84.199, Ensemble accuracy on global test data 84.600, Local accuracy on global train data 62.744, Local accuracy on local train data 98.693
Round  80, Devices participated 10, Average loss 0.116, Central accuracy on global test data 84.404, Ensemble accuracy on global test data 84.297, Local accuracy on global train data 65.413, Local accuracy on local train data 98.487
Round  81, Devices participated 10, Average loss 0.087, Central accuracy on global test data 83.662, Ensemble accuracy on global test data 83.604, Local accuracy on global train data 64.688, Local accuracy on local train data 98.837
Round  82, Devices participated 10, Average loss 0.083, Central accuracy on global test data 84.395, Ensemble accuracy on global test data 84.189, Local accuracy on global train data 62.319, Local accuracy on local train data 99.037
Round  83, Devices participated 10, Average loss 0.097, Central accuracy on global test data 85.654, Ensemble accuracy on global test data 85.635, Local accuracy on global train data 61.616, Local accuracy on local train data 98.847
Round  84, Devices participated 10, Average loss 0.109, Central accuracy on global test data 83.096, Ensemble accuracy on global test data 82.988, Local accuracy on global train data 67.021, Local accuracy on local train data 98.343
Round  85, Devices participated 10, Average loss 0.097, Central accuracy on global test data 84.307, Ensemble accuracy on global test data 84.336, Local accuracy on global train data 64.526, Local accuracy on local train data 98.663
Round  86, Devices participated 10, Average loss 0.069, Central accuracy on global test data 84.600, Ensemble accuracy on global test data 84.990, Local accuracy on global train data 65.200, Local accuracy on local train data 99.123
Round  87, Devices participated 10, Average loss 0.105, Central accuracy on global test data 82.520, Ensemble accuracy on global test data 82.480, Local accuracy on global train data 60.581, Local accuracy on local train data 98.777
Round  88, Devices participated 10, Average loss 0.064, Central accuracy on global test data 84.805, Ensemble accuracy on global test data 84.951, Local accuracy on global train data 63.523, Local accuracy on local train data 99.220
Round  89, Devices participated 10, Average loss 0.073, Central accuracy on global test data 81.387, Ensemble accuracy on global test data 81.836, Local accuracy on global train data 67.168, Local accuracy on local train data 99.087
Round  90, Devices participated 10, Average loss 0.086, Central accuracy on global test data 83.271, Ensemble accuracy on global test data 82.803, Local accuracy on global train data 58.894, Local accuracy on local train data 98.807
Round  91, Devices participated 10, Average loss 0.138, Central accuracy on global test data 85.146, Ensemble accuracy on global test data 85.166, Local accuracy on global train data 62.937, Local accuracy on local train data 98.207
Round  92, Devices participated 10, Average loss 0.080, Central accuracy on global test data 85.518, Ensemble accuracy on global test data 85.645, Local accuracy on global train data 66.421, Local accuracy on local train data 98.980
Round  93, Devices participated 10, Average loss 0.068, Central accuracy on global test data 83.203, Ensemble accuracy on global test data 83.574, Local accuracy on global train data 63.108, Local accuracy on local train data 98.953
Round  94, Devices participated 10, Average loss 0.078, Central accuracy on global test data 84.385, Ensemble accuracy on global test data 84.277, Local accuracy on global train data 63.540, Local accuracy on local train data 99.043
Round  95, Devices participated 10, Average loss 0.076, Central accuracy on global test data 81.787, Ensemble accuracy on global test data 81.426, Local accuracy on global train data 67.627, Local accuracy on local train data 99.130
Round  96, Devices participated 10, Average loss 0.111, Central accuracy on global test data 84.688, Ensemble accuracy on global test data 84.707, Local accuracy on global train data 68.481, Local accuracy on local train data 98.283
Round  97, Devices participated 10, Average loss 0.089, Central accuracy on global test data 83.887, Ensemble accuracy on global test data 83.662, Local accuracy on global train data 62.095, Local accuracy on local train data 98.630
Round  98, Devices participated 10, Average loss 0.080, Central accuracy on global test data 82.910, Ensemble accuracy on global test data 82.656, Local accuracy on global train data 62.397, Local accuracy on local train data 98.977
Round  99, Devices participated 10, Average loss 0.128, Central accuracy on global test data 83.643, Ensemble accuracy on global test data 83.271, Local accuracy on global train data 62.161, Local accuracy on local train data 98.367
Round 100, Devices participated 10, Average loss 0.067, Central accuracy on global test data 85.488, Ensemble accuracy on global test data 85.156, Local accuracy on global train data 65.347, Local accuracy on local train data 99.157
Round 101, Devices participated 10, Average loss 0.090, Central accuracy on global test data 83.262, Ensemble accuracy on global test data 83.555, Local accuracy on global train data 61.975, Local accuracy on local train data 98.670
Round 102, Devices participated 10, Average loss 0.122, Central accuracy on global test data 84.346, Ensemble accuracy on global test data 84.346, Local accuracy on global train data 61.077, Local accuracy on local train data 98.230
Round 103, Devices participated 10, Average loss 0.094, Central accuracy on global test data 84.131, Ensemble accuracy on global test data 84.238, Local accuracy on global train data 64.492, Local accuracy on local train data 98.687
Round 104, Devices participated 10, Average loss 0.080, Central accuracy on global test data 85.537, Ensemble accuracy on global test data 85.469, Local accuracy on global train data 65.085, Local accuracy on local train data 99.030
Round 105, Devices participated 10, Average loss 0.104, Central accuracy on global test data 84.795, Ensemble accuracy on global test data 85.000, Local accuracy on global train data 62.822, Local accuracy on local train data 98.547
Round 106, Devices participated 10, Average loss 0.097, Central accuracy on global test data 84.385, Ensemble accuracy on global test data 84.756, Local accuracy on global train data 67.908, Local accuracy on local train data 98.750
Round 107, Devices participated 10, Average loss 0.111, Central accuracy on global test data 73.242, Ensemble accuracy on global test data 74.297, Local accuracy on global train data 63.037, Local accuracy on local train data 98.627
Round 108, Devices participated 10, Average loss 0.081, Central accuracy on global test data 82.480, Ensemble accuracy on global test data 81.738, Local accuracy on global train data 62.273, Local accuracy on local train data 98.937
Round 109, Devices participated 10, Average loss 0.103, Central accuracy on global test data 85.576, Ensemble accuracy on global test data 85.586, Local accuracy on global train data 67.476, Local accuracy on local train data 98.370
Round 110, Devices participated 10, Average loss 0.071, Central accuracy on global test data 85.811, Ensemble accuracy on global test data 85.771, Local accuracy on global train data 66.584, Local accuracy on local train data 98.977
Round 111, Devices participated 10, Average loss 0.080, Central accuracy on global test data 82.891, Ensemble accuracy on global test data 82.852, Local accuracy on global train data 68.914, Local accuracy on local train data 98.953
Round 112, Devices participated 10, Average loss 0.089, Central accuracy on global test data 82.881, Ensemble accuracy on global test data 83.184, Local accuracy on global train data 58.975, Local accuracy on local train data 98.783
