python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --async_s2d 1 

Round   0, Devices participated 10, Average loss 0.225, Central accuracy on global test data 27.109, Local accuracy on global train data 19.346, Local accuracy on local train data 93.000
Round   1, Devices participated 10, Average loss 0.236, Central accuracy on global test data 26.631, Local accuracy on global train data 17.466, Local accuracy on local train data 92.783
Round   2, Devices participated 10, Average loss 0.217, Central accuracy on global test data 30.723, Local accuracy on global train data 19.631, Local accuracy on local train data 93.533
Round   3, Devices participated 10, Average loss 0.216, Central accuracy on global test data 32.793, Local accuracy on global train data 20.461, Local accuracy on local train data 93.317
Round   4, Devices participated 10, Average loss 0.169, Central accuracy on global test data 36.104, Local accuracy on global train data 18.889, Local accuracy on local train data 95.317
Round   5, Devices participated 10, Average loss 0.211, Central accuracy on global test data 31.904, Local accuracy on global train data 19.585, Local accuracy on local train data 94.100
Round   6, Devices participated 10, Average loss 0.188, Central accuracy on global test data 29.443, Local accuracy on global train data 19.019, Local accuracy on local train data 94.633
Round   7, Devices participated 10, Average loss 0.204, Central accuracy on global test data 43.008, Local accuracy on global train data 20.054, Local accuracy on local train data 93.667
Round   8, Devices participated 10, Average loss 0.163, Central accuracy on global test data 39.922, Local accuracy on global train data 18.889, Local accuracy on local train data 95.083
Round   9, Devices participated 10, Average loss 0.166, Central accuracy on global test data 31.836, Local accuracy on global train data 19.321, Local accuracy on local train data 94.950
Round  10, Devices participated 10, Average loss 0.154, Central accuracy on global test data 43.809, Local accuracy on global train data 18.420, Local accuracy on local train data 95.567
Round  11, Devices participated 10, Average loss 0.129, Central accuracy on global test data 45.654, Local accuracy on global train data 19.878, Local accuracy on local train data 96.750
Round  12, Devices participated 10, Average loss 0.212, Central accuracy on global test data 38.760, Local accuracy on global train data 20.381, Local accuracy on local train data 93.950
Round  13, Devices participated 10, Average loss 0.162, Central accuracy on global test data 35.234, Local accuracy on global train data 18.445, Local accuracy on local train data 95.333
Round  14, Devices participated 10, Average loss 0.172, Central accuracy on global test data 42.637, Local accuracy on global train data 19.429, Local accuracy on local train data 94.983
Round  15, Devices participated 10, Average loss 0.136, Central accuracy on global test data 47.656, Local accuracy on global train data 18.577, Local accuracy on local train data 96.150
Round  16, Devices participated 10, Average loss 0.185, Central accuracy on global test data 50.928, Local accuracy on global train data 19.292, Local accuracy on local train data 94.367
Round  17, Devices participated 10, Average loss 0.142, Central accuracy on global test data 54.736, Local accuracy on global train data 19.883, Local accuracy on local train data 96.233
Round  18, Devices participated 10, Average loss 0.169, Central accuracy on global test data 40.869, Local accuracy on global train data 19.160, Local accuracy on local train data 95.117
Round  19, Devices participated 10, Average loss 0.101, Central accuracy on global test data 52.832, Local accuracy on global train data 18.052, Local accuracy on local train data 97.233
Round  20, Devices participated 10, Average loss 0.130, Central accuracy on global test data 39.160, Local accuracy on global train data 19.844, Local accuracy on local train data 96.000
Round  21, Devices participated 10, Average loss 0.122, Central accuracy on global test data 48.281, Local accuracy on global train data 16.807, Local accuracy on local train data 96.867
Round  22, Devices participated 10, Average loss 0.118, Central accuracy on global test data 58.135, Local accuracy on global train data 19.177, Local accuracy on local train data 96.683
Round  23, Devices participated 10, Average loss 0.126, Central accuracy on global test data 29.590, Local accuracy on global train data 21.025, Local accuracy on local train data 96.983
Round  24, Devices participated 10, Average loss 0.128, Central accuracy on global test data 60.156, Local accuracy on global train data 19.492, Local accuracy on local train data 96.317
Round  25, Devices participated 10, Average loss 0.160, Central accuracy on global test data 48.457, Local accuracy on global train data 19.810, Local accuracy on local train data 95.517
Round  26, Devices participated 10, Average loss 0.138, Central accuracy on global test data 64.668, Local accuracy on global train data 18.271, Local accuracy on local train data 95.933
Round  27, Devices participated 10, Average loss 0.130, Central accuracy on global test data 48.086, Local accuracy on global train data 19.666, Local accuracy on local train data 96.350
Round  28, Devices participated 10, Average loss 0.111, Central accuracy on global test data 54.678, Local accuracy on global train data 21.208, Local accuracy on local train data 97.150
Round  29, Devices participated 10, Average loss 0.169, Central accuracy on global test data 61.113, Local accuracy on global train data 20.474, Local accuracy on local train data 94.650
Round  30, Devices participated 10, Average loss 0.107, Central accuracy on global test data 34.590, Local accuracy on global train data 17.522, Local accuracy on local train data 97.083
Round  31, Devices participated 10, Average loss 0.106, Central accuracy on global test data 42.891, Local accuracy on global train data 19.426, Local accuracy on local train data 97.050
Round  32, Devices participated 10, Average loss 0.100, Central accuracy on global test data 62.686, Local accuracy on global train data 20.342, Local accuracy on local train data 97.383
Round  33, Devices participated 10, Average loss 0.119, Central accuracy on global test data 52.705, Local accuracy on global train data 18.579, Local accuracy on local train data 96.183
Round  34, Devices participated 10, Average loss 0.068, Central accuracy on global test data 59.834, Local accuracy on global train data 16.987, Local accuracy on local train data 98.400
Round  35, Devices participated 10, Average loss 0.112, Central accuracy on global test data 59.023, Local accuracy on global train data 19.873, Local accuracy on local train data 96.867
Round  36, Devices participated 10, Average loss 0.119, Central accuracy on global test data 63.799, Local accuracy on global train data 19.956, Local accuracy on local train data 96.417
Round  37, Devices participated 10, Average loss 0.144, Central accuracy on global test data 58.623, Local accuracy on global train data 19.863, Local accuracy on local train data 95.300
Round  38, Devices participated 10, Average loss 0.108, Central accuracy on global test data 62.852, Local accuracy on global train data 19.905, Local accuracy on local train data 96.900
Round  39, Devices participated 10, Average loss 0.096, Central accuracy on global test data 53.008, Local accuracy on global train data 18.438, Local accuracy on local train data 97.133
Round  40, Devices participated 10, Average loss 0.123, Central accuracy on global test data 59.961, Local accuracy on global train data 20.300, Local accuracy on local train data 96.483
Round  41, Devices participated 10, Average loss 0.136, Central accuracy on global test data 60.781, Local accuracy on global train data 22.078, Local accuracy on local train data 95.917
Round  42, Devices participated 10, Average loss 0.104, Central accuracy on global test data 60.557, Local accuracy on global train data 18.506, Local accuracy on local train data 96.950
Round  43, Devices participated 10, Average loss 0.096, Central accuracy on global test data 72.461, Local accuracy on global train data 18.049, Local accuracy on local train data 97.383
Round  44, Devices participated 10, Average loss 0.139, Central accuracy on global test data 59.258, Local accuracy on global train data 19.824, Local accuracy on local train data 95.667
Round  45, Devices participated 10, Average loss 0.120, Central accuracy on global test data 64.238, Local accuracy on global train data 20.703, Local accuracy on local train data 96.383
Round  46, Devices participated 10, Average loss 0.147, Central accuracy on global test data 63.896, Local accuracy on global train data 22.749, Local accuracy on local train data 95.433
Round  47, Devices participated 10, Average loss 0.076, Central accuracy on global test data 64.307, Local accuracy on global train data 19.185, Local accuracy on local train data 97.967
Round  48, Devices participated 10, Average loss 0.115, Central accuracy on global test data 69.365, Local accuracy on global train data 20.884, Local accuracy on local train data 96.483
Round  49, Devices participated 10, Average loss 0.084, Central accuracy on global test data 63.438, Local accuracy on global train data 20.869, Local accuracy on local train data 98.017
Round  50, Devices participated 10, Average loss 0.109, Central accuracy on global test data 59.219, Local accuracy on global train data 20.425, Local accuracy on local train data 97.050
Round  51, Devices participated 10, Average loss 0.099, Central accuracy on global test data 76.387, Local accuracy on global train data 20.281, Local accuracy on local train data 96.883
Round  52, Devices participated 10, Average loss 0.121, Central accuracy on global test data 60.420, Local accuracy on global train data 21.406, Local accuracy on local train data 96.317
Round  53, Devices participated 10, Average loss 0.097, Central accuracy on global test data 53.291, Local accuracy on global train data 19.797, Local accuracy on local train data 97.267
Round  54, Devices participated 10, Average loss 0.078, Central accuracy on global test data 67.520, Local accuracy on global train data 20.688, Local accuracy on local train data 97.717
Round  55, Devices participated 10, Average loss 0.093, Central accuracy on global test data 71.035, Local accuracy on global train data 21.094, Local accuracy on local train data 97.567
Round  56, Devices participated 10, Average loss 0.102, Central accuracy on global test data 73.535, Local accuracy on global train data 23.279, Local accuracy on local train data 97.183
Round  57, Devices participated 10, Average loss 0.080, Central accuracy on global test data 67.666, Local accuracy on global train data 20.081, Local accuracy on local train data 97.950
Round  58, Devices participated 10, Average loss 0.104, Central accuracy on global test data 73.174, Local accuracy on global train data 19.531, Local accuracy on local train data 96.667
Round  59, Devices participated 10, Average loss 0.096, Central accuracy on global test data 72.842, Local accuracy on global train data 22.886, Local accuracy on local train data 97.200
Round  60, Devices participated 10, Average loss 0.104, Central accuracy on global test data 64.238, Local accuracy on global train data 20.862, Local accuracy on local train data 97.000
Round  61, Devices participated 10, Average loss 0.095, Central accuracy on global test data 71.279, Local accuracy on global train data 20.569, Local accuracy on local train data 97.117
Round  62, Devices participated 10, Average loss 0.082, Central accuracy on global test data 68.916, Local accuracy on global train data 21.335, Local accuracy on local train data 97.700
Round  63, Devices participated 10, Average loss 0.093, Central accuracy on global test data 71.406, Local accuracy on global train data 22.068, Local accuracy on local train data 97.383
Round  64, Devices participated 10, Average loss 0.099, Central accuracy on global test data 54.795, Local accuracy on global train data 22.175, Local accuracy on local train data 96.883
Round  65, Devices participated 10, Average loss 0.124, Central accuracy on global test data 73.643, Local accuracy on global train data 24.219, Local accuracy on local train data 96.217
Round  66, Devices participated 10, Average loss 0.096, Central accuracy on global test data 70.225, Local accuracy on global train data 24.771, Local accuracy on local train data 97.267
Round  67, Devices participated 10, Average loss 0.088, Central accuracy on global test data 74.551, Local accuracy on global train data 22.815, Local accuracy on local train data 97.350
Round  68, Devices participated 10, Average loss 0.074, Central accuracy on global test data 73.877, Local accuracy on global train data 23.862, Local accuracy on local train data 97.683
Round  69, Devices participated 10, Average loss 0.072, Central accuracy on global test data 61.367, Local accuracy on global train data 20.129, Local accuracy on local train data 98.050
Round  70, Devices participated 10, Average loss 0.098, Central accuracy on global test data 74.229, Local accuracy on global train data 24.050, Local accuracy on local train data 97.133
Round  71, Devices participated 10, Average loss 0.070, Central accuracy on global test data 74.717, Local accuracy on global train data 21.770, Local accuracy on local train data 97.783
Round  72, Devices participated 10, Average loss 0.090, Central accuracy on global test data 71.045, Local accuracy on global train data 25.508, Local accuracy on local train data 97.417
Round  73, Devices participated 10, Average loss 0.073, Central accuracy on global test data 69.404, Local accuracy on global train data 24.250, Local accuracy on local train data 98.067
Round  74, Devices participated 10, Average loss 0.097, Central accuracy on global test data 70.205, Local accuracy on global train data 21.926, Local accuracy on local train data 97.117
Round  75, Devices participated 10, Average loss 0.101, Central accuracy on global test data 74.834, Local accuracy on global train data 22.695, Local accuracy on local train data 96.900
Round  76, Devices participated 10, Average loss 0.109, Central accuracy on global test data 72.354, Local accuracy on global train data 23.767, Local accuracy on local train data 96.700
Round  77, Devices participated 10, Average loss 0.092, Central accuracy on global test data 74.648, Local accuracy on global train data 22.292, Local accuracy on local train data 97.100
Round  78, Devices participated 10, Average loss 0.081, Central accuracy on global test data 76.514, Local accuracy on global train data 23.618, Local accuracy on local train data 97.817
Round  79, Devices participated 10, Average loss 0.088, Central accuracy on global test data 78.975, Local accuracy on global train data 23.801, Local accuracy on local train data 97.467
Round  80, Devices participated 10, Average loss 0.106, Central accuracy on global test data 73.760, Local accuracy on global train data 26.699, Local accuracy on local train data 96.783
Round  81, Devices participated 10, Average loss 0.088, Central accuracy on global test data 75.400, Local accuracy on global train data 23.711, Local accuracy on local train data 97.350
Round  82, Devices participated 10, Average loss 0.072, Central accuracy on global test data 76.240, Local accuracy on global train data 24.321, Local accuracy on local train data 98.117
Round  83, Devices participated 10, Average loss 0.073, Central accuracy on global test data 73.203, Local accuracy on global train data 22.170, Local accuracy on local train data 97.883
Round  84, Devices participated 10, Average loss 0.104, Central accuracy on global test data 66.572, Local accuracy on global train data 26.619, Local accuracy on local train data 96.750
Round  85, Devices participated 10, Average loss 0.082, Central accuracy on global test data 76.982, Local accuracy on global train data 25.635, Local accuracy on local train data 97.550
