python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --async_s2d 1 --fedmas 1.0 

Round   0, Devices participated 10, Average loss 0.225, Central accuracy on global test data 27.109, Local accuracy on global train data 19.346, Local accuracy on local train data 93.000
Round   1, Devices participated 10, Average loss 0.260, Central accuracy on global test data 26.826, Local accuracy on global train data 17.329, Local accuracy on local train data 92.350
Round   2, Devices participated 10, Average loss 0.223, Central accuracy on global test data 30.654, Local accuracy on global train data 19.807, Local accuracy on local train data 93.950
Round   3, Devices participated 10, Average loss 0.236, Central accuracy on global test data 32.510, Local accuracy on global train data 20.364, Local accuracy on local train data 93.517
Round   4, Devices participated 10, Average loss 0.185, Central accuracy on global test data 35.527, Local accuracy on global train data 18.782, Local accuracy on local train data 95.417
Round   5, Devices participated 10, Average loss 0.239, Central accuracy on global test data 31.846, Local accuracy on global train data 19.778, Local accuracy on local train data 94.150
Round   6, Devices participated 10, Average loss 0.225, Central accuracy on global test data 28.662, Local accuracy on global train data 19.211, Local accuracy on local train data 94.983
Round   7, Devices participated 10, Average loss 0.248, Central accuracy on global test data 42.949, Local accuracy on global train data 20.464, Local accuracy on local train data 93.750
Round   8, Devices participated 10, Average loss 0.220, Central accuracy on global test data 40.020, Local accuracy on global train data 19.048, Local accuracy on local train data 95.300
Round   9, Devices participated 10, Average loss 0.230, Central accuracy on global test data 30.732, Local accuracy on global train data 20.142, Local accuracy on local train data 95.150
Round  10, Devices participated 10, Average loss 0.227, Central accuracy on global test data 45.234, Local accuracy on global train data 19.033, Local accuracy on local train data 95.383
Round  11, Devices participated 10, Average loss 0.200, Central accuracy on global test data 45.693, Local accuracy on global train data 19.993, Local accuracy on local train data 96.583
Round  12, Devices participated 10, Average loss 0.250, Central accuracy on global test data 37.236, Local accuracy on global train data 20.925, Local accuracy on local train data 93.667
Round  13, Devices participated 10, Average loss 0.226, Central accuracy on global test data 31.162, Local accuracy on global train data 18.511, Local accuracy on local train data 94.967
Round  14, Devices participated 10, Average loss 0.222, Central accuracy on global test data 46.689, Local accuracy on global train data 20.073, Local accuracy on local train data 94.433
Round  15, Devices participated 10, Average loss 0.200, Central accuracy on global test data 49.678, Local accuracy on global train data 18.752, Local accuracy on local train data 96.217
Round  16, Devices participated 10, Average loss 0.249, Central accuracy on global test data 49.219, Local accuracy on global train data 19.653, Local accuracy on local train data 94.033
Round  17, Devices participated 10, Average loss 0.211, Central accuracy on global test data 52.295, Local accuracy on global train data 20.010, Local accuracy on local train data 96.067
Round  18, Devices participated 10, Average loss 0.242, Central accuracy on global test data 38.691, Local accuracy on global train data 19.824, Local accuracy on local train data 94.800
Round  19, Devices participated 10, Average loss 0.168, Central accuracy on global test data 52.041, Local accuracy on global train data 19.021, Local accuracy on local train data 97.233
Round  20, Devices participated 10, Average loss 0.216, Central accuracy on global test data 44.590, Local accuracy on global train data 20.000, Local accuracy on local train data 96.200
Round  21, Devices participated 10, Average loss 0.164, Central accuracy on global test data 45.400, Local accuracy on global train data 17.402, Local accuracy on local train data 96.733
Round  22, Devices participated 10, Average loss 0.184, Central accuracy on global test data 57.607, Local accuracy on global train data 20.305, Local accuracy on local train data 96.433
Round  23, Devices participated 10, Average loss 0.202, Central accuracy on global test data 35.488, Local accuracy on global train data 21.614, Local accuracy on local train data 96.283
Round  24, Devices participated 10, Average loss 0.212, Central accuracy on global test data 61.826, Local accuracy on global train data 20.408, Local accuracy on local train data 96.050
Round  25, Devices participated 10, Average loss 0.216, Central accuracy on global test data 47.041, Local accuracy on global train data 20.361, Local accuracy on local train data 95.317
Round  26, Devices participated 10, Average loss 0.214, Central accuracy on global test data 65.244, Local accuracy on global train data 19.146, Local accuracy on local train data 95.600
Round  27, Devices participated 10, Average loss 0.196, Central accuracy on global test data 49.883, Local accuracy on global train data 20.835, Local accuracy on local train data 96.000
Round  28, Devices participated 10, Average loss 0.184, Central accuracy on global test data 54.023, Local accuracy on global train data 22.925, Local accuracy on local train data 96.833
Round  29, Devices participated 10, Average loss 0.247, Central accuracy on global test data 59.473, Local accuracy on global train data 21.050, Local accuracy on local train data 94.267
Round  30, Devices participated 10, Average loss 0.179, Central accuracy on global test data 42.021, Local accuracy on global train data 18.269, Local accuracy on local train data 97.033
Round  31, Devices participated 10, Average loss 0.182, Central accuracy on global test data 47.676, Local accuracy on global train data 20.474, Local accuracy on local train data 96.967
Round  32, Devices participated 10, Average loss 0.167, Central accuracy on global test data 61.377, Local accuracy on global train data 21.394, Local accuracy on local train data 97.400
Round  33, Devices participated 10, Average loss 0.190, Central accuracy on global test data 56.250, Local accuracy on global train data 19.785, Local accuracy on local train data 96.250
Round  34, Devices participated 10, Average loss 0.124, Central accuracy on global test data 62.031, Local accuracy on global train data 18.416, Local accuracy on local train data 98.250
Round  35, Devices participated 10, Average loss 0.177, Central accuracy on global test data 56.182, Local accuracy on global train data 21.162, Local accuracy on local train data 96.550
Round  36, Devices participated 10, Average loss 0.189, Central accuracy on global test data 67.764, Local accuracy on global train data 21.433, Local accuracy on local train data 96.383
Round  37, Devices participated 10, Average loss 0.215, Central accuracy on global test data 63.750, Local accuracy on global train data 22.168, Local accuracy on local train data 95.567
Round  38, Devices participated 10, Average loss 0.177, Central accuracy on global test data 64.170, Local accuracy on global train data 22.434, Local accuracy on local train data 96.733
Round  39, Devices participated 10, Average loss 0.152, Central accuracy on global test data 57.441, Local accuracy on global train data 20.562, Local accuracy on local train data 97.233
Round  40, Devices participated 10, Average loss 0.187, Central accuracy on global test data 58.750, Local accuracy on global train data 21.506, Local accuracy on local train data 96.433
Round  41, Devices participated 10, Average loss 0.210, Central accuracy on global test data 64.219, Local accuracy on global train data 24.214, Local accuracy on local train data 95.950
Round  42, Devices participated 10, Average loss 0.177, Central accuracy on global test data 61.611, Local accuracy on global train data 21.057, Local accuracy on local train data 96.950
Round  43, Devices participated 10, Average loss 0.169, Central accuracy on global test data 70.088, Local accuracy on global train data 20.244, Local accuracy on local train data 97.117
Round  44, Devices participated 10, Average loss 0.227, Central accuracy on global test data 64.922, Local accuracy on global train data 22.012, Local accuracy on local train data 94.700
Round  45, Devices participated 10, Average loss 0.191, Central accuracy on global test data 66.328, Local accuracy on global train data 23.284, Local accuracy on local train data 96.317
Round  46, Devices participated 10, Average loss 0.223, Central accuracy on global test data 66.797, Local accuracy on global train data 26.077, Local accuracy on local train data 95.433
Round  47, Devices participated 10, Average loss 0.137, Central accuracy on global test data 64.033, Local accuracy on global train data 21.909, Local accuracy on local train data 97.883
Round  48, Devices participated 10, Average loss 0.174, Central accuracy on global test data 72.148, Local accuracy on global train data 25.081, Local accuracy on local train data 96.217
Round  49, Devices participated 10, Average loss 0.144, Central accuracy on global test data 66.025, Local accuracy on global train data 25.161, Local accuracy on local train data 97.733
