python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 5 --momentum 0.5 --async_s2d 1 --fedmas 1.0

Round   0, Devices participated 10, Average loss 0.061, Central accuracy on global test data 27.686, Local accuracy on global train data 19.998, Local accuracy on local train data 98.303
Round   1, Devices participated 10, Average loss 0.087, Central accuracy on global test data 26.846, Local accuracy on global train data 17.244, Local accuracy on local train data 98.080
Round   2, Devices participated 10, Average loss 0.073, Central accuracy on global test data 31.514, Local accuracy on global train data 20.447, Local accuracy on local train data 98.353
Round   3, Devices participated 10, Average loss 0.086, Central accuracy on global test data 32.656, Local accuracy on global train data 20.500, Local accuracy on local train data 98.107
Round   4, Devices participated 10, Average loss 0.059, Central accuracy on global test data 37.139, Local accuracy on global train data 19.158, Local accuracy on local train data 98.873
Round   5, Devices participated 10, Average loss 0.092, Central accuracy on global test data 32.598, Local accuracy on global train data 20.286, Local accuracy on local train data 98.370
Round   6, Devices participated 10, Average loss 0.096, Central accuracy on global test data 27.656, Local accuracy on global train data 19.507, Local accuracy on local train data 98.580
Round   7, Devices participated 10, Average loss 0.108, Central accuracy on global test data 43.652, Local accuracy on global train data 20.686, Local accuracy on local train data 98.160
Round   8, Devices participated 10, Average loss 0.102, Central accuracy on global test data 40.010, Local accuracy on global train data 19.888, Local accuracy on local train data 98.567
Round   9, Devices participated 10, Average loss 0.116, Central accuracy on global test data 30.000, Local accuracy on global train data 20.693, Local accuracy on local train data 98.447
Round  10, Devices participated 10, Average loss 0.120, Central accuracy on global test data 47.295, Local accuracy on global train data 20.569, Local accuracy on local train data 98.560
Round  11, Devices participated 10, Average loss 0.103, Central accuracy on global test data 46.797, Local accuracy on global train data 20.627, Local accuracy on local train data 99.123
Round  12, Devices participated 10, Average loss 0.093, Central accuracy on global test data 37.803, Local accuracy on global train data 20.901, Local accuracy on local train data 98.317
Round  13, Devices participated 10, Average loss 0.115, Central accuracy on global test data 29.307, Local accuracy on global train data 18.835, Local accuracy on local train data 98.517
Round  14, Devices participated 10, Average loss 0.109, Central accuracy on global test data 46.514, Local accuracy on global train data 20.452, Local accuracy on local train data 98.263
Round  15, Devices participated 10, Average loss 0.110, Central accuracy on global test data 50.742, Local accuracy on global train data 18.865, Local accuracy on local train data 98.627
Round  16, Devices participated 10, Average loss 0.118, Central accuracy on global test data 50.000, Local accuracy on global train data 19.827, Local accuracy on local train data 98.190
Round  17, Devices participated 10, Average loss 0.106, Central accuracy on global test data 52.217, Local accuracy on global train data 20.276, Local accuracy on local train data 98.880
Round  18, Devices participated 10, Average loss 0.119, Central accuracy on global test data 36.367, Local accuracy on global train data 19.827, Local accuracy on local train data 98.500
Round  19, Devices participated 10, Average loss 0.095, Central accuracy on global test data 53.711, Local accuracy on global train data 19.290, Local accuracy on local train data 99.077
Round  20, Devices participated 10, Average loss 0.125, Central accuracy on global test data 43.789, Local accuracy on global train data 20.291, Local accuracy on local train data 98.573
Round  21, Devices participated 10, Average loss 0.078, Central accuracy on global test data 44.971, Local accuracy on global train data 17.910, Local accuracy on local train data 98.910
Round  22, Devices participated 10, Average loss 0.100, Central accuracy on global test data 58.887, Local accuracy on global train data 20.740, Local accuracy on local train data 98.823
Round  23, Devices participated 10, Average loss 0.121, Central accuracy on global test data 38.623, Local accuracy on global train data 22.729, Local accuracy on local train data 98.630
Round  24, Devices participated 10, Average loss 0.122, Central accuracy on global test data 63.369, Local accuracy on global train data 20.945, Local accuracy on local train data 98.580
Round  25, Devices participated 10, Average loss 0.103, Central accuracy on global test data 47.295, Local accuracy on global train data 20.632, Local accuracy on local train data 98.493
