python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 
--nn_refresh 0 --weight_init kaiming --bias_init zero

Round   0, Devices participated 10, Average loss 0.195, Central accuracy on global test data 23.633, Ensemble accuracy on global test data 24.902, Local accuracy on global train data 19.709, Local accuracy on local train data 93.467
Round   1, Devices participated 10, Average loss 0.308, Central accuracy on global test data 31.133, Ensemble accuracy on global test data 32.432, Local accuracy on global train data 17.935, Local accuracy on local train data 92.800
Round   2, Devices participated 10, Average loss 0.261, Central accuracy on global test data 43.672, Ensemble accuracy on global test data 43.984, Local accuracy on global train data 22.263, Local accuracy on local train data 95.033
Round   3, Devices participated 10, Average loss 0.221, Central accuracy on global test data 56.416, Ensemble accuracy on global test data 56.074, Local accuracy on global train data 24.260, Local accuracy on local train data 94.917
Round   4, Devices participated 10, Average loss 0.143, Central accuracy on global test data 56.895, Ensemble accuracy on global test data 57.227, Local accuracy on global train data 27.151, Local accuracy on local train data 96.567
Round   5, Devices participated 10, Average loss 0.221, Central accuracy on global test data 58.799, Ensemble accuracy on global test data 59.346, Local accuracy on global train data 33.403, Local accuracy on local train data 95.633
Round   6, Devices participated 10, Average loss 0.199, Central accuracy on global test data 62.227, Ensemble accuracy on global test data 63.105, Local accuracy on global train data 31.599, Local accuracy on local train data 96.117
Round   7, Devices participated 10, Average loss 0.250, Central accuracy on global test data 79.141, Ensemble accuracy on global test data 79.795, Local accuracy on global train data 36.960, Local accuracy on local train data 95.150
Round   8, Devices participated 10, Average loss 0.160, Central accuracy on global test data 79.834, Ensemble accuracy on global test data 80.693, Local accuracy on global train data 41.450, Local accuracy on local train data 96.350
Round   9, Devices participated 10, Average loss 0.183, Central accuracy on global test data 76.748, Ensemble accuracy on global test data 76.807, Local accuracy on global train data 46.709, Local accuracy on local train data 96.317
Round  10, Devices participated 10, Average loss 0.193, Central accuracy on global test data 81.768, Ensemble accuracy on global test data 82.363, Local accuracy on global train data 46.362, Local accuracy on local train data 96.283
Round  11, Devices participated 10, Average loss 0.133, Central accuracy on global test data 77.129, Ensemble accuracy on global test data 77.148, Local accuracy on global train data 48.638, Local accuracy on local train data 97.300
Round  12, Devices participated 10, Average loss 0.187, Central accuracy on global test data 81.260, Ensemble accuracy on global test data 81.533, Local accuracy on global train data 49.031, Local accuracy on local train data 96.333
Round  13, Devices participated 10, Average loss 0.167, Central accuracy on global test data 84.463, Ensemble accuracy on global test data 84.229, Local accuracy on global train data 45.969, Local accuracy on local train data 96.783
Round  14, Devices participated 10, Average loss 0.148, Central accuracy on global test data 85.176, Ensemble accuracy on global test data 85.059, Local accuracy on global train data 57.646, Local accuracy on local train data 96.450
Round  15, Devices participated 10, Average loss 0.108, Central accuracy on global test data 86.611, Ensemble accuracy on global test data 86.963, Local accuracy on global train data 54.360, Local accuracy on local train data 96.767
Round  16, Devices participated 10, Average loss 0.118, Central accuracy on global test data 85.889, Ensemble accuracy on global test data 86.260, Local accuracy on global train data 53.535, Local accuracy on local train data 96.717
Round  17, Devices participated 10, Average loss 0.089, Central accuracy on global test data 86.445, Ensemble accuracy on global test data 86.416, Local accuracy on global train data 54.102, Local accuracy on local train data 97.717
Round  18, Devices participated 10, Average loss 0.126, Central accuracy on global test data 86.289, Ensemble accuracy on global test data 85.889, Local accuracy on global train data 57.505, Local accuracy on local train data 96.583
Round  19, Devices participated 10, Average loss 0.074, Central accuracy on global test data 86.377, Ensemble accuracy on global test data 85.986, Local accuracy on global train data 55.540, Local accuracy on local train data 98.000
Round  20, Devices participated 10, Average loss 0.089, Central accuracy on global test data 81.270, Ensemble accuracy on global test data 79.414, Local accuracy on global train data 52.952, Local accuracy on local train data 97.400
Round  21, Devices participated 10, Average loss 0.071, Central accuracy on global test data 83.984, Ensemble accuracy on global test data 83.242, Local accuracy on global train data 57.888, Local accuracy on local train data 97.917
Round  22, Devices participated 10, Average loss 0.068, Central accuracy on global test data 88.643, Ensemble accuracy on global test data 88.232, Local accuracy on global train data 64.587, Local accuracy on local train data 97.933
Round  23, Devices participated 10, Average loss 0.080, Central accuracy on global test data 79.043, Ensemble accuracy on global test data 77.002, Local accuracy on global train data 63.284, Local accuracy on local train data 97.967
Round  24, Devices participated 10, Average loss 0.079, Central accuracy on global test data 88.721, Ensemble accuracy on global test data 87.783, Local accuracy on global train data 55.613, Local accuracy on local train data 97.617
Round  25, Devices participated 10, Average loss 0.072, Central accuracy on global test data 86.445, Ensemble accuracy on global test data 85.732, Local accuracy on global train data 62.549, Local accuracy on local train data 97.967
Round  26, Devices participated 10, Average loss 0.067, Central accuracy on global test data 86.807, Ensemble accuracy on global test data 86.836, Local accuracy on global train data 63.308, Local accuracy on local train data 97.950
Round  27, Devices participated 10, Average loss 0.074, Central accuracy on global test data 87.012, Ensemble accuracy on global test data 86.445, Local accuracy on global train data 65.652, Local accuracy on local train data 97.500
Round  28, Devices participated 10, Average loss 0.053, Central accuracy on global test data 87.734, Ensemble accuracy on global test data 87.676, Local accuracy on global train data 65.840, Local accuracy on local train data 98.450
Round  29, Devices participated 10, Average loss 0.069, Central accuracy on global test data 88.389, Ensemble accuracy on global test data 87.969, Local accuracy on global train data 59.456, Local accuracy on local train data 97.683
Round  30, Devices participated 10, Average loss 0.078, Central accuracy on global test data 87.246, Ensemble accuracy on global test data 86.211, Local accuracy on global train data 58.794, Local accuracy on local train data 97.750
Round  31, Devices participated 10, Average loss 0.058, Central accuracy on global test data 88.320, Ensemble accuracy on global test data 87.734, Local accuracy on global train data 61.931, Local accuracy on local train data 98.200
Round  32, Devices participated 10, Average loss 0.047, Central accuracy on global test data 89.941, Ensemble accuracy on global test data 89.824, Local accuracy on global train data 67.598, Local accuracy on local train data 98.700
Round  33, Devices participated 10, Average loss 0.064, Central accuracy on global test data 86.895, Ensemble accuracy on global test data 86.064, Local accuracy on global train data 62.405, Local accuracy on local train data 97.983
Round  34, Devices participated 10, Average loss 0.040, Central accuracy on global test data 88.242, Ensemble accuracy on global test data 87.578, Local accuracy on global train data 66.709, Local accuracy on local train data 98.717
