python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --weight_init random --bias_init random

Round   0, Devices participated 10, Average loss 0.588, Central accuracy on global test data 27.070, Ensemble accuracy on global test data 27.646, Local accuracy on global train data 19.548, Local accuracy on local train data 89.167
Round   1, Devices participated 10, Average loss 0.311, Central accuracy on global test data 40.049, Ensemble accuracy on global test data 40.479, Local accuracy on global train data 26.702, Local accuracy on local train data 93.617
Round   2, Devices participated 10, Average loss 0.464, Central accuracy on global test data 55.859, Ensemble accuracy on global test data 57.051, Local accuracy on global train data 38.079, Local accuracy on local train data 95.033
Round   3, Devices participated 10, Average loss 0.448, Central accuracy on global test data 69.658, Ensemble accuracy on global test data 69.404, Local accuracy on global train data 39.905, Local accuracy on local train data 94.883
Round   4, Devices participated 10, Average loss 0.354, Central accuracy on global test data 70.537, Ensemble accuracy on global test data 70.488, Local accuracy on global train data 45.120, Local accuracy on local train data 96.050
Round   5, Devices participated 10, Average loss 0.364, Central accuracy on global test data 70.518, Ensemble accuracy on global test data 70.859, Local accuracy on global train data 50.237, Local accuracy on local train data 96.050
Round   6, Devices participated 10, Average loss 0.313, Central accuracy on global test data 72.832, Ensemble accuracy on global test data 72.207, Local accuracy on global train data 48.716, Local accuracy on local train data 96.150
Round   7, Devices participated 10, Average loss 0.345, Central accuracy on global test data 83.174, Ensemble accuracy on global test data 82.988, Local accuracy on global train data 49.949, Local accuracy on local train data 95.367
Round   8, Devices participated 10, Average loss 0.226, Central accuracy on global test data 82.080, Ensemble accuracy on global test data 81.689, Local accuracy on global train data 54.084, Local accuracy on local train data 96.417
Round   9, Devices participated 10, Average loss 0.194, Central accuracy on global test data 81.816, Ensemble accuracy on global test data 80.703, Local accuracy on global train data 55.527, Local accuracy on local train data 96.250
Round  10, Devices participated 10, Average loss 0.200, Central accuracy on global test data 83.975, Ensemble accuracy on global test data 83.877, Local accuracy on global train data 56.355, Local accuracy on local train data 96.067
Round  11, Devices participated 10, Average loss 0.119, Central accuracy on global test data 78.721, Ensemble accuracy on global test data 78.242, Local accuracy on global train data 60.413, Local accuracy on local train data 97.500
Round  12, Devices participated 10, Average loss 0.176, Central accuracy on global test data 79.883, Ensemble accuracy on global test data 79.824, Local accuracy on global train data 55.234, Local accuracy on local train data 96.033
Round  13, Devices participated 10, Average loss 0.136, Central accuracy on global test data 84.795, Ensemble accuracy on global test data 84.570, Local accuracy on global train data 53.818, Local accuracy on local train data 96.467
Round  14, Devices participated 10, Average loss 0.146, Central accuracy on global test data 85.938, Ensemble accuracy on global test data 85.869, Local accuracy on global train data 64.236, Local accuracy on local train data 95.983
Round  15, Devices participated 10, Average loss 0.115, Central accuracy on global test data 86.484, Ensemble accuracy on global test data 86.562, Local accuracy on global train data 60.940, Local accuracy on local train data 97.150
Round  16, Devices participated 10, Average loss 0.141, Central accuracy on global test data 85.576, Ensemble accuracy on global test data 85.225, Local accuracy on global train data 58.398, Local accuracy on local train data 96.467
Round  17, Devices participated 10, Average loss 0.083, Central accuracy on global test data 86.250, Ensemble accuracy on global test data 86.553, Local accuracy on global train data 61.062, Local accuracy on local train data 97.783
Round  18, Devices participated 10, Average loss 0.135, Central accuracy on global test data 84.209, Ensemble accuracy on global test data 82.715, Local accuracy on global train data 55.598, Local accuracy on local train data 96.567
Round  19, Devices participated 10, Average loss 0.089, Central accuracy on global test data 83.877, Ensemble accuracy on global test data 83.438, Local accuracy on global train data 60.444, Local accuracy on local train data 97.833
Round  20, Devices participated 10, Average loss 0.108, Central accuracy on global test data 81.426, Ensemble accuracy on global test data 79.219, Local accuracy on global train data 54.341, Local accuracy on local train data 97.033
Round  21, Devices participated 10, Average loss 0.091, Central accuracy on global test data 83.164, Ensemble accuracy on global test data 82.861, Local accuracy on global train data 57.866, Local accuracy on local train data 97.717
Round  22, Devices participated 10, Average loss 0.088, Central accuracy on global test data 85.352, Ensemble accuracy on global test data 85.059, Local accuracy on global train data 66.763, Local accuracy on local train data 97.550
Round  23, Devices participated 10, Average loss 0.106, Central accuracy on global test data 73.877, Ensemble accuracy on global test data 72.803, Local accuracy on global train data 59.329, Local accuracy on local train data 97.217
Round  24, Devices participated 10, Average loss 0.103, Central accuracy on global test data 86.699, Ensemble accuracy on global test data 86.406, Local accuracy on global train data 57.532, Local accuracy on local train data 97.050
Round  25, Devices participated 10, Average loss 0.087, Central accuracy on global test data 82.480, Ensemble accuracy on global test data 81.719, Local accuracy on global train data 60.964, Local accuracy on local train data 97.717
Round  26, Devices participated 10, Average loss 0.081, Central accuracy on global test data 85.430, Ensemble accuracy on global test data 85.137, Local accuracy on global train data 60.266, Local accuracy on local train data 97.517
Round  27, Devices participated 10, Average loss 0.078, Central accuracy on global test data 85.537, Ensemble accuracy on global test data 85.244, Local accuracy on global train data 66.523, Local accuracy on local train data 97.700
Round  28, Devices participated 10, Average loss 0.067, Central accuracy on global test data 87.178, Ensemble accuracy on global test data 86.895, Local accuracy on global train data 66.252, Local accuracy on local train data 98.117
Round  29, Devices participated 10, Average loss 0.086, Central accuracy on global test data 88.115, Ensemble accuracy on global test data 87.842, Local accuracy on global train data 59.563, Local accuracy on local train data 97.300
Round  30, Devices participated 10, Average loss 0.081, Central accuracy on global test data 85.049, Ensemble accuracy on global test data 83.652, Local accuracy on global train data 55.859, Local accuracy on local train data 97.717
Round  31, Devices participated 10, Average loss 0.077, Central accuracy on global test data 86.484, Ensemble accuracy on global test data 85.713, Local accuracy on global train data 61.968, Local accuracy on local train data 97.550
Round  32, Devices participated 10, Average loss 0.063, Central accuracy on global test data 88.330, Ensemble accuracy on global test data 88.389, Local accuracy on global train data 65.229, Local accuracy on local train data 98.250
Round  33, Devices participated 10, Average loss 0.079, Central accuracy on global test data 85.498, Ensemble accuracy on global test data 84.619, Local accuracy on global train data 60.818, Local accuracy on local train data 97.750
Round  34, Devices participated 10, Average loss 0.051, Central accuracy on global test data 87.051, Ensemble accuracy on global test data 86.572, Local accuracy on global train data 61.763, Local accuracy on local train data 98.567
Round  35, Devices participated 10, Average loss 0.075, Central accuracy on global test data 87.979, Ensemble accuracy on global test data 87.920, Local accuracy on global train data 59.912, Local accuracy on local train data 97.833
Round  36, Devices participated 10, Average loss 0.075, Central accuracy on global test data 87.900, Ensemble accuracy on global test data 87.646, Local accuracy on global train data 65.278, Local accuracy on local train data 97.917
Round  37, Devices participated 10, Average loss 0.087, Central accuracy on global test data 87.324, Ensemble accuracy on global test data 87.061, Local accuracy on global train data 67.361, Local accuracy on local train data 97.050
Round  38, Devices participated 10, Average loss 0.065, Central accuracy on global test data 88.545, Ensemble accuracy on global test data 88.359, Local accuracy on global train data 60.334, Local accuracy on local train data 97.867
Round  39, Devices participated 10, Average loss 0.053, Central accuracy on global test data 89.404, Ensemble accuracy on global test data 89.111, Local accuracy on global train data 62.253, Local accuracy on local train data 98.250
Round  40, Devices participated 10, Average loss 0.070, Central accuracy on global test data 90.342, Ensemble accuracy on global test data 90.029, Local accuracy on global train data 62.058, Local accuracy on local train data 97.883
Round  41, Devices participated 10, Average loss 0.065, Central accuracy on global test data 88.838, Ensemble accuracy on global test data 88.584, Local accuracy on global train data 64.678, Local accuracy on local train data 98.150
Round  42, Devices participated 10, Average loss 0.066, Central accuracy on global test data 89.170, Ensemble accuracy on global test data 88.926, Local accuracy on global train data 65.200, Local accuracy on local train data 98.033
Round  43, Devices participated 10, Average loss 0.066, Central accuracy on global test data 89.971, Ensemble accuracy on global test data 89.893, Local accuracy on global train data 59.080, Local accuracy on local train data 98.200
Round  44, Devices participated 10, Average loss 0.078, Central accuracy on global test data 87.754, Ensemble accuracy on global test data 87.148, Local accuracy on global train data 61.792, Local accuracy on local train data 97.533
Round  45, Devices participated 10, Average loss 0.058, Central accuracy on global test data 88.701, Ensemble accuracy on global test data 88.584, Local accuracy on global train data 71.633, Local accuracy on local train data 98.333
Round  46, Devices participated 10, Average loss 0.073, Central accuracy on global test data 88.760, Ensemble accuracy on global test data 88.496, Local accuracy on global train data 66.521, Local accuracy on local train data 97.767
Round  47, Devices participated 10, Average loss 0.044, Central accuracy on global test data 87.207, Ensemble accuracy on global test data 86.426, Local accuracy on global train data 65.637, Local accuracy on local train data 98.783
Round  48, Devices participated 10, Average loss 0.061, Central accuracy on global test data 89.258, Ensemble accuracy on global test data 89.131, Local accuracy on global train data 69.446, Local accuracy on local train data 97.883
Round  49, Devices participated 10, Average loss 0.045, Central accuracy on global test data 87.295, Ensemble accuracy on global test data 86.816, Local accuracy on global train data 70.952, Local accuracy on local train data 98.800
Round  50, Devices participated 10, Average loss 0.057, Central accuracy on global test data 87.676, Ensemble accuracy on global test data 87.324, Local accuracy on global train data 68.081, Local accuracy on local train data 97.950
Round  51, Devices participated 10, Average loss 0.046, Central accuracy on global test data 89.766, Ensemble accuracy on global test data 89.658, Local accuracy on global train data 69.797, Local accuracy on local train data 98.650
Round  52, Devices participated 10, Average loss 0.061, Central accuracy on global test data 87.900, Ensemble accuracy on global test data 87.129, Local accuracy on global train data 65.564, Local accuracy on local train data 98.167
Round  53, Devices participated 10, Average loss 0.051, Central accuracy on global test data 87.891, Ensemble accuracy on global test data 87.363, Local accuracy on global train data 64.255, Local accuracy on local train data 98.400
Round  54, Devices participated 10, Average loss 0.034, Central accuracy on global test data 86.807, Ensemble accuracy on global test data 86.729, Local accuracy on global train data 66.934, Local accuracy on local train data 99.067
Round  55, Devices participated 10, Average loss 0.047, Central accuracy on global test data 89.795, Ensemble accuracy on global test data 89.922, Local accuracy on global train data 64.512, Local accuracy on local train data 98.383
Round  56, Devices participated 10, Average loss 0.049, Central accuracy on global test data 89.375, Ensemble accuracy on global test data 89.160, Local accuracy on global train data 67.791, Local accuracy on local train data 98.500
Round  57, Devices participated 10, Average loss 0.046, Central accuracy on global test data 86.836, Ensemble accuracy on global test data 86.465, Local accuracy on global train data 66.064, Local accuracy on local train data 98.517
Round  58, Devices participated 10, Average loss 0.057, Central accuracy on global test data 88.203, Ensemble accuracy on global test data 87.861, Local accuracy on global train data 63.267, Local accuracy on local train data 98.217
Round  59, Devices participated 10, Average loss 0.045, Central accuracy on global test data 89.756, Ensemble accuracy on global test data 89.541, Local accuracy on global train data 68.064, Local accuracy on local train data 98.583
Round  60, Devices participated 10, Average loss 0.055, Central accuracy on global test data 89.668, Ensemble accuracy on global test data 89.209, Local accuracy on global train data 62.212, Local accuracy on local train data 98.250
Round  61, Devices participated 10, Average loss 0.045, Central accuracy on global test data 89.990, Ensemble accuracy on global test data 89.775, Local accuracy on global train data 64.927, Local accuracy on local train data 98.367
Round  62, Devices participated 10, Average loss 0.051, Central accuracy on global test data 91.113, Ensemble accuracy on global test data 91.104, Local accuracy on global train data 66.418, Local accuracy on local train data 98.400
Round  63, Devices participated 10, Average loss 0.038, Central accuracy on global test data 90.068, Ensemble accuracy on global test data 89.951, Local accuracy on global train data 67.231, Local accuracy on local train data 98.900
Round  64, Devices participated 10, Average loss 0.053, Central accuracy on global test data 88.105, Ensemble accuracy on global test data 87.891, Local accuracy on global train data 67.039, Local accuracy on local train data 98.433
Round  65, Devices participated 10, Average loss 0.071, Central accuracy on global test data 89.668, Ensemble accuracy on global test data 89.561, Local accuracy on global train data 73.552, Local accuracy on local train data 97.617
Round  66, Devices participated 10, Average loss 0.054, Central accuracy on global test data 89.824, Ensemble accuracy on global test data 89.502, Local accuracy on global train data 70.527, Local accuracy on local train data 98.233
Round  67, Devices participated 10, Average loss 0.036, Central accuracy on global test data 90.576, Ensemble accuracy on global test data 90.537, Local accuracy on global train data 66.755, Local accuracy on local train data 99.067
Round  68, Devices participated 10, Average loss 0.037, Central accuracy on global test data 90.361, Ensemble accuracy on global test data 90.273, Local accuracy on global train data 70.706, Local accuracy on local train data 98.883
Round  69, Devices participated 10, Average loss 0.040, Central accuracy on global test data 86.641, Ensemble accuracy on global test data 86.152, Local accuracy on global train data 67.888, Local accuracy on local train data 98.750
Round  70, Devices participated 10, Average loss 0.054, Central accuracy on global test data 90.518, Ensemble accuracy on global test data 89.951, Local accuracy on global train data 67.517, Local accuracy on local train data 98.450
Round  71, Devices participated 10, Average loss 0.040, Central accuracy on global test data 89.785, Ensemble accuracy on global test data 89.443, Local accuracy on global train data 69.333, Local accuracy on local train data 98.833
Round  72, Devices participated 10, Average loss 0.042, Central accuracy on global test data 90.137, Ensemble accuracy on global test data 89.971, Local accuracy on global train data 68.918, Local accuracy on local train data 98.533
Round  73, Devices participated 10, Average loss 0.031, Central accuracy on global test data 90.996, Ensemble accuracy on global test data 90.859, Local accuracy on global train data 73.726, Local accuracy on local train data 99.233
Round  74, Devices participated 10, Average loss 0.060, Central accuracy on global test data 90.654, Ensemble accuracy on global test data 90.400, Local accuracy on global train data 68.088, Local accuracy on local train data 98.300
Round  75, Devices participated 10, Average loss 0.053, Central accuracy on global test data 91.387, Ensemble accuracy on global test data 91.260, Local accuracy on global train data 71.008, Local accuracy on local train data 98.267
Round  76, Devices participated 10, Average loss 0.045, Central accuracy on global test data 91.055, Ensemble accuracy on global test data 90.771, Local accuracy on global train data 68.696, Local accuracy on local train data 98.450
Round  77, Devices participated 10, Average loss 0.043, Central accuracy on global test data 91.133, Ensemble accuracy on global test data 90.986, Local accuracy on global train data 69.438, Local accuracy on local train data 98.567
Round  78, Devices participated 10, Average loss 0.036, Central accuracy on global test data 90.527, Ensemble accuracy on global test data 90.430, Local accuracy on global train data 68.074, Local accuracy on local train data 99.033
Round  79, Devices participated 10, Average loss 0.043, Central accuracy on global test data 91.582, Ensemble accuracy on global test data 91.650, Local accuracy on global train data 69.177, Local accuracy on local train data 98.567
Round  80, Devices participated 10, Average loss 0.044, Central accuracy on global test data 90.420, Ensemble accuracy on global test data 89.990, Local accuracy on global train data 71.816, Local accuracy on local train data 98.450
Round  81, Devices participated 10, Average loss 0.045, Central accuracy on global test data 89.609, Ensemble accuracy on global test data 89.248, Local accuracy on global train data 70.867, Local accuracy on local train data 98.633
Round  82, Devices participated 10, Average loss 0.035, Central accuracy on global test data 88.760, Ensemble accuracy on global test data 88.438, Local accuracy on global train data 68.069, Local accuracy on local train data 98.783
Round  83, Devices participated 10, Average loss 0.045, Central accuracy on global test data 90.410, Ensemble accuracy on global test data 90.107, Local accuracy on global train data 70.654, Local accuracy on local train data 98.500
Round  84, Devices participated 10, Average loss 0.053, Central accuracy on global test data 89.912, Ensemble accuracy on global test data 89.580, Local accuracy on global train data 69.116, Local accuracy on local train data 98.250
Round  85, Devices participated 10, Average loss 0.036, Central accuracy on global test data 91.182, Ensemble accuracy on global test data 90.967, Local accuracy on global train data 71.931, Local accuracy on local train data 98.900
Round  86, Devices participated 10, Average loss 0.027, Central accuracy on global test data 90.264, Ensemble accuracy on global test data 90.078, Local accuracy on global train data 73.701, Local accuracy on local train data 99.133
Round  87, Devices participated 10, Average loss 0.046, Central accuracy on global test data 90.664, Ensemble accuracy on global test data 90.303, Local accuracy on global train data 65.864, Local accuracy on local train data 98.700
Round  88, Devices participated 10, Average loss 0.028, Central accuracy on global test data 90.957, Ensemble accuracy on global test data 90.498, Local accuracy on global train data 68.521, Local accuracy on local train data 99.233
Round  89, Devices participated 10, Average loss 0.030, Central accuracy on global test data 87.461, Ensemble accuracy on global test data 86.680, Local accuracy on global train data 73.865, Local accuracy on local train data 99.167
Round  90, Devices participated 10, Average loss 0.040, Central accuracy on global test data 90.781, Ensemble accuracy on global test data 90.625, Local accuracy on global train data 68.044, Local accuracy on local train data 98.717
Round  91, Devices participated 10, Average loss 0.052, Central accuracy on global test data 91.592, Ensemble accuracy on global test data 91.221, Local accuracy on global train data 69.375, Local accuracy on local train data 98.467
Round  92, Devices participated 10, Average loss 0.024, Central accuracy on global test data 91.729, Ensemble accuracy on global test data 91.689, Local accuracy on global train data 74.016, Local accuracy on local train data 99.317
Round  93, Devices participated 10, Average loss 0.032, Central accuracy on global test data 90.410, Ensemble accuracy on global test data 90.391, Local accuracy on global train data 71.021, Local accuracy on local train data 98.950
Round  94, Devices participated 10, Average loss 0.031, Central accuracy on global test data 91.055, Ensemble accuracy on global test data 90.781, Local accuracy on global train data 73.931, Local accuracy on local train data 99.017
Round  95, Devices participated 10, Average loss 0.026, Central accuracy on global test data 87.715, Ensemble accuracy on global test data 87.012, Local accuracy on global train data 75.938, Local accuracy on local train data 99.267
