python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 

Round   0, Devices participated 10, Average loss 0.255, Central accuracy on global test data 26.924, Ensemble accuracy on global test data 31.211, Local accuracy on global train data 19.753, Local accuracy on local train data 92.417
Round   1, Devices participated 10, Average loss 0.266, Central accuracy on global test data 29.404, Ensemble accuracy on global test data 29.072, Local accuracy on global train data 18.494, Local accuracy on local train data 93.617
Round   2, Devices participated 10, Average loss 0.334, Central accuracy on global test data 45.830, Ensemble accuracy on global test data 45.840, Local accuracy on global train data 23.821, Local accuracy on local train data 94.500
Round   3, Devices participated 10, Average loss 0.372, Central accuracy on global test data 48.867, Ensemble accuracy on global test data 49.580, Local accuracy on global train data 24.910, Local accuracy on local train data 94.400
Round   4, Devices participated 10, Average loss 0.303, Central accuracy on global test data 52.598, Ensemble accuracy on global test data 53.311, Local accuracy on global train data 29.509, Local accuracy on local train data 95.417
Round   5, Devices participated 10, Average loss 0.284, Central accuracy on global test data 57.246, Ensemble accuracy on global test data 57.178, Local accuracy on global train data 34.409, Local accuracy on local train data 95.183
Round   6, Devices participated 10, Average loss 0.248, Central accuracy on global test data 59.990, Ensemble accuracy on global test data 60.449, Local accuracy on global train data 35.535, Local accuracy on local train data 95.767
Round   7, Devices participated 10, Average loss 0.330, Central accuracy on global test data 70.693, Ensemble accuracy on global test data 72.910, Local accuracy on global train data 36.179, Local accuracy on local train data 94.133
Round   8, Devices participated 10, Average loss 0.193, Central accuracy on global test data 69.180, Ensemble accuracy on global test data 71.113, Local accuracy on global train data 37.766, Local accuracy on local train data 96.017
Round   9, Devices participated 10, Average loss 0.181, Central accuracy on global test data 72.295, Ensemble accuracy on global test data 74.785, Local accuracy on global train data 42.615, Local accuracy on local train data 95.767
Round  10, Devices participated 10, Average loss 0.199, Central accuracy on global test data 72.705, Ensemble accuracy on global test data 76.221, Local accuracy on global train data 42.966, Local accuracy on local train data 95.983
Round  11, Devices participated 10, Average loss 0.139, Central accuracy on global test data 70.166, Ensemble accuracy on global test data 71.309, Local accuracy on global train data 46.465, Local accuracy on local train data 97.350
Round  12, Devices participated 10, Average loss 0.248, Central accuracy on global test data 68.984, Ensemble accuracy on global test data 72.051, Local accuracy on global train data 42.681, Local accuracy on local train data 94.833
