python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5

Round   0, Devices participated 10, Average loss 0.225, Central accuracy on global test data 27.109, Local accuracy on global train data 19.346, Local accuracy on local train data 93.000
Round   1, Devices participated 10, Average loss 0.200, Central accuracy on global test data 29.219, Local accuracy on global train data 17.483, Local accuracy on local train data 93.567
Round   2, Devices participated 10, Average loss 0.161, Central accuracy on global test data 43.818, Local accuracy on global train data 19.995, Local accuracy on local train data 95.117
Round   3, Devices participated 10, Average loss 0.144, Central accuracy on global test data 51.113, Local accuracy on global train data 20.813, Local accuracy on local train data 95.500
Round   4, Devices participated 10, Average loss 0.107, Central accuracy on global test data 60.146, Local accuracy on global train data 20.708, Local accuracy on local train data 97.133
Round   5, Devices participated 10, Average loss 0.114, Central accuracy on global test data 57.148, Local accuracy on global train data 22.688, Local accuracy on local train data 96.483
Round   6, Devices participated 10, Average loss 0.105, Central accuracy on global test data 62.217, Local accuracy on global train data 23.325, Local accuracy on local train data 96.833
Round   7, Devices participated 10, Average loss 0.119, Central accuracy on global test data 80.020, Local accuracy on global train data 23.804, Local accuracy on local train data 96.017
Round   8, Devices participated 10, Average loss 0.086, Central accuracy on global test data 77.871, Local accuracy on global train data 25.278, Local accuracy on local train data 97.483
Round   9, Devices participated 10, Average loss 0.094, Central accuracy on global test data 77.969, Local accuracy on global train data 28.418, Local accuracy on local train data 96.917
Round  10, Devices participated 10, Average loss 0.090, Central accuracy on global test data 79.043, Local accuracy on global train data 29.910, Local accuracy on local train data 97.333
Round  11, Devices participated 10, Average loss 0.062, Central accuracy on global test data 74.053, Local accuracy on global train data 32.769, Local accuracy on local train data 98.300
Round  12, Devices participated 10, Average loss 0.104, Central accuracy on global test data 74.912, Local accuracy on global train data 31.790, Local accuracy on local train data 96.567
Round  13, Devices participated 10, Average loss 0.083, Central accuracy on global test data 84.453, Local accuracy on global train data 29.924, Local accuracy on local train data 97.350
Round  14, Devices participated 10, Average loss 0.106, Central accuracy on global test data 85.244, Local accuracy on global train data 40.515, Local accuracy on local train data 96.417
Round  15, Devices participated 10, Average loss 0.077, Central accuracy on global test data 84.482, Local accuracy on global train data 36.980, Local accuracy on local train data 97.717
Round  16, Devices participated 10, Average loss 0.094, Central accuracy on global test data 86.279, Local accuracy on global train data 38.552, Local accuracy on local train data 97.100
