python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --weight_init kaiming --bias_init zeros

Round   0, Devices participated 10, Average loss 0.200, Central accuracy on global test data 27.422, Local accuracy on global train data 19.414, Local accuracy on local train data 93.200
Round   1, Devices participated 10, Average loss 0.192, Central accuracy on global test data 26.758, Local accuracy on global train data 17.454, Local accuracy on local train data 93.283
Round   2, Devices participated 10, Average loss 0.165, Central accuracy on global test data 39.434, Local accuracy on global train data 20.110, Local accuracy on local train data 95.000
Round   3, Devices participated 10, Average loss 0.132, Central accuracy on global test data 52.686, Local accuracy on global train data 20.906, Local accuracy on local train data 95.867
Round   4, Devices participated 10, Average loss 0.099, Central accuracy on global test data 57.393, Local accuracy on global train data 21.580, Local accuracy on local train data 96.933
Round   5, Devices participated 10, Average loss 0.110, Central accuracy on global test data 57.021, Local accuracy on global train data 23.860, Local accuracy on local train data 96.450
Round   6, Devices participated 10, Average loss 0.104, Central accuracy on global test data 61.494, Local accuracy on global train data 23.423, Local accuracy on local train data 96.600
Round   7, Devices participated 10, Average loss 0.120, Central accuracy on global test data 78.311, Local accuracy on global train data 23.604, Local accuracy on local train data 96.033
Round   8, Devices participated 10, Average loss 0.091, Central accuracy on global test data 76.094, Local accuracy on global train data 26.060, Local accuracy on local train data 97.183
Round   9, Devices participated 10, Average loss 0.090, Central accuracy on global test data 73.643, Local accuracy on global train data 29.187, Local accuracy on local train data 97.100
Round  10, Devices participated 10, Average loss 0.096, Central accuracy on global test data 79.014, Local accuracy on global train data 29.971, Local accuracy on local train data 96.783
Round  11, Devices participated 10, Average loss 0.065, Central accuracy on global test data 73.721, Local accuracy on global train data 34.407, Local accuracy on local train data 98.050
Round  12, Devices participated 10, Average loss 0.101, Central accuracy on global test data 75.254, Local accuracy on global train data 33.503, Local accuracy on local train data 96.583
Round  13, Devices participated 10, Average loss 0.086, Central accuracy on global test data 83.359, Local accuracy on global train data 32.383, Local accuracy on local train data 97.117
Round  14, Devices participated 10, Average loss 0.102, Central accuracy on global test data 84.209, Local accuracy on global train data 42.327, Local accuracy on local train data 96.533
Round  15, Devices participated 10, Average loss 0.076, Central accuracy on global test data 84.336, Local accuracy on global train data 38.367, Local accuracy on local train data 97.633
Round  16, Devices participated 10, Average loss 0.088, Central accuracy on global test data 85.801, Local accuracy on global train data 38.762, Local accuracy on local train data 97.200
Round  17, Devices participated 10, Average loss 0.061, Central accuracy on global test data 85.410, Local accuracy on global train data 39.763, Local accuracy on local train data 98.100
Round  18, Devices participated 10, Average loss 0.089, Central accuracy on global test data 82.422, Local accuracy on global train data 39.346, Local accuracy on local train data 97.017
Round  19, Devices participated 10, Average loss 0.051, Central accuracy on global test data 82.100, Local accuracy on global train data 42.734, Local accuracy on local train data 98.583
