python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --weight_init kaiming --bias_init zeros --lr 0.1

Round   0, Devices participated 10, Average loss 0.749, Central accuracy on global test data 27.295, Local accuracy on global train data 19.387, Local accuracy on local train data 90.833
Round   1, Devices participated 10, Average loss 0.391, Central accuracy on global test data 31.074, Local accuracy on global train data 17.451, Local accuracy on local train data 89.283
Round   2, Devices participated 10, Average loss 0.240, Central accuracy on global test data 43.838, Local accuracy on global train data 20.337, Local accuracy on local train data 93.283
Round   3, Devices participated 10, Average loss 0.192, Central accuracy on global test data 55.459, Local accuracy on global train data 21.880, Local accuracy on local train data 94.933
Round   4, Devices participated 10, Average loss 0.124, Central accuracy on global test data 70.391, Local accuracy on global train data 22.576, Local accuracy on local train data 96.683
Round   5, Devices participated 10, Average loss 0.165, Central accuracy on global test data 69.092, Local accuracy on global train data 27.007, Local accuracy on local train data 95.633
Round   6, Devices participated 10, Average loss 0.162, Central accuracy on global test data 62.998, Local accuracy on global train data 28.042, Local accuracy on local train data 96.017
Round   7, Devices participated 10, Average loss 0.171, Central accuracy on global test data 80.029, Local accuracy on global train data 28.853, Local accuracy on local train data 95.083
Round   8, Devices participated 10, Average loss 0.119, Central accuracy on global test data 82.646, Local accuracy on global train data 35.549, Local accuracy on local train data 97.000
Round   9, Devices participated 10, Average loss 0.145, Central accuracy on global test data 80.957, Local accuracy on global train data 38.403, Local accuracy on local train data 96.350
Round  10, Devices participated 10, Average loss 0.164, Central accuracy on global test data 80.635, Local accuracy on global train data 36.892, Local accuracy on local train data 95.950
Round  11, Devices participated 10, Average loss 0.089, Central accuracy on global test data 74.277, Local accuracy on global train data 44.868, Local accuracy on local train data 97.883
Round  12, Devices participated 10, Average loss 0.165, Central accuracy on global test data 78.066, Local accuracy on global train data 39.900, Local accuracy on local train data 95.617
Round  13, Devices participated 10, Average loss 0.105, Central accuracy on global test data 86.064, Local accuracy on global train data 40.847, Local accuracy on local train data 96.833
Round  14, Devices participated 10, Average loss 0.148, Central accuracy on global test data 86.826, Local accuracy on global train data 48.726, Local accuracy on local train data 96.200
Round  15, Devices participated 10, Average loss 0.111, Central accuracy on global test data 86.230, Local accuracy on global train data 48.740, Local accuracy on local train data 97.083
Round  16, Devices participated 10, Average loss 0.115, Central accuracy on global test data 88.701, Local accuracy on global train data 49.724, Local accuracy on local train data 96.650
Round  17, Devices participated 10, Average loss 0.067, Central accuracy on global test data 88.672, Local accuracy on global train data 52.959, Local accuracy on local train data 98.117
Round  18, Devices participated 10, Average loss 0.169, Central accuracy on global test data 87.148, Local accuracy on global train data 46.355, Local accuracy on local train data 95.950
Round  19, Devices participated 10, Average loss 0.062, Central accuracy on global test data 86.934, Local accuracy on global train data 54.199, Local accuracy on local train data 98.283
Round  20, Devices participated 10, Average loss 0.100, Central accuracy on global test data 84.375, Local accuracy on global train data 49.397, Local accuracy on local train data 97.300
Round  21, Devices participated 10, Average loss 0.076, Central accuracy on global test data 85.771, Local accuracy on global train data 55.083, Local accuracy on local train data 97.883
Round  22, Devices participated 10, Average loss 0.075, Central accuracy on global test data 87.812, Local accuracy on global train data 60.037, Local accuracy on local train data 98.050
Round  23, Devices participated 10, Average loss 0.096, Central accuracy on global test data 79.775, Local accuracy on global train data 54.573, Local accuracy on local train data 97.500
Round  24, Devices participated 10, Average loss 0.098, Central accuracy on global test data 90.107, Local accuracy on global train data 51.218, Local accuracy on local train data 97.150
Round  25, Devices participated 10, Average loss 0.089, Central accuracy on global test data 85.762, Local accuracy on global train data 57.100, Local accuracy on local train data 97.850
Round  26, Devices participated 10, Average loss 0.071, Central accuracy on global test data 88.027, Local accuracy on global train data 59.268, Local accuracy on local train data 97.917
Round  27, Devices participated 10, Average loss 0.088, Central accuracy on global test data 88.955, Local accuracy on global train data 62.905, Local accuracy on local train data 97.633
Round  28, Devices participated 10, Average loss 0.086, Central accuracy on global test data 89.629, Local accuracy on global train data 62.563, Local accuracy on local train data 98.300
Round  29, Devices participated 10, Average loss 0.103, Central accuracy on global test data 90.303, Local accuracy on global train data 56.074, Local accuracy on local train data 97.117
Round  30, Devices participated 10, Average loss 0.085, Central accuracy on global test data 88.135, Local accuracy on global train data 56.736, Local accuracy on local train data 97.667
Round  31, Devices participated 10, Average loss 0.063, Central accuracy on global test data 88.076, Local accuracy on global train data 60.959, Local accuracy on local train data 98.267
Round  32, Devices participated 10, Average loss 0.065, Central accuracy on global test data 90.332, Local accuracy on global train data 65.027, Local accuracy on local train data 98.500
Round  33, Devices participated 10, Average loss 0.073, Central accuracy on global test data 87.949, Local accuracy on global train data 55.930, Local accuracy on local train data 97.850
Round  34, Devices participated 10, Average loss 0.039, Central accuracy on global test data 89.082, Local accuracy on global train data 62.812, Local accuracy on local train data 98.817
Round  35, Devices participated 10, Average loss 0.064, Central accuracy on global test data 89.404, Local accuracy on global train data 62.097, Local accuracy on local train data 98.533
Round  36, Devices participated 10, Average loss 0.082, Central accuracy on global test data 91.260, Local accuracy on global train data 64.021, Local accuracy on local train data 97.867
Round  37, Devices participated 10, Average loss 0.105, Central accuracy on global test data 90.557, Local accuracy on global train data 67.339, Local accuracy on local train data 97.133
Round  38, Devices participated 10, Average loss 0.069, Central accuracy on global test data 90.547, Local accuracy on global train data 60.916, Local accuracy on local train data 98.050
Round  39, Devices participated 10, Average loss 0.048, Central accuracy on global test data 91.396, Local accuracy on global train data 65.547, Local accuracy on local train data 98.700
Round  40, Devices participated 10, Average loss 0.063, Central accuracy on global test data 92.109, Local accuracy on global train data 62.104, Local accuracy on local train data 98.167
Round  41, Devices participated 10, Average loss 0.106, Central accuracy on global test data 91.045, Local accuracy on global train data 67.617, Local accuracy on local train data 97.400
Round  42, Devices participated 10, Average loss 0.059, Central accuracy on global test data 90.781, Local accuracy on global train data 66.177, Local accuracy on local train data 98.300
Round  43, Devices participated 10, Average loss 0.053, Central accuracy on global test data 91.973, Local accuracy on global train data 64.431, Local accuracy on local train data 98.733
Round  44, Devices participated 10, Average loss 0.102, Central accuracy on global test data 91.475, Local accuracy on global train data 61.365, Local accuracy on local train data 97.233
Round  45, Devices participated 10, Average loss 0.056, Central accuracy on global test data 92.002, Local accuracy on global train data 74.629, Local accuracy on local train data 98.500
Round  46, Devices participated 10, Average loss 0.106, Central accuracy on global test data 90.898, Local accuracy on global train data 66.541, Local accuracy on local train data 97.017
Round  47, Devices participated 10, Average loss 0.037, Central accuracy on global test data 91.865, Local accuracy on global train data 70.491, Local accuracy on local train data 99.050
Round  48, Devices participated 10, Average loss 0.059, Central accuracy on global test data 92.012, Local accuracy on global train data 72.395, Local accuracy on local train data 98.483
Round  49, Devices participated 10, Average loss 0.051, Central accuracy on global test data 90.947, Local accuracy on global train data 74.727, Local accuracy on local train data 98.900
Round  50, Devices participated 10, Average loss 0.059, Central accuracy on global test data 91.436, Local accuracy on global train data 70.605, Local accuracy on local train data 98.450
Round  51, Devices participated 10, Average loss 0.048, Central accuracy on global test data 92.422, Local accuracy on global train data 74.607, Local accuracy on local train data 98.700
Round  52, Devices participated 10, Average loss 0.077, Central accuracy on global test data 90.693, Local accuracy on global train data 67.402, Local accuracy on local train data 98.200
Round  53, Devices participated 10, Average loss 0.057, Central accuracy on global test data 90.293, Local accuracy on global train data 72.083, Local accuracy on local train data 98.483
Round  54, Devices participated 10, Average loss 0.027, Central accuracy on global test data 90.068, Local accuracy on global train data 70.610, Local accuracy on local train data 99.300
Round  55, Devices participated 10, Average loss 0.056, Central accuracy on global test data 91.865, Local accuracy on global train data 67.847, Local accuracy on local train data 98.450
Round  56, Devices participated 10, Average loss 0.053, Central accuracy on global test data 92.334, Local accuracy on global train data 72.073, Local accuracy on local train data 98.517
Round  57, Devices participated 10, Average loss 0.055, Central accuracy on global test data 91.543, Local accuracy on global train data 75.574, Local accuracy on local train data 98.617
Round  58, Devices participated 10, Average loss 0.080, Central accuracy on global test data 91.963, Local accuracy on global train data 70.840, Local accuracy on local train data 97.867
Round  59, Devices participated 10, Average loss 0.041, Central accuracy on global test data 92.334, Local accuracy on global train data 75.083, Local accuracy on local train data 98.817
Round  60, Devices participated 10, Average loss 0.058, Central accuracy on global test data 92.227, Local accuracy on global train data 69.390, Local accuracy on local train data 98.367
Round  61, Devices participated 10, Average loss 0.074, Central accuracy on global test data 92.715, Local accuracy on global train data 69.893, Local accuracy on local train data 98.383
Round  62, Devices participated 10, Average loss 0.043, Central accuracy on global test data 92.432, Local accuracy on global train data 72.996, Local accuracy on local train data 98.767
Round  63, Devices participated 10, Average loss 0.034, Central accuracy on global test data 92.676, Local accuracy on global train data 73.579, Local accuracy on local train data 99.067
Round  64, Devices participated 10, Average loss 0.048, Central accuracy on global test data 91.641, Local accuracy on global train data 74.624, Local accuracy on local train data 98.683
Round  65, Devices participated 10, Average loss 0.091, Central accuracy on global test data 92.715, Local accuracy on global train data 76.248, Local accuracy on local train data 97.550
Round  66, Devices participated 10, Average loss 0.070, Central accuracy on global test data 92.324, Local accuracy on global train data 76.477, Local accuracy on local train data 98.300
Round  67, Devices participated 10, Average loss 0.026, Central accuracy on global test data 92.715, Local accuracy on global train data 72.295, Local accuracy on local train data 99.317
Round  68, Devices participated 10, Average loss 0.032, Central accuracy on global test data 92.656, Local accuracy on global train data 76.758, Local accuracy on local train data 99.050
Round  69, Devices participated 10, Average loss 0.035, Central accuracy on global test data 90.244, Local accuracy on global train data 70.916, Local accuracy on local train data 98.950
Round  70, Devices participated 10, Average loss 0.057, Central accuracy on global test data 92.422, Local accuracy on global train data 71.560, Local accuracy on local train data 98.367
Round  71, Devices participated 10, Average loss 0.042, Central accuracy on global test data 92.559, Local accuracy on global train data 71.145, Local accuracy on local train data 98.717
Round  72, Devices participated 10, Average loss 0.031, Central accuracy on global test data 92.705, Local accuracy on global train data 76.135, Local accuracy on local train data 99.033
Round  73, Devices participated 10, Average loss 0.033, Central accuracy on global test data 93.145, Local accuracy on global train data 78.577, Local accuracy on local train data 99.250
Round  74, Devices participated 10, Average loss 0.098, Central accuracy on global test data 92.627, Local accuracy on global train data 72.354, Local accuracy on local train data 98.000
Round  75, Devices participated 10, Average loss 0.063, Central accuracy on global test data 92.998, Local accuracy on global train data 73.875, Local accuracy on local train data 98.450
Round  76, Devices participated 10, Average loss 0.036, Central accuracy on global test data 93.125, Local accuracy on global train data 75.330, Local accuracy on local train data 98.900
Round  77, Devices participated 10, Average loss 0.039, Central accuracy on global test data 93.135, Local accuracy on global train data 73.010, Local accuracy on local train data 98.933
Round  78, Devices participated 10, Average loss 0.041, Central accuracy on global test data 92.705, Local accuracy on global train data 75.483, Local accuracy on local train data 98.883
Round  79, Devices participated 10, Average loss 0.039, Central accuracy on global test data 93.789, Local accuracy on global train data 81.045, Local accuracy on local train data 99.100
Round  80, Devices participated 10, Average loss 0.109, Central accuracy on global test data 93.125, Local accuracy on global train data 72.546, Local accuracy on local train data 97.950
Round  81, Devices participated 10, Average loss 0.028, Central accuracy on global test data 92.783, Local accuracy on global train data 77.190, Local accuracy on local train data 99.083
Round  82, Devices participated 10, Average loss 0.025, Central accuracy on global test data 91.953, Local accuracy on global train data 75.347, Local accuracy on local train data 99.350
Round  83, Devices participated 10, Average loss 0.064, Central accuracy on global test data 92.549, Local accuracy on global train data 71.072, Local accuracy on local train data 98.350
Round  84, Devices participated 10, Average loss 0.072, Central accuracy on global test data 92.822, Local accuracy on global train data 76.445, Local accuracy on local train data 98.250
Round  85, Devices participated 10, Average loss 0.041, Central accuracy on global test data 93.262, Local accuracy on global train data 79.270, Local accuracy on local train data 98.850
Round  86, Devices participated 10, Average loss 0.020, Central accuracy on global test data 93.291, Local accuracy on global train data 81.223, Local accuracy on local train data 99.483
Round  87, Devices participated 10, Average loss 0.056, Central accuracy on global test data 93.115, Local accuracy on global train data 74.558, Local accuracy on local train data 98.550
Round  88, Devices participated 10, Average loss 0.024, Central accuracy on global test data 93.389, Local accuracy on global train data 80.842, Local accuracy on local train data 99.433
Round  89, Devices participated 10, Average loss 0.023, Central accuracy on global test data 90.654, Local accuracy on global train data 80.996, Local accuracy on local train data 99.250
Round  90, Devices participated 10, Average loss 0.035, Central accuracy on global test data 91.621, Local accuracy on global train data 76.973, Local accuracy on local train data 98.983
Round  91, Devices participated 10, Average loss 0.061, Central accuracy on global test data 92.969, Local accuracy on global train data 74.905, Local accuracy on local train data 98.250
Round  92, Devices participated 10, Average loss 0.023, Central accuracy on global test data 93.701, Local accuracy on global train data 80.005, Local accuracy on local train data 99.267
Round  93, Devices participated 10, Average loss 0.032, Central accuracy on global test data 93.145, Local accuracy on global train data 76.768, Local accuracy on local train data 99.100
Round  94, Devices participated 10, Average loss 0.028, Central accuracy on global test data 93.711, Local accuracy on global train data 86.597, Local accuracy on local train data 99.350
Round  95, Devices participated 10, Average loss 0.021, Central accuracy on global test data 91.025, Local accuracy on global train data 80.488, Local accuracy on local train data 99.350
Round  96, Devices participated 10, Average loss 0.088, Central accuracy on global test data 92.842, Local accuracy on global train data 74.146, Local accuracy on local train data 97.583
Round  97, Devices participated 10, Average loss 0.034, Central accuracy on global test data 92.695, Local accuracy on global train data 73.354, Local accuracy on local train data 99.117
Round  98, Devices participated 10, Average loss 0.032, Central accuracy on global test data 92.344, Local accuracy on global train data 78.545, Local accuracy on local train data 99.033
Round  99, Devices participated 10, Average loss 0.047, Central accuracy on global test data 93.643, Local accuracy on global train data 76.633, Local accuracy on local train data 98.683
Round 100, Devices participated 10, Average loss 0.029, Central accuracy on global test data 93.389, Local accuracy on global train data 76.257, Local accuracy on local train data 99.300
Round 101, Devices participated 10, Average loss 0.029, Central accuracy on global test data 93.594, Local accuracy on global train data 79.536, Local accuracy on local train data 99.067
Round 102, Devices participated 10, Average loss 0.101, Central accuracy on global test data 92.998, Local accuracy on global train data 72.124, Local accuracy on local train data 97.650
Round 103, Devices participated 10, Average loss 0.029, Central accuracy on global test data 93.262, Local accuracy on global train data 75.615, Local accuracy on local train data 99.117
Round 104, Devices participated 10, Average loss 0.027, Central accuracy on global test data 93.418, Local accuracy on global train data 79.841, Local accuracy on local train data 99.267
Round 105, Devices participated 10, Average loss 0.041, Central accuracy on global test data 93.633, Local accuracy on global train data 78.445, Local accuracy on local train data 98.917
Round 106, Devices participated 10, Average loss 0.074, Central accuracy on global test data 92.939, Local accuracy on global train data 84.753, Local accuracy on local train data 98.567
Round 107, Devices participated 10, Average loss 0.026, Central accuracy on global test data 88.262, Local accuracy on global train data 78.037, Local accuracy on local train data 99.367
Round 108, Devices participated 10, Average loss 0.038, Central accuracy on global test data 91.709, Local accuracy on global train data 76.357, Local accuracy on local train data 98.917
Round 109, Devices participated 10, Average loss 0.041, Central accuracy on global test data 93.154, Local accuracy on global train data 79.431, Local accuracy on local train data 98.817
Round 110, Devices participated 10, Average loss 0.020, Central accuracy on global test data 92.910, Local accuracy on global train data 84.556, Local accuracy on local train data 99.450
Round 111, Devices participated 10, Average loss 0.027, Central accuracy on global test data 93.193, Local accuracy on global train data 85.588, Local accuracy on local train data 99.200
Round 112, Devices participated 10, Average loss 0.035, Central accuracy on global test data 93.145, Local accuracy on global train data 85.300, Local accuracy on local train data 99.117
Round 113, Devices participated 10, Average loss 0.033, Central accuracy on global test data 91.865, Local accuracy on global train data 78.574, Local accuracy on local train data 99.033
Round 114, Devices participated 10, Average loss 0.033, Central accuracy on global test data 93.906, Local accuracy on global train data 78.066, Local accuracy on local train data 99.150
Round 115, Devices participated 10, Average loss 0.016, Central accuracy on global test data 92.266, Local accuracy on global train data 82.415, Local accuracy on local train data 99.483
Round 116, Devices participated 10, Average loss 0.033, Central accuracy on global test data 94.131, Local accuracy on global train data 75.210, Local accuracy on local train data 99.117
Round 117, Devices participated 10, Average loss 0.019, Central accuracy on global test data 93.125, Local accuracy on global train data 84.524, Local accuracy on local train data 99.433
Round 118, Devices participated 10, Average loss 0.014, Central accuracy on global test data 94.199, Local accuracy on global train data 79.482, Local accuracy on local train data 99.533
Round 119, Devices participated 10, Average loss 0.038, Central accuracy on global test data 94.092, Local accuracy on global train data 83.699, Local accuracy on local train data 98.900
Round 120, Devices participated 10, Average loss 0.032, Central accuracy on global test data 93.691, Local accuracy on global train data 82.852, Local accuracy on local train data 99.167
Round 121, Devices participated 10, Average loss 0.016, Central accuracy on global test data 93.604, Local accuracy on global train data 81.768, Local accuracy on local train data 99.533
Round 122, Devices participated 10, Average loss 0.014, Central accuracy on global test data 94.004, Local accuracy on global train data 84.102, Local accuracy on local train data 99.633
Round 123, Devices participated 10, Average loss 0.017, Central accuracy on global test data 93.047, Local accuracy on global train data 87.844, Local accuracy on local train data 99.433
Round 124, Devices participated 10, Average loss 0.024, Central accuracy on global test data 93.262, Local accuracy on global train data 87.817, Local accuracy on local train data 99.400
Round 125, Devices participated 10, Average loss 0.042, Central accuracy on global test data 93.838, Local accuracy on global train data 82.961, Local accuracy on local train data 98.817
Round 126, Devices participated 10, Average loss 0.019, Central accuracy on global test data 94.121, Local accuracy on global train data 81.829, Local accuracy on local train data 99.367
Round 127, Devices participated 10, Average loss 0.014, Central accuracy on global test data 93.779, Local accuracy on global train data 87.715, Local accuracy on local train data 99.583
Round 128, Devices participated 10, Average loss 0.056, Central accuracy on global test data 93.643, Local accuracy on global train data 79.226, Local accuracy on local train data 98.750
Round 129, Devices participated 10, Average loss 0.036, Central accuracy on global test data 92.061, Local accuracy on global train data 79.771, Local accuracy on local train data 99.133
Round 130, Devices participated 10, Average loss 0.025, Central accuracy on global test data 93.418, Local accuracy on global train data 77.166, Local accuracy on local train data 99.183
Round 131, Devices participated 10, Average loss 0.018, Central accuracy on global test data 93.545, Local accuracy on global train data 80.793, Local accuracy on local train data 99.483
Round 132, Devices participated 10, Average loss 0.034, Central accuracy on global test data 94.316, Local accuracy on global train data 83.054, Local accuracy on local train data 99.100
Round 133, Devices participated 10, Average loss 0.021, Central accuracy on global test data 94.082, Local accuracy on global train data 82.439, Local accuracy on local train data 99.333
Round 134, Devices participated 10, Average loss 0.041, Central accuracy on global test data 94.326, Local accuracy on global train data 81.245, Local accuracy on local train data 99.200
Round 135, Devices participated 10, Average loss 0.017, Central accuracy on global test data 93.984, Local accuracy on global train data 80.908, Local accuracy on local train data 99.583
Round 136, Devices participated 10, Average loss 0.047, Central accuracy on global test data 93.447, Local accuracy on global train data 81.003, Local accuracy on local train data 98.700
Round 137, Devices participated 10, Average loss 0.017, Central accuracy on global test data 93.955, Local accuracy on global train data 84.277, Local accuracy on local train data 99.417
Round 138, Devices participated 10, Average loss 0.063, Central accuracy on global test data 94.033, Local accuracy on global train data 80.459, Local accuracy on local train data 98.467
