python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --fedmas 1.0

Round   0, Devices participated 10, Average loss 0.327, Central accuracy on global test data 28.799, Local accuracy on global train data 19.961, Local accuracy on local train data 93.117
Round   1, Devices participated 10, Average loss 0.298, Central accuracy on global test data 35.117, Local accuracy on global train data 17.454, Local accuracy on local train data 93.567
Round   2, Devices participated 10, Average loss 0.234, Central accuracy on global test data 44.814, Local accuracy on global train data 20.208, Local accuracy on local train data 95.467
Round   3, Devices participated 10, Average loss 0.216, Central accuracy on global test data 50.479, Local accuracy on global train data 22.463, Local accuracy on local train data 95.450
Round   4, Devices participated 10, Average loss 0.177, Central accuracy on global test data 61.641, Local accuracy on global train data 24.185, Local accuracy on local train data 96.667
Round   5, Devices participated 10, Average loss 0.174, Central accuracy on global test data 58.359, Local accuracy on global train data 26.853, Local accuracy on local train data 96.233
Round   6, Devices participated 10, Average loss 0.164, Central accuracy on global test data 62.588, Local accuracy on global train data 30.554, Local accuracy on local train data 97.000
Round   7, Devices participated 10, Average loss 0.198, Central accuracy on global test data 74.473, Local accuracy on global train data 31.497, Local accuracy on local train data 95.383
Round   8, Devices participated 10, Average loss 0.141, Central accuracy on global test data 76.436, Local accuracy on global train data 34.197, Local accuracy on local train data 97.050
Round   9, Devices participated 10, Average loss 0.149, Central accuracy on global test data 77.256, Local accuracy on global train data 38.574, Local accuracy on local train data 96.483
Round  10, Devices participated 10, Average loss 0.151, Central accuracy on global test data 78.555, Local accuracy on global train data 41.011, Local accuracy on local train data 96.783
Round  11, Devices participated 10, Average loss 0.110, Central accuracy on global test data 75.205, Local accuracy on global train data 45.803, Local accuracy on local train data 98.000
Round  12, Devices participated 10, Average loss 0.164, Central accuracy on global test data 76.367, Local accuracy on global train data 45.051, Local accuracy on local train data 96.367
Round  13, Devices participated 10, Average loss 0.131, Central accuracy on global test data 80.781, Local accuracy on global train data 45.977, Local accuracy on local train data 97.350
Round  14, Devices participated 10, Average loss 0.161, Central accuracy on global test data 84.102, Local accuracy on global train data 53.818, Local accuracy on local train data 96.117
Round  15, Devices participated 10, Average loss 0.137, Central accuracy on global test data 84.805, Local accuracy on global train data 52.686, Local accuracy on local train data 96.850
Round  16, Devices participated 10, Average loss 0.149, Central accuracy on global test data 86.182, Local accuracy on global train data 53.203, Local accuracy on local train data 96.600
Round  17, Devices participated 10, Average loss 0.106, Central accuracy on global test data 86.396, Local accuracy on global train data 52.341, Local accuracy on local train data 97.883
Round  18, Devices participated 10, Average loss 0.139, Central accuracy on global test data 83.594, Local accuracy on global train data 53.503, Local accuracy on local train data 96.633
Round  19, Devices participated 10, Average loss 0.095, Central accuracy on global test data 82.070, Local accuracy on global train data 55.715, Local accuracy on local train data 98.233
Round  20, Devices participated 10, Average loss 0.140, Central accuracy on global test data 83.926, Local accuracy on global train data 50.532, Local accuracy on local train data 96.983
Round  21, Devices participated 10, Average loss 0.108, Central accuracy on global test data 83.584, Local accuracy on global train data 59.121, Local accuracy on local train data 97.717
Round  22, Devices participated 10, Average loss 0.104, Central accuracy on global test data 86.650, Local accuracy on global train data 61.704, Local accuracy on local train data 97.683
Round  23, Devices participated 10, Average loss 0.119, Central accuracy on global test data 75.381, Local accuracy on global train data 59.641, Local accuracy on local train data 97.417
Round  24, Devices participated 10, Average loss 0.126, Central accuracy on global test data 85.615, Local accuracy on global train data 54.988, Local accuracy on local train data 97.600
Round  25, Devices participated 10, Average loss 0.111, Central accuracy on global test data 85.801, Local accuracy on global train data 60.557, Local accuracy on local train data 97.867
