python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 
--nn_refresh 0 --noniid_hard --weight_init kaiming --bias_init zero

Round   0, Devices participated 10, Average loss 0.089, Central accuracy on global test data 18.457, Ensemble accuracy on global test data 17.500, Local accuracy on global train data 12.041, Local accuracy on local train data 97.750
Round   1, Devices participated 10, Average loss 0.113, Central accuracy on global test data 25.000, Ensemble accuracy on global test data 23.838, Local accuracy on global train data 10.869, Local accuracy on local train data 98.350
Round   2, Devices participated 10, Average loss 0.163, Central accuracy on global test data 23.955, Ensemble accuracy on global test data 24.365, Local accuracy on global train data 12.034, Local accuracy on local train data 98.217
Round   3, Devices participated 10, Average loss 0.142, Central accuracy on global test data 34.658, Ensemble accuracy on global test data 35.732, Local accuracy on global train data 12.302, Local accuracy on local train data 98.617
Round   4, Devices participated 10, Average loss 0.153, Central accuracy on global test data 46.709, Ensemble accuracy on global test data 45.918, Local accuracy on global train data 17.258, Local accuracy on local train data 98.000
Round   5, Devices participated 10, Average loss 0.053, Central accuracy on global test data 45.205, Ensemble accuracy on global test data 44.531, Local accuracy on global train data 18.484, Local accuracy on local train data 99.133
Round   6, Devices participated 10, Average loss 0.092, Central accuracy on global test data 54.111, Ensemble accuracy on global test data 53.770, Local accuracy on global train data 16.467, Local accuracy on local train data 98.467
Round   7, Devices participated 10, Average loss 0.104, Central accuracy on global test data 30.771, Ensemble accuracy on global test data 29.688, Local accuracy on global train data 16.521, Local accuracy on local train data 98.600
Round   8, Devices participated 10, Average loss 0.188, Central accuracy on global test data 47.080, Ensemble accuracy on global test data 44.863, Local accuracy on global train data 15.989, Local accuracy on local train data 98.217
Round   9, Devices participated 10, Average loss 0.084, Central accuracy on global test data 54.102, Ensemble accuracy on global test data 53.672, Local accuracy on global train data 26.838, Local accuracy on local train data 98.850
Round  10, Devices participated 10, Average loss 0.050, Central accuracy on global test data 53.525, Ensemble accuracy on global test data 53.945, Local accuracy on global train data 32.585, Local accuracy on local train data 99.050
Round  11, Devices participated 10, Average loss 0.178, Central accuracy on global test data 62.568, Ensemble accuracy on global test data 62.119, Local accuracy on global train data 30.769, Local accuracy on local train data 98.200
Round  12, Devices participated 10, Average loss 0.061, Central accuracy on global test data 63.447, Ensemble accuracy on global test data 63.506, Local accuracy on global train data 30.583, Local accuracy on local train data 98.617
Round  13, Devices participated 10, Average loss 0.055, Central accuracy on global test data 62.324, Ensemble accuracy on global test data 61.885, Local accuracy on global train data 32.590, Local accuracy on local train data 98.917
Round  14, Devices participated 10, Average loss 0.049, Central accuracy on global test data 67.783, Ensemble accuracy on global test data 66.748, Local accuracy on global train data 39.812, Local accuracy on local train data 98.933
Round  15, Devices participated 10, Average loss 0.042, Central accuracy on global test data 63.018, Ensemble accuracy on global test data 62.451, Local accuracy on global train data 28.689, Local accuracy on local train data 99.067
Round  16, Devices participated 10, Average loss 0.064, Central accuracy on global test data 69.629, Ensemble accuracy on global test data 68.369, Local accuracy on global train data 28.127, Local accuracy on local train data 98.850
Round  17, Devices participated 10, Average loss 0.077, Central accuracy on global test data 66.416, Ensemble accuracy on global test data 66.963, Local accuracy on global train data 40.334, Local accuracy on local train data 98.683
Round  18, Devices participated 10, Average loss 0.042, Central accuracy on global test data 67.148, Ensemble accuracy on global test data 66.650, Local accuracy on global train data 42.637, Local accuracy on local train data 99.117
Round  19, Devices participated 10, Average loss 0.042, Central accuracy on global test data 64.697, Ensemble accuracy on global test data 65.068, Local accuracy on global train data 38.462, Local accuracy on local train data 99.133
Round  20, Devices participated 10, Average loss 0.059, Central accuracy on global test data 67.412, Ensemble accuracy on global test data 68.389, Local accuracy on global train data 39.563, Local accuracy on local train data 99.017
Round  21, Devices participated 10, Average loss 0.067, Central accuracy on global test data 72.314, Ensemble accuracy on global test data 71.875, Local accuracy on global train data 35.828, Local accuracy on local train data 98.717
Round  22, Devices participated 10, Average loss 0.052, Central accuracy on global test data 72.070, Ensemble accuracy on global test data 70.547, Local accuracy on global train data 31.582, Local accuracy on local train data 99.033
Round  23, Devices participated 10, Average loss 0.050, Central accuracy on global test data 63.945, Ensemble accuracy on global test data 64.229, Local accuracy on global train data 37.734, Local accuracy on local train data 98.933
Round  24, Devices participated 10, Average loss 0.057, Central accuracy on global test data 74.590, Ensemble accuracy on global test data 74.258, Local accuracy on global train data 42.854, Local accuracy on local train data 99.000
Round  25, Devices participated 10, Average loss 0.033, Central accuracy on global test data 77.109, Ensemble accuracy on global test data 76.328, Local accuracy on global train data 38.208, Local accuracy on local train data 99.183
Round  26, Devices participated 10, Average loss 0.078, Central accuracy on global test data 73.174, Ensemble accuracy on global test data 72.324, Local accuracy on global train data 35.066, Local accuracy on local train data 98.550
Round  27, Devices participated 10, Average loss 0.035, Central accuracy on global test data 71.162, Ensemble accuracy on global test data 70.723, Local accuracy on global train data 42.188, Local accuracy on local train data 99.183
Round  28, Devices participated 10, Average loss 0.026, Central accuracy on global test data 71.064, Ensemble accuracy on global test data 70.469, Local accuracy on global train data 36.082, Local accuracy on local train data 99.283
Round  29, Devices participated 10, Average loss 0.047, Central accuracy on global test data 75.186, Ensemble accuracy on global test data 75.283, Local accuracy on global train data 35.835, Local accuracy on local train data 99.000
Round  30, Devices participated 10, Average loss 0.031, Central accuracy on global test data 71.641, Ensemble accuracy on global test data 71.436, Local accuracy on global train data 36.016, Local accuracy on local train data 99.100
Round  31, Devices participated 10, Average loss 0.060, Central accuracy on global test data 74.209, Ensemble accuracy on global test data 71.670, Local accuracy on global train data 41.084, Local accuracy on local train data 98.583
Round  32, Devices participated 10, Average loss 0.047, Central accuracy on global test data 80.088, Ensemble accuracy on global test data 80.068, Local accuracy on global train data 46.729, Local accuracy on local train data 98.983
Round  33, Devices participated 10, Average loss 0.025, Central accuracy on global test data 75.400, Ensemble accuracy on global test data 74.854, Local accuracy on global train data 47.981, Local accuracy on local train data 99.383
Round  34, Devices participated 10, Average loss 0.027, Central accuracy on global test data 78.096, Ensemble accuracy on global test data 78.291, Local accuracy on global train data 41.775, Local accuracy on local train data 99.267
Round  35, Devices participated 10, Average loss 0.039, Central accuracy on global test data 75.898, Ensemble accuracy on global test data 73.916, Local accuracy on global train data 45.339, Local accuracy on local train data 98.917
Round  36, Devices participated 10, Average loss 0.047, Central accuracy on global test data 74.971, Ensemble accuracy on global test data 74.463, Local accuracy on global train data 42.922, Local accuracy on local train data 98.983
Round  37, Devices participated 10, Average loss 0.059, Central accuracy on global test data 73.467, Ensemble accuracy on global test data 71.279, Local accuracy on global train data 33.130, Local accuracy on local train data 98.700
Round  38, Devices participated 10, Average loss 0.025, Central accuracy on global test data 80.010, Ensemble accuracy on global test data 79.277, Local accuracy on global train data 40.479, Local accuracy on local train data 99.183
Round  39, Devices participated 10, Average loss 0.018, Central accuracy on global test data 81.045, Ensemble accuracy on global test data 81.016, Local accuracy on global train data 48.372, Local accuracy on local train data 99.383
Round  40, Devices participated 10, Average loss 0.029, Central accuracy on global test data 77.842, Ensemble accuracy on global test data 77.461, Local accuracy on global train data 40.828, Local accuracy on local train data 99.333
Round  41, Devices participated 10, Average loss 0.038, Central accuracy on global test data 78.428, Ensemble accuracy on global test data 77.451, Local accuracy on global train data 40.520, Local accuracy on local train data 99.200
Round  42, Devices participated 10, Average loss 0.029, Central accuracy on global test data 80.928, Ensemble accuracy on global test data 80.615, Local accuracy on global train data 42.261, Local accuracy on local train data 99.233
Round  43, Devices participated 10, Average loss 0.048, Central accuracy on global test data 81.074, Ensemble accuracy on global test data 80.527, Local accuracy on global train data 45.352, Local accuracy on local train data 98.917
Round  44, Devices participated 10, Average loss 0.021, Central accuracy on global test data 82.119, Ensemble accuracy on global test data 81.943, Local accuracy on global train data 50.681, Local accuracy on local train data 99.383
Round  45, Devices participated 10, Average loss 0.033, Central accuracy on global test data 81.777, Ensemble accuracy on global test data 81.885, Local accuracy on global train data 50.396, Local accuracy on local train data 99.283
Round  46, Devices participated 10, Average loss 0.024, Central accuracy on global test data 81.123, Ensemble accuracy on global test data 80.811, Local accuracy on global train data 55.247, Local accuracy on local train data 99.283
Round  47, Devices participated 10, Average loss 0.024, Central accuracy on global test data 80.469, Ensemble accuracy on global test data 80.361, Local accuracy on global train data 52.817, Local accuracy on local train data 99.350
Round  48, Devices participated 10, Average loss 0.032, Central accuracy on global test data 82.666, Ensemble accuracy on global test data 82.148, Local accuracy on global train data 54.338, Local accuracy on local train data 99.233
Round  49, Devices participated 10, Average loss 0.024, Central accuracy on global test data 80.498, Ensemble accuracy on global test data 79.502, Local accuracy on global train data 37.544, Local accuracy on local train data 99.333
Round  50, Devices participated 10, Average loss 0.022, Central accuracy on global test data 82.109, Ensemble accuracy on global test data 81.768, Local accuracy on global train data 49.526, Local accuracy on local train data 99.450
Round  51, Devices participated 10, Average loss 0.020, Central accuracy on global test data 81.885, Ensemble accuracy on global test data 81.709, Local accuracy on global train data 48.630, Local accuracy on local train data 99.400
Round  52, Devices participated 10, Average loss 0.026, Central accuracy on global test data 78.252, Ensemble accuracy on global test data 77.314, Local accuracy on global train data 35.449, Local accuracy on local train data 99.283
Round  53, Devices participated 10, Average loss 0.027, Central accuracy on global test data 84.209, Ensemble accuracy on global test data 83.594, Local accuracy on global train data 45.481, Local accuracy on local train data 99.317
Round  54, Devices participated 10, Average loss 0.019, Central accuracy on global test data 80.625, Ensemble accuracy on global test data 80.352, Local accuracy on global train data 46.841, Local accuracy on local train data 99.417
Round  55, Devices participated 10, Average loss 0.029, Central accuracy on global test data 83.047, Ensemble accuracy on global test data 82.861, Local accuracy on global train data 47.554, Local accuracy on local train data 99.350
