python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 
--weight_init random --bias_init zeros --noniid_hard

Round   0, Devices participated 10, Average loss 0.302, Central accuracy on global test data 23.877, Ensemble accuracy on global test data 24.355, Local accuracy on global train data 11.318, Local accuracy on local train data 94.967
Round   1, Devices participated 10, Average loss 0.289, Central accuracy on global test data 36.836, Ensemble accuracy on global test data 35.635, Local accuracy on global train data 12.473, Local accuracy on local train data 96.483
Round   2, Devices participated 10, Average loss 0.307, Central accuracy on global test data 40.811, Ensemble accuracy on global test data 41.152, Local accuracy on global train data 23.184, Local accuracy on local train data 97.683
Round   3, Devices participated 10, Average loss 0.550, Central accuracy on global test data 43.125, Ensemble accuracy on global test data 42.646, Local accuracy on global train data 21.943, Local accuracy on local train data 96.483
Round   4, Devices participated 10, Average loss 0.289, Central accuracy on global test data 46.162, Ensemble accuracy on global test data 45.859, Local accuracy on global train data 27.100, Local accuracy on local train data 96.800
Round   5, Devices participated 10, Average loss 0.110, Central accuracy on global test data 51.289, Ensemble accuracy on global test data 51.133, Local accuracy on global train data 28.550, Local accuracy on local train data 98.733
Round   6, Devices participated 10, Average loss 0.119, Central accuracy on global test data 55.498, Ensemble accuracy on global test data 55.098, Local accuracy on global train data 30.198, Local accuracy on local train data 98.267
Round   7, Devices participated 10, Average loss 0.104, Central accuracy on global test data 32.656, Ensemble accuracy on global test data 32.646, Local accuracy on global train data 23.113, Local accuracy on local train data 98.317
Round   8, Devices participated 10, Average loss 0.157, Central accuracy on global test data 45.684, Ensemble accuracy on global test data 45.986, Local accuracy on global train data 22.688, Local accuracy on local train data 98.283
Round   9, Devices participated 10, Average loss 0.077, Central accuracy on global test data 50.312, Ensemble accuracy on global test data 50.176, Local accuracy on global train data 33.618, Local accuracy on local train data 98.667
Round  10, Devices participated 10, Average loss 0.076, Central accuracy on global test data 55.908, Ensemble accuracy on global test data 55.518, Local accuracy on global train data 37.720, Local accuracy on local train data 98.967
Round  11, Devices participated 10, Average loss 0.141, Central accuracy on global test data 50.332, Ensemble accuracy on global test data 49.141, Local accuracy on global train data 29.324, Local accuracy on local train data 97.917
Round  12, Devices participated 10, Average loss 0.062, Central accuracy on global test data 41.875, Ensemble accuracy on global test data 38.340, Local accuracy on global train data 30.225, Local accuracy on local train data 98.517
Round  13, Devices participated 10, Average loss 0.080, Central accuracy on global test data 52.480, Ensemble accuracy on global test data 49.609, Local accuracy on global train data 26.565, Local accuracy on local train data 98.717
Round  14, Devices participated 10, Average loss 0.047, Central accuracy on global test data 61.025, Ensemble accuracy on global test data 58.740, Local accuracy on global train data 29.060, Local accuracy on local train data 98.700
Round  15, Devices participated 10, Average loss 0.041, Central accuracy on global test data 54.268, Ensemble accuracy on global test data 52.148, Local accuracy on global train data 27.002, Local accuracy on local train data 98.950
Round  16, Devices participated 10, Average loss 0.042, Central accuracy on global test data 63.008, Ensemble accuracy on global test data 62.383, Local accuracy on global train data 28.904, Local accuracy on local train data 99.117
