python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --weight_init random --bias_init random --noniid_hard

Round   0, Devices participated 10, Average loss 0.305, Central accuracy on global test data 23.408, Ensemble accuracy on global test data 24.502, Local accuracy on global train data 11.277, Local accuracy on local train data 95.250
Round   1, Devices participated 10, Average loss 0.333, Central accuracy on global test data 35.762, Ensemble accuracy on global test data 35.898, Local accuracy on global train data 14.338, Local accuracy on local train data 95.533
Round   2, Devices participated 10, Average loss 0.297, Central accuracy on global test data 35.654, Ensemble accuracy on global test data 35.654, Local accuracy on global train data 25.398, Local accuracy on local train data 95.850
Round   3, Devices participated 10, Average loss 0.432, Central accuracy on global test data 36.094, Ensemble accuracy on global test data 38.428, Local accuracy on global train data 26.287, Local accuracy on local train data 94.317
Round   4, Devices participated 10, Average loss 0.228, Central accuracy on global test data 44.902, Ensemble accuracy on global test data 48.447, Local accuracy on global train data 28.838, Local accuracy on local train data 95.117
Round   5, Devices participated 10, Average loss 0.066, Central accuracy on global test data 40.098, Ensemble accuracy on global test data 46.729, Local accuracy on global train data 28.862, Local accuracy on local train data 98.283
Round   6, Devices participated 10, Average loss 0.084, Central accuracy on global test data 41.562, Ensemble accuracy on global test data 43.936, Local accuracy on global train data 29.197, Local accuracy on local train data 97.817
Round   7, Devices participated 10, Average loss 0.085, Central accuracy on global test data 32.549, Ensemble accuracy on global test data 33.105, Local accuracy on global train data 23.767, Local accuracy on local train data 97.450
Round   8, Devices participated 10, Average loss 0.087, Central accuracy on global test data 43.906, Ensemble accuracy on global test data 44.629, Local accuracy on global train data 24.319, Local accuracy on local train data 97.967
Round   9, Devices participated 10, Average loss 0.059, Central accuracy on global test data 47.627, Ensemble accuracy on global test data 47.773, Local accuracy on global train data 31.023, Local accuracy on local train data 98.700
Round  10, Devices participated 10, Average loss 0.039, Central accuracy on global test data 47.295, Ensemble accuracy on global test data 46.689, Local accuracy on global train data 32.112, Local accuracy on local train data 98.867
Round  11, Devices participated 10, Average loss 0.068, Central accuracy on global test data 37.939, Ensemble accuracy on global test data 37.217, Local accuracy on global train data 26.455, Local accuracy on local train data 98.350
Round  12, Devices participated 10, Average loss 0.042, Central accuracy on global test data 34.160, Ensemble accuracy on global test data 34.033, Local accuracy on global train data 27.520, Local accuracy on local train data 98.850
Round  13, Devices participated 10, Average loss 0.058, Central accuracy on global test data 35.293, Ensemble accuracy on global test data 36.064, Local accuracy on global train data 22.136, Local accuracy on local train data 98.650
Round  14, Devices participated 10, Average loss 0.063, Central accuracy on global test data 51.729, Ensemble accuracy on global test data 53.848, Local accuracy on global train data 26.062, Local accuracy on local train data 98.417
Round  15, Devices participated 10, Average loss 0.044, Central accuracy on global test data 57.422, Ensemble accuracy on global test data 63.203, Local accuracy on global train data 24.617, Local accuracy on local train data 99.000
Round  16, Devices participated 10, Average loss 0.038, Central accuracy on global test data 57.412, Ensemble accuracy on global test data 58.037, Local accuracy on global train data 26.816, Local accuracy on local train data 99.033
Round  17, Devices participated 10, Average loss 0.046, Central accuracy on global test data 56.572, Ensemble accuracy on global test data 58.623, Local accuracy on global train data 28.906, Local accuracy on local train data 98.600
Round  18, Devices participated 10, Average loss 0.029, Central accuracy on global test data 47.148, Ensemble accuracy on global test data 47.148, Local accuracy on global train data 31.760, Local accuracy on local train data 99.333
Round  19, Devices participated 10, Average loss 0.030, Central accuracy on global test data 50.928, Ensemble accuracy on global test data 51.221, Local accuracy on global train data 29.839, Local accuracy on local train data 99.150
Round  20, Devices participated 10, Average loss 0.042, Central accuracy on global test data 49.424, Ensemble accuracy on global test data 49.316, Local accuracy on global train data 29.429, Local accuracy on local train data 98.933
Round  21, Devices participated 10, Average loss 0.044, Central accuracy on global test data 50.107, Ensemble accuracy on global test data 50.117, Local accuracy on global train data 29.834, Local accuracy on local train data 98.767
Round  22, Devices participated 10, Average loss 0.033, Central accuracy on global test data 55.840, Ensemble accuracy on global test data 60.127, Local accuracy on global train data 27.966, Local accuracy on local train data 99.133
Round  23, Devices participated 10, Average loss 0.034, Central accuracy on global test data 36.055, Ensemble accuracy on global test data 36.162, Local accuracy on global train data 23.508, Local accuracy on local train data 98.900
Round  24, Devices participated 10, Average loss 0.036, Central accuracy on global test data 53.711, Ensemble accuracy on global test data 55.117, Local accuracy on global train data 26.589, Local accuracy on local train data 99.067
Round  25, Devices participated 10, Average loss 0.034, Central accuracy on global test data 56.338, Ensemble accuracy on global test data 57.725, Local accuracy on global train data 26.768, Local accuracy on local train data 99.067
Round  26, Devices participated 10, Average loss 0.051, Central accuracy on global test data 60.518, Ensemble accuracy on global test data 60.586, Local accuracy on global train data 26.870, Local accuracy on local train data 98.400
Round  27, Devices participated 10, Average loss 0.026, Central accuracy on global test data 59.756, Ensemble accuracy on global test data 58.213, Local accuracy on global train data 29.556, Local accuracy on local train data 99.300
Round  28, Devices participated 10, Average loss 0.028, Central accuracy on global test data 62.314, Ensemble accuracy on global test data 62.168, Local accuracy on global train data 22.393, Local accuracy on local train data 99.167
Round  29, Devices participated 10, Average loss 0.050, Central accuracy on global test data 57.324, Ensemble accuracy on global test data 55.332, Local accuracy on global train data 24.646, Local accuracy on local train data 98.633
Round  30, Devices participated 10, Average loss 0.027, Central accuracy on global test data 58.330, Ensemble accuracy on global test data 58.408, Local accuracy on global train data 21.833, Local accuracy on local train data 99.150
Round  31, Devices participated 10, Average loss 0.042, Central accuracy on global test data 55.312, Ensemble accuracy on global test data 57.461, Local accuracy on global train data 23.240, Local accuracy on local train data 98.750
Round  32, Devices participated 10, Average loss 0.035, Central accuracy on global test data 53.223, Ensemble accuracy on global test data 53.506, Local accuracy on global train data 29.529, Local accuracy on local train data 99.017
Round  33, Devices participated 10, Average loss 0.027, Central accuracy on global test data 55.410, Ensemble accuracy on global test data 55.059, Local accuracy on global train data 28.215, Local accuracy on local train data 99.217
Round  34, Devices participated 10, Average loss 0.028, Central accuracy on global test data 62.930, Ensemble accuracy on global test data 62.070, Local accuracy on global train data 24.778, Local accuracy on local train data 99.250
Round  35, Devices participated 10, Average loss 0.040, Central accuracy on global test data 60.342, Ensemble accuracy on global test data 59.766, Local accuracy on global train data 25.994, Local accuracy on local train data 98.767
Round  36, Devices participated 10, Average loss 0.035, Central accuracy on global test data 60.820, Ensemble accuracy on global test data 59.375, Local accuracy on global train data 21.655, Local accuracy on local train data 98.783
Round  37, Devices participated 10, Average loss 0.044, Central accuracy on global test data 60.020, Ensemble accuracy on global test data 60.381, Local accuracy on global train data 23.872, Local accuracy on local train data 98.617
Round  38, Devices participated 10, Average loss 0.020, Central accuracy on global test data 66.143, Ensemble accuracy on global test data 66.719, Local accuracy on global train data 26.313, Local accuracy on local train data 99.300
Round  39, Devices participated 10, Average loss 0.017, Central accuracy on global test data 68.223, Ensemble accuracy on global test data 68.018, Local accuracy on global train data 30.913, Local accuracy on local train data 99.550
Round  40, Devices participated 10, Average loss 0.034, Central accuracy on global test data 61.406, Ensemble accuracy on global test data 61.826, Local accuracy on global train data 21.270, Local accuracy on local train data 98.967
Round  41, Devices participated 10, Average loss 0.034, Central accuracy on global test data 57.510, Ensemble accuracy on global test data 57.910, Local accuracy on global train data 21.313, Local accuracy on local train data 98.933
Round  42, Devices participated 10, Average loss 0.035, Central accuracy on global test data 64.189, Ensemble accuracy on global test data 63.789, Local accuracy on global train data 23.354, Local accuracy on local train data 99.067
Round  43, Devices participated 10, Average loss 0.034, Central accuracy on global test data 68.428, Ensemble accuracy on global test data 67.529, Local accuracy on global train data 30.051, Local accuracy on local train data 98.967
Round  44, Devices participated 10, Average loss 0.019, Central accuracy on global test data 66.387, Ensemble accuracy on global test data 66.660, Local accuracy on global train data 30.920, Local accuracy on local train data 99.500
Round  45, Devices participated 10, Average loss 0.031, Central accuracy on global test data 65.312, Ensemble accuracy on global test data 65.283, Local accuracy on global train data 34.792, Local accuracy on local train data 99.267
Round  46, Devices participated 10, Average loss 0.027, Central accuracy on global test data 61.328, Ensemble accuracy on global test data 62.227, Local accuracy on global train data 30.488, Local accuracy on local train data 99.133
Round  47, Devices participated 10, Average loss 0.026, Central accuracy on global test data 64.854, Ensemble accuracy on global test data 65.576, Local accuracy on global train data 32.917, Local accuracy on local train data 99.233
Round  48, Devices participated 10, Average loss 0.032, Central accuracy on global test data 65.908, Ensemble accuracy on global test data 66.982, Local accuracy on global train data 32.515, Local accuracy on local train data 99.167
Round  49, Devices participated 10, Average loss 0.032, Central accuracy on global test data 70.391, Ensemble accuracy on global test data 69.258, Local accuracy on global train data 22.874, Local accuracy on local train data 99.017
Round  50, Devices participated 10, Average loss 0.022, Central accuracy on global test data 71.719, Ensemble accuracy on global test data 70.430, Local accuracy on global train data 27.400, Local accuracy on local train data 99.350
Round  51, Devices participated 10, Average loss 0.017, Central accuracy on global test data 73.828, Ensemble accuracy on global test data 73.926, Local accuracy on global train data 28.159, Local accuracy on local train data 99.533
Round  52, Devices participated 10, Average loss 0.021, Central accuracy on global test data 65.322, Ensemble accuracy on global test data 64.277, Local accuracy on global train data 22.959, Local accuracy on local train data 99.450
