python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --noniid_hard

Round   0, Devices participated 10, Average loss 0.108, Central accuracy on global test data 27.832, Ensemble accuracy on global test data 28.535, Local accuracy on global train data 12.024, Local accuracy on local train data 97.333
Round   1, Devices participated 10, Average loss 0.110, Central accuracy on global test data 26.406, Ensemble accuracy on global test data 27.031, Local accuracy on global train data 11.567, Local accuracy on local train data 98.550
Round   2, Devices participated 10, Average loss 0.135, Central accuracy on global test data 26.025, Ensemble accuracy on global test data 25.518, Local accuracy on global train data 11.919, Local accuracy on local train data 98.367
Round   3, Devices participated 10, Average loss 0.206, Central accuracy on global test data 33.623, Ensemble accuracy on global test data 33.203, Local accuracy on global train data 12.051, Local accuracy on local train data 98.267
Round   4, Devices participated 10, Average loss 0.191, Central accuracy on global test data 40.615, Ensemble accuracy on global test data 40.781, Local accuracy on global train data 15.454, Local accuracy on local train data 98.117
Round   5, Devices participated 10, Average loss 0.085, Central accuracy on global test data 38.740, Ensemble accuracy on global test data 39.287, Local accuracy on global train data 16.292, Local accuracy on local train data 98.950
Round   6, Devices participated 10, Average loss 0.159, Central accuracy on global test data 41.250, Ensemble accuracy on global test data 42.871, Local accuracy on global train data 16.616, Local accuracy on local train data 98.167
Round   7, Devices participated 10, Average loss 0.170, Central accuracy on global test data 37.451, Ensemble accuracy on global test data 36.094, Local accuracy on global train data 13.496, Local accuracy on local train data 98.283
Round   8, Devices participated 10, Average loss 0.241, Central accuracy on global test data 35.869, Ensemble accuracy on global test data 35.127, Local accuracy on global train data 12.529, Local accuracy on local train data 98.250
Round   9, Devices participated 10, Average loss 0.144, Central accuracy on global test data 49.258, Ensemble accuracy on global test data 48.848, Local accuracy on global train data 21.707, Local accuracy on local train data 98.367
Round  10, Devices participated 10, Average loss 0.132, Central accuracy on global test data 53.633, Ensemble accuracy on global test data 53.203, Local accuracy on global train data 25.547, Local accuracy on local train data 98.867
Round  11, Devices participated 10, Average loss 0.160, Central accuracy on global test data 56.719, Ensemble accuracy on global test data 54.824, Local accuracy on global train data 25.688, Local accuracy on local train data 98.217
Round  12, Devices participated 10, Average loss 0.056, Central accuracy on global test data 47.695, Ensemble accuracy on global test data 47.256, Local accuracy on global train data 25.925, Local accuracy on local train data 98.750
Round  13, Devices participated 10, Average loss 0.084, Central accuracy on global test data 53.076, Ensemble accuracy on global test data 51.582, Local accuracy on global train data 21.174, Local accuracy on local train data 98.900
Round  14, Devices participated 10, Average loss 0.050, Central accuracy on global test data 58.516, Ensemble accuracy on global test data 58.486, Local accuracy on global train data 31.167, Local accuracy on local train data 99.017
Round  15, Devices participated 10, Average loss 0.071, Central accuracy on global test data 64.473, Ensemble accuracy on global test data 63.711, Local accuracy on global train data 26.638, Local accuracy on local train data 99.133
Round  16, Devices participated 10, Average loss 0.060, Central accuracy on global test data 66.621, Ensemble accuracy on global test data 66.025, Local accuracy on global train data 29.800, Local accuracy on local train data 98.983
Round  17, Devices participated 10, Average loss 0.068, Central accuracy on global test data 68.291, Ensemble accuracy on global test data 67.422, Local accuracy on global train data 37.476, Local accuracy on local train data 98.767
Round  18, Devices participated 10, Average loss 0.042, Central accuracy on global test data 64.873, Ensemble accuracy on global test data 64.209, Local accuracy on global train data 39.492, Local accuracy on local train data 99.183
Round  19, Devices participated 10, Average loss 0.053, Central accuracy on global test data 64.561, Ensemble accuracy on global test data 64.189, Local accuracy on global train data 36.414, Local accuracy on local train data 99.083
Round  20, Devices participated 10, Average loss 0.062, Central accuracy on global test data 68.701, Ensemble accuracy on global test data 67.773, Local accuracy on global train data 34.658, Local accuracy on local train data 98.867
Round  21, Devices participated 10, Average loss 0.059, Central accuracy on global test data 74.424, Ensemble accuracy on global test data 73.311, Local accuracy on global train data 34.133, Local accuracy on local train data 98.850
Round  22, Devices participated 10, Average loss 0.047, Central accuracy on global test data 70.449, Ensemble accuracy on global test data 70.029, Local accuracy on global train data 32.554, Local accuracy on local train data 99.083
Round  23, Devices participated 10, Average loss 0.037, Central accuracy on global test data 61.406, Ensemble accuracy on global test data 61.270, Local accuracy on global train data 36.956, Local accuracy on local train data 99.050
Round  24, Devices participated 10, Average loss 0.034, Central accuracy on global test data 69.150, Ensemble accuracy on global test data 68.438, Local accuracy on global train data 39.429, Local accuracy on local train data 99.217
Round  25, Devices participated 10, Average loss 0.035, Central accuracy on global test data 77.080, Ensemble accuracy on global test data 75.186, Local accuracy on global train data 33.850, Local accuracy on local train data 99.267
Round  26, Devices participated 10, Average loss 0.050, Central accuracy on global test data 71.260, Ensemble accuracy on global test data 70.303, Local accuracy on global train data 35.786, Local accuracy on local train data 98.883
Round  27, Devices participated 10, Average loss 0.029, Central accuracy on global test data 71.641, Ensemble accuracy on global test data 70.537, Local accuracy on global train data 44.351, Local accuracy on local train data 99.317
Round  28, Devices participated 10, Average loss 0.037, Central accuracy on global test data 71.660, Ensemble accuracy on global test data 71.504, Local accuracy on global train data 31.909, Local accuracy on local train data 99.200
Round  29, Devices participated 10, Average loss 0.040, Central accuracy on global test data 77.031, Ensemble accuracy on global test data 77.412, Local accuracy on global train data 35.398, Local accuracy on local train data 98.967
Round  30, Devices participated 10, Average loss 0.029, Central accuracy on global test data 70.078, Ensemble accuracy on global test data 69.004, Local accuracy on global train data 31.365, Local accuracy on local train data 99.200
Round  31, Devices participated 10, Average loss 0.046, Central accuracy on global test data 74.258, Ensemble accuracy on global test data 74.443, Local accuracy on global train data 37.065, Local accuracy on local train data 98.850
Round  32, Devices participated 10, Average loss 0.044, Central accuracy on global test data 76.992, Ensemble accuracy on global test data 75.820, Local accuracy on global train data 39.451, Local accuracy on local train data 98.900
Round  33, Devices participated 10, Average loss 0.024, Central accuracy on global test data 73.848, Ensemble accuracy on global test data 72.549, Local accuracy on global train data 44.788, Local accuracy on local train data 99.450
Round  34, Devices participated 10, Average loss 0.032, Central accuracy on global test data 77.881, Ensemble accuracy on global test data 76.543, Local accuracy on global train data 36.226, Local accuracy on local train data 99.167
Round  35, Devices participated 10, Average loss 0.041, Central accuracy on global test data 77.266, Ensemble accuracy on global test data 76.768, Local accuracy on global train data 38.684, Local accuracy on local train data 98.983
Round  36, Devices participated 10, Average loss 0.040, Central accuracy on global test data 74.912, Ensemble accuracy on global test data 74.053, Local accuracy on global train data 40.127, Local accuracy on local train data 99.000
Round  37, Devices participated 10, Average loss 0.048, Central accuracy on global test data 75.967, Ensemble accuracy on global test data 75.830, Local accuracy on global train data 33.491, Local accuracy on local train data 98.767
Round  38, Devices participated 10, Average loss 0.024, Central accuracy on global test data 79.590, Ensemble accuracy on global test data 79.648, Local accuracy on global train data 39.749, Local accuracy on local train data 99.283
Round  39, Devices participated 10, Average loss 0.019, Central accuracy on global test data 79.629, Ensemble accuracy on global test data 79.414, Local accuracy on global train data 48.225, Local accuracy on local train data 99.500
Round  40, Devices participated 10, Average loss 0.028, Central accuracy on global test data 73.857, Ensemble accuracy on global test data 71.621, Local accuracy on global train data 33.533, Local accuracy on local train data 99.183
Round  41, Devices participated 10, Average loss 0.030, Central accuracy on global test data 75.215, Ensemble accuracy on global test data 74.688, Local accuracy on global train data 34.675, Local accuracy on local train data 99.017
Round  42, Devices participated 10, Average loss 0.025, Central accuracy on global test data 81.895, Ensemble accuracy on global test data 80.986, Local accuracy on global train data 39.109, Local accuracy on local train data 99.233
Round  43, Devices participated 10, Average loss 0.027, Central accuracy on global test data 80.928, Ensemble accuracy on global test data 80.312, Local accuracy on global train data 44.294, Local accuracy on local train data 99.167
Round  44, Devices participated 10, Average loss 0.020, Central accuracy on global test data 80.684, Ensemble accuracy on global test data 80.527, Local accuracy on global train data 48.274, Local accuracy on local train data 99.400
Round  45, Devices participated 10, Average loss 0.020, Central accuracy on global test data 80.498, Ensemble accuracy on global test data 79.883, Local accuracy on global train data 49.397, Local accuracy on local train data 99.367
Round  46, Devices participated 10, Average loss 0.025, Central accuracy on global test data 78.945, Ensemble accuracy on global test data 78.203, Local accuracy on global train data 48.291, Local accuracy on local train data 99.267
Round  47, Devices participated 10, Average loss 0.021, Central accuracy on global test data 78.740, Ensemble accuracy on global test data 78.564, Local accuracy on global train data 48.301, Local accuracy on local train data 99.417
Round  48, Devices participated 10, Average loss 0.027, Central accuracy on global test data 80.332, Ensemble accuracy on global test data 80.400, Local accuracy on global train data 45.610, Local accuracy on local train data 99.200
Round  49, Devices participated 10, Average loss 0.020, Central accuracy on global test data 80.752, Ensemble accuracy on global test data 80.811, Local accuracy on global train data 37.097, Local accuracy on local train data 99.383
Round  50, Devices participated 10, Average loss 0.015, Central accuracy on global test data 82.109, Ensemble accuracy on global test data 81.660, Local accuracy on global train data 48.140, Local accuracy on local train data 99.533
Round  51, Devices participated 10, Average loss 0.017, Central accuracy on global test data 82.979, Ensemble accuracy on global test data 82.949, Local accuracy on global train data 47.148, Local accuracy on local train data 99.567
Round  52, Devices participated 10, Average loss 0.021, Central accuracy on global test data 76.953, Ensemble accuracy on global test data 76.699, Local accuracy on global train data 35.283, Local accuracy on local train data 99.417
Round  53, Devices participated 10, Average loss 0.023, Central accuracy on global test data 83.008, Ensemble accuracy on global test data 82.744, Local accuracy on global train data 43.181, Local accuracy on local train data 99.383
Round  54, Devices participated 10, Average loss 0.018, Central accuracy on global test data 78.076, Ensemble accuracy on global test data 77.686, Local accuracy on global train data 43.757, Local accuracy on local train data 99.550
Round  55, Devices participated 10, Average loss 0.022, Central accuracy on global test data 81.514, Ensemble accuracy on global test data 81.416, Local accuracy on global train data 41.609, Local accuracy on local train data 99.333
Round  56, Devices participated 10, Average loss 0.018, Central accuracy on global test data 83.428, Ensemble accuracy on global test data 83.037, Local accuracy on global train data 48.000, Local accuracy on local train data 99.567
Round  57, Devices participated 10, Average loss 0.020, Central accuracy on global test data 81.074, Ensemble accuracy on global test data 80.664, Local accuracy on global train data 51.204, Local accuracy on local train data 99.517
Round  58, Devices participated 10, Average loss 0.019, Central accuracy on global test data 75.625, Ensemble accuracy on global test data 75.557, Local accuracy on global train data 45.618, Local accuracy on local train data 99.417
Round  59, Devices participated 10, Average loss 0.019, Central accuracy on global test data 80.127, Ensemble accuracy on global test data 79.717, Local accuracy on global train data 43.701, Local accuracy on local train data 99.450
Round  60, Devices participated 10, Average loss 0.017, Central accuracy on global test data 82.939, Ensemble accuracy on global test data 82.891, Local accuracy on global train data 42.017, Local accuracy on local train data 99.483
Round  61, Devices participated 10, Average loss 0.022, Central accuracy on global test data 80.605, Ensemble accuracy on global test data 80.361, Local accuracy on global train data 37.207, Local accuracy on local train data 99.517
Round  62, Devices participated 10, Average loss 0.019, Central accuracy on global test data 82.119, Ensemble accuracy on global test data 82.061, Local accuracy on global train data 52.859, Local accuracy on local train data 99.333
Round  63, Devices participated 10, Average loss 0.029, Central accuracy on global test data 84.336, Ensemble accuracy on global test data 83.613, Local accuracy on global train data 37.246, Local accuracy on local train data 99.350
Round  64, Devices participated 10, Average loss 0.019, Central accuracy on global test data 80.732, Ensemble accuracy on global test data 80.498, Local accuracy on global train data 42.266, Local accuracy on local train data 99.483
Round  65, Devices participated 10, Average loss 0.020, Central accuracy on global test data 84.639, Ensemble accuracy on global test data 84.561, Local accuracy on global train data 31.550, Local accuracy on local train data 99.300
Round  66, Devices participated 10, Average loss 0.020, Central accuracy on global test data 80.713, Ensemble accuracy on global test data 79.648, Local accuracy on global train data 45.474, Local accuracy on local train data 99.450
Round  67, Devices participated 10, Average loss 0.020, Central accuracy on global test data 83.350, Ensemble accuracy on global test data 83.027, Local accuracy on global train data 41.174, Local accuracy on local train data 99.483
Round  68, Devices participated 10, Average loss 0.015, Central accuracy on global test data 83.242, Ensemble accuracy on global test data 83.086, Local accuracy on global train data 46.597, Local accuracy on local train data 99.550
Round  69, Devices participated 10, Average loss 0.015, Central accuracy on global test data 83.809, Ensemble accuracy on global test data 83.447, Local accuracy on global train data 50.916, Local accuracy on local train data 99.583
Round  70, Devices participated 10, Average loss 0.016, Central accuracy on global test data 85.098, Ensemble accuracy on global test data 84.658, Local accuracy on global train data 41.902, Local accuracy on local train data 99.567
Round  71, Devices participated 10, Average loss 0.024, Central accuracy on global test data 83.057, Ensemble accuracy on global test data 82.529, Local accuracy on global train data 46.165, Local accuracy on local train data 99.317
