python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --noniid_hard

Round   0, Devices participated 10, Average loss 0.102, Central accuracy on global test data 18.828, Local accuracy on global train data 11.921, Local accuracy on local train data 97.333
Round   1, Devices participated 10, Average loss 0.073, Central accuracy on global test data 29.971, Local accuracy on global train data 10.117, Local accuracy on local train data 98.150
Round   2, Devices participated 10, Average loss 0.059, Central accuracy on global test data 29.902, Local accuracy on global train data 10.359, Local accuracy on local train data 98.650
Round   3, Devices participated 10, Average loss 0.055, Central accuracy on global test data 35.781, Local accuracy on global train data 9.956, Local accuracy on local train data 98.583
Round   4, Devices participated 10, Average loss 0.060, Central accuracy on global test data 41.807, Local accuracy on global train data 11.704, Local accuracy on local train data 98.617
Round   5, Devices participated 10, Average loss 0.034, Central accuracy on global test data 38.389, Local accuracy on global train data 10.347, Local accuracy on local train data 99.283
Round   6, Devices participated 10, Average loss 0.056, Central accuracy on global test data 51.416, Local accuracy on global train data 11.172, Local accuracy on local train data 98.400
Round   7, Devices participated 10, Average loss 0.039, Central accuracy on global test data 24.639, Local accuracy on global train data 9.902, Local accuracy on local train data 99.000
Round   8, Devices participated 10, Average loss 0.064, Central accuracy on global test data 51.328, Local accuracy on global train data 10.542, Local accuracy on local train data 98.083
Round   9, Devices participated 10, Average loss 0.034, Central accuracy on global test data 54.346, Local accuracy on global train data 12.883, Local accuracy on local train data 99.017
Round  10, Devices participated 10, Average loss 0.028, Central accuracy on global test data 46.494, Local accuracy on global train data 13.796, Local accuracy on local train data 99.367
Round  11, Devices participated 10, Average loss 0.044, Central accuracy on global test data 54.199, Local accuracy on global train data 12.986, Local accuracy on local train data 98.917
Round  12, Devices participated 10, Average loss 0.035, Central accuracy on global test data 46.396, Local accuracy on global train data 13.022, Local accuracy on local train data 99.167
Round  13, Devices participated 10, Average loss 0.034, Central accuracy on global test data 49.199, Local accuracy on global train data 11.909, Local accuracy on local train data 99.167
Round  14, Devices participated 10, Average loss 0.026, Central accuracy on global test data 53.955, Local accuracy on global train data 14.905, Local accuracy on local train data 99.167
Round  15, Devices participated 10, Average loss 0.026, Central accuracy on global test data 63.916, Local accuracy on global train data 13.010, Local accuracy on local train data 99.183
Round  16, Devices participated 10, Average loss 0.030, Central accuracy on global test data 71.562, Local accuracy on global train data 13.167, Local accuracy on local train data 99.133
Round  17, Devices participated 10, Average loss 0.033, Central accuracy on global test data 64.043, Local accuracy on global train data 18.523, Local accuracy on local train data 99.050
Round  18, Devices participated 10, Average loss 0.022, Central accuracy on global test data 60.020, Local accuracy on global train data 21.248, Local accuracy on local train data 99.500
Round  19, Devices participated 10, Average loss 0.023, Central accuracy on global test data 61.201, Local accuracy on global train data 17.720, Local accuracy on local train data 99.417
Round  20, Devices participated 10, Average loss 0.024, Central accuracy on global test data 65.430, Local accuracy on global train data 20.815, Local accuracy on local train data 99.450
Round  21, Devices participated 10, Average loss 0.034, Central accuracy on global test data 66.357, Local accuracy on global train data 19.753, Local accuracy on local train data 99.217
Round  22, Devices participated 10, Average loss 0.021, Central accuracy on global test data 72.070, Local accuracy on global train data 17.471, Local accuracy on local train data 99.383
Round  23, Devices participated 10, Average loss 0.019, Central accuracy on global test data 53.213, Local accuracy on global train data 19.475, Local accuracy on local train data 99.583
Round  24, Devices participated 10, Average loss 0.026, Central accuracy on global test data 68.340, Local accuracy on global train data 22.756, Local accuracy on local train data 99.117
Round  25, Devices participated 10, Average loss 0.023, Central accuracy on global test data 74.395, Local accuracy on global train data 18.171, Local accuracy on local train data 99.400
Round  26, Devices participated 10, Average loss 0.037, Central accuracy on global test data 70.576, Local accuracy on global train data 20.054, Local accuracy on local train data 98.767
Round  27, Devices participated 10, Average loss 0.017, Central accuracy on global test data 65.381, Local accuracy on global train data 22.878, Local accuracy on local train data 99.550
Round  28, Devices participated 10, Average loss 0.019, Central accuracy on global test data 70.029, Local accuracy on global train data 16.743, Local accuracy on local train data 99.517
Round  29, Devices participated 10, Average loss 0.031, Central accuracy on global test data 71.855, Local accuracy on global train data 17.476, Local accuracy on local train data 99.100
Round  30, Devices participated 10, Average loss 0.022, Central accuracy on global test data 67.910, Local accuracy on global train data 16.470, Local accuracy on local train data 99.367
Round  31, Devices participated 10, Average loss 0.030, Central accuracy on global test data 72.568, Local accuracy on global train data 23.396, Local accuracy on local train data 99.100
Round  32, Devices participated 10, Average loss 0.022, Central accuracy on global test data 77.002, Local accuracy on global train data 27.920, Local accuracy on local train data 99.417
Round  33, Devices participated 10, Average loss 0.014, Central accuracy on global test data 70.742, Local accuracy on global train data 26.648, Local accuracy on local train data 99.683
Round  34, Devices participated 10, Average loss 0.022, Central accuracy on global test data 76.475, Local accuracy on global train data 21.768, Local accuracy on local train data 99.350
Round  35, Devices participated 10, Average loss 0.027, Central accuracy on global test data 75.371, Local accuracy on global train data 23.521, Local accuracy on local train data 99.383
Round  36, Devices participated 10, Average loss 0.020, Central accuracy on global test data 68.730, Local accuracy on global train data 26.047, Local accuracy on local train data 99.367
Round  37, Devices participated 10, Average loss 0.034, Central accuracy on global test data 73.955, Local accuracy on global train data 17.415, Local accuracy on local train data 98.917
Round  38, Devices participated 10, Average loss 0.018, Central accuracy on global test data 78.613, Local accuracy on global train data 23.850, Local accuracy on local train data 99.533
Round  39, Devices participated 10, Average loss 0.013, Central accuracy on global test data 78.916, Local accuracy on global train data 32.559, Local accuracy on local train data 99.633
Round  40, Devices participated 10, Average loss 0.018, Central accuracy on global test data 73.643, Local accuracy on global train data 21.863, Local accuracy on local train data 99.500
Round  41, Devices participated 10, Average loss 0.026, Central accuracy on global test data 75.078, Local accuracy on global train data 23.298, Local accuracy on local train data 99.333
Round  42, Devices participated 10, Average loss 0.018, Central accuracy on global test data 81.221, Local accuracy on global train data 26.118, Local accuracy on local train data 99.450
Round  43, Devices participated 10, Average loss 0.022, Central accuracy on global test data 81.680, Local accuracy on global train data 27.817, Local accuracy on local train data 99.450
Round  44, Devices participated 10, Average loss 0.015, Central accuracy on global test data 81.855, Local accuracy on global train data 30.862, Local accuracy on local train data 99.617
Round  45, Devices participated 10, Average loss 0.018, Central accuracy on global test data 79.580, Local accuracy on global train data 33.547, Local accuracy on local train data 99.483
Round  46, Devices participated 10, Average loss 0.020, Central accuracy on global test data 77.861, Local accuracy on global train data 29.692, Local accuracy on local train data 99.450
Round  47, Devices participated 10, Average loss 0.016, Central accuracy on global test data 80.811, Local accuracy on global train data 29.392, Local accuracy on local train data 99.583
Round  48, Devices participated 10, Average loss 0.024, Central accuracy on global test data 80.840, Local accuracy on global train data 31.470, Local accuracy on local train data 99.300
