python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --fedmas 1.0 --noniid_hard

Round   0, Devices participated 10, Average loss 0.178, Central accuracy on global test data 18.242, Local accuracy on global train data 11.892, Local accuracy on local train data 97.467
Round   1, Devices participated 10, Average loss 0.138, Central accuracy on global test data 27.383, Local accuracy on global train data 10.156, Local accuracy on local train data 98.167
Round   2, Devices participated 10, Average loss 0.113, Central accuracy on global test data 27.236, Local accuracy on global train data 10.308, Local accuracy on local train data 98.683
Round   3, Devices participated 10, Average loss 0.113, Central accuracy on global test data 29.336, Local accuracy on global train data 10.413, Local accuracy on local train data 98.733
Round   4, Devices participated 10, Average loss 0.112, Central accuracy on global test data 38.477, Local accuracy on global train data 12.612, Local accuracy on local train data 98.467
Round   5, Devices participated 10, Average loss 0.079, Central accuracy on global test data 37.930, Local accuracy on global train data 10.713, Local accuracy on local train data 99.383
Round   6, Devices participated 10, Average loss 0.116, Central accuracy on global test data 45.137, Local accuracy on global train data 11.748, Local accuracy on local train data 98.333
Round   7, Devices participated 10, Average loss 0.105, Central accuracy on global test data 34.463, Local accuracy on global train data 10.862, Local accuracy on local train data 98.733
Round   8, Devices participated 10, Average loss 0.136, Central accuracy on global test data 51.787, Local accuracy on global train data 13.408, Local accuracy on local train data 98.250
Round   9, Devices participated 10, Average loss 0.081, Central accuracy on global test data 56.826, Local accuracy on global train data 14.685, Local accuracy on local train data 99.233
Round  10, Devices participated 10, Average loss 0.075, Central accuracy on global test data 50.615, Local accuracy on global train data 17.563, Local accuracy on local train data 99.367
Round  11, Devices participated 10, Average loss 0.090, Central accuracy on global test data 55.322, Local accuracy on global train data 15.503, Local accuracy on local train data 98.917
Round  12, Devices participated 10, Average loss 0.079, Central accuracy on global test data 45.059, Local accuracy on global train data 15.249, Local accuracy on local train data 99.250
Round  13, Devices participated 10, Average loss 0.092, Central accuracy on global test data 44.727, Local accuracy on global train data 14.424, Local accuracy on local train data 99.200
Round  14, Devices participated 10, Average loss 0.088, Central accuracy on global test data 60.273, Local accuracy on global train data 20.105, Local accuracy on local train data 98.950
Round  15, Devices participated 10, Average loss 0.083, Central accuracy on global test data 66.445, Local accuracy on global train data 15.913, Local accuracy on local train data 99.100
Round  16, Devices participated 10, Average loss 0.075, Central accuracy on global test data 70.410, Local accuracy on global train data 18.481, Local accuracy on local train data 99.283
Round  17, Devices participated 10, Average loss 0.070, Central accuracy on global test data 66.221, Local accuracy on global train data 24.795, Local accuracy on local train data 99.150
Round  18, Devices participated 10, Average loss 0.056, Central accuracy on global test data 62.764, Local accuracy on global train data 26.533, Local accuracy on local train data 99.533
Round  19, Devices participated 10, Average loss 0.065, Central accuracy on global test data 60.977, Local accuracy on global train data 25.955, Local accuracy on local train data 99.367
Round  20, Devices participated 10, Average loss 0.060, Central accuracy on global test data 64.365, Local accuracy on global train data 26.626, Local accuracy on local train data 99.367
Round  21, Devices participated 10, Average loss 0.087, Central accuracy on global test data 66.260, Local accuracy on global train data 25.886, Local accuracy on local train data 99.050
Round  22, Devices participated 10, Average loss 0.064, Central accuracy on global test data 70.176, Local accuracy on global train data 24.460, Local accuracy on local train data 99.300
Round  23, Devices participated 10, Average loss 0.062, Central accuracy on global test data 61.201, Local accuracy on global train data 26.880, Local accuracy on local train data 99.333
Round  24, Devices participated 10, Average loss 0.067, Central accuracy on global test data 68.213, Local accuracy on global train data 29.995, Local accuracy on local train data 99.417
Round  25, Devices participated 10, Average loss 0.063, Central accuracy on global test data 71.602, Local accuracy on global train data 24.746, Local accuracy on local train data 99.400
Round  26, Devices participated 10, Average loss 0.086, Central accuracy on global test data 74.082, Local accuracy on global train data 28.596, Local accuracy on local train data 98.650
Round  27, Devices participated 10, Average loss 0.048, Central accuracy on global test data 68.750, Local accuracy on global train data 32.012, Local accuracy on local train data 99.633
Round  28, Devices participated 10, Average loss 0.053, Central accuracy on global test data 68.828, Local accuracy on global train data 25.437, Local accuracy on local train data 99.533
Round  29, Devices participated 10, Average loss 0.093, Central accuracy on global test data 77.959, Local accuracy on global train data 26.924, Local accuracy on local train data 99.100
Round  30, Devices participated 10, Average loss 0.052, Central accuracy on global test data 72.793, Local accuracy on global train data 27.173, Local accuracy on local train data 99.517
Round  31, Devices participated 10, Average loss 0.088, Central accuracy on global test data 78.105, Local accuracy on global train data 30.134, Local accuracy on local train data 98.867
Round  32, Devices participated 10, Average loss 0.060, Central accuracy on global test data 76.631, Local accuracy on global train data 34.717, Local accuracy on local train data 99.350
Round  33, Devices participated 10, Average loss 0.041, Central accuracy on global test data 71.943, Local accuracy on global train data 34.702, Local accuracy on local train data 99.683
Round  34, Devices participated 10, Average loss 0.066, Central accuracy on global test data 76.045, Local accuracy on global train data 32.324, Local accuracy on local train data 99.483
Round  35, Devices participated 10, Average loss 0.062, Central accuracy on global test data 76.299, Local accuracy on global train data 32.642, Local accuracy on local train data 99.350
Round  36, Devices participated 10, Average loss 0.069, Central accuracy on global test data 72.012, Local accuracy on global train data 31.150, Local accuracy on local train data 99.233
Round  37, Devices participated 10, Average loss 0.084, Central accuracy on global test data 75.000, Local accuracy on global train data 28.499, Local accuracy on local train data 98.833
Round  38, Devices participated 10, Average loss 0.052, Central accuracy on global test data 76.367, Local accuracy on global train data 35.337, Local accuracy on local train data 99.633
Round  39, Devices participated 10, Average loss 0.041, Central accuracy on global test data 77.236, Local accuracy on global train data 39.302, Local accuracy on local train data 99.700
Round  40, Devices participated 10, Average loss 0.059, Central accuracy on global test data 77.734, Local accuracy on global train data 31.060, Local accuracy on local train data 99.433
