Round   0, Devices participated 10, Average loss 0.460, Central accuracy on global test data 40.735, Ensemble accuracy on global test data 42.207, Local accuracy on global train data 19.695, Local accuracy on local train data 91.483
Round   1, Devices participated 10, Average loss 0.572, Central accuracy on global test data 24.629, Ensemble accuracy on global test data 28.672, Local accuracy on global train data 18.228, Local accuracy on local train data 90.650
Round   2, Devices participated 10, Average loss 0.488, Central accuracy on global test data 32.702, Ensemble accuracy on global test data 34.023, Local accuracy on global train data 19.705, Local accuracy on local train data 92.400
Round   3, Devices participated 10, Average loss 0.372, Central accuracy on global test data 47.135, Ensemble accuracy on global test data 48.311, Local accuracy on global train data 21.145, Local accuracy on local train data 91.900
Round   4, Devices participated 10, Average loss 0.364, Central accuracy on global test data 43.229, Ensemble accuracy on global test data 43.643, Local accuracy on global train data 18.762, Local accuracy on local train data 94.367
Round   5, Devices participated 10, Average loss 0.483, Central accuracy on global test data 34.335, Ensemble accuracy on global test data 35.498, Local accuracy on global train data 20.063, Local accuracy on local train data 92.633
Round   6, Devices participated 10, Average loss 0.363, Central accuracy on global test data 27.764, Ensemble accuracy on global test data 29.355, Local accuracy on global train data 20.110, Local accuracy on local train data 93.550
Round   7, Devices participated 10, Average loss 0.370, Central accuracy on global test data 58.464, Ensemble accuracy on global test data 60.068, Local accuracy on global train data 20.974, Local accuracy on local train data 92.250
Round   8, Devices participated 10, Average loss 0.363, Central accuracy on global test data 54.718, Ensemble accuracy on global test data 58.252, Local accuracy on global train data 20.886, Local accuracy on local train data 94.050
Round   9, Devices participated 10, Average loss 0.427, Central accuracy on global test data 36.609, Ensemble accuracy on global test data 40.547, Local accuracy on global train data 22.266, Local accuracy on local train data 93.150
Round  10, Devices participated 10, Average loss 0.416, Central accuracy on global test data 44.581, Ensemble accuracy on global test data 44.502, Local accuracy on global train data 20.676, Local accuracy on local train data 93.100
Round  11, Devices participated 10, Average loss 0.217, Central accuracy on global test data 47.506, Ensemble accuracy on global test data 48.672, Local accuracy on global train data 22.336, Local accuracy on local train data 95.667
Round  12, Devices participated 10, Average loss 0.557, Central accuracy on global test data 46.094, Ensemble accuracy on global test data 47.969, Local accuracy on global train data 20.767, Local accuracy on local train data 91.317
Round  13, Devices participated 10, Average loss 0.426, Central accuracy on global test data 36.028, Ensemble accuracy on global test data 34.707, Local accuracy on global train data 19.910, Local accuracy on local train data 93.333
Round  14, Devices participated 10, Average loss 0.393, Central accuracy on global test data 38.652, Ensemble accuracy on global test data 40.449, Local accuracy on global train data 23.440, Local accuracy on local train data 92.650
Round  15, Devices participated 10, Average loss 0.345, Central accuracy on global test data 52.404, Ensemble accuracy on global test data 56.904, Local accuracy on global train data 20.500, Local accuracy on local train data 93.933
Round  16, Devices participated 10, Average loss 0.415, Central accuracy on global test data 62.370, Ensemble accuracy on global test data 63.662, Local accuracy on global train data 21.501, Local accuracy on local train data 92.483
Round  17, Devices participated 10, Average loss 0.231, Central accuracy on global test data 65.505, Ensemble accuracy on global test data 66.396, Local accuracy on global train data 24.517, Local accuracy on local train data 95.433
Round  18, Devices participated 10, Average loss 0.321, Central accuracy on global test data 58.173, Ensemble accuracy on global test data 58.545, Local accuracy on global train data 22.783, Local accuracy on local train data 93.300
Round  19, Devices participated 10, Average loss 0.252, Central accuracy on global test data 62.810, Ensemble accuracy on global test data 62.598, Local accuracy on global train data 25.525, Local accuracy on local train data 96.200
Round  20, Devices participated 10, Average loss 0.328, Central accuracy on global test data 50.952, Ensemble accuracy on global test data 52.451, Local accuracy on global train data 24.265, Local accuracy on local train data 94.217
Round  21, Devices participated 10, Average loss 0.177, Central accuracy on global test data 39.653, Ensemble accuracy on global test data 36.562, Local accuracy on global train data 24.019, Local accuracy on local train data 95.600
