Round   0, Devices participated 10, Average loss 0.460, Central accuracy on global test data 39.383, Ensemble accuracy on global test data 42.207, Local accuracy on global train data 19.695, Local accuracy on local train data 91.483
Round   1, Devices participated 10, Average loss 0.571, Central accuracy on global test data 27.344, Ensemble accuracy on global test data 29.326, Local accuracy on global train data 17.947, Local accuracy on local train data 90.517
Round   2, Devices participated 10, Average loss 0.486, Central accuracy on global test data 35.667, Ensemble accuracy on global test data 33.320, Local accuracy on global train data 19.534, Local accuracy on local train data 92.383
Round   3, Devices participated 10, Average loss 0.465, Central accuracy on global test data 50.100, Ensemble accuracy on global test data 50.801, Local accuracy on global train data 20.676, Local accuracy on local train data 91.533
Round   4, Devices participated 10, Average loss 0.394, Central accuracy on global test data 32.722, Ensemble accuracy on global test data 31.299, Local accuracy on global train data 19.348, Local accuracy on local train data 94.633
Round   5, Devices participated 10, Average loss 0.666, Central accuracy on global test data 37.760, Ensemble accuracy on global test data 37.793, Local accuracy on global train data 20.681, Local accuracy on local train data 92.217
Round   6, Devices participated 10, Average loss 0.439, Central accuracy on global test data 30.739, Ensemble accuracy on global test data 23.564, Local accuracy on global train data 19.385, Local accuracy on local train data 92.717
Round   7, Devices participated 10, Average loss 0.597, Central accuracy on global test data 55.929, Ensemble accuracy on global test data 59.580, Local accuracy on global train data 21.047, Local accuracy on local train data 89.850
Round   8, Devices participated 10, Average loss 0.422, Central accuracy on global test data 52.274, Ensemble accuracy on global test data 57.432, Local accuracy on global train data 22.036, Local accuracy on local train data 93.633
Round   9, Devices participated 10, Average loss 0.517, Central accuracy on global test data 31.951, Ensemble accuracy on global test data 32.197, Local accuracy on global train data 22.368, Local accuracy on local train data 92.600
Round  10, Devices participated 10, Average loss 0.558, Central accuracy on global test data 44.581, Ensemble accuracy on global test data 44.365, Local accuracy on global train data 20.491, Local accuracy on local train data 91.833
Round  11, Devices participated 10, Average loss 0.312, Central accuracy on global test data 44.331, Ensemble accuracy on global test data 42.930, Local accuracy on global train data 22.769, Local accuracy on local train data 95.167
Round  12, Devices participated 10, Average loss 0.736, Central accuracy on global test data 44.992, Ensemble accuracy on global test data 48.555, Local accuracy on global train data 19.910, Local accuracy on local train data 90.450
Round  13, Devices participated 10, Average loss 0.512, Central accuracy on global test data 35.286, Ensemble accuracy on global test data 37.734, Local accuracy on global train data 20.618, Local accuracy on local train data 93.050
Round  14, Devices participated 10, Average loss 0.629, Central accuracy on global test data 37.410, Ensemble accuracy on global test data 41.055, Local accuracy on global train data 25.283, Local accuracy on local train data 90.833
Round  15, Devices participated 10, Average loss 0.319, Central accuracy on global test data 59.575, Ensemble accuracy on global test data 57.295, Local accuracy on global train data 22.041, Local accuracy on local train data 93.983
