Round   0, Devices participated 10, Average loss 0.460, Central accuracy on global test data 32.973, Ensemble accuracy on global test data 42.207, Local accuracy on global train data 19.695, Local accuracy on local train data 91.483
Round   1, Devices participated 10, Average loss 0.529, Central accuracy on global test data 38.401, Ensemble accuracy on global test data 22.715, Local accuracy on global train data 17.283, Local accuracy on local train data 89.550
Round   2, Devices participated 10, Average loss 0.433, Central accuracy on global test data 35.857, Ensemble accuracy on global test data 34.268, Local accuracy on global train data 20.532, Local accuracy on local train data 92.950
Round   3, Devices participated 10, Average loss 0.427, Central accuracy on global test data 30.529, Ensemble accuracy on global test data 44.639, Local accuracy on global train data 20.613, Local accuracy on local train data 92.150
Round   4, Devices participated 10, Average loss 0.408, Central accuracy on global test data 24.569, Ensemble accuracy on global test data 40.693, Local accuracy on global train data 18.784, Local accuracy on local train data 94.467
Round   5, Devices participated 10, Average loss 0.490, Central accuracy on global test data 38.141, Ensemble accuracy on global test data 36.406, Local accuracy on global train data 19.775, Local accuracy on local train data 92.583
Round   6, Devices participated 10, Average loss 0.327, Central accuracy on global test data 56.911, Ensemble accuracy on global test data 18.545, Local accuracy on global train data 19.395, Local accuracy on local train data 93.717
Round   7, Devices participated 10, Average loss 0.352, Central accuracy on global test data 52.043, Ensemble accuracy on global test data 64.111, Local accuracy on global train data 20.911, Local accuracy on local train data 91.350
Round   8, Devices participated 10, Average loss 0.410, Central accuracy on global test data 61.859, Ensemble accuracy on global test data 61.152, Local accuracy on global train data 23.911, Local accuracy on local train data 94.033
Round   9, Devices participated 10, Average loss 0.316, Central accuracy on global test data 63.632, Ensemble accuracy on global test data 39.180, Local accuracy on global train data 23.115, Local accuracy on local train data 93.817
Round  10, Devices participated 10, Average loss 0.311, Central accuracy on global test data 44.681, Ensemble accuracy on global test data 52.930, Local accuracy on global train data 20.903, Local accuracy on local train data 94.283
Round  11, Devices participated 10, Average loss 0.160, Central accuracy on global test data 42.117, Ensemble accuracy on global test data 48.848, Local accuracy on global train data 22.725, Local accuracy on local train data 95.817
Round  12, Devices participated 10, Average loss 0.520, Central accuracy on global test data 41.597, Ensemble accuracy on global test data 48.135, Local accuracy on global train data 20.950, Local accuracy on local train data 91.800
Round  13, Devices participated 10, Average loss 0.257, Central accuracy on global test data 53.345, Ensemble accuracy on global test data 34.766, Local accuracy on global train data 20.667, Local accuracy on local train data 94.717
Round  14, Devices participated 10, Average loss 0.280, Central accuracy on global test data 59.966, Ensemble accuracy on global test data 36.680, Local accuracy on global train data 23.779, Local accuracy on local train data 93.283
Round  15, Devices participated 10, Average loss 0.201, Central accuracy on global test data 67.899, Ensemble accuracy on global test data 59.238, Local accuracy on global train data 23.347, Local accuracy on local train data 95.050
Round  16, Devices participated 10, Average loss 0.423, Central accuracy on global test data 72.786, Ensemble accuracy on global test data 64.473, Local accuracy on global train data 23.577, Local accuracy on local train data 92.183
Round  17, Devices participated 10, Average loss 0.194, Central accuracy on global test data 69.842, Ensemble accuracy on global test data 74.590, Local accuracy on global train data 25.933, Local accuracy on local train data 95.817
Round  18, Devices participated 10, Average loss 0.302, Central accuracy on global test data 66.767, Ensemble accuracy on global test data 60.127, Local accuracy on global train data 25.830, Local accuracy on local train data 93.150
Round  19, Devices participated 10, Average loss 0.110, Central accuracy on global test data 64.894, Ensemble accuracy on global test data 66.934, Local accuracy on global train data 28.291, Local accuracy on local train data 97.183
Round  20, Devices participated 10, Average loss 0.210, Central accuracy on global test data 65.895, Ensemble accuracy on global test data 56.250, Local accuracy on global train data 26.030, Local accuracy on local train data 95.200
Round  21, Devices participated 10, Average loss 0.175, Central accuracy on global test data 66.226, Ensemble accuracy on global test data 59.082, Local accuracy on global train data 26.702, Local accuracy on local train data 95.983
Round  22, Devices participated 10, Average loss 0.256, Central accuracy on global test data 71.134, Ensemble accuracy on global test data 71.055, Local accuracy on global train data 32.087, Local accuracy on local train data 94.833
Round  23, Devices participated 10, Average loss 0.184, Central accuracy on global test data 62.079, Ensemble accuracy on global test data 55.879, Local accuracy on global train data 31.433, Local accuracy on local train data 95.783
Round  24, Devices participated 10, Average loss 0.195, Central accuracy on global test data 74.229, Ensemble accuracy on global test data 73.545, Local accuracy on global train data 27.034, Local accuracy on local train data 95.367
Round  25, Devices participated 10, Average loss 0.423, Central accuracy on global test data 49.609, Ensemble accuracy on global test data 58.447, Local accuracy on global train data 24.314, Local accuracy on local train data 93.717
Round  26, Devices participated 10, Average loss 0.205, Central accuracy on global test data 68.580, Ensemble accuracy on global test data 64.834, Local accuracy on global train data 31.094, Local accuracy on local train data 95.417
Round  27, Devices participated 10, Average loss 0.158, Central accuracy on global test data 65.585, Ensemble accuracy on global test data 67.715, Local accuracy on global train data 34.155, Local accuracy on local train data 95.650
Round  28, Devices participated 10, Average loss 0.136, Central accuracy on global test data 73.708, Ensemble accuracy on global test data 72.100, Local accuracy on global train data 34.043, Local accuracy on local train data 96.400
Round  29, Devices participated 10, Average loss 0.239, Central accuracy on global test data 78.055, Ensemble accuracy on global test data 74.346, Local accuracy on global train data 31.194, Local accuracy on local train data 93.933
Round  30, Devices participated 10, Average loss 0.156, Central accuracy on global test data 69.581, Ensemble accuracy on global test data 61.152, Local accuracy on global train data 29.446, Local accuracy on local train data 96.550
Round  31, Devices participated 10, Average loss 0.151, Central accuracy on global test data 66.216, Ensemble accuracy on global test data 62.285, Local accuracy on global train data 33.948, Local accuracy on local train data 96.667
Round  32, Devices participated 10, Average loss 0.126, Central accuracy on global test data 77.654, Ensemble accuracy on global test data 80.049, Local accuracy on global train data 34.463, Local accuracy on local train data 96.650
Round  33, Devices participated 10, Average loss 0.171, Central accuracy on global test data 75.781, Ensemble accuracy on global test data 69.775, Local accuracy on global train data 31.462, Local accuracy on local train data 95.750
Round  34, Devices participated 10, Average loss 0.071, Central accuracy on global test data 72.236, Ensemble accuracy on global test data 69.766, Local accuracy on global train data 33.230, Local accuracy on local train data 98.150
Round  35, Devices participated 10, Average loss 0.173, Central accuracy on global test data 76.382, Ensemble accuracy on global test data 76.035, Local accuracy on global train data 32.168, Local accuracy on local train data 96.183
Round  36, Devices participated 10, Average loss 0.181, Central accuracy on global test data 79.968, Ensemble accuracy on global test data 77.471, Local accuracy on global train data 35.334, Local accuracy on local train data 95.583
Round  37, Devices participated 10, Average loss 0.235, Central accuracy on global test data 78.285, Ensemble accuracy on global test data 73.545, Local accuracy on global train data 34.658, Local accuracy on local train data 94.233
Round  38, Devices participated 10, Average loss 0.129, Central accuracy on global test data 77.865, Ensemble accuracy on global test data 74.404, Local accuracy on global train data 38.171, Local accuracy on local train data 96.233
Round  39, Devices participated 10, Average loss 0.171, Central accuracy on global test data 77.254, Ensemble accuracy on global test data 70.967, Local accuracy on global train data 35.261, Local accuracy on local train data 96.267
Round  40, Devices participated 10, Average loss 0.217, Central accuracy on global test data 77.113, Ensemble accuracy on global test data 78.350, Local accuracy on global train data 34.297, Local accuracy on local train data 95.467
Round  41, Devices participated 10, Average loss 0.221, Central accuracy on global test data 73.548, Ensemble accuracy on global test data 73.438, Local accuracy on global train data 37.175, Local accuracy on local train data 94.883
Round  42, Devices participated 10, Average loss 0.154, Central accuracy on global test data 82.192, Ensemble accuracy on global test data 76.699, Local accuracy on global train data 36.624, Local accuracy on local train data 96.350
Round  43, Devices participated 10, Average loss 0.151, Central accuracy on global test data 83.954, Ensemble accuracy on global test data 82.432, Local accuracy on global train data 30.618, Local accuracy on local train data 96.233
Round  44, Devices participated 10, Average loss 0.196, Central accuracy on global test data 77.865, Ensemble accuracy on global test data 74.482, Local accuracy on global train data 34.368, Local accuracy on local train data 94.533
Round  45, Devices participated 10, Average loss 0.156, Central accuracy on global test data 78.175, Ensemble accuracy on global test data 75.918, Local accuracy on global train data 42.646, Local accuracy on local train data 96.167
Round  46, Devices participated 10, Average loss 0.207, Central accuracy on global test data 85.477, Ensemble accuracy on global test data 74.775, Local accuracy on global train data 41.130, Local accuracy on local train data 95.067
Round  47, Devices participated 10, Average loss 0.077, Central accuracy on global test data 77.594, Ensemble accuracy on global test data 73.398, Local accuracy on global train data 40.964, Local accuracy on local train data 97.917
Round  48, Devices participated 10, Average loss 0.163, Central accuracy on global test data 85.547, Ensemble accuracy on global test data 82.100, Local accuracy on global train data 41.658, Local accuracy on local train data 95.517
Round  49, Devices participated 10, Average loss 0.115, Central accuracy on global test data 81.861, Ensemble accuracy on global test data 79.805, Local accuracy on global train data 45.037, Local accuracy on local train data 96.967
Round  50, Devices participated 10, Average loss 0.173, Central accuracy on global test data 78.325, Ensemble accuracy on global test data 70.146, Local accuracy on global train data 40.608, Local accuracy on local train data 95.367
Round  51, Devices participated 10, Average loss 0.197, Central accuracy on global test data 85.487, Ensemble accuracy on global test data 81.924, Local accuracy on global train data 41.414, Local accuracy on local train data 95.700
Round  52, Devices participated 10, Average loss 0.162, Central accuracy on global test data 79.587, Ensemble accuracy on global test data 72.314, Local accuracy on global train data 39.109, Local accuracy on local train data 96.217
