Round   0, Devices participated 10, Average loss 0.092, Central accuracy on global test data 35.367, Ensemble accuracy on global test data 41.104, Local accuracy on global train data 19.832, Local accuracy on local train data 98.233
Round   1, Devices participated 10, Average loss 0.112, Central accuracy on global test data 34.746, Ensemble accuracy on global test data 27.002, Local accuracy on global train data 17.349, Local accuracy on local train data 97.617
Round   2, Devices participated 10, Average loss 0.097, Central accuracy on global test data 35.246, Ensemble accuracy on global test data 35.312, Local accuracy on global train data 20.725, Local accuracy on local train data 98.150
Round   3, Devices participated 10, Average loss 0.090, Central accuracy on global test data 29.217, Ensemble accuracy on global test data 49.912, Local accuracy on global train data 21.025, Local accuracy on local train data 98.147
Round   4, Devices participated 10, Average loss 0.107, Central accuracy on global test data 23.127, Ensemble accuracy on global test data 46.572, Local accuracy on global train data 19.177, Local accuracy on local train data 98.563
Round   5, Devices participated 10, Average loss 0.106, Central accuracy on global test data 37.480, Ensemble accuracy on global test data 36.514, Local accuracy on global train data 20.515, Local accuracy on local train data 98.237
Round   6, Devices participated 10, Average loss 0.064, Central accuracy on global test data 63.622, Ensemble accuracy on global test data 28.760, Local accuracy on global train data 19.705, Local accuracy on local train data 98.660
Round   7, Devices participated 10, Average loss 0.083, Central accuracy on global test data 50.952, Ensemble accuracy on global test data 62.705, Local accuracy on global train data 20.781, Local accuracy on local train data 98.103
Round   8, Devices participated 10, Average loss 0.048, Central accuracy on global test data 62.500, Ensemble accuracy on global test data 61.748, Local accuracy on global train data 22.739, Local accuracy on local train data 98.990
Round   9, Devices participated 10, Average loss 0.090, Central accuracy on global test data 67.298, Ensemble accuracy on global test data 40.332, Local accuracy on global train data 21.538, Local accuracy on local train data 98.337
Round  10, Devices participated 10, Average loss 0.067, Central accuracy on global test data 49.629, Ensemble accuracy on global test data 56.230, Local accuracy on global train data 20.674, Local accuracy on local train data 98.563
Round  11, Devices participated 10, Average loss 0.040, Central accuracy on global test data 41.597, Ensemble accuracy on global test data 54.561, Local accuracy on global train data 22.095, Local accuracy on local train data 99.097
Round  12, Devices participated 10, Average loss 0.102, Central accuracy on global test data 48.147, Ensemble accuracy on global test data 45.283, Local accuracy on global train data 20.874, Local accuracy on local train data 98.140
Round  13, Devices participated 10, Average loss 0.058, Central accuracy on global test data 51.853, Ensemble accuracy on global test data 41.836, Local accuracy on global train data 19.890, Local accuracy on local train data 98.700
Round  14, Devices participated 10, Average loss 0.075, Central accuracy on global test data 67.758, Ensemble accuracy on global test data 48.574, Local accuracy on global train data 23.386, Local accuracy on local train data 98.240
Round  15, Devices participated 10, Average loss 0.048, Central accuracy on global test data 70.683, Ensemble accuracy on global test data 69.111, Local accuracy on global train data 22.229, Local accuracy on local train data 98.777
Round  16, Devices participated 10, Average loss 0.075, Central accuracy on global test data 75.791, Ensemble accuracy on global test data 72.598, Local accuracy on global train data 22.253, Local accuracy on local train data 98.303
Round  17, Devices participated 10, Average loss 0.035, Central accuracy on global test data 70.753, Ensemble accuracy on global test data 73.760, Local accuracy on global train data 25.122, Local accuracy on local train data 99.137
