Round   0, Devices participated 10, Average loss 0.460, Central accuracy on global test data 40.735, Ensemble accuracy on global test data 42.207, Local accuracy on global train data 19.695, Local accuracy on local train data 91.483
Round   1, Devices participated 10, Average loss 0.572, Central accuracy on global test data 24.629, Ensemble accuracy on global test data 28.672, Local accuracy on global train data 18.228, Local accuracy on local train data 90.650
Round   2, Devices participated 10, Average loss 0.488, Central accuracy on global test data 32.993, Ensemble accuracy on global test data 34.023, Local accuracy on global train data 19.705, Local accuracy on local train data 92.400
Round   3, Devices participated 10, Average loss 0.376, Central accuracy on global test data 48.968, Ensemble accuracy on global test data 48.438, Local accuracy on global train data 21.145, Local accuracy on local train data 91.850
Round   4, Devices participated 10, Average loss 0.364, Central accuracy on global test data 44.261, Ensemble accuracy on global test data 43.652, Local accuracy on global train data 18.774, Local accuracy on local train data 94.400
Round   5, Devices participated 10, Average loss 0.469, Central accuracy on global test data 34.225, Ensemble accuracy on global test data 35.176, Local accuracy on global train data 20.217, Local accuracy on local train data 92.867
Round   6, Devices participated 10, Average loss 0.371, Central accuracy on global test data 29.457, Ensemble accuracy on global test data 28.623, Local accuracy on global train data 19.465, Local accuracy on local train data 93.483
Round   7, Devices participated 10, Average loss 0.351, Central accuracy on global test data 63.972, Ensemble accuracy on global test data 63.613, Local accuracy on global train data 21.865, Local accuracy on local train data 92.350
Round   8, Devices participated 10, Average loss 0.359, Central accuracy on global test data 56.010, Ensemble accuracy on global test data 57.295, Local accuracy on global train data 21.619, Local accuracy on local train data 94.033
Round   9, Devices participated 10, Average loss 0.366, Central accuracy on global test data 42.548, Ensemble accuracy on global test data 43.408, Local accuracy on global train data 24.138, Local accuracy on local train data 93.300
Round  10, Devices participated 10, Average loss 0.339, Central accuracy on global test data 49.559, Ensemble accuracy on global test data 49.482, Local accuracy on global train data 20.515, Local accuracy on local train data 93.867
Round  11, Devices participated 10, Average loss 0.243, Central accuracy on global test data 49.549, Ensemble accuracy on global test data 47.002, Local accuracy on global train data 23.479, Local accuracy on local train data 95.383
Round  12, Devices participated 10, Average loss 0.467, Central accuracy on global test data 52.344, Ensemble accuracy on global test data 50.605, Local accuracy on global train data 21.450, Local accuracy on local train data 91.883
Round  13, Devices participated 10, Average loss 0.315, Central accuracy on global test data 42.939, Ensemble accuracy on global test data 41.475, Local accuracy on global train data 22.041, Local accuracy on local train data 93.617
Round  14, Devices participated 10, Average loss 0.374, Central accuracy on global test data 45.513, Ensemble accuracy on global test data 46.348, Local accuracy on global train data 25.886, Local accuracy on local train data 92.617
Round  15, Devices participated 10, Average loss 0.306, Central accuracy on global test data 60.507, Ensemble accuracy on global test data 63.389, Local accuracy on global train data 22.776, Local accuracy on local train data 93.267
Round  16, Devices participated 10, Average loss 0.336, Central accuracy on global test data 69.091, Ensemble accuracy on global test data 67.383, Local accuracy on global train data 23.560, Local accuracy on local train data 92.767
Round  17, Devices participated 10, Average loss 0.214, Central accuracy on global test data 77.133, Ensemble accuracy on global test data 73.965, Local accuracy on global train data 28.127, Local accuracy on local train data 95.733
Round  18, Devices participated 10, Average loss 0.293, Central accuracy on global test data 68.580, Ensemble accuracy on global test data 65.361, Local accuracy on global train data 26.924, Local accuracy on local train data 93.600
