python main_fedavg.py --dataset mnist --model mlp --epochs 1500 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.0 --weight_init kaiming --bias_init zeros --async_s2d 1 --lr 0.1

Round   0, Devices participated 10, Average loss 0.375, Central accuracy on global test data 29.297, Local accuracy on global train data 19.368, Local accuracy on local train data 92.433
Round   1, Devices participated 10, Average loss 0.379, Central accuracy on global test data 30.028, Local accuracy on global train data 17.388, Local accuracy on local train data 91.333
Round   2, Devices participated 10, Average loss 0.454, Central accuracy on global test data 31.981, Local accuracy on global train data 19.719, Local accuracy on local train data 91.650
Round   3, Devices participated 10, Average loss 0.374, Central accuracy on global test data 37.931, Local accuracy on global train data 20.503, Local accuracy on local train data 92.783
Round   4, Devices participated 10, Average loss 0.460, Central accuracy on global test data 36.048, Local accuracy on global train data 18.914, Local accuracy on local train data 93.450
Round   5, Devices participated 10, Average loss 0.388, Central accuracy on global test data 32.051, Local accuracy on global train data 18.840, Local accuracy on local train data 93.183
Round   6, Devices participated 10, Average loss 0.328, Central accuracy on global test data 29.056, Local accuracy on global train data 18.975, Local accuracy on local train data 93.833
Round   7, Devices participated 10, Average loss 0.379, Central accuracy on global test data 44.141, Local accuracy on global train data 20.090, Local accuracy on local train data 91.783
Round   8, Devices participated 10, Average loss 0.246, Central accuracy on global test data 46.374, Local accuracy on global train data 18.357, Local accuracy on local train data 94.450
Round   9, Devices participated 10, Average loss 0.214, Central accuracy on global test data 39.423, Local accuracy on global train data 19.634, Local accuracy on local train data 94.200
Round  10, Devices participated 10, Average loss 0.274, Central accuracy on global test data 50.240, Local accuracy on global train data 18.586, Local accuracy on local train data 93.850
Round  11, Devices participated 10, Average loss 0.172, Central accuracy on global test data 50.130, Local accuracy on global train data 19.890, Local accuracy on local train data 95.700
Round  12, Devices participated 10, Average loss 0.468, Central accuracy on global test data 41.797, Local accuracy on global train data 19.971, Local accuracy on local train data 91.183
Round  13, Devices participated 10, Average loss 0.247, Central accuracy on global test data 46.274, Local accuracy on global train data 18.525, Local accuracy on local train data 93.717
Round  14, Devices participated 10, Average loss 0.274, Central accuracy on global test data 52.484, Local accuracy on global train data 20.203, Local accuracy on local train data 93.483
Round  15, Devices participated 10, Average loss 0.218, Central accuracy on global test data 52.644, Local accuracy on global train data 18.694, Local accuracy on local train data 95.283
Round  16, Devices participated 10, Average loss 0.380, Central accuracy on global test data 49.199, Local accuracy on global train data 19.277, Local accuracy on local train data 92.917
Round  17, Devices participated 10, Average loss 0.206, Central accuracy on global test data 58.433, Local accuracy on global train data 20.078, Local accuracy on local train data 95.600
