Round   0, Devices participated 10, Average loss 0.099, Central accuracy on global test data 32.222, Local accuracy on global train data 20.037, Local accuracy on local train data 98.227
Round   1, Devices participated 10, Average loss 0.099, Central accuracy on global test data 28.065, Local accuracy on global train data 17.969, Local accuracy on local train data 97.657
Round   2, Devices participated 10, Average loss 0.093, Central accuracy on global test data 33.574, Local accuracy on global train data 19.985, Local accuracy on local train data 98.180
Round   3, Devices participated 10, Average loss 0.093, Central accuracy on global test data 43.059, Local accuracy on global train data 20.747, Local accuracy on local train data 98.110
Round   4, Devices participated 10, Average loss 0.105, Central accuracy on global test data 37.430, Local accuracy on global train data 18.982, Local accuracy on local train data 98.563
Round   5, Devices participated 10, Average loss 0.090, Central accuracy on global test data 36.348, Local accuracy on global train data 20.244, Local accuracy on local train data 98.320
Round   6, Devices participated 10, Average loss 0.068, Central accuracy on global test data 23.417, Local accuracy on global train data 19.443, Local accuracy on local train data 98.477
Round   7, Devices participated 10, Average loss 0.072, Central accuracy on global test data 45.944, Local accuracy on global train data 20.212, Local accuracy on local train data 98.313
Round   8, Devices participated 10, Average loss 0.061, Central accuracy on global test data 43.560, Local accuracy on global train data 19.141, Local accuracy on local train data 98.680
Round   9, Devices participated 10, Average loss 0.062, Central accuracy on global test data 42.107, Local accuracy on global train data 19.968, Local accuracy on local train data 98.513
Round  10, Devices participated 10, Average loss 0.057, Central accuracy on global test data 51.603, Local accuracy on global train data 18.855, Local accuracy on local train data 98.543
Round  11, Devices participated 10, Average loss 0.033, Central accuracy on global test data 52.985, Local accuracy on global train data 19.890, Local accuracy on local train data 99.177
Round  12, Devices participated 10, Average loss 0.090, Central accuracy on global test data 43.840, Local accuracy on global train data 20.591, Local accuracy on local train data 98.187
Round  13, Devices participated 10, Average loss 0.055, Central accuracy on global test data 42.718, Local accuracy on global train data 19.229, Local accuracy on local train data 98.497
Round  14, Devices participated 10, Average loss 0.067, Central accuracy on global test data 52.053, Local accuracy on global train data 20.520, Local accuracy on local train data 98.300
Round  15, Devices participated 10, Average loss 0.043, Central accuracy on global test data 54.056, Local accuracy on global train data 18.992, Local accuracy on local train data 98.907
Round  16, Devices participated 10, Average loss 0.083, Central accuracy on global test data 54.988, Local accuracy on global train data 19.646, Local accuracy on local train data 98.267
