Round   0, Devices participated 10, Average loss 0.526, Central accuracy on global test data 35.867, Local accuracy on global train data 20.579, Local accuracy on local train data 91.467
Round   1, Devices participated 10, Average loss 0.522, Central accuracy on global test data 28.676, Local accuracy on global train data 19.180, Local accuracy on local train data 91.433
Round   2, Devices participated 10, Average loss 0.218, Central accuracy on global test data 23.438, Local accuracy on global train data 16.377, Local accuracy on local train data 94.283
Round   3, Devices participated 10, Average loss 0.551, Central accuracy on global test data 39.814, Local accuracy on global train data 21.650, Local accuracy on local train data 92.267
Round   4, Devices participated 10, Average loss 0.407, Central accuracy on global test data 44.261, Local accuracy on global train data 21.482, Local accuracy on local train data 92.133
Round   5, Devices participated 10, Average loss 0.274, Central accuracy on global test data 52.354, Local accuracy on global train data 20.999, Local accuracy on local train data 93.467
Round   6, Devices participated 10, Average loss 0.357, Central accuracy on global test data 52.424, Local accuracy on global train data 20.549, Local accuracy on local train data 93.850
Round   7, Devices participated 10, Average loss 0.222, Central accuracy on global test data 50.200, Local accuracy on global train data 21.562, Local accuracy on local train data 94.033
Round   8, Devices participated 10, Average loss 0.580, Central accuracy on global test data 59.876, Local accuracy on global train data 19.131, Local accuracy on local train data 90.483
Round   9, Devices participated 10, Average loss 0.340, Central accuracy on global test data 59.946, Local accuracy on global train data 18.628, Local accuracy on local train data 93.183
Round  10, Devices participated 10, Average loss 0.233, Central accuracy on global test data 59.525, Local accuracy on global train data 18.562, Local accuracy on local train data 95.317
Round  11, Devices participated 10, Average loss 0.232, Central accuracy on global test data 40.084, Local accuracy on global train data 18.062, Local accuracy on local train data 95.633
Round  12, Devices participated 10, Average loss 0.299, Central accuracy on global test data 52.784, Local accuracy on global train data 19.509, Local accuracy on local train data 92.550
Round  13, Devices participated 10, Average loss 0.293, Central accuracy on global test data 64.012, Local accuracy on global train data 21.169, Local accuracy on local train data 93.967
Round  14, Devices participated 10, Average loss 0.223, Central accuracy on global test data 69.752, Local accuracy on global train data 20.371, Local accuracy on local train data 94.900
Round  15, Devices participated 10, Average loss 0.155, Central accuracy on global test data 62.240, Local accuracy on global train data 22.603, Local accuracy on local train data 96.050
Round  16, Devices participated 10, Average loss 0.139, Central accuracy on global test data 67.067, Local accuracy on global train data 20.979, Local accuracy on local train data 95.867
Round  17, Devices participated 10, Average loss 0.204, Central accuracy on global test data 62.480, Local accuracy on global train data 23.469, Local accuracy on local train data 95.367
Round  18, Devices participated 10, Average loss 0.167, Central accuracy on global test data 63.722, Local accuracy on global train data 19.451, Local accuracy on local train data 96.267
Round  19, Devices participated 10, Average loss 0.257, Central accuracy on global test data 53.856, Local accuracy on global train data 23.311, Local accuracy on local train data 94.617
Round  20, Devices participated 10, Average loss 0.167, Central accuracy on global test data 63.772, Local accuracy on global train data 22.776, Local accuracy on local train data 95.817
Round  21, Devices participated 10, Average loss 0.190, Central accuracy on global test data 60.377, Local accuracy on global train data 24.646, Local accuracy on local train data 95.500
Round  22, Devices participated 10, Average loss 0.092, Central accuracy on global test data 70.853, Local accuracy on global train data 27.676, Local accuracy on local train data 97.033
Round  23, Devices participated 10, Average loss 0.149, Central accuracy on global test data 76.843, Local accuracy on global train data 26.018, Local accuracy on local train data 96.033
Round  24, Devices participated 10, Average loss 0.204, Central accuracy on global test data 74.690, Local accuracy on global train data 26.411, Local accuracy on local train data 96.083
Round  25, Devices participated 10, Average loss 0.201, Central accuracy on global test data 68.460, Local accuracy on global train data 26.069, Local accuracy on local train data 94.950
Round  26, Devices participated 10, Average loss 0.136, Central accuracy on global test data 77.604, Local accuracy on global train data 26.724, Local accuracy on local train data 96.733
Round  27, Devices participated 10, Average loss 0.140, Central accuracy on global test data 79.858, Local accuracy on global train data 27.366, Local accuracy on local train data 96.283
Round  28, Devices participated 10, Average loss 0.092, Central accuracy on global test data 81.370, Local accuracy on global train data 26.348, Local accuracy on local train data 97.317
Round  29, Devices participated 10, Average loss 0.146, Central accuracy on global test data 82.332, Local accuracy on global train data 25.352, Local accuracy on local train data 96.533
Round  30, Devices participated 10, Average loss 0.075, Central accuracy on global test data 85.747, Local accuracy on global train data 30.083, Local accuracy on local train data 97.700
Round  31, Devices participated 10, Average loss 0.104, Central accuracy on global test data 78.606, Local accuracy on global train data 30.254, Local accuracy on local train data 97.117
Round  32, Devices participated 10, Average loss 0.159, Central accuracy on global test data 83.574, Local accuracy on global train data 29.529, Local accuracy on local train data 95.700
Round  33, Devices participated 10, Average loss 0.153, Central accuracy on global test data 83.474, Local accuracy on global train data 34.612, Local accuracy on local train data 96.833
Round  34, Devices participated 10, Average loss 0.111, Central accuracy on global test data 80.409, Local accuracy on global train data 34.692, Local accuracy on local train data 96.667
Round  35, Devices participated 10, Average loss 0.092, Central accuracy on global test data 81.731, Local accuracy on global train data 30.325, Local accuracy on local train data 97.733
Round  36, Devices participated 10, Average loss 0.137, Central accuracy on global test data 80.258, Local accuracy on global train data 34.016, Local accuracy on local train data 96.817
Round  37, Devices participated 10, Average loss 0.095, Central accuracy on global test data 71.775, Local accuracy on global train data 34.819, Local accuracy on local train data 97.500
Round  38, Devices participated 10, Average loss 0.086, Central accuracy on global test data 78.456, Local accuracy on global train data 37.202, Local accuracy on local train data 97.683
Round  39, Devices participated 10, Average loss 0.091, Central accuracy on global test data 78.476, Local accuracy on global train data 39.893, Local accuracy on local train data 97.483
Round  40, Devices participated 10, Average loss 0.055, Central accuracy on global test data 76.222, Local accuracy on global train data 41.687, Local accuracy on local train data 98.317
Round  41, Devices participated 10, Average loss 0.137, Central accuracy on global test data 79.958, Local accuracy on global train data 36.792, Local accuracy on local train data 96.567
Round  42, Devices participated 10, Average loss 0.169, Central accuracy on global test data 77.504, Local accuracy on global train data 35.808, Local accuracy on local train data 94.883
Round  43, Devices participated 10, Average loss 0.080, Central accuracy on global test data 86.318, Local accuracy on global train data 45.461, Local accuracy on local train data 97.883
Round  44, Devices participated 10, Average loss 0.113, Central accuracy on global test data 89.984, Local accuracy on global train data 48.716, Local accuracy on local train data 96.483
Round  45, Devices participated 10, Average loss 0.087, Central accuracy on global test data 83.393, Local accuracy on global train data 44.199, Local accuracy on local train data 97.533
Round  46, Devices participated 10, Average loss 0.083, Central accuracy on global test data 82.332, Local accuracy on global train data 49.575, Local accuracy on local train data 97.883
Round  47, Devices participated 10, Average loss 0.090, Central accuracy on global test data 80.629, Local accuracy on global train data 40.918, Local accuracy on local train data 97.183
Round  48, Devices participated 10, Average loss 0.144, Central accuracy on global test data 84.585, Local accuracy on global train data 37.908, Local accuracy on local train data 95.850
Round  49, Devices participated 10, Average loss 0.079, Central accuracy on global test data 86.308, Local accuracy on global train data 43.618, Local accuracy on local train data 97.583
Round  50, Devices participated 10, Average loss 0.099, Central accuracy on global test data 79.888, Local accuracy on global train data 43.337, Local accuracy on local train data 97.533
Round  51, Devices participated 10, Average loss 0.099, Central accuracy on global test data 82.812, Local accuracy on global train data 38.889, Local accuracy on local train data 97.167
Round  52, Devices participated 10, Average loss 0.050, Central accuracy on global test data 89.523, Local accuracy on global train data 46.704, Local accuracy on local train data 98.433
Round  53, Devices participated 10, Average loss 0.039, Central accuracy on global test data 85.327, Local accuracy on global train data 49.373, Local accuracy on local train data 98.917
Round  54, Devices participated 10, Average loss 0.113, Central accuracy on global test data 90.264, Local accuracy on global train data 50.930, Local accuracy on local train data 96.683
Round  55, Devices participated 10, Average loss 0.104, Central accuracy on global test data 90.915, Local accuracy on global train data 41.460, Local accuracy on local train data 96.917
Round  56, Devices participated 10, Average loss 0.088, Central accuracy on global test data 90.515, Local accuracy on global train data 48.755, Local accuracy on local train data 97.317
Round  57, Devices participated 10, Average loss 0.047, Central accuracy on global test data 90.996, Local accuracy on global train data 50.449, Local accuracy on local train data 98.683
Round  58, Devices participated 10, Average loss 0.061, Central accuracy on global test data 91.136, Local accuracy on global train data 45.728, Local accuracy on local train data 98.350
Round  59, Devices participated 10, Average loss 0.051, Central accuracy on global test data 89.463, Local accuracy on global train data 51.780, Local accuracy on local train data 98.583
Round  60, Devices participated 10, Average loss 0.079, Central accuracy on global test data 87.310, Local accuracy on global train data 50.439, Local accuracy on local train data 97.767
Round  61, Devices participated 10, Average loss 0.075, Central accuracy on global test data 91.496, Local accuracy on global train data 51.428, Local accuracy on local train data 97.917
Round  62, Devices participated 10, Average loss 0.085, Central accuracy on global test data 88.742, Local accuracy on global train data 53.115, Local accuracy on local train data 97.800
Round  63, Devices participated 10, Average loss 0.044, Central accuracy on global test data 90.795, Local accuracy on global train data 55.310, Local accuracy on local train data 98.883
Round  64, Devices participated 10, Average loss 0.065, Central accuracy on global test data 89.133, Local accuracy on global train data 47.393, Local accuracy on local train data 98.150
Round  65, Devices participated 10, Average loss 0.118, Central accuracy on global test data 90.725, Local accuracy on global train data 50.535, Local accuracy on local train data 97.500
Round  66, Devices participated 10, Average loss 0.063, Central accuracy on global test data 88.702, Local accuracy on global train data 59.194, Local accuracy on local train data 98.150
Round  67, Devices participated 10, Average loss 0.099, Central accuracy on global test data 88.632, Local accuracy on global train data 53.652, Local accuracy on local train data 97.817
Round  68, Devices participated 10, Average loss 0.155, Central accuracy on global test data 90.134, Local accuracy on global train data 50.537, Local accuracy on local train data 95.650
Round  69, Devices participated 10, Average loss 0.051, Central accuracy on global test data 91.486, Local accuracy on global train data 56.665, Local accuracy on local train data 98.633
Round  70, Devices participated 10, Average loss 0.128, Central accuracy on global test data 90.234, Local accuracy on global train data 51.929, Local accuracy on local train data 96.317
