Round   0, Devices participated 10, Average loss 0.375, Central accuracy on global test data 29.297, Ensemble accuracy on global test data 34.854, Local accuracy on global train data 19.368, Local accuracy on local train data 92.433
Round   1, Devices participated 10, Average loss 0.416, Central accuracy on global test data 28.095, Ensemble accuracy on global test data 30.654, Local accuracy on global train data 17.456, Local accuracy on local train data 90.950
Round   2, Devices participated 10, Average loss 0.425, Central accuracy on global test data 33.704, Ensemble accuracy on global test data 31.836, Local accuracy on global train data 19.470, Local accuracy on local train data 92.483
Round   3, Devices participated 10, Average loss 0.492, Central accuracy on global test data 35.657, Ensemble accuracy on global test data 40.303, Local accuracy on global train data 20.559, Local accuracy on local train data 91.950
Round   4, Devices participated 10, Average loss 0.399, Central accuracy on global test data 32.742, Ensemble accuracy on global test data 46.357, Local accuracy on global train data 18.821, Local accuracy on local train data 93.850
Round   5, Devices participated 10, Average loss 0.455, Central accuracy on global test data 28.646, Ensemble accuracy on global test data 39.131, Local accuracy on global train data 20.146, Local accuracy on local train data 92.717
Round   6, Devices participated 10, Average loss 0.350, Central accuracy on global test data 40.204, Ensemble accuracy on global test data 15.850, Local accuracy on global train data 20.000, Local accuracy on local train data 93.150
Round   7, Devices participated 10, Average loss 0.312, Central accuracy on global test data 49.239, Ensemble accuracy on global test data 53.066, Local accuracy on global train data 19.436, Local accuracy on local train data 92.200
Round   8, Devices participated 10, Average loss 0.277, Central accuracy on global test data 57.462, Ensemble accuracy on global test data 47.754, Local accuracy on global train data 19.504, Local accuracy on local train data 94.333
Round   9, Devices participated 10, Average loss 0.363, Central accuracy on global test data 61.729, Ensemble accuracy on global test data 31.152, Local accuracy on global train data 20.254, Local accuracy on local train data 92.733
Round  10, Devices participated 10, Average loss 0.256, Central accuracy on global test data 63.301, Ensemble accuracy on global test data 54.189, Local accuracy on global train data 18.635, Local accuracy on local train data 93.833
Round  11, Devices participated 10, Average loss 0.167, Central accuracy on global test data 59.685, Ensemble accuracy on global test data 55.508, Local accuracy on global train data 20.740, Local accuracy on local train data 95.767
Round  12, Devices participated 10, Average loss 0.436, Central accuracy on global test data 59.595, Ensemble accuracy on global test data 48.672, Local accuracy on global train data 20.732, Local accuracy on local train data 91.667
Round  13, Devices participated 10, Average loss 0.228, Central accuracy on global test data 68.239, Ensemble accuracy on global test data 30.947, Local accuracy on global train data 19.111, Local accuracy on local train data 94.433
Round  14, Devices participated 10, Average loss 0.374, Central accuracy on global test data 69.291, Ensemble accuracy on global test data 55.225, Local accuracy on global train data 23.381, Local accuracy on local train data 92.650
Round  15, Devices participated 10, Average loss 0.156, Central accuracy on global test data 69.331, Ensemble accuracy on global test data 53.828, Local accuracy on global train data 20.710, Local accuracy on local train data 95.467
Round  16, Devices participated 10, Average loss 0.266, Central accuracy on global test data 69.201, Ensemble accuracy on global test data 62.734, Local accuracy on global train data 20.740, Local accuracy on local train data 93.500
Round  17, Devices participated 10, Average loss 0.174, Central accuracy on global test data 81.701, Ensemble accuracy on global test data 71.387, Local accuracy on global train data 24.736, Local accuracy on local train data 96.050
Round  18, Devices participated 10, Average loss 0.282, Central accuracy on global test data 71.565, Ensemble accuracy on global test data 53.584, Local accuracy on global train data 21.948, Local accuracy on local train data 93.133
Round  19, Devices participated 10, Average loss 0.073, Central accuracy on global test data 75.381, Ensemble accuracy on global test data 63.867, Local accuracy on global train data 24.922, Local accuracy on local train data 98.050
