Round   0, Devices participated 10, Average loss 0.526, Central accuracy on global test data 35.867, Ensemble accuracy on global test data 42.227, Local accuracy on global train data 20.579, Local accuracy on local train data 91.467
Round   1, Devices participated 10, Average loss 0.664, Central accuracy on global test data 34.125, Ensemble accuracy on global test data 21.611, Local accuracy on global train data 19.614, Local accuracy on local train data 90.633
Round   2, Devices participated 10, Average loss 0.278, Central accuracy on global test data 36.348, Ensemble accuracy on global test data 18.809, Local accuracy on global train data 16.387, Local accuracy on local train data 93.683
Round   3, Devices participated 10, Average loss 0.530, Central accuracy on global test data 45.072, Ensemble accuracy on global test data 52.705, Local accuracy on global train data 21.921, Local accuracy on local train data 92.117
Round   4, Devices participated 10, Average loss 0.514, Central accuracy on global test data 42.388, Ensemble accuracy on global test data 27.529, Local accuracy on global train data 21.279, Local accuracy on local train data 91.200
Round   5, Devices participated 10, Average loss 0.304, Central accuracy on global test data 51.282, Ensemble accuracy on global test data 36.836, Local accuracy on global train data 21.355, Local accuracy on local train data 93.700
Round   6, Devices participated 10, Average loss 0.255, Central accuracy on global test data 53.956, Ensemble accuracy on global test data 46.973, Local accuracy on global train data 19.868, Local accuracy on local train data 94.550
Round   7, Devices participated 10, Average loss 0.277, Central accuracy on global test data 53.856, Ensemble accuracy on global test data 52.744, Local accuracy on global train data 22.109, Local accuracy on local train data 93.267
Round   8, Devices participated 10, Average loss 0.393, Central accuracy on global test data 59.776, Ensemble accuracy on global test data 40.088, Local accuracy on global train data 20.469, Local accuracy on local train data 91.750
Round   9, Devices participated 10, Average loss 0.421, Central accuracy on global test data 62.260, Ensemble accuracy on global test data 30.732, Local accuracy on global train data 19.731, Local accuracy on local train data 92.517
Round  10, Devices participated 10, Average loss 0.217, Central accuracy on global test data 55.258, Ensemble accuracy on global test data 53.018, Local accuracy on global train data 19.736, Local accuracy on local train data 95.400
Round  11, Devices participated 10, Average loss 0.193, Central accuracy on global test data 57.081, Ensemble accuracy on global test data 38.643, Local accuracy on global train data 20.930, Local accuracy on local train data 95.933
Round  12, Devices participated 10, Average loss 0.298, Central accuracy on global test data 60.958, Ensemble accuracy on global test data 42.861, Local accuracy on global train data 21.279, Local accuracy on local train data 93.367
Round  13, Devices participated 10, Average loss 0.259, Central accuracy on global test data 61.408, Ensemble accuracy on global test data 61.143, Local accuracy on global train data 24.502, Local accuracy on local train data 94.383
Round  14, Devices participated 10, Average loss 0.182, Central accuracy on global test data 62.831, Ensemble accuracy on global test data 44.023, Local accuracy on global train data 22.903, Local accuracy on local train data 95.717
Round  15, Devices participated 10, Average loss 0.154, Central accuracy on global test data 68.700, Ensemble accuracy on global test data 51.211, Local accuracy on global train data 26.479, Local accuracy on local train data 96.083
Round  16, Devices participated 10, Average loss 0.167, Central accuracy on global test data 58.153, Ensemble accuracy on global test data 59.326, Local accuracy on global train data 24.521, Local accuracy on local train data 95.350
Round  17, Devices participated 10, Average loss 0.195, Central accuracy on global test data 54.547, Ensemble accuracy on global test data 59.131, Local accuracy on global train data 32.366, Local accuracy on local train data 95.417
Round  18, Devices participated 10, Average loss 0.242, Central accuracy on global test data 53.496, Ensemble accuracy on global test data 49.961, Local accuracy on global train data 25.002, Local accuracy on local train data 96.267
Round  19, Devices participated 10, Average loss 0.235, Central accuracy on global test data 50.361, Ensemble accuracy on global test data 45.137, Local accuracy on global train data 26.494, Local accuracy on local train data 94.483
Round  20, Devices participated 10, Average loss 0.170, Central accuracy on global test data 52.694, Ensemble accuracy on global test data 72.012, Local accuracy on global train data 29.629, Local accuracy on local train data 95.600
Round  21, Devices participated 10, Average loss 0.196, Central accuracy on global test data 50.000, Ensemble accuracy on global test data 74.111, Local accuracy on global train data 32.844, Local accuracy on local train data 95.367
Round  22, Devices participated 10, Average loss 0.121, Central accuracy on global test data 61.398, Ensemble accuracy on global test data 72.568, Local accuracy on global train data 34.377, Local accuracy on local train data 96.667
