Round   0, Devices participated 10, Average loss 0.375, Central accuracy on global test data 29.297, Local accuracy on global train data 19.368, Local accuracy on local train data 92.433
Round   1, Devices participated 10, Average loss 0.379, Central accuracy on global test data 33.383, Local accuracy on global train data 17.388, Local accuracy on local train data 91.333
Round   2, Devices participated 10, Average loss 0.454, Central accuracy on global test data 32.742, Local accuracy on global train data 19.934, Local accuracy on local train data 91.667
Round   3, Devices participated 10, Average loss 0.371, Central accuracy on global test data 34.415, Local accuracy on global train data 20.552, Local accuracy on local train data 92.767
Round   4, Devices participated 10, Average loss 0.462, Central accuracy on global test data 37.179, Local accuracy on global train data 18.916, Local accuracy on local train data 93.450
Round   5, Devices participated 10, Average loss 0.386, Central accuracy on global test data 38.462, Local accuracy on global train data 19.639, Local accuracy on local train data 93.100
Round   6, Devices participated 10, Average loss 0.323, Central accuracy on global test data 45.423, Local accuracy on global train data 19.753, Local accuracy on local train data 93.950
Round   7, Devices participated 10, Average loss 0.372, Central accuracy on global test data 49.720, Local accuracy on global train data 20.381, Local accuracy on local train data 91.833
Round   8, Devices participated 10, Average loss 0.260, Central accuracy on global test data 64.243, Local accuracy on global train data 21.147, Local accuracy on local train data 94.183
Round   9, Devices participated 10, Average loss 0.218, Central accuracy on global test data 62.320, Local accuracy on global train data 21.602, Local accuracy on local train data 94.033
Round  10, Devices participated 10, Average loss 0.250, Central accuracy on global test data 60.767, Local accuracy on global train data 18.792, Local accuracy on local train data 94.350
Round  11, Devices participated 10, Average loss 0.167, Central accuracy on global test data 56.540, Local accuracy on global train data 21.553, Local accuracy on local train data 95.650
Round  12, Devices participated 10, Average loss 0.465, Central accuracy on global test data 55.779, Local accuracy on global train data 20.234, Local accuracy on local train data 91.283
Round  13, Devices participated 10, Average loss 0.211, Central accuracy on global test data 51.723, Local accuracy on global train data 20.630, Local accuracy on local train data 94.617
Round  14, Devices participated 10, Average loss 0.279, Central accuracy on global test data 70.182, Local accuracy on global train data 24.746, Local accuracy on local train data 93.250
Round  15, Devices participated 10, Average loss 0.219, Central accuracy on global test data 74.329, Local accuracy on global train data 22.585, Local accuracy on local train data 95.533
Round  16, Devices participated 10, Average loss 0.390, Central accuracy on global test data 73.838, Local accuracy on global train data 21.646, Local accuracy on local train data 92.850
Round  17, Devices participated 10, Average loss 0.189, Central accuracy on global test data 81.000, Local accuracy on global train data 30.259, Local accuracy on local train data 95.983
Round  18, Devices participated 10, Average loss 0.259, Central accuracy on global test data 81.871, Local accuracy on global train data 24.927, Local accuracy on local train data 93.550
Round  19, Devices participated 10, Average loss 0.082, Central accuracy on global test data 80.589, Local accuracy on global train data 29.792, Local accuracy on local train data 97.567
Round  20, Devices participated 10, Average loss 0.142, Central accuracy on global test data 81.340, Local accuracy on global train data 26.272, Local accuracy on local train data 95.700
Round  21, Devices participated 10, Average loss 0.156, Central accuracy on global test data 82.742, Local accuracy on global train data 25.579, Local accuracy on local train data 96.233
Round  22, Devices participated 10, Average loss 0.151, Central accuracy on global test data 75.260, Local accuracy on global train data 34.197, Local accuracy on local train data 96.017
Round  23, Devices participated 10, Average loss 0.115, Central accuracy on global test data 56.611, Local accuracy on global train data 35.054, Local accuracy on local train data 96.767
Round  24, Devices participated 10, Average loss 0.124, Central accuracy on global test data 62.420, Local accuracy on global train data 30.259, Local accuracy on local train data 96.450
Round  25, Devices participated 10, Average loss 0.231, Central accuracy on global test data 66.767, Local accuracy on global train data 23.860, Local accuracy on local train data 95.100
Round  26, Devices participated 10, Average loss 0.130, Central accuracy on global test data 79.527, Local accuracy on global train data 36.230, Local accuracy on local train data 95.967
Round  27, Devices participated 10, Average loss 0.139, Central accuracy on global test data 82.662, Local accuracy on global train data 36.804, Local accuracy on local train data 96.200
Round  28, Devices participated 10, Average loss 0.153, Central accuracy on global test data 80.339, Local accuracy on global train data 37.205, Local accuracy on local train data 96.683
Round  29, Devices participated 10, Average loss 0.211, Central accuracy on global test data 79.808, Local accuracy on global train data 36.584, Local accuracy on local train data 94.800
Round  30, Devices participated 10, Average loss 0.098, Central accuracy on global test data 75.821, Local accuracy on global train data 35.076, Local accuracy on local train data 97.100
Round  31, Devices participated 10, Average loss 0.100, Central accuracy on global test data 79.307, Local accuracy on global train data 37.856, Local accuracy on local train data 97.283
Round  32, Devices participated 10, Average loss 0.090, Central accuracy on global test data 78.175, Local accuracy on global train data 38.513, Local accuracy on local train data 97.467
Round  33, Devices participated 10, Average loss 0.117, Central accuracy on global test data 84.305, Local accuracy on global train data 38.184, Local accuracy on local train data 96.217
Round  34, Devices participated 10, Average loss 0.056, Central accuracy on global test data 86.278, Local accuracy on global train data 41.179, Local accuracy on local train data 98.400
Round  35, Devices participated 10, Average loss 0.098, Central accuracy on global test data 88.602, Local accuracy on global train data 35.571, Local accuracy on local train data 97.417
Round  36, Devices participated 10, Average loss 0.112, Central accuracy on global test data 85.687, Local accuracy on global train data 40.547, Local accuracy on local train data 96.900
Round  37, Devices participated 10, Average loss 0.156, Central accuracy on global test data 83.203, Local accuracy on global train data 39.929, Local accuracy on local train data 95.283
Round  38, Devices participated 10, Average loss 0.086, Central accuracy on global test data 79.127, Local accuracy on global train data 42.234, Local accuracy on local train data 97.417
Round  39, Devices participated 10, Average loss 0.158, Central accuracy on global test data 83.784, Local accuracy on global train data 42.358, Local accuracy on local train data 96.767
Round  40, Devices participated 10, Average loss 0.132, Central accuracy on global test data 83.724, Local accuracy on global train data 39.954, Local accuracy on local train data 96.417
Round  41, Devices participated 10, Average loss 0.154, Central accuracy on global test data 84.706, Local accuracy on global train data 48.267, Local accuracy on local train data 96.017
Round  42, Devices participated 10, Average loss 0.120, Central accuracy on global test data 84.986, Local accuracy on global train data 42.109, Local accuracy on local train data 96.817
Round  43, Devices participated 10, Average loss 0.076, Central accuracy on global test data 81.711, Local accuracy on global train data 42.805, Local accuracy on local train data 97.550
Round  44, Devices participated 10, Average loss 0.163, Central accuracy on global test data 82.071, Local accuracy on global train data 44.849, Local accuracy on local train data 95.483
Round  45, Devices participated 10, Average loss 0.096, Central accuracy on global test data 83.083, Local accuracy on global train data 49.338, Local accuracy on local train data 97.117
Round  46, Devices participated 10, Average loss 0.136, Central accuracy on global test data 80.759, Local accuracy on global train data 46.604, Local accuracy on local train data 95.883
Round  47, Devices participated 10, Average loss 0.053, Central accuracy on global test data 82.923, Local accuracy on global train data 49.565, Local accuracy on local train data 98.417
Round  48, Devices participated 10, Average loss 0.110, Central accuracy on global test data 82.883, Local accuracy on global train data 52.820, Local accuracy on local train data 96.917
Round  49, Devices participated 10, Average loss 0.074, Central accuracy on global test data 82.572, Local accuracy on global train data 54.915, Local accuracy on local train data 98.183
Round  50, Devices participated 10, Average loss 0.116, Central accuracy on global test data 84.265, Local accuracy on global train data 51.646, Local accuracy on local train data 96.517
Round  51, Devices participated 10, Average loss 0.097, Central accuracy on global test data 88.251, Local accuracy on global train data 54.282, Local accuracy on local train data 97.217
Round  52, Devices participated 10, Average loss 0.117, Central accuracy on global test data 88.512, Local accuracy on global train data 44.377, Local accuracy on local train data 96.700
Round  53, Devices participated 10, Average loss 0.060, Central accuracy on global test data 87.380, Local accuracy on global train data 49.023, Local accuracy on local train data 98.283
Round  54, Devices participated 10, Average loss 0.054, Central accuracy on global test data 88.922, Local accuracy on global train data 46.870, Local accuracy on local train data 98.367
Round  55, Devices participated 10, Average loss 0.090, Central accuracy on global test data 88.922, Local accuracy on global train data 49.685, Local accuracy on local train data 97.400
Round  56, Devices participated 10, Average loss 0.085, Central accuracy on global test data 88.241, Local accuracy on global train data 53.364, Local accuracy on local train data 97.383
Round  57, Devices participated 10, Average loss 0.081, Central accuracy on global test data 87.991, Local accuracy on global train data 54.709, Local accuracy on local train data 97.733
Round  58, Devices participated 10, Average loss 0.115, Central accuracy on global test data 88.211, Local accuracy on global train data 48.938, Local accuracy on local train data 96.550
Round  59, Devices participated 10, Average loss 0.076, Central accuracy on global test data 91.156, Local accuracy on global train data 57.998, Local accuracy on local train data 97.967
Round  60, Devices participated 10, Average loss 0.087, Central accuracy on global test data 90.986, Local accuracy on global train data 53.184, Local accuracy on local train data 97.317
Round  61, Devices participated 10, Average loss 0.089, Central accuracy on global test data 89.714, Local accuracy on global train data 52.051, Local accuracy on local train data 97.550
Round  62, Devices participated 10, Average loss 0.059, Central accuracy on global test data 90.044, Local accuracy on global train data 53.987, Local accuracy on local train data 98.133
Round  63, Devices participated 10, Average loss 0.099, Central accuracy on global test data 90.715, Local accuracy on global train data 54.895, Local accuracy on local train data 97.650
Round  64, Devices participated 10, Average loss 0.089, Central accuracy on global test data 89.263, Local accuracy on global train data 53.494, Local accuracy on local train data 97.533
Round  65, Devices participated 10, Average loss 0.129, Central accuracy on global test data 89.714, Local accuracy on global train data 59.502, Local accuracy on local train data 96.250
