Round   0, Devices participated 10, Average loss 0.375, Central accuracy on global test data 29.297, Local accuracy on global train data 19.368, Local accuracy on local train data 92.433
Round   1, Devices participated 10, Average loss 0.379, Central accuracy on global test data 33.383, Local accuracy on global train data 17.388, Local accuracy on local train data 91.333
Round   2, Devices participated 10, Average loss 0.454, Central accuracy on global test data 32.742, Local accuracy on global train data 19.934, Local accuracy on local train data 91.667
Round   3, Devices participated 10, Average loss 0.371, Central accuracy on global test data 34.415, Local accuracy on global train data 20.552, Local accuracy on local train data 92.767
Round   4, Devices participated 10, Average loss 0.462, Central accuracy on global test data 37.540, Local accuracy on global train data 18.916, Local accuracy on local train data 93.450
Round   5, Devices participated 10, Average loss 0.385, Central accuracy on global test data 29.377, Local accuracy on global train data 19.646, Local accuracy on local train data 93.117
Round   6, Devices participated 10, Average loss 0.322, Central accuracy on global test data 39.213, Local accuracy on global train data 19.546, Local accuracy on local train data 93.933
Round   7, Devices participated 10, Average loss 0.375, Central accuracy on global test data 51.593, Local accuracy on global train data 20.271, Local accuracy on local train data 91.667
Round   8, Devices participated 10, Average loss 0.249, Central accuracy on global test data 61.458, Local accuracy on global train data 19.636, Local accuracy on local train data 94.333
Round   9, Devices participated 10, Average loss 0.213, Central accuracy on global test data 52.965, Local accuracy on global train data 20.996, Local accuracy on local train data 94.433
Round  10, Devices participated 10, Average loss 0.275, Central accuracy on global test data 50.080, Local accuracy on global train data 18.855, Local accuracy on local train data 93.883
Round  11, Devices participated 10, Average loss 0.172, Central accuracy on global test data 46.955, Local accuracy on global train data 20.835, Local accuracy on local train data 95.500
Round  12, Devices participated 10, Average loss 0.447, Central accuracy on global test data 47.596, Local accuracy on global train data 20.842, Local accuracy on local train data 91.733
Round  13, Devices participated 10, Average loss 0.218, Central accuracy on global test data 47.055, Local accuracy on global train data 20.017, Local accuracy on local train data 94.400
Round  14, Devices participated 10, Average loss 0.261, Central accuracy on global test data 69.091, Local accuracy on global train data 25.085, Local accuracy on local train data 93.517
Round  15, Devices participated 10, Average loss 0.220, Central accuracy on global test data 70.603, Local accuracy on global train data 22.593, Local accuracy on local train data 95.217
Round  16, Devices participated 10, Average loss 0.384, Central accuracy on global test data 72.847, Local accuracy on global train data 22.925, Local accuracy on local train data 92.967
Round  17, Devices participated 10, Average loss 0.198, Central accuracy on global test data 74.119, Local accuracy on global train data 31.018, Local accuracy on local train data 95.500
Round  18, Devices participated 10, Average loss 0.253, Central accuracy on global test data 76.973, Local accuracy on global train data 24.521, Local accuracy on local train data 93.850
Round  19, Devices participated 10, Average loss 0.089, Central accuracy on global test data 67.608, Local accuracy on global train data 30.110, Local accuracy on local train data 97.317
Round  20, Devices participated 10, Average loss 0.133, Central accuracy on global test data 63.972, Local accuracy on global train data 27.668, Local accuracy on local train data 96.217
Round  21, Devices participated 10, Average loss 0.173, Central accuracy on global test data 65.024, Local accuracy on global train data 26.067, Local accuracy on local train data 95.600
Round  22, Devices participated 10, Average loss 0.134, Central accuracy on global test data 67.588, Local accuracy on global train data 35.623, Local accuracy on local train data 96.483
Round  23, Devices participated 10, Average loss 0.098, Central accuracy on global test data 65.645, Local accuracy on global train data 32.908, Local accuracy on local train data 97.067
Round  24, Devices participated 10, Average loss 0.132, Central accuracy on global test data 71.645, Local accuracy on global train data 32.529, Local accuracy on local train data 96.267
Round  25, Devices participated 10, Average loss 0.232, Central accuracy on global test data 66.957, Local accuracy on global train data 24.297, Local accuracy on local train data 94.983
Round  26, Devices participated 10, Average loss 0.123, Central accuracy on global test data 76.783, Local accuracy on global train data 37.947, Local accuracy on local train data 96.317
Round  27, Devices participated 10, Average loss 0.125, Central accuracy on global test data 74.279, Local accuracy on global train data 39.500, Local accuracy on local train data 96.400
Round  28, Devices participated 10, Average loss 0.151, Central accuracy on global test data 77.013, Local accuracy on global train data 39.907, Local accuracy on local train data 96.983
Round  29, Devices participated 10, Average loss 0.217, Central accuracy on global test data 75.180, Local accuracy on global train data 43.057, Local accuracy on local train data 94.850
Round  30, Devices participated 10, Average loss 0.098, Central accuracy on global test data 72.065, Local accuracy on global train data 36.042, Local accuracy on local train data 96.917
Round  31, Devices participated 10, Average loss 0.106, Central accuracy on global test data 79.908, Local accuracy on global train data 38.359, Local accuracy on local train data 96.967
Round  32, Devices participated 10, Average loss 0.079, Central accuracy on global test data 80.238, Local accuracy on global train data 40.054, Local accuracy on local train data 97.450
Round  33, Devices participated 10, Average loss 0.120, Central accuracy on global test data 87.310, Local accuracy on global train data 45.884, Local accuracy on local train data 96.350
Round  34, Devices participated 10, Average loss 0.064, Central accuracy on global test data 85.036, Local accuracy on global train data 44.016, Local accuracy on local train data 98.183
Round  35, Devices participated 10, Average loss 0.097, Central accuracy on global test data 86.999, Local accuracy on global train data 42.944, Local accuracy on local train data 97.500
Round  36, Devices participated 10, Average loss 0.106, Central accuracy on global test data 89.593, Local accuracy on global train data 45.398, Local accuracy on local train data 97.050
Round  37, Devices participated 10, Average loss 0.165, Central accuracy on global test data 86.739, Local accuracy on global train data 45.342, Local accuracy on local train data 95.267
Round  38, Devices participated 10, Average loss 0.075, Central accuracy on global test data 87.510, Local accuracy on global train data 49.709, Local accuracy on local train data 97.867
Round  39, Devices participated 10, Average loss 0.152, Central accuracy on global test data 86.869, Local accuracy on global train data 45.496, Local accuracy on local train data 96.883
Round  40, Devices participated 10, Average loss 0.106, Central accuracy on global test data 85.557, Local accuracy on global train data 47.385, Local accuracy on local train data 97.233
Round  41, Devices participated 10, Average loss 0.105, Central accuracy on global test data 87.720, Local accuracy on global train data 56.465, Local accuracy on local train data 97.117
Round  42, Devices participated 10, Average loss 0.106, Central accuracy on global test data 84.155, Local accuracy on global train data 46.558, Local accuracy on local train data 97.100
Round  43, Devices participated 10, Average loss 0.068, Central accuracy on global test data 80.288, Local accuracy on global train data 47.825, Local accuracy on local train data 97.967
Round  44, Devices participated 10, Average loss 0.134, Central accuracy on global test data 80.048, Local accuracy on global train data 48.931, Local accuracy on local train data 96.500
Round  45, Devices participated 10, Average loss 0.089, Central accuracy on global test data 86.368, Local accuracy on global train data 54.229, Local accuracy on local train data 97.367
Round  46, Devices participated 10, Average loss 0.104, Central accuracy on global test data 85.757, Local accuracy on global train data 53.445, Local accuracy on local train data 96.783
Round  47, Devices participated 10, Average loss 0.044, Central accuracy on global test data 89.774, Local accuracy on global train data 57.407, Local accuracy on local train data 98.733
Round  48, Devices participated 10, Average loss 0.081, Central accuracy on global test data 87.360, Local accuracy on global train data 61.282, Local accuracy on local train data 97.633
Round  49, Devices participated 10, Average loss 0.054, Central accuracy on global test data 84.085, Local accuracy on global train data 62.646, Local accuracy on local train data 98.650
Round  50, Devices participated 10, Average loss 0.104, Central accuracy on global test data 85.597, Local accuracy on global train data 58.899, Local accuracy on local train data 97.250
Round  51, Devices participated 10, Average loss 0.075, Central accuracy on global test data 87.380, Local accuracy on global train data 63.928, Local accuracy on local train data 97.767
Round  52, Devices participated 10, Average loss 0.084, Central accuracy on global test data 81.821, Local accuracy on global train data 54.722, Local accuracy on local train data 97.617
Round  53, Devices participated 10, Average loss 0.055, Central accuracy on global test data 82.532, Local accuracy on global train data 54.956, Local accuracy on local train data 98.350
Round  54, Devices participated 10, Average loss 0.047, Central accuracy on global test data 85.657, Local accuracy on global train data 51.353, Local accuracy on local train data 98.600
Round  55, Devices participated 10, Average loss 0.058, Central accuracy on global test data 84.345, Local accuracy on global train data 57.788, Local accuracy on local train data 98.483
Round  56, Devices participated 10, Average loss 0.058, Central accuracy on global test data 83.804, Local accuracy on global train data 63.811, Local accuracy on local train data 98.233
Round  57, Devices participated 10, Average loss 0.067, Central accuracy on global test data 81.581, Local accuracy on global train data 64.399, Local accuracy on local train data 97.917
Round  58, Devices participated 10, Average loss 0.069, Central accuracy on global test data 79.748, Local accuracy on global train data 58.401, Local accuracy on local train data 97.700
Round  59, Devices participated 10, Average loss 0.065, Central accuracy on global test data 86.458, Local accuracy on global train data 66.199, Local accuracy on local train data 98.117
Round  60, Devices participated 10, Average loss 0.069, Central accuracy on global test data 83.444, Local accuracy on global train data 62.039, Local accuracy on local train data 97.850
Round  61, Devices participated 10, Average loss 0.064, Central accuracy on global test data 78.996, Local accuracy on global train data 59.109, Local accuracy on local train data 98.000
Round  62, Devices participated 10, Average loss 0.060, Central accuracy on global test data 83.694, Local accuracy on global train data 58.533, Local accuracy on local train data 98.200
Round  63, Devices participated 10, Average loss 0.059, Central accuracy on global test data 85.577, Local accuracy on global train data 64.253, Local accuracy on local train data 98.350
Round  64, Devices participated 10, Average loss 0.057, Central accuracy on global test data 84.726, Local accuracy on global train data 62.554, Local accuracy on local train data 98.083
Round  65, Devices participated 10, Average loss 0.089, Central accuracy on global test data 83.784, Local accuracy on global train data 66.646, Local accuracy on local train data 97.150
