Round   0, Devices participated 10, Average loss 0.375, Central accuracy on global test data 29.297, Local accuracy on global train data 19.368, Local accuracy on local train data 92.433
Round   1, Devices participated 10, Average loss 0.379, Central accuracy on global test data 33.383, Local accuracy on global train data 17.388, Local accuracy on local train data 91.333
Round   2, Devices participated 10, Average loss 0.454, Central accuracy on global test data 32.742, Local accuracy on global train data 19.934, Local accuracy on local train data 91.667
Round   3, Devices participated 10, Average loss 0.371, Central accuracy on global test data 34.415, Local accuracy on global train data 20.552, Local accuracy on local train data 92.767
Round   4, Devices participated 10, Average loss 0.462, Central accuracy on global test data 37.700, Local accuracy on global train data 18.916, Local accuracy on local train data 93.450
Round   5, Devices participated 10, Average loss 0.387, Central accuracy on global test data 37.971, Local accuracy on global train data 19.648, Local accuracy on local train data 93.117
Round   6, Devices participated 10, Average loss 0.324, Central accuracy on global test data 37.790, Local accuracy on global train data 19.844, Local accuracy on local train data 93.867
Round   7, Devices participated 10, Average loss 0.372, Central accuracy on global test data 46.364, Local accuracy on global train data 20.317, Local accuracy on local train data 91.867
Round   8, Devices participated 10, Average loss 0.251, Central accuracy on global test data 50.771, Local accuracy on global train data 21.816, Local accuracy on local train data 94.483
Round   9, Devices participated 10, Average loss 0.200, Central accuracy on global test data 49.930, Local accuracy on global train data 23.352, Local accuracy on local train data 94.567
Round  10, Devices participated 10, Average loss 0.245, Central accuracy on global test data 37.530, Local accuracy on global train data 19.126, Local accuracy on local train data 94.717
Round  11, Devices participated 10, Average loss 0.157, Central accuracy on global test data 29.347, Local accuracy on global train data 22.197, Local accuracy on local train data 95.867
Round  12, Devices participated 10, Average loss 0.474, Central accuracy on global test data 46.715, Local accuracy on global train data 20.559, Local accuracy on local train data 91.167
Round  13, Devices participated 10, Average loss 0.200, Central accuracy on global test data 45.823, Local accuracy on global train data 22.480, Local accuracy on local train data 95.000
Round  14, Devices participated 10, Average loss 0.286, Central accuracy on global test data 59.736, Local accuracy on global train data 27.178, Local accuracy on local train data 93.267
Round  15, Devices participated 10, Average loss 0.203, Central accuracy on global test data 56.500, Local accuracy on global train data 25.911, Local accuracy on local train data 95.600
Round  16, Devices participated 10, Average loss 0.363, Central accuracy on global test data 67.678, Local accuracy on global train data 25.085, Local accuracy on local train data 93.433
Round  17, Devices participated 10, Average loss 0.200, Central accuracy on global test data 58.033, Local accuracy on global train data 32.290, Local accuracy on local train data 95.867
Round  18, Devices participated 10, Average loss 0.261, Central accuracy on global test data 76.212, Local accuracy on global train data 29.648, Local accuracy on local train data 93.467
Round  19, Devices participated 10, Average loss 0.078, Central accuracy on global test data 68.870, Local accuracy on global train data 35.481, Local accuracy on local train data 97.733
Round  20, Devices participated 10, Average loss 0.130, Central accuracy on global test data 69.381, Local accuracy on global train data 30.281, Local accuracy on local train data 96.167
Round  21, Devices participated 10, Average loss 0.158, Central accuracy on global test data 69.121, Local accuracy on global train data 28.354, Local accuracy on local train data 96.017
Round  22, Devices participated 10, Average loss 0.131, Central accuracy on global test data 53.095, Local accuracy on global train data 38.901, Local accuracy on local train data 96.200
Round  23, Devices participated 10, Average loss 0.108, Central accuracy on global test data 41.947, Local accuracy on global train data 38.447, Local accuracy on local train data 96.767
Round  24, Devices participated 10, Average loss 0.117, Central accuracy on global test data 62.159, Local accuracy on global train data 34.326, Local accuracy on local train data 96.700
Round  25, Devices participated 10, Average loss 0.235, Central accuracy on global test data 39.093, Local accuracy on global train data 24.453, Local accuracy on local train data 95.150
Round  26, Devices participated 10, Average loss 0.129, Central accuracy on global test data 47.346, Local accuracy on global train data 41.797, Local accuracy on local train data 96.250
Round  27, Devices participated 10, Average loss 0.135, Central accuracy on global test data 51.613, Local accuracy on global train data 38.918, Local accuracy on local train data 96.333
Round  28, Devices participated 10, Average loss 0.180, Central accuracy on global test data 65.114, Local accuracy on global train data 40.549, Local accuracy on local train data 96.567
Round  29, Devices participated 10, Average loss 0.236, Central accuracy on global test data 61.228, Local accuracy on global train data 41.130, Local accuracy on local train data 94.800
Round  30, Devices participated 10, Average loss 0.094, Central accuracy on global test data 59.325, Local accuracy on global train data 37.271, Local accuracy on local train data 97.167
Round  31, Devices participated 10, Average loss 0.074, Central accuracy on global test data 67.218, Local accuracy on global train data 40.823, Local accuracy on local train data 97.717
Round  32, Devices participated 10, Average loss 0.085, Central accuracy on global test data 52.103, Local accuracy on global train data 43.716, Local accuracy on local train data 97.533
Round  33, Devices participated 10, Average loss 0.104, Central accuracy on global test data 62.821, Local accuracy on global train data 43.833, Local accuracy on local train data 96.683
Round  34, Devices participated 10, Average loss 0.062, Central accuracy on global test data 59.375, Local accuracy on global train data 47.029, Local accuracy on local train data 98.383
Round  35, Devices participated 10, Average loss 0.123, Central accuracy on global test data 82.051, Local accuracy on global train data 39.155, Local accuracy on local train data 96.750
Round  36, Devices participated 10, Average loss 0.163, Central accuracy on global test data 78.926, Local accuracy on global train data 44.231, Local accuracy on local train data 96.383
Round  37, Devices participated 10, Average loss 0.122, Central accuracy on global test data 80.659, Local accuracy on global train data 46.355, Local accuracy on local train data 96.567
Round  38, Devices participated 10, Average loss 0.078, Central accuracy on global test data 79.217, Local accuracy on global train data 46.167, Local accuracy on local train data 97.767
Round  39, Devices participated 10, Average loss 0.143, Central accuracy on global test data 71.625, Local accuracy on global train data 44.092, Local accuracy on local train data 96.850
Round  40, Devices participated 10, Average loss 0.128, Central accuracy on global test data 57.262, Local accuracy on global train data 47.754, Local accuracy on local train data 96.733
Round  41, Devices participated 10, Average loss 0.111, Central accuracy on global test data 66.236, Local accuracy on global train data 52.256, Local accuracy on local train data 97.050
Round  42, Devices participated 10, Average loss 0.109, Central accuracy on global test data 48.808, Local accuracy on global train data 45.781, Local accuracy on local train data 96.900
Round  43, Devices participated 10, Average loss 0.082, Central accuracy on global test data 54.377, Local accuracy on global train data 45.488, Local accuracy on local train data 97.817
Round  44, Devices participated 10, Average loss 0.140, Central accuracy on global test data 78.786, Local accuracy on global train data 48.491, Local accuracy on local train data 95.933
Round  45, Devices participated 10, Average loss 0.081, Central accuracy on global test data 79.537, Local accuracy on global train data 50.701, Local accuracy on local train data 97.433
Round  46, Devices participated 10, Average loss 0.103, Central accuracy on global test data 73.187, Local accuracy on global train data 52.234, Local accuracy on local train data 96.800
Round  47, Devices participated 10, Average loss 0.063, Central accuracy on global test data 77.764, Local accuracy on global train data 55.381, Local accuracy on local train data 98.000
Round  48, Devices participated 10, Average loss 0.094, Central accuracy on global test data 73.377, Local accuracy on global train data 56.604, Local accuracy on local train data 97.333
Round  49, Devices participated 10, Average loss 0.064, Central accuracy on global test data 78.255, Local accuracy on global train data 61.655, Local accuracy on local train data 98.300
Round  50, Devices participated 10, Average loss 0.114, Central accuracy on global test data 84.716, Local accuracy on global train data 57.795, Local accuracy on local train data 96.850
Round  51, Devices participated 10, Average loss 0.077, Central accuracy on global test data 87.260, Local accuracy on global train data 62.068, Local accuracy on local train data 97.700
Round  52, Devices participated 10, Average loss 0.082, Central accuracy on global test data 76.973, Local accuracy on global train data 52.454, Local accuracy on local train data 97.767
Round  53, Devices participated 10, Average loss 0.072, Central accuracy on global test data 72.155, Local accuracy on global train data 55.417, Local accuracy on local train data 97.933
Round  54, Devices participated 10, Average loss 0.058, Central accuracy on global test data 86.238, Local accuracy on global train data 53.691, Local accuracy on local train data 98.367
Round  55, Devices participated 10, Average loss 0.080, Central accuracy on global test data 87.520, Local accuracy on global train data 55.178, Local accuracy on local train data 97.767
Round  56, Devices participated 10, Average loss 0.077, Central accuracy on global test data 86.288, Local accuracy on global train data 60.347, Local accuracy on local train data 97.783
Round  57, Devices participated 10, Average loss 0.077, Central accuracy on global test data 87.039, Local accuracy on global train data 67.463, Local accuracy on local train data 97.883
Round  58, Devices participated 10, Average loss 0.089, Central accuracy on global test data 77.865, Local accuracy on global train data 58.357, Local accuracy on local train data 97.500
Round  59, Devices participated 10, Average loss 0.064, Central accuracy on global test data 81.020, Local accuracy on global train data 64.248, Local accuracy on local train data 98.000
Round  60, Devices participated 10, Average loss 0.074, Central accuracy on global test data 79.056, Local accuracy on global train data 59.683, Local accuracy on local train data 97.700
Round  61, Devices participated 10, Average loss 0.091, Central accuracy on global test data 82.031, Local accuracy on global train data 60.681, Local accuracy on local train data 97.617
Round  62, Devices participated 10, Average loss 0.064, Central accuracy on global test data 65.234, Local accuracy on global train data 56.196, Local accuracy on local train data 98.400
Round  63, Devices participated 10, Average loss 0.057, Central accuracy on global test data 63.401, Local accuracy on global train data 63.320, Local accuracy on local train data 98.317
Round  64, Devices participated 10, Average loss 0.065, Central accuracy on global test data 72.396, Local accuracy on global train data 59.504, Local accuracy on local train data 98.067
Round  65, Devices participated 10, Average loss 0.097, Central accuracy on global test data 76.733, Local accuracy on global train data 65.747, Local accuracy on local train data 97.133
