Round   0, Devices participated 10, Average loss 0.526, Central accuracy on global test data 35.867, Local accuracy on global train data 20.579, Local accuracy on local train data 91.467
Round   1, Devices participated 10, Average loss 0.522, Central accuracy on global test data 37.961, Local accuracy on global train data 19.180, Local accuracy on local train data 91.433
Round   2, Devices participated 10, Average loss 0.223, Central accuracy on global test data 39.894, Local accuracy on global train data 16.426, Local accuracy on local train data 94.117
Round   3, Devices participated 10, Average loss 0.551, Central accuracy on global test data 47.005, Local accuracy on global train data 21.650, Local accuracy on local train data 92.267
Round   4, Devices participated 10, Average loss 0.402, Central accuracy on global test data 45.713, Local accuracy on global train data 21.528, Local accuracy on local train data 92.500
Round   5, Devices participated 10, Average loss 0.265, Central accuracy on global test data 50.942, Local accuracy on global train data 21.057, Local accuracy on local train data 93.650
Round   6, Devices participated 10, Average loss 0.360, Central accuracy on global test data 42.318, Local accuracy on global train data 20.583, Local accuracy on local train data 94.050
Round   7, Devices participated 10, Average loss 0.232, Central accuracy on global test data 48.448, Local accuracy on global train data 22.942, Local accuracy on local train data 93.667
Round   8, Devices participated 10, Average loss 0.561, Central accuracy on global test data 61.789, Local accuracy on global train data 20.132, Local accuracy on local train data 90.967
Round   9, Devices participated 10, Average loss 0.340, Central accuracy on global test data 42.658, Local accuracy on global train data 19.531, Local accuracy on local train data 93.067
Round  10, Devices participated 10, Average loss 0.255, Central accuracy on global test data 62.149, Local accuracy on global train data 20.959, Local accuracy on local train data 95.033
Round  11, Devices participated 10, Average loss 0.201, Central accuracy on global test data 68.440, Local accuracy on global train data 20.925, Local accuracy on local train data 96.450
Round  12, Devices participated 10, Average loss 0.293, Central accuracy on global test data 69.421, Local accuracy on global train data 22.100, Local accuracy on local train data 92.683
Round  13, Devices participated 10, Average loss 0.306, Central accuracy on global test data 62.169, Local accuracy on global train data 26.252, Local accuracy on local train data 94.100
Round  14, Devices participated 10, Average loss 0.205, Central accuracy on global test data 54.928, Local accuracy on global train data 24.521, Local accuracy on local train data 95.567
Round  15, Devices participated 10, Average loss 0.158, Central accuracy on global test data 50.841, Local accuracy on global train data 28.335, Local accuracy on local train data 95.767
Round  16, Devices participated 10, Average loss 0.126, Central accuracy on global test data 49.439, Local accuracy on global train data 34.604, Local accuracy on local train data 96.133
Round  17, Devices participated 10, Average loss 0.211, Central accuracy on global test data 49.469, Local accuracy on global train data 32.529, Local accuracy on local train data 95.083
Round  18, Devices participated 10, Average loss 0.175, Central accuracy on global test data 31.851, Local accuracy on global train data 24.346, Local accuracy on local train data 96.200
Round  19, Devices participated 10, Average loss 0.263, Central accuracy on global test data 39.002, Local accuracy on global train data 28.591, Local accuracy on local train data 94.417
Round  20, Devices participated 10, Average loss 0.178, Central accuracy on global test data 53.506, Local accuracy on global train data 28.005, Local accuracy on local train data 95.383
Round  21, Devices participated 10, Average loss 0.186, Central accuracy on global test data 52.424, Local accuracy on global train data 29.866, Local accuracy on local train data 95.567
Round  22, Devices participated 10, Average loss 0.105, Central accuracy on global test data 60.046, Local accuracy on global train data 33.320, Local accuracy on local train data 97.267
Round  23, Devices participated 10, Average loss 0.131, Central accuracy on global test data 59.385, Local accuracy on global train data 33.347, Local accuracy on local train data 96.583
Round  24, Devices participated 10, Average loss 0.199, Central accuracy on global test data 64.744, Local accuracy on global train data 31.926, Local accuracy on local train data 96.267
Round  25, Devices participated 10, Average loss 0.192, Central accuracy on global test data 72.256, Local accuracy on global train data 34.556, Local accuracy on local train data 95.483
Round  26, Devices participated 10, Average loss 0.113, Central accuracy on global test data 78.125, Local accuracy on global train data 36.731, Local accuracy on local train data 97.417
Round  27, Devices participated 10, Average loss 0.111, Central accuracy on global test data 80.809, Local accuracy on global train data 36.436, Local accuracy on local train data 96.783
Round  28, Devices participated 10, Average loss 0.084, Central accuracy on global test data 79.718, Local accuracy on global train data 36.057, Local accuracy on local train data 97.567
Round  29, Devices participated 10, Average loss 0.141, Central accuracy on global test data 63.732, Local accuracy on global train data 32.917, Local accuracy on local train data 96.583
Round  30, Devices participated 10, Average loss 0.098, Central accuracy on global test data 68.760, Local accuracy on global train data 38.264, Local accuracy on local train data 97.550
Round  31, Devices participated 10, Average loss 0.103, Central accuracy on global test data 81.400, Local accuracy on global train data 42.527, Local accuracy on local train data 97.200
Round  32, Devices participated 10, Average loss 0.123, Central accuracy on global test data 83.143, Local accuracy on global train data 38.469, Local accuracy on local train data 96.517
Round  33, Devices participated 10, Average loss 0.157, Central accuracy on global test data 74.239, Local accuracy on global train data 44.033, Local accuracy on local train data 96.800
Round  34, Devices participated 10, Average loss 0.111, Central accuracy on global test data 69.631, Local accuracy on global train data 42.415, Local accuracy on local train data 97.233
Round  35, Devices participated 10, Average loss 0.075, Central accuracy on global test data 70.603, Local accuracy on global train data 42.568, Local accuracy on local train data 97.817
Round  36, Devices participated 10, Average loss 0.123, Central accuracy on global test data 69.581, Local accuracy on global train data 43.547, Local accuracy on local train data 97.167
Round  37, Devices participated 10, Average loss 0.077, Central accuracy on global test data 79.046, Local accuracy on global train data 42.085, Local accuracy on local train data 97.783
Round  38, Devices participated 10, Average loss 0.072, Central accuracy on global test data 80.288, Local accuracy on global train data 51.165, Local accuracy on local train data 97.850
Round  39, Devices participated 10, Average loss 0.088, Central accuracy on global test data 70.142, Local accuracy on global train data 45.549, Local accuracy on local train data 97.367
Round  40, Devices participated 10, Average loss 0.057, Central accuracy on global test data 72.907, Local accuracy on global train data 54.756, Local accuracy on local train data 98.350
Round  41, Devices participated 10, Average loss 0.091, Central accuracy on global test data 71.985, Local accuracy on global train data 45.459, Local accuracy on local train data 97.183
Round  42, Devices participated 10, Average loss 0.150, Central accuracy on global test data 64.954, Local accuracy on global train data 46.853, Local accuracy on local train data 95.867
Round  43, Devices participated 10, Average loss 0.058, Central accuracy on global test data 80.739, Local accuracy on global train data 57.505, Local accuracy on local train data 98.450
Round  44, Devices participated 10, Average loss 0.124, Central accuracy on global test data 83.063, Local accuracy on global train data 54.492, Local accuracy on local train data 96.367
Round  45, Devices participated 10, Average loss 0.084, Central accuracy on global test data 75.290, Local accuracy on global train data 56.555, Local accuracy on local train data 97.817
Round  46, Devices participated 10, Average loss 0.061, Central accuracy on global test data 76.032, Local accuracy on global train data 57.891, Local accuracy on local train data 98.250
Round  47, Devices participated 10, Average loss 0.066, Central accuracy on global test data 70.693, Local accuracy on global train data 51.321, Local accuracy on local train data 97.883
Round  48, Devices participated 10, Average loss 0.129, Central accuracy on global test data 80.980, Local accuracy on global train data 47.886, Local accuracy on local train data 96.600
Round  49, Devices participated 10, Average loss 0.076, Central accuracy on global test data 82.752, Local accuracy on global train data 46.965, Local accuracy on local train data 97.800
Round  50, Devices participated 10, Average loss 0.073, Central accuracy on global test data 78.305, Local accuracy on global train data 51.096, Local accuracy on local train data 98.050
Round  51, Devices participated 10, Average loss 0.086, Central accuracy on global test data 67.478, Local accuracy on global train data 51.152, Local accuracy on local train data 97.500
Round  52, Devices participated 10, Average loss 0.051, Central accuracy on global test data 68.530, Local accuracy on global train data 54.297, Local accuracy on local train data 98.583
Round  53, Devices participated 10, Average loss 0.051, Central accuracy on global test data 52.634, Local accuracy on global train data 55.574, Local accuracy on local train data 98.600
Round  54, Devices participated 10, Average loss 0.102, Central accuracy on global test data 71.254, Local accuracy on global train data 54.070, Local accuracy on local train data 96.750
Round  55, Devices participated 10, Average loss 0.085, Central accuracy on global test data 74.690, Local accuracy on global train data 53.135, Local accuracy on local train data 97.450
Round  56, Devices participated 10, Average loss 0.088, Central accuracy on global test data 83.333, Local accuracy on global train data 55.159, Local accuracy on local train data 97.917
Round  57, Devices participated 10, Average loss 0.041, Central accuracy on global test data 83.624, Local accuracy on global train data 56.692, Local accuracy on local train data 98.817
Round  58, Devices participated 10, Average loss 0.070, Central accuracy on global test data 83.624, Local accuracy on global train data 53.623, Local accuracy on local train data 98.217
Round  59, Devices participated 10, Average loss 0.053, Central accuracy on global test data 84.545, Local accuracy on global train data 54.875, Local accuracy on local train data 98.483
Round  60, Devices participated 10, Average loss 0.054, Central accuracy on global test data 77.714, Local accuracy on global train data 54.741, Local accuracy on local train data 98.283
Round  61, Devices participated 10, Average loss 0.054, Central accuracy on global test data 83.143, Local accuracy on global train data 62.046, Local accuracy on local train data 98.250
Round  62, Devices participated 10, Average loss 0.079, Central accuracy on global test data 85.907, Local accuracy on global train data 56.306, Local accuracy on local train data 97.883
Round  63, Devices participated 10, Average loss 0.045, Central accuracy on global test data 81.891, Local accuracy on global train data 60.417, Local accuracy on local train data 98.567
Round  64, Devices participated 10, Average loss 0.065, Central accuracy on global test data 88.552, Local accuracy on global train data 56.943, Local accuracy on local train data 98.183
Round  65, Devices participated 10, Average loss 0.075, Central accuracy on global test data 77.133, Local accuracy on global train data 60.554, Local accuracy on local train data 97.950
Round  66, Devices participated 10, Average loss 0.066, Central accuracy on global test data 85.877, Local accuracy on global train data 66.772, Local accuracy on local train data 98.233
Round  67, Devices participated 10, Average loss 0.102, Central accuracy on global test data 89.864, Local accuracy on global train data 59.438, Local accuracy on local train data 97.867
Round  68, Devices participated 10, Average loss 0.143, Central accuracy on global test data 91.486, Local accuracy on global train data 59.426, Local accuracy on local train data 96.117
Round  69, Devices participated 10, Average loss 0.043, Central accuracy on global test data 90.545, Local accuracy on global train data 66.040, Local accuracy on local train data 98.917
Round  70, Devices participated 10, Average loss 0.084, Central accuracy on global test data 84.926, Local accuracy on global train data 64.546, Local accuracy on local train data 97.617
Round  71, Devices participated 10, Average loss 0.047, Central accuracy on global test data 80.629, Local accuracy on global train data 67.747, Local accuracy on local train data 98.583
Round  72, Devices participated 10, Average loss 0.095, Central accuracy on global test data 89.293, Local accuracy on global train data 67.358, Local accuracy on local train data 97.333
Round  73, Devices participated 10, Average loss 0.040, Central accuracy on global test data 86.759, Local accuracy on global train data 62.849, Local accuracy on local train data 98.883
Round  74, Devices participated 10, Average loss 0.068, Central accuracy on global test data 81.460, Local accuracy on global train data 65.518, Local accuracy on local train data 98.067
Round  75, Devices participated 10, Average loss 0.070, Central accuracy on global test data 73.087, Local accuracy on global train data 66.863, Local accuracy on local train data 97.733
