Round   0, Devices participated 10, Average loss 0.126, Central accuracy on global test data 23.067, Ensemble accuracy on global test data 23.740, Local accuracy on global train data 12.085, Local accuracy on local train data 97.500
Round   1, Devices participated 10, Average loss 0.047, Central accuracy on global test data 19.601, Ensemble accuracy on global test data 14.287, Local accuracy on global train data 9.919, Local accuracy on local train data 98.567
Round   2, Devices participated 10, Average loss 0.062, Central accuracy on global test data 17.698, Ensemble accuracy on global test data 18.203, Local accuracy on global train data 10.791, Local accuracy on local train data 98.383
Round   3, Devices participated 10, Average loss 0.039, Central accuracy on global test data 32.081, Ensemble accuracy on global test data 35.977, Local accuracy on global train data 10.454, Local accuracy on local train data 98.767
Round   4, Devices participated 10, Average loss 0.101, Central accuracy on global test data 33.534, Ensemble accuracy on global test data 36.045, Local accuracy on global train data 13.159, Local accuracy on local train data 98.133
Round   5, Devices participated 10, Average loss 0.074, Central accuracy on global test data 16.386, Ensemble accuracy on global test data 17.852, Local accuracy on global train data 11.013, Local accuracy on local train data 98.583
Round   6, Devices participated 10, Average loss 0.125, Central accuracy on global test data 25.341, Ensemble accuracy on global test data 29.609, Local accuracy on global train data 10.437, Local accuracy on local train data 97.733
Round   7, Devices participated 10, Average loss 0.038, Central accuracy on global test data 9.245, Ensemble accuracy on global test data 8.828, Local accuracy on global train data 10.574, Local accuracy on local train data 98.883
Round   8, Devices participated 10, Average loss 0.085, Central accuracy on global test data 19.101, Ensemble accuracy on global test data 18.926, Local accuracy on global train data 10.879, Local accuracy on local train data 98.117
Round   9, Devices participated 10, Average loss 0.082, Central accuracy on global test data 14.233, Ensemble accuracy on global test data 16.172, Local accuracy on global train data 11.323, Local accuracy on local train data 98.483
Round  10, Devices participated 10, Average loss 0.034, Central accuracy on global test data 20.753, Ensemble accuracy on global test data 22.461, Local accuracy on global train data 10.320, Local accuracy on local train data 99.217
Round  11, Devices participated 10, Average loss 0.048, Central accuracy on global test data 25.100, Ensemble accuracy on global test data 25.898, Local accuracy on global train data 9.922, Local accuracy on local train data 98.900
Round  12, Devices participated 10, Average loss 0.131, Central accuracy on global test data 16.446, Ensemble accuracy on global test data 15.303, Local accuracy on global train data 11.775, Local accuracy on local train data 98.067
