Round   0, Devices participated 10, Average loss 0.022, Central accuracy on global test data 25.611, Ensemble accuracy on global test data 25.850, Local accuracy on global train data 12.107, Local accuracy on local train data 99.523
Round   1, Devices participated 10, Average loss 0.009, Central accuracy on global test data 13.502, Ensemble accuracy on global test data 11.162, Local accuracy on global train data 9.851, Local accuracy on local train data 99.720
Round   2, Devices participated 10, Average loss 0.016, Central accuracy on global test data 17.819, Ensemble accuracy on global test data 17.861, Local accuracy on global train data 10.996, Local accuracy on local train data 99.627
Round   3, Devices participated 10, Average loss 0.007, Central accuracy on global test data 36.028, Ensemble accuracy on global test data 34.902, Local accuracy on global train data 10.298, Local accuracy on local train data 99.753
Round   4, Devices participated 10, Average loss 0.040, Central accuracy on global test data 17.969, Ensemble accuracy on global test data 20.723, Local accuracy on global train data 12.825, Local accuracy on local train data 99.567
Round   5, Devices participated 10, Average loss 0.024, Central accuracy on global test data 19.341, Ensemble accuracy on global test data 18.945, Local accuracy on global train data 10.344, Local accuracy on local train data 99.720
Round   6, Devices participated 10, Average loss 0.025, Central accuracy on global test data 23.598, Ensemble accuracy on global test data 22.451, Local accuracy on global train data 11.074, Local accuracy on local train data 99.543
Round   7, Devices participated 10, Average loss 0.012, Central accuracy on global test data 20.172, Ensemble accuracy on global test data 21.309, Local accuracy on global train data 10.107, Local accuracy on local train data 99.747
Round   8, Devices participated 10, Average loss 0.051, Central accuracy on global test data 18.870, Ensemble accuracy on global test data 18.447, Local accuracy on global train data 10.603, Local accuracy on local train data 99.423
Round   9, Devices participated 10, Average loss 0.015, Central accuracy on global test data 16.987, Ensemble accuracy on global test data 16.787, Local accuracy on global train data 11.465, Local accuracy on local train data 99.693
Round  10, Devices participated 10, Average loss 0.015, Central accuracy on global test data 26.452, Ensemble accuracy on global test data 26.328, Local accuracy on global train data 10.266, Local accuracy on local train data 99.797
Round  11, Devices participated 10, Average loss 0.017, Central accuracy on global test data 8.894, Ensemble accuracy on global test data 8.711, Local accuracy on global train data 10.840, Local accuracy on local train data 99.760
Round  12, Devices participated 10, Average loss 0.068, Central accuracy on global test data 11.398, Ensemble accuracy on global test data 9.844, Local accuracy on global train data 11.643, Local accuracy on local train data 99.620
Round  13, Devices participated 10, Average loss 0.046, Central accuracy on global test data 23.538, Ensemble accuracy on global test data 23.945, Local accuracy on global train data 9.644, Local accuracy on local train data 99.760
Round  14, Devices participated 10, Average loss 0.024, Central accuracy on global test data 24.589, Ensemble accuracy on global test data 24.600, Local accuracy on global train data 10.134, Local accuracy on local train data 99.737
Round  15, Devices participated 10, Average loss 0.040, Central accuracy on global test data 10.687, Ensemble accuracy on global test data 10.928, Local accuracy on global train data 10.347, Local accuracy on local train data 99.743
Round  16, Devices participated 10, Average loss 0.021, Central accuracy on global test data 10.216, Ensemble accuracy on global test data 10.000, Local accuracy on global train data 10.242, Local accuracy on local train data 99.803
Round  17, Devices participated 10, Average loss 0.115, Central accuracy on global test data 11.248, Ensemble accuracy on global test data 10.498, Local accuracy on global train data 14.148, Local accuracy on local train data 99.473
Round  18, Devices participated 10, Average loss 0.080, Central accuracy on global test data 15.104, Ensemble accuracy on global test data 11.963, Local accuracy on global train data 11.506, Local accuracy on local train data 99.640
Round  19, Devices participated 10, Average loss 0.030, Central accuracy on global test data 11.338, Ensemble accuracy on global test data 9.600, Local accuracy on global train data 11.990, Local accuracy on local train data 99.767
Round  20, Devices participated 10, Average loss 0.046, Central accuracy on global test data 19.211, Ensemble accuracy on global test data 18.750, Local accuracy on global train data 11.819, Local accuracy on local train data 99.643
Round  21, Devices participated 10, Average loss 0.109, Central accuracy on global test data 9.926, Ensemble accuracy on global test data 10.068, Local accuracy on global train data 12.737, Local accuracy on local train data 99.613
Round  22, Devices participated 10, Average loss 0.007, Central accuracy on global test data 34.655, Ensemble accuracy on global test data 36.016, Local accuracy on global train data 11.516, Local accuracy on local train data 99.897
Round  23, Devices participated 10, Average loss 0.047, Central accuracy on global test data 27.925, Ensemble accuracy on global test data 27.480, Local accuracy on global train data 11.948, Local accuracy on local train data 99.753
Round  24, Devices participated 10, Average loss 0.049, Central accuracy on global test data 16.416, Ensemble accuracy on global test data 16.309, Local accuracy on global train data 13.948, Local accuracy on local train data 99.697
Round  25, Devices participated 10, Average loss 0.046, Central accuracy on global test data 10.958, Ensemble accuracy on global test data 10.908, Local accuracy on global train data 10.654, Local accuracy on local train data 99.790
Round  26, Devices participated 10, Average loss 0.063, Central accuracy on global test data 19.171, Ensemble accuracy on global test data 20.293, Local accuracy on global train data 11.665, Local accuracy on local train data 99.500
Round  27, Devices participated 10, Average loss 0.062, Central accuracy on global test data 11.799, Ensemble accuracy on global test data 10.615, Local accuracy on global train data 11.060, Local accuracy on local train data 99.730
Round  28, Devices participated 10, Average loss 0.028, Central accuracy on global test data 29.377, Ensemble accuracy on global test data 28.779, Local accuracy on global train data 10.591, Local accuracy on local train data 99.813
Round  29, Devices participated 10, Average loss 0.047, Central accuracy on global test data 12.240, Ensemble accuracy on global test data 12.236, Local accuracy on global train data 11.995, Local accuracy on local train data 99.730
Round  30, Devices participated 10, Average loss 0.090, Central accuracy on global test data 22.596, Ensemble accuracy on global test data 23.867, Local accuracy on global train data 11.467, Local accuracy on local train data 99.703
Round  31, Devices participated 10, Average loss 0.080, Central accuracy on global test data 21.104, Ensemble accuracy on global test data 20.869, Local accuracy on global train data 13.508, Local accuracy on local train data 99.453
Round  32, Devices participated 10, Average loss 0.071, Central accuracy on global test data 22.045, Ensemble accuracy on global test data 21.543, Local accuracy on global train data 12.627, Local accuracy on local train data 99.657
Round  33, Devices participated 10, Average loss 0.067, Central accuracy on global test data 15.405, Ensemble accuracy on global test data 15.596, Local accuracy on global train data 10.571, Local accuracy on local train data 99.637
Round  34, Devices participated 10, Average loss 0.052, Central accuracy on global test data 34.235, Ensemble accuracy on global test data 33.525, Local accuracy on global train data 12.559, Local accuracy on local train data 99.780
Round  35, Devices participated 10, Average loss 0.057, Central accuracy on global test data 19.341, Ensemble accuracy on global test data 18.857, Local accuracy on global train data 12.708, Local accuracy on local train data 99.627
Round  36, Devices participated 10, Average loss 0.081, Central accuracy on global test data 26.432, Ensemble accuracy on global test data 26.523, Local accuracy on global train data 13.000, Local accuracy on local train data 99.673
Round  37, Devices participated 10, Average loss 0.071, Central accuracy on global test data 23.798, Ensemble accuracy on global test data 23.916, Local accuracy on global train data 12.935, Local accuracy on local train data 99.573
Round  38, Devices participated 10, Average loss 0.033, Central accuracy on global test data 21.775, Ensemble accuracy on global test data 22.480, Local accuracy on global train data 11.682, Local accuracy on local train data 99.810
Round  39, Devices participated 10, Average loss 0.038, Central accuracy on global test data 19.611, Ensemble accuracy on global test data 18.398, Local accuracy on global train data 11.958, Local accuracy on local train data 99.760
Round  40, Devices participated 10, Average loss 0.029, Central accuracy on global test data 11.839, Ensemble accuracy on global test data 12.139, Local accuracy on global train data 11.162, Local accuracy on local train data 99.790
Round  41, Devices participated 10, Average loss 0.074, Central accuracy on global test data 30.288, Ensemble accuracy on global test data 30.088, Local accuracy on global train data 12.168, Local accuracy on local train data 99.550
Round  42, Devices participated 10, Average loss 0.063, Central accuracy on global test data 26.603, Ensemble accuracy on global test data 26.025, Local accuracy on global train data 13.113, Local accuracy on local train data 99.743
Round  43, Devices participated 10, Average loss 0.071, Central accuracy on global test data 10.096, Ensemble accuracy on global test data 10.303, Local accuracy on global train data 12.947, Local accuracy on local train data 99.473
Round  44, Devices participated 10, Average loss 0.044, Central accuracy on global test data 32.963, Ensemble accuracy on global test data 31.064, Local accuracy on global train data 15.471, Local accuracy on local train data 99.730
Round  45, Devices participated 10, Average loss 0.059, Central accuracy on global test data 45.323, Ensemble accuracy on global test data 45.469, Local accuracy on global train data 13.855, Local accuracy on local train data 99.660
Round  46, Devices participated 10, Average loss 0.064, Central accuracy on global test data 22.226, Ensemble accuracy on global test data 22.930, Local accuracy on global train data 15.850, Local accuracy on local train data 99.660
Round  47, Devices participated 10, Average loss 0.030, Central accuracy on global test data 12.430, Ensemble accuracy on global test data 11.719, Local accuracy on global train data 13.037, Local accuracy on local train data 99.723
Round  48, Devices participated 10, Average loss 0.032, Central accuracy on global test data 22.586, Ensemble accuracy on global test data 20.283, Local accuracy on global train data 15.652, Local accuracy on local train data 99.673
Round  49, Devices participated 10, Average loss 0.038, Central accuracy on global test data 26.893, Ensemble accuracy on global test data 26.113, Local accuracy on global train data 13.071, Local accuracy on local train data 99.777
Round  50, Devices participated 10, Average loss 0.046, Central accuracy on global test data 33.213, Ensemble accuracy on global test data 34.385, Local accuracy on global train data 12.168, Local accuracy on local train data 99.717
Round  51, Devices participated 10, Average loss 0.015, Central accuracy on global test data 25.300, Ensemble accuracy on global test data 25.479, Local accuracy on global train data 15.127, Local accuracy on local train data 99.847
Round  52, Devices participated 10, Average loss 0.019, Central accuracy on global test data 25.010, Ensemble accuracy on global test data 23.027, Local accuracy on global train data 14.006, Local accuracy on local train data 99.860
Round  53, Devices participated 10, Average loss 0.056, Central accuracy on global test data 41.066, Ensemble accuracy on global test data 41.270, Local accuracy on global train data 14.873, Local accuracy on local train data 99.613
Round  54, Devices participated 10, Average loss 0.062, Central accuracy on global test data 32.252, Ensemble accuracy on global test data 33.311, Local accuracy on global train data 12.786, Local accuracy on local train data 99.690
Round  55, Devices participated 10, Average loss 0.044, Central accuracy on global test data 13.652, Ensemble accuracy on global test data 12.725, Local accuracy on global train data 12.478, Local accuracy on local train data 99.673
Round  56, Devices participated 10, Average loss 0.018, Central accuracy on global test data 41.637, Ensemble accuracy on global test data 44.736, Local accuracy on global train data 16.475, Local accuracy on local train data 99.837
Round  57, Devices participated 10, Average loss 0.028, Central accuracy on global test data 39.383, Ensemble accuracy on global test data 39.443, Local accuracy on global train data 16.707, Local accuracy on local train data 99.760
Round  58, Devices participated 10, Average loss 0.052, Central accuracy on global test data 26.763, Ensemble accuracy on global test data 29.004, Local accuracy on global train data 14.675, Local accuracy on local train data 99.763
Round  59, Devices participated 10, Average loss 0.039, Central accuracy on global test data 24.639, Ensemble accuracy on global test data 24.688, Local accuracy on global train data 14.058, Local accuracy on local train data 99.673
Round  60, Devices participated 10, Average loss 0.031, Central accuracy on global test data 30.769, Ensemble accuracy on global test data 29.912, Local accuracy on global train data 14.680, Local accuracy on local train data 99.800
Round  61, Devices participated 10, Average loss 0.014, Central accuracy on global test data 20.112, Ensemble accuracy on global test data 22.520, Local accuracy on global train data 13.525, Local accuracy on local train data 99.847
Round  62, Devices participated 10, Average loss 0.037, Central accuracy on global test data 32.722, Ensemble accuracy on global test data 30.391, Local accuracy on global train data 16.152, Local accuracy on local train data 99.710
Round  63, Devices participated 10, Average loss 0.032, Central accuracy on global test data 48.167, Ensemble accuracy on global test data 46.660, Local accuracy on global train data 14.587, Local accuracy on local train data 99.687
Round  64, Devices participated 10, Average loss 0.050, Central accuracy on global test data 17.067, Ensemble accuracy on global test data 17.803, Local accuracy on global train data 18.140, Local accuracy on local train data 99.727
Round  65, Devices participated 10, Average loss 0.039, Central accuracy on global test data 23.878, Ensemble accuracy on global test data 25.684, Local accuracy on global train data 12.256, Local accuracy on local train data 99.780
Round  66, Devices participated 10, Average loss 0.042, Central accuracy on global test data 33.484, Ensemble accuracy on global test data 31.328, Local accuracy on global train data 18.491, Local accuracy on local train data 99.693
Round  67, Devices participated 10, Average loss 0.026, Central accuracy on global test data 40.385, Ensemble accuracy on global test data 39.902, Local accuracy on global train data 14.531, Local accuracy on local train data 99.703
Round  68, Devices participated 10, Average loss 0.031, Central accuracy on global test data 33.794, Ensemble accuracy on global test data 32.061, Local accuracy on global train data 16.011, Local accuracy on local train data 99.827
Round  69, Devices participated 10, Average loss 0.026, Central accuracy on global test data 34.535, Ensemble accuracy on global test data 32.744, Local accuracy on global train data 14.563, Local accuracy on local train data 99.793
Round  70, Devices participated 10, Average loss 0.044, Central accuracy on global test data 26.562, Ensemble accuracy on global test data 28.721, Local accuracy on global train data 12.251, Local accuracy on local train data 99.587
Round  71, Devices participated 10, Average loss 0.083, Central accuracy on global test data 28.786, Ensemble accuracy on global test data 27.910, Local accuracy on global train data 17.898, Local accuracy on local train data 99.273
Round  72, Devices participated 10, Average loss 0.031, Central accuracy on global test data 40.375, Ensemble accuracy on global test data 40.527, Local accuracy on global train data 15.403, Local accuracy on local train data 99.747
