Round   0, Devices participated 10, Average loss 0.022, Central accuracy on global test data 26.022, Ensemble accuracy on global test data 25.850, Local accuracy on global train data 12.107, Local accuracy on local train data 99.523
Round   1, Devices participated 10, Average loss 0.010, Central accuracy on global test data 12.841, Ensemble accuracy on global test data 12.539, Local accuracy on global train data 10.173, Local accuracy on local train data 99.710
Round   2, Devices participated 10, Average loss 0.013, Central accuracy on global test data 21.995, Ensemble accuracy on global test data 20.889, Local accuracy on global train data 11.038, Local accuracy on local train data 99.653
Round   3, Devices participated 10, Average loss 0.008, Central accuracy on global test data 35.958, Ensemble accuracy on global test data 36.484, Local accuracy on global train data 10.349, Local accuracy on local train data 99.770
Round   4, Devices participated 10, Average loss 0.071, Central accuracy on global test data 10.186, Ensemble accuracy on global test data 11.318, Local accuracy on global train data 12.576, Local accuracy on local train data 99.517
Round   5, Devices participated 10, Average loss 0.026, Central accuracy on global test data 15.154, Ensemble accuracy on global test data 12.539, Local accuracy on global train data 10.352, Local accuracy on local train data 99.683
Round   6, Devices participated 10, Average loss 0.024, Central accuracy on global test data 10.296, Ensemble accuracy on global test data 10.049, Local accuracy on global train data 11.453, Local accuracy on local train data 99.577
Round   7, Devices participated 10, Average loss 0.035, Central accuracy on global test data 20.493, Ensemble accuracy on global test data 20.117, Local accuracy on global train data 10.083, Local accuracy on local train data 99.710
Round   8, Devices participated 10, Average loss 0.049, Central accuracy on global test data 19.421, Ensemble accuracy on global test data 18.438, Local accuracy on global train data 10.735, Local accuracy on local train data 99.483
Round   9, Devices participated 10, Average loss 0.025, Central accuracy on global test data 22.175, Ensemble accuracy on global test data 22.539, Local accuracy on global train data 11.350, Local accuracy on local train data 99.670
Round  10, Devices participated 10, Average loss 0.018, Central accuracy on global test data 16.226, Ensemble accuracy on global test data 19.727, Local accuracy on global train data 10.105, Local accuracy on local train data 99.817
Round  11, Devices participated 10, Average loss 0.026, Central accuracy on global test data 8.924, Ensemble accuracy on global test data 9.590, Local accuracy on global train data 11.326, Local accuracy on local train data 99.730
Round  12, Devices participated 10, Average loss 0.070, Central accuracy on global test data 9.585, Ensemble accuracy on global test data 9.365, Local accuracy on global train data 11.560, Local accuracy on local train data 99.610
Round  13, Devices participated 10, Average loss 0.068, Central accuracy on global test data 10.697, Ensemble accuracy on global test data 10.156, Local accuracy on global train data 9.998, Local accuracy on local train data 99.737
Round  14, Devices participated 10, Average loss 0.027, Central accuracy on global test data 21.314, Ensemble accuracy on global test data 19.307, Local accuracy on global train data 10.652, Local accuracy on local train data 99.783
Round  15, Devices participated 10, Average loss 0.053, Central accuracy on global test data 18.810, Ensemble accuracy on global test data 18.721, Local accuracy on global train data 10.024, Local accuracy on local train data 99.740
Round  16, Devices participated 10, Average loss 0.048, Central accuracy on global test data 12.059, Ensemble accuracy on global test data 13.418, Local accuracy on global train data 10.027, Local accuracy on local train data 99.770
Round  17, Devices participated 10, Average loss 0.083, Central accuracy on global test data 18.930, Ensemble accuracy on global test data 18.662, Local accuracy on global train data 12.749, Local accuracy on local train data 99.433
Round  18, Devices participated 10, Average loss 0.069, Central accuracy on global test data 12.590, Ensemble accuracy on global test data 12.402, Local accuracy on global train data 12.146, Local accuracy on local train data 99.627
Round  19, Devices participated 10, Average loss 0.094, Central accuracy on global test data 14.844, Ensemble accuracy on global test data 13.447, Local accuracy on global train data 11.135, Local accuracy on local train data 99.707
Round  20, Devices participated 10, Average loss 0.061, Central accuracy on global test data 11.498, Ensemble accuracy on global test data 11.406, Local accuracy on global train data 12.954, Local accuracy on local train data 99.603
Round  21, Devices participated 10, Average loss 0.206, Central accuracy on global test data 18.590, Ensemble accuracy on global test data 18.271, Local accuracy on global train data 11.975, Local accuracy on local train data 99.373
Round  22, Devices participated 10, Average loss 0.056, Central accuracy on global test data 10.387, Ensemble accuracy on global test data 10.762, Local accuracy on global train data 11.145, Local accuracy on local train data 99.813
Round  23, Devices participated 10, Average loss 0.047, Central accuracy on global test data 10.587, Ensemble accuracy on global test data 10.879, Local accuracy on global train data 11.824, Local accuracy on local train data 99.810
Round  24, Devices participated 10, Average loss 0.100, Central accuracy on global test data 14.283, Ensemble accuracy on global test data 14.414, Local accuracy on global train data 11.370, Local accuracy on local train data 99.680
Round  25, Devices participated 10, Average loss 0.020, Central accuracy on global test data 28.275, Ensemble accuracy on global test data 27.422, Local accuracy on global train data 11.211, Local accuracy on local train data 99.897
Round  26, Devices participated 10, Average loss 0.091, Central accuracy on global test data 26.372, Ensemble accuracy on global test data 27.930, Local accuracy on global train data 11.946, Local accuracy on local train data 99.357
Round  27, Devices participated 10, Average loss 0.064, Central accuracy on global test data 16.877, Ensemble accuracy on global test data 15.312, Local accuracy on global train data 10.469, Local accuracy on local train data 99.777
Round  28, Devices participated 10, Average loss 0.040, Central accuracy on global test data 16.627, Ensemble accuracy on global test data 14.512, Local accuracy on global train data 10.322, Local accuracy on local train data 99.783
Round  29, Devices participated 10, Average loss 0.106, Central accuracy on global test data 12.750, Ensemble accuracy on global test data 11.885, Local accuracy on global train data 14.387, Local accuracy on local train data 99.573
Round  30, Devices participated 10, Average loss 0.057, Central accuracy on global test data 21.645, Ensemble accuracy on global test data 21.592, Local accuracy on global train data 10.691, Local accuracy on local train data 99.727
Round  31, Devices participated 10, Average loss 0.066, Central accuracy on global test data 9.766, Ensemble accuracy on global test data 9.531, Local accuracy on global train data 14.016, Local accuracy on local train data 99.590
Round  32, Devices participated 10, Average loss 0.050, Central accuracy on global test data 37.921, Ensemble accuracy on global test data 36.953, Local accuracy on global train data 12.273, Local accuracy on local train data 99.733
Round  33, Devices participated 10, Average loss 0.135, Central accuracy on global test data 9.736, Ensemble accuracy on global test data 9.639, Local accuracy on global train data 11.021, Local accuracy on local train data 99.613
Round  34, Devices participated 10, Average loss 0.072, Central accuracy on global test data 13.141, Ensemble accuracy on global test data 13.564, Local accuracy on global train data 10.239, Local accuracy on local train data 99.697
Round  35, Devices participated 10, Average loss 0.125, Central accuracy on global test data 27.063, Ensemble accuracy on global test data 26.455, Local accuracy on global train data 13.438, Local accuracy on local train data 99.647
Round  36, Devices participated 10, Average loss 0.092, Central accuracy on global test data 21.845, Ensemble accuracy on global test data 20.244, Local accuracy on global train data 14.080, Local accuracy on local train data 99.613
Round  37, Devices participated 10, Average loss 0.075, Central accuracy on global test data 11.909, Ensemble accuracy on global test data 9.971, Local accuracy on global train data 12.388, Local accuracy on local train data 99.570
Round  38, Devices participated 10, Average loss 0.037, Central accuracy on global test data 26.703, Ensemble accuracy on global test data 21.465, Local accuracy on global train data 14.199, Local accuracy on local train data 99.800
Round  39, Devices participated 10, Average loss 0.045, Central accuracy on global test data 20.202, Ensemble accuracy on global test data 18.662, Local accuracy on global train data 12.485, Local accuracy on local train data 99.687
Round  40, Devices participated 10, Average loss 0.059, Central accuracy on global test data 18.059, Ensemble accuracy on global test data 15.195, Local accuracy on global train data 10.405, Local accuracy on local train data 99.787
Round  41, Devices participated 10, Average loss 0.059, Central accuracy on global test data 27.133, Ensemble accuracy on global test data 29.180, Local accuracy on global train data 12.197, Local accuracy on local train data 99.580
Round  42, Devices participated 10, Average loss 0.112, Central accuracy on global test data 12.500, Ensemble accuracy on global test data 12.090, Local accuracy on global train data 10.791, Local accuracy on local train data 99.603
Round  43, Devices participated 10, Average loss 0.089, Central accuracy on global test data 9.625, Ensemble accuracy on global test data 9.404, Local accuracy on global train data 12.620, Local accuracy on local train data 99.453
Round  44, Devices participated 10, Average loss 0.128, Central accuracy on global test data 37.800, Ensemble accuracy on global test data 46.250, Local accuracy on global train data 14.414, Local accuracy on local train data 99.597
Round  45, Devices participated 10, Average loss 0.047, Central accuracy on global test data 34.585, Ensemble accuracy on global test data 28.955, Local accuracy on global train data 14.109, Local accuracy on local train data 99.603
Round  46, Devices participated 10, Average loss 0.066, Central accuracy on global test data 23.387, Ensemble accuracy on global test data 27.168, Local accuracy on global train data 16.479, Local accuracy on local train data 99.597
Round  47, Devices participated 10, Average loss 0.027, Central accuracy on global test data 33.934, Ensemble accuracy on global test data 25.791, Local accuracy on global train data 14.849, Local accuracy on local train data 99.770
Round  48, Devices participated 10, Average loss 0.086, Central accuracy on global test data 19.371, Ensemble accuracy on global test data 18.320, Local accuracy on global train data 16.931, Local accuracy on local train data 99.667
Round  49, Devices participated 10, Average loss 0.042, Central accuracy on global test data 17.508, Ensemble accuracy on global test data 14.941, Local accuracy on global train data 13.577, Local accuracy on local train data 99.793
Round  50, Devices participated 10, Average loss 0.063, Central accuracy on global test data 32.682, Ensemble accuracy on global test data 34.619, Local accuracy on global train data 14.951, Local accuracy on local train data 99.727
Round  51, Devices participated 10, Average loss 0.025, Central accuracy on global test data 38.872, Ensemble accuracy on global test data 32.402, Local accuracy on global train data 16.406, Local accuracy on local train data 99.817
Round  52, Devices participated 10, Average loss 0.040, Central accuracy on global test data 31.591, Ensemble accuracy on global test data 32.266, Local accuracy on global train data 15.962, Local accuracy on local train data 99.690
Round  53, Devices participated 10, Average loss 0.068, Central accuracy on global test data 36.168, Ensemble accuracy on global test data 32.285, Local accuracy on global train data 15.125, Local accuracy on local train data 99.620
Round  54, Devices participated 10, Average loss 0.029, Central accuracy on global test data 9.776, Ensemble accuracy on global test data 9.629, Local accuracy on global train data 13.020, Local accuracy on local train data 99.773
Round  55, Devices participated 10, Average loss 0.072, Central accuracy on global test data 9.585, Ensemble accuracy on global test data 9.355, Local accuracy on global train data 13.188, Local accuracy on local train data 99.587
Round  56, Devices participated 10, Average loss 0.033, Central accuracy on global test data 36.188, Ensemble accuracy on global test data 35.605, Local accuracy on global train data 16.538, Local accuracy on local train data 99.803
Round  57, Devices participated 10, Average loss 0.061, Central accuracy on global test data 14.834, Ensemble accuracy on global test data 14.287, Local accuracy on global train data 15.007, Local accuracy on local train data 99.773
Round  58, Devices participated 10, Average loss 0.043, Central accuracy on global test data 10.116, Ensemble accuracy on global test data 10.020, Local accuracy on global train data 14.783, Local accuracy on local train data 99.787
Round  59, Devices participated 10, Average loss 0.046, Central accuracy on global test data 36.548, Ensemble accuracy on global test data 43.213, Local accuracy on global train data 12.878, Local accuracy on local train data 99.697
Round  60, Devices participated 10, Average loss 0.075, Central accuracy on global test data 44.371, Ensemble accuracy on global test data 43.955, Local accuracy on global train data 13.911, Local accuracy on local train data 99.727
Round  61, Devices participated 10, Average loss 0.061, Central accuracy on global test data 17.808, Ensemble accuracy on global test data 15.869, Local accuracy on global train data 14.172, Local accuracy on local train data 99.777
Round  62, Devices participated 10, Average loss 0.075, Central accuracy on global test data 24.790, Ensemble accuracy on global test data 23.525, Local accuracy on global train data 16.860, Local accuracy on local train data 99.667
Round  63, Devices participated 10, Average loss 0.083, Central accuracy on global test data 50.681, Ensemble accuracy on global test data 49.053, Local accuracy on global train data 17.380, Local accuracy on local train data 99.587
Round  64, Devices participated 10, Average loss 0.041, Central accuracy on global test data 34.024, Ensemble accuracy on global test data 31.455, Local accuracy on global train data 14.800, Local accuracy on local train data 99.713
Round  65, Devices participated 10, Average loss 0.051, Central accuracy on global test data 33.824, Ensemble accuracy on global test data 28.584, Local accuracy on global train data 13.569, Local accuracy on local train data 99.683
Round  66, Devices participated 10, Average loss 0.064, Central accuracy on global test data 38.692, Ensemble accuracy on global test data 39.834, Local accuracy on global train data 16.145, Local accuracy on local train data 99.703
Round  67, Devices participated 10, Average loss 0.041, Central accuracy on global test data 26.432, Ensemble accuracy on global test data 22.002, Local accuracy on global train data 17.009, Local accuracy on local train data 99.663
Round  68, Devices participated 10, Average loss 0.043, Central accuracy on global test data 33.844, Ensemble accuracy on global test data 29.912, Local accuracy on global train data 14.792, Local accuracy on local train data 99.750
Round  69, Devices participated 10, Average loss 0.014, Central accuracy on global test data 46.705, Ensemble accuracy on global test data 45.850, Local accuracy on global train data 20.610, Local accuracy on local train data 99.847
Round  70, Devices participated 10, Average loss 0.065, Central accuracy on global test data 21.144, Ensemble accuracy on global test data 21.758, Local accuracy on global train data 13.479, Local accuracy on local train data 99.623
Round  71, Devices participated 10, Average loss 0.042, Central accuracy on global test data 32.031, Ensemble accuracy on global test data 31.826, Local accuracy on global train data 17.908, Local accuracy on local train data 99.567
Round  72, Devices participated 10, Average loss 0.033, Central accuracy on global test data 44.421, Ensemble accuracy on global test data 44.395, Local accuracy on global train data 18.701, Local accuracy on local train data 99.773
Round  73, Devices participated 10, Average loss 0.061, Central accuracy on global test data 47.256, Ensemble accuracy on global test data 46.094, Local accuracy on global train data 18.862, Local accuracy on local train data 99.650
Round  74, Devices participated 10, Average loss 0.018, Central accuracy on global test data 44.421, Ensemble accuracy on global test data 51.064, Local accuracy on global train data 15.220, Local accuracy on local train data 99.813
Round  75, Devices participated 10, Average loss 0.030, Central accuracy on global test data 43.570, Ensemble accuracy on global test data 41.914, Local accuracy on global train data 16.592, Local accuracy on local train data 99.747
Round  76, Devices participated 10, Average loss 0.034, Central accuracy on global test data 32.953, Ensemble accuracy on global test data 35.527, Local accuracy on global train data 18.525, Local accuracy on local train data 99.580
Round  77, Devices participated 10, Average loss 0.028, Central accuracy on global test data 37.420, Ensemble accuracy on global test data 36.953, Local accuracy on global train data 18.862, Local accuracy on local train data 99.780
Round  78, Devices participated 10, Average loss 0.050, Central accuracy on global test data 32.181, Ensemble accuracy on global test data 32.100, Local accuracy on global train data 17.104, Local accuracy on local train data 99.587
Round  79, Devices participated 10, Average loss 0.032, Central accuracy on global test data 31.641, Ensemble accuracy on global test data 30.225, Local accuracy on global train data 15.259, Local accuracy on local train data 99.793
Round  80, Devices participated 10, Average loss 0.032, Central accuracy on global test data 33.864, Ensemble accuracy on global test data 33.701, Local accuracy on global train data 17.178, Local accuracy on local train data 99.767
Round  81, Devices participated 10, Average loss 0.032, Central accuracy on global test data 39.714, Ensemble accuracy on global test data 43.564, Local accuracy on global train data 15.166, Local accuracy on local train data 99.773
Round  82, Devices participated 10, Average loss 0.032, Central accuracy on global test data 41.867, Ensemble accuracy on global test data 39.883, Local accuracy on global train data 18.210, Local accuracy on local train data 99.853
Round  83, Devices participated 10, Average loss 0.039, Central accuracy on global test data 45.653, Ensemble accuracy on global test data 46.826, Local accuracy on global train data 14.934, Local accuracy on local train data 99.740
