Round   0, Devices participated 10, Average loss 0.126, Central accuracy on global test data 23.047, Ensemble accuracy on global test data 23.740, Local accuracy on global train data 12.085, Local accuracy on local train data 97.500
Round   1, Devices participated 10, Average loss 0.049, Central accuracy on global test data 16.416, Ensemble accuracy on global test data 14.727, Local accuracy on global train data 9.871, Local accuracy on local train data 98.600
Round   2, Devices participated 10, Average loss 0.067, Central accuracy on global test data 17.778, Ensemble accuracy on global test data 18.057, Local accuracy on global train data 10.728, Local accuracy on local train data 98.317
Round   3, Devices participated 10, Average loss 0.037, Central accuracy on global test data 35.347, Ensemble accuracy on global test data 35.732, Local accuracy on global train data 10.220, Local accuracy on local train data 98.783
Round   4, Devices participated 10, Average loss 0.194, Central accuracy on global test data 13.532, Ensemble accuracy on global test data 14.170, Local accuracy on global train data 13.105, Local accuracy on local train data 97.867
Round   5, Devices participated 10, Average loss 0.118, Central accuracy on global test data 15.144, Ensemble accuracy on global test data 12.500, Local accuracy on global train data 10.369, Local accuracy on local train data 98.367
Round   6, Devices participated 10, Average loss 0.148, Central accuracy on global test data 10.467, Ensemble accuracy on global test data 10.186, Local accuracy on global train data 10.852, Local accuracy on local train data 97.733
Round   7, Devices participated 10, Average loss 0.088, Central accuracy on global test data 16.927, Ensemble accuracy on global test data 19.092, Local accuracy on global train data 10.178, Local accuracy on local train data 98.650
Round   8, Devices participated 10, Average loss 0.425, Central accuracy on global test data 9.776, Ensemble accuracy on global test data 9.512, Local accuracy on global train data 10.115, Local accuracy on local train data 97.667
Round   9, Devices participated 10, Average loss 0.086, Central accuracy on global test data 19.331, Ensemble accuracy on global test data 19.111, Local accuracy on global train data 11.042, Local accuracy on local train data 98.400
Round  10, Devices participated 10, Average loss 0.293, Central accuracy on global test data 9.806, Ensemble accuracy on global test data 14.883, Local accuracy on global train data 9.917, Local accuracy on local train data 98.700
Round  11, Devices participated 10, Average loss 0.159, Central accuracy on global test data 8.924, Ensemble accuracy on global test data 8.711, Local accuracy on global train data 12.170, Local accuracy on local train data 98.817
Round  12, Devices participated 10, Average loss 0.750, Central accuracy on global test data 9.555, Ensemble accuracy on global test data 12.490, Local accuracy on global train data 11.599, Local accuracy on local train data 98.033
Round  13, Devices participated 10, Average loss 0.445, Central accuracy on global test data 10.096, Ensemble accuracy on global test data 9.189, Local accuracy on global train data 9.697, Local accuracy on local train data 98.550
Round  14, Devices participated 10, Average loss 0.174, Central accuracy on global test data 14.643, Ensemble accuracy on global test data 12.422, Local accuracy on global train data 10.303, Local accuracy on local train data 98.617
Round  15, Devices participated 10, Average loss 0.271, Central accuracy on global test data 12.650, Ensemble accuracy on global test data 11.318, Local accuracy on global train data 10.095, Local accuracy on local train data 98.650
Round  16, Devices participated 10, Average loss 0.179, Central accuracy on global test data 21.344, Ensemble accuracy on global test data 20.879, Local accuracy on global train data 10.210, Local accuracy on local train data 98.950
Round  17, Devices participated 10, Average loss 0.506, Central accuracy on global test data 19.411, Ensemble accuracy on global test data 18.916, Local accuracy on global train data 11.519, Local accuracy on local train data 97.833
Round  18, Devices participated 10, Average loss 0.378, Central accuracy on global test data 17.668, Ensemble accuracy on global test data 12.100, Local accuracy on global train data 13.005, Local accuracy on local train data 98.433
Round  19, Devices participated 10, Average loss 0.378, Central accuracy on global test data 10.196, Ensemble accuracy on global test data 9.619, Local accuracy on global train data 12.002, Local accuracy on local train data 98.717
Round  20, Devices participated 10, Average loss 0.150, Central accuracy on global test data 19.431, Ensemble accuracy on global test data 18.369, Local accuracy on global train data 12.563, Local accuracy on local train data 98.850
Round  21, Devices participated 10, Average loss 0.839, Central accuracy on global test data 25.671, Ensemble accuracy on global test data 25.527, Local accuracy on global train data 11.990, Local accuracy on local train data 97.767
Round  22, Devices participated 10, Average loss 0.199, Central accuracy on global test data 27.244, Ensemble accuracy on global test data 27.148, Local accuracy on global train data 10.532, Local accuracy on local train data 98.983
Round  23, Devices participated 10, Average loss 0.320, Central accuracy on global test data 19.271, Ensemble accuracy on global test data 18.203, Local accuracy on global train data 10.317, Local accuracy on local train data 98.900
Round  24, Devices participated 10, Average loss 0.240, Central accuracy on global test data 36.639, Ensemble accuracy on global test data 35.928, Local accuracy on global train data 13.228, Local accuracy on local train data 98.917
Round  25, Devices participated 10, Average loss 0.256, Central accuracy on global test data 23.037, Ensemble accuracy on global test data 18.076, Local accuracy on global train data 10.442, Local accuracy on local train data 98.933
Round  26, Devices participated 10, Average loss 0.347, Central accuracy on global test data 18.520, Ensemble accuracy on global test data 16.094, Local accuracy on global train data 11.125, Local accuracy on local train data 97.600
Round  27, Devices participated 10, Average loss 0.194, Central accuracy on global test data 11.899, Ensemble accuracy on global test data 11.309, Local accuracy on global train data 13.342, Local accuracy on local train data 99.133
Round  28, Devices participated 10, Average loss 0.209, Central accuracy on global test data 28.315, Ensemble accuracy on global test data 27.773, Local accuracy on global train data 10.208, Local accuracy on local train data 98.617
Round  29, Devices participated 10, Average loss 0.584, Central accuracy on global test data 20.503, Ensemble accuracy on global test data 22.041, Local accuracy on global train data 12.285, Local accuracy on local train data 98.133
Round  30, Devices participated 10, Average loss 0.439, Central accuracy on global test data 27.113, Ensemble accuracy on global test data 26.797, Local accuracy on global train data 10.283, Local accuracy on local train data 98.350
Round  31, Devices participated 10, Average loss 0.705, Central accuracy on global test data 11.148, Ensemble accuracy on global test data 12.285, Local accuracy on global train data 13.899, Local accuracy on local train data 97.500
Round  32, Devices participated 10, Average loss 0.445, Central accuracy on global test data 21.965, Ensemble accuracy on global test data 21.133, Local accuracy on global train data 13.076, Local accuracy on local train data 98.300
Round  33, Devices participated 10, Average loss 0.550, Central accuracy on global test data 13.291, Ensemble accuracy on global test data 13.730, Local accuracy on global train data 10.388, Local accuracy on local train data 98.117
Round  34, Devices participated 10, Average loss 0.234, Central accuracy on global test data 24.319, Ensemble accuracy on global test data 23.994, Local accuracy on global train data 10.176, Local accuracy on local train data 98.917
Round  35, Devices participated 10, Average loss 0.233, Central accuracy on global test data 24.559, Ensemble accuracy on global test data 24.307, Local accuracy on global train data 12.666, Local accuracy on local train data 98.717
Round  36, Devices participated 10, Average loss 0.494, Central accuracy on global test data 14.653, Ensemble accuracy on global test data 13.164, Local accuracy on global train data 10.564, Local accuracy on local train data 98.250
Round  37, Devices participated 10, Average loss 0.513, Central accuracy on global test data 14.734, Ensemble accuracy on global test data 12.148, Local accuracy on global train data 12.856, Local accuracy on local train data 97.783
Round  38, Devices participated 10, Average loss 0.137, Central accuracy on global test data 30.489, Ensemble accuracy on global test data 28.340, Local accuracy on global train data 12.993, Local accuracy on local train data 98.933
Round  39, Devices participated 10, Average loss 0.178, Central accuracy on global test data 23.197, Ensemble accuracy on global test data 21.943, Local accuracy on global train data 11.304, Local accuracy on local train data 98.850
Round  40, Devices participated 10, Average loss 0.290, Central accuracy on global test data 20.433, Ensemble accuracy on global test data 20.137, Local accuracy on global train data 11.294, Local accuracy on local train data 98.733
Round  41, Devices participated 10, Average loss 0.143, Central accuracy on global test data 42.167, Ensemble accuracy on global test data 39.297, Local accuracy on global train data 13.271, Local accuracy on local train data 98.700
