Round   0, Devices participated 10, Average loss 0.126, Central accuracy on global test data 30.128, Ensemble accuracy on global test data 23.740, Local accuracy on global train data 12.085, Local accuracy on local train data 97.500
Round   1, Devices participated 10, Average loss 0.046, Central accuracy on global test data 13.492, Ensemble accuracy on global test data 11.338, Local accuracy on global train data 9.902, Local accuracy on local train data 98.633
Round   2, Devices participated 10, Average loss 0.065, Central accuracy on global test data 13.381, Ensemble accuracy on global test data 22.354, Local accuracy on global train data 10.391, Local accuracy on local train data 98.500
Round   3, Devices participated 10, Average loss 0.039, Central accuracy on global test data 19.071, Ensemble accuracy on global test data 32.402, Local accuracy on global train data 10.281, Local accuracy on local train data 98.683
Round   4, Devices participated 10, Average loss 0.137, Central accuracy on global test data 20.723, Ensemble accuracy on global test data 24.111, Local accuracy on global train data 11.177, Local accuracy on local train data 97.433
Round   5, Devices participated 10, Average loss 0.066, Central accuracy on global test data 25.841, Ensemble accuracy on global test data 21.572, Local accuracy on global train data 10.676, Local accuracy on local train data 98.617
Round   6, Devices participated 10, Average loss 0.101, Central accuracy on global test data 22.536, Ensemble accuracy on global test data 19.287, Local accuracy on global train data 10.767, Local accuracy on local train data 98.150
Round   7, Devices participated 10, Average loss 0.041, Central accuracy on global test data 23.628, Ensemble accuracy on global test data 8.926, Local accuracy on global train data 9.570, Local accuracy on local train data 98.817
Round   8, Devices participated 10, Average loss 0.092, Central accuracy on global test data 12.380, Ensemble accuracy on global test data 14.883, Local accuracy on global train data 10.874, Local accuracy on local train data 98.033
Round   9, Devices participated 10, Average loss 0.057, Central accuracy on global test data 12.650, Ensemble accuracy on global test data 18.789, Local accuracy on global train data 11.350, Local accuracy on local train data 98.550
Round  10, Devices participated 10, Average loss 0.052, Central accuracy on global test data 26.883, Ensemble accuracy on global test data 17.627, Local accuracy on global train data 10.261, Local accuracy on local train data 98.600
Round  11, Devices participated 10, Average loss 0.048, Central accuracy on global test data 18.049, Ensemble accuracy on global test data 17.012, Local accuracy on global train data 9.929, Local accuracy on local train data 98.683
Round  12, Devices participated 10, Average loss 0.082, Central accuracy on global test data 17.278, Ensemble accuracy on global test data 9.141, Local accuracy on global train data 12.305, Local accuracy on local train data 98.317
Round  13, Devices participated 10, Average loss 0.090, Central accuracy on global test data 30.589, Ensemble accuracy on global test data 22.383, Local accuracy on global train data 9.985, Local accuracy on local train data 98.650
Round  14, Devices participated 10, Average loss 0.040, Central accuracy on global test data 30.609, Ensemble accuracy on global test data 29.453, Local accuracy on global train data 11.831, Local accuracy on local train data 98.933
Round  15, Devices participated 10, Average loss 0.060, Central accuracy on global test data 16.286, Ensemble accuracy on global test data 20.117, Local accuracy on global train data 11.836, Local accuracy on local train data 98.900
Round  16, Devices participated 10, Average loss 0.042, Central accuracy on global test data 43.329, Ensemble accuracy on global test data 30.020, Local accuracy on global train data 10.369, Local accuracy on local train data 99.033
Round  17, Devices participated 10, Average loss 0.138, Central accuracy on global test data 15.825, Ensemble accuracy on global test data 25.557, Local accuracy on global train data 13.555, Local accuracy on local train data 97.917
Round  18, Devices participated 10, Average loss 0.056, Central accuracy on global test data 27.274, Ensemble accuracy on global test data 25.186, Local accuracy on global train data 14.209, Local accuracy on local train data 99.017
Round  19, Devices participated 10, Average loss 0.044, Central accuracy on global test data 11.609, Ensemble accuracy on global test data 23.184, Local accuracy on global train data 12.156, Local accuracy on local train data 98.967
Round  20, Devices participated 10, Average loss 0.047, Central accuracy on global test data 24.800, Ensemble accuracy on global test data 21.094, Local accuracy on global train data 13.733, Local accuracy on local train data 98.900
Round  21, Devices participated 10, Average loss 0.123, Central accuracy on global test data 33.664, Ensemble accuracy on global test data 23.926, Local accuracy on global train data 13.955, Local accuracy on local train data 98.350
Round  22, Devices participated 10, Average loss 0.060, Central accuracy on global test data 23.968, Ensemble accuracy on global test data 22.051, Local accuracy on global train data 10.220, Local accuracy on local train data 98.783
Round  23, Devices participated 10, Average loss 0.054, Central accuracy on global test data 22.196, Ensemble accuracy on global test data 25.186, Local accuracy on global train data 13.000, Local accuracy on local train data 99.117
Round  24, Devices participated 10, Average loss 0.041, Central accuracy on global test data 32.662, Ensemble accuracy on global test data 38.643, Local accuracy on global train data 15.671, Local accuracy on local train data 99.117
Round  25, Devices participated 10, Average loss 0.061, Central accuracy on global test data 50.441, Ensemble accuracy on global test data 44.746, Local accuracy on global train data 12.998, Local accuracy on local train data 99.150
Round  26, Devices participated 10, Average loss 0.136, Central accuracy on global test data 48.998, Ensemble accuracy on global test data 29.199, Local accuracy on global train data 12.996, Local accuracy on local train data 97.900
Round  27, Devices participated 10, Average loss 0.042, Central accuracy on global test data 23.798, Ensemble accuracy on global test data 28.506, Local accuracy on global train data 15.640, Local accuracy on local train data 99.183
