Round   0, Devices participated 10, Average loss 0.022, Central accuracy on global test data 29.026, Ensemble accuracy on global test data 25.850, Local accuracy on global train data 12.107, Local accuracy on local train data 99.523
Round   1, Devices participated 10, Average loss 0.010, Central accuracy on global test data 14.964, Ensemble accuracy on global test data 13.965, Local accuracy on global train data 10.046, Local accuracy on local train data 99.723
Round   2, Devices participated 10, Average loss 0.019, Central accuracy on global test data 11.518, Ensemble accuracy on global test data 23.613, Local accuracy on global train data 10.881, Local accuracy on local train data 99.573
Round   3, Devices participated 10, Average loss 0.008, Central accuracy on global test data 15.505, Ensemble accuracy on global test data 32.441, Local accuracy on global train data 10.015, Local accuracy on local train data 99.750
Round   4, Devices participated 10, Average loss 0.030, Central accuracy on global test data 35.597, Ensemble accuracy on global test data 20.254, Local accuracy on global train data 11.907, Local accuracy on local train data 99.473
Round   5, Devices participated 10, Average loss 0.014, Central accuracy on global test data 13.692, Ensemble accuracy on global test data 19.600, Local accuracy on global train data 10.754, Local accuracy on local train data 99.730
Round   6, Devices participated 10, Average loss 0.024, Central accuracy on global test data 11.629, Ensemble accuracy on global test data 21.768, Local accuracy on global train data 11.082, Local accuracy on local train data 99.513
Round   7, Devices participated 10, Average loss 0.010, Central accuracy on global test data 32.923, Ensemble accuracy on global test data 12.471, Local accuracy on global train data 10.186, Local accuracy on local train data 99.763
Round   8, Devices participated 10, Average loss 0.020, Central accuracy on global test data 22.586, Ensemble accuracy on global test data 9.775, Local accuracy on global train data 10.667, Local accuracy on local train data 99.583
Round   9, Devices participated 10, Average loss 0.012, Central accuracy on global test data 14.253, Ensemble accuracy on global test data 18.379, Local accuracy on global train data 11.304, Local accuracy on local train data 99.687
Round  10, Devices participated 10, Average loss 0.007, Central accuracy on global test data 24.249, Ensemble accuracy on global test data 32.227, Local accuracy on global train data 10.571, Local accuracy on local train data 99.797
Round  11, Devices participated 10, Average loss 0.008, Central accuracy on global test data 32.702, Ensemble accuracy on global test data 15.176, Local accuracy on global train data 10.129, Local accuracy on local train data 99.740
Round  12, Devices participated 10, Average loss 0.019, Central accuracy on global test data 18.229, Ensemble accuracy on global test data 15.361, Local accuracy on global train data 11.772, Local accuracy on local train data 99.730
Round  13, Devices participated 10, Average loss 0.015, Central accuracy on global test data 15.545, Ensemble accuracy on global test data 17.480, Local accuracy on global train data 10.442, Local accuracy on local train data 99.750
Round  14, Devices participated 10, Average loss 0.012, Central accuracy on global test data 37.360, Ensemble accuracy on global test data 32.051, Local accuracy on global train data 11.414, Local accuracy on local train data 99.730
Round  15, Devices participated 10, Average loss 0.009, Central accuracy on global test data 13.932, Ensemble accuracy on global test data 17.314, Local accuracy on global train data 11.624, Local accuracy on local train data 99.797
Round  16, Devices participated 10, Average loss 0.007, Central accuracy on global test data 46.374, Ensemble accuracy on global test data 19.424, Local accuracy on global train data 11.128, Local accuracy on local train data 99.830
Round  17, Devices participated 10, Average loss 0.018, Central accuracy on global test data 34.295, Ensemble accuracy on global test data 30.566, Local accuracy on global train data 13.230, Local accuracy on local train data 99.653
Round  18, Devices participated 10, Average loss 0.008, Central accuracy on global test data 28.456, Ensemble accuracy on global test data 29.844, Local accuracy on global train data 16.025, Local accuracy on local train data 99.840
Round  19, Devices participated 10, Average loss 0.012, Central accuracy on global test data 10.787, Ensemble accuracy on global test data 22.295, Local accuracy on global train data 12.708, Local accuracy on local train data 99.787
Round  20, Devices participated 10, Average loss 0.009, Central accuracy on global test data 31.821, Ensemble accuracy on global test data 25.684, Local accuracy on global train data 12.930, Local accuracy on local train data 99.797
Round  21, Devices participated 10, Average loss 0.032, Central accuracy on global test data 33.273, Ensemble accuracy on global test data 32.520, Local accuracy on global train data 14.844, Local accuracy on local train data 99.600
Round  22, Devices participated 10, Average loss 0.015, Central accuracy on global test data 43.520, Ensemble accuracy on global test data 30.420, Local accuracy on global train data 10.181, Local accuracy on local train data 99.750
Round  23, Devices participated 10, Average loss 0.007, Central accuracy on global test data 14.924, Ensemble accuracy on global test data 11.855, Local accuracy on global train data 14.236, Local accuracy on local train data 99.833
Round  24, Devices participated 10, Average loss 0.004, Central accuracy on global test data 42.538, Ensemble accuracy on global test data 37.197, Local accuracy on global train data 13.557, Local accuracy on local train data 99.883
Round  25, Devices participated 10, Average loss 0.008, Central accuracy on global test data 42.348, Ensemble accuracy on global test data 47.295, Local accuracy on global train data 11.741, Local accuracy on local train data 99.857
Round  26, Devices participated 10, Average loss 0.028, Central accuracy on global test data 39.363, Ensemble accuracy on global test data 42.412, Local accuracy on global train data 14.543, Local accuracy on local train data 99.593
Round  27, Devices participated 10, Average loss 0.006, Central accuracy on global test data 40.014, Ensemble accuracy on global test data 40.303, Local accuracy on global train data 16.472, Local accuracy on local train data 99.887
Round  28, Devices participated 10, Average loss 0.011, Central accuracy on global test data 28.005, Ensemble accuracy on global test data 34.219, Local accuracy on global train data 14.182, Local accuracy on local train data 99.830
Round  29, Devices participated 10, Average loss 0.007, Central accuracy on global test data 24.950, Ensemble accuracy on global test data 26.475, Local accuracy on global train data 15.547, Local accuracy on local train data 99.833
Round  30, Devices participated 10, Average loss 0.009, Central accuracy on global test data 36.528, Ensemble accuracy on global test data 40.527, Local accuracy on global train data 12.031, Local accuracy on local train data 99.807
Round  31, Devices participated 10, Average loss 0.022, Central accuracy on global test data 41.006, Ensemble accuracy on global test data 45.713, Local accuracy on global train data 13.262, Local accuracy on local train data 99.627
Round  32, Devices participated 10, Average loss 0.014, Central accuracy on global test data 45.863, Ensemble accuracy on global test data 41.885, Local accuracy on global train data 15.845, Local accuracy on local train data 99.753
Round  33, Devices participated 10, Average loss 0.016, Central accuracy on global test data 46.454, Ensemble accuracy on global test data 44.141, Local accuracy on global train data 14.556, Local accuracy on local train data 99.753
