Round   0, Devices participated 10, Average loss 0.126, Central accuracy on global test data 23.067, Ensemble accuracy on global test data 23.740, Local accuracy on global train data 12.085, Local accuracy on local train data 97.500
Round   1, Devices participated 10, Average loss 0.047, Central accuracy on global test data 17.278, Ensemble accuracy on global test data 14.287, Local accuracy on global train data 9.919, Local accuracy on local train data 98.567
Round   2, Devices participated 10, Average loss 0.062, Central accuracy on global test data 19.050, Ensemble accuracy on global test data 18.203, Local accuracy on global train data 10.791, Local accuracy on local train data 98.383
Round   3, Devices participated 10, Average loss 0.039, Central accuracy on global test data 33.614, Ensemble accuracy on global test data 36.064, Local accuracy on global train data 10.540, Local accuracy on local train data 98.767
Round   4, Devices participated 10, Average loss 0.107, Central accuracy on global test data 35.477, Ensemble accuracy on global test data 37.959, Local accuracy on global train data 13.179, Local accuracy on local train data 98.083
Round   5, Devices participated 10, Average loss 0.069, Central accuracy on global test data 19.561, Ensemble accuracy on global test data 19.043, Local accuracy on global train data 10.837, Local accuracy on local train data 98.617
Round   6, Devices participated 10, Average loss 0.122, Central accuracy on global test data 22.406, Ensemble accuracy on global test data 24.834, Local accuracy on global train data 10.437, Local accuracy on local train data 97.767
Round   7, Devices participated 10, Average loss 0.039, Central accuracy on global test data 9.215, Ensemble accuracy on global test data 8.730, Local accuracy on global train data 10.356, Local accuracy on local train data 98.883
Round   8, Devices participated 10, Average loss 0.077, Central accuracy on global test data 19.241, Ensemble accuracy on global test data 18.838, Local accuracy on global train data 10.833, Local accuracy on local train data 98.217
Round   9, Devices participated 10, Average loss 0.084, Central accuracy on global test data 18.810, Ensemble accuracy on global test data 19.629, Local accuracy on global train data 11.011, Local accuracy on local train data 98.433
Round  10, Devices participated 10, Average loss 0.034, Central accuracy on global test data 20.793, Ensemble accuracy on global test data 23.271, Local accuracy on global train data 11.060, Local accuracy on local train data 99.250
Round  11, Devices participated 10, Average loss 0.050, Central accuracy on global test data 24.990, Ensemble accuracy on global test data 25.830, Local accuracy on global train data 9.946, Local accuracy on local train data 98.917
Round  12, Devices participated 10, Average loss 0.138, Central accuracy on global test data 16.456, Ensemble accuracy on global test data 15.439, Local accuracy on global train data 11.775, Local accuracy on local train data 98.050
Round  13, Devices participated 10, Average loss 0.106, Central accuracy on global test data 24.109, Ensemble accuracy on global test data 27.666, Local accuracy on global train data 10.906, Local accuracy on local train data 98.783
Round  14, Devices participated 10, Average loss 0.048, Central accuracy on global test data 36.518, Ensemble accuracy on global test data 35.996, Local accuracy on global train data 10.803, Local accuracy on local train data 98.850
Round  15, Devices participated 10, Average loss 0.060, Central accuracy on global test data 28.225, Ensemble accuracy on global test data 26.104, Local accuracy on global train data 12.644, Local accuracy on local train data 98.917
Round  16, Devices participated 10, Average loss 0.062, Central accuracy on global test data 37.460, Ensemble accuracy on global test data 37.373, Local accuracy on global train data 10.889, Local accuracy on local train data 98.800
Round  17, Devices participated 10, Average loss 0.072, Central accuracy on global test data 41.827, Ensemble accuracy on global test data 41.787, Local accuracy on global train data 13.896, Local accuracy on local train data 98.583
Round  18, Devices participated 10, Average loss 0.024, Central accuracy on global test data 43.550, Ensemble accuracy on global test data 43.809, Local accuracy on global train data 15.159, Local accuracy on local train data 99.350
Round  19, Devices participated 10, Average loss 0.034, Central accuracy on global test data 30.569, Ensemble accuracy on global test data 29.395, Local accuracy on global train data 14.856, Local accuracy on local train data 99.233
Round  20, Devices participated 10, Average loss 0.146, Central accuracy on global test data 31.871, Ensemble accuracy on global test data 28.691, Local accuracy on global train data 12.139, Local accuracy on local train data 98.483
Round  21, Devices participated 10, Average loss 0.142, Central accuracy on global test data 26.282, Ensemble accuracy on global test data 25.781, Local accuracy on global train data 14.148, Local accuracy on local train data 98.717
Round  22, Devices participated 10, Average loss 0.025, Central accuracy on global test data 22.326, Ensemble accuracy on global test data 21.592, Local accuracy on global train data 11.311, Local accuracy on local train data 99.450
Round  23, Devices participated 10, Average loss 0.029, Central accuracy on global test data 26.122, Ensemble accuracy on global test data 24.414, Local accuracy on global train data 14.956, Local accuracy on local train data 99.450
Round  24, Devices participated 10, Average loss 0.068, Central accuracy on global test data 37.630, Ensemble accuracy on global test data 36.592, Local accuracy on global train data 14.763, Local accuracy on local train data 99.000
Round  25, Devices participated 10, Average loss 0.047, Central accuracy on global test data 57.492, Ensemble accuracy on global test data 54.316, Local accuracy on global train data 11.724, Local accuracy on local train data 99.267
Round  26, Devices participated 10, Average loss 0.118, Central accuracy on global test data 47.857, Ensemble accuracy on global test data 46.689, Local accuracy on global train data 16.316, Local accuracy on local train data 98.283
Round  27, Devices participated 10, Average loss 0.039, Central accuracy on global test data 36.709, Ensemble accuracy on global test data 37.021, Local accuracy on global train data 14.995, Local accuracy on local train data 99.100
Round  28, Devices participated 10, Average loss 0.035, Central accuracy on global test data 32.742, Ensemble accuracy on global test data 25.322, Local accuracy on global train data 13.672, Local accuracy on local train data 99.383
Round  29, Devices participated 10, Average loss 0.038, Central accuracy on global test data 41.837, Ensemble accuracy on global test data 37.754, Local accuracy on global train data 15.264, Local accuracy on local train data 99.233
Round  30, Devices participated 10, Average loss 0.055, Central accuracy on global test data 13.552, Ensemble accuracy on global test data 12.256, Local accuracy on global train data 11.777, Local accuracy on local train data 99.100
Round  31, Devices participated 10, Average loss 0.324, Central accuracy on global test data 43.550, Ensemble accuracy on global test data 41.660, Local accuracy on global train data 12.935, Local accuracy on local train data 97.933
Round  32, Devices participated 10, Average loss 0.169, Central accuracy on global test data 31.921, Ensemble accuracy on global test data 30.615, Local accuracy on global train data 14.490, Local accuracy on local train data 98.333
Round  33, Devices participated 10, Average loss 0.064, Central accuracy on global test data 39.734, Ensemble accuracy on global test data 36.846, Local accuracy on global train data 13.584, Local accuracy on local train data 99.167
Round  34, Devices participated 10, Average loss 0.082, Central accuracy on global test data 43.720, Ensemble accuracy on global test data 41.406, Local accuracy on global train data 13.279, Local accuracy on local train data 99.067
Round  35, Devices participated 10, Average loss 0.111, Central accuracy on global test data 29.087, Ensemble accuracy on global test data 25.723, Local accuracy on global train data 16.321, Local accuracy on local train data 98.667
Round  36, Devices participated 10, Average loss 0.091, Central accuracy on global test data 33.734, Ensemble accuracy on global test data 32.881, Local accuracy on global train data 15.977, Local accuracy on local train data 98.850
Round  37, Devices participated 10, Average loss 0.199, Central accuracy on global test data 15.625, Ensemble accuracy on global test data 15.186, Local accuracy on global train data 12.734, Local accuracy on local train data 97.950
Round  38, Devices participated 10, Average loss 0.056, Central accuracy on global test data 42.819, Ensemble accuracy on global test data 41.104, Local accuracy on global train data 15.310, Local accuracy on local train data 99.233
Round  39, Devices participated 10, Average loss 0.078, Central accuracy on global test data 46.765, Ensemble accuracy on global test data 44.854, Local accuracy on global train data 15.510, Local accuracy on local train data 98.950
Round  40, Devices participated 10, Average loss 0.057, Central accuracy on global test data 42.037, Ensemble accuracy on global test data 40.078, Local accuracy on global train data 15.833, Local accuracy on local train data 99.333
Round  41, Devices participated 10, Average loss 0.248, Central accuracy on global test data 33.864, Ensemble accuracy on global test data 32.979, Local accuracy on global train data 16.082, Local accuracy on local train data 98.367
Round  42, Devices participated 10, Average loss 0.053, Central accuracy on global test data 44.040, Ensemble accuracy on global test data 38.154, Local accuracy on global train data 14.509, Local accuracy on local train data 99.050
Round  43, Devices participated 10, Average loss 0.169, Central accuracy on global test data 36.418, Ensemble accuracy on global test data 31.924, Local accuracy on global train data 12.754, Local accuracy on local train data 98.067
Round  44, Devices participated 10, Average loss 0.053, Central accuracy on global test data 49.359, Ensemble accuracy on global test data 45.742, Local accuracy on global train data 17.991, Local accuracy on local train data 99.150
Round  45, Devices participated 10, Average loss 0.063, Central accuracy on global test data 51.172, Ensemble accuracy on global test data 45.029, Local accuracy on global train data 18.267, Local accuracy on local train data 99.017
Round  46, Devices participated 10, Average loss 0.084, Central accuracy on global test data 43.209, Ensemble accuracy on global test data 37.559, Local accuracy on global train data 19.155, Local accuracy on local train data 98.733
Round  47, Devices participated 10, Average loss 0.087, Central accuracy on global test data 56.050, Ensemble accuracy on global test data 53.301, Local accuracy on global train data 18.145, Local accuracy on local train data 98.967
Round  48, Devices participated 10, Average loss 0.030, Central accuracy on global test data 57.452, Ensemble accuracy on global test data 53.545, Local accuracy on global train data 22.678, Local accuracy on local train data 99.417
Round  49, Devices participated 10, Average loss 0.037, Central accuracy on global test data 52.314, Ensemble accuracy on global test data 49.883, Local accuracy on global train data 17.446, Local accuracy on local train data 99.250
Round  50, Devices participated 10, Average loss 0.019, Central accuracy on global test data 66.536, Ensemble accuracy on global test data 64.121, Local accuracy on global train data 22.900, Local accuracy on local train data 99.650
Round  51, Devices participated 10, Average loss 0.041, Central accuracy on global test data 58.744, Ensemble accuracy on global test data 52.920, Local accuracy on global train data 23.501, Local accuracy on local train data 99.500
Round  52, Devices participated 10, Average loss 0.049, Central accuracy on global test data 54.798, Ensemble accuracy on global test data 47.920, Local accuracy on global train data 15.225, Local accuracy on local train data 99.183
Round  53, Devices participated 10, Average loss 0.099, Central accuracy on global test data 69.341, Ensemble accuracy on global test data 64.639, Local accuracy on global train data 19.082, Local accuracy on local train data 98.767
Round  54, Devices participated 10, Average loss 0.033, Central accuracy on global test data 36.619, Ensemble accuracy on global test data 32.988, Local accuracy on global train data 18.745, Local accuracy on local train data 99.333
Round  55, Devices participated 10, Average loss 0.079, Central accuracy on global test data 51.232, Ensemble accuracy on global test data 43.711, Local accuracy on global train data 15.029, Local accuracy on local train data 98.800
Round  56, Devices participated 10, Average loss 0.026, Central accuracy on global test data 74.900, Ensemble accuracy on global test data 66.982, Local accuracy on global train data 25.205, Local accuracy on local train data 99.467
Round  57, Devices participated 10, Average loss 0.068, Central accuracy on global test data 57.482, Ensemble accuracy on global test data 50.410, Local accuracy on global train data 24.487, Local accuracy on local train data 99.150
Round  58, Devices participated 10, Average loss 0.062, Central accuracy on global test data 44.812, Ensemble accuracy on global test data 42.197, Local accuracy on global train data 22.048, Local accuracy on local train data 99.300
Round  59, Devices participated 10, Average loss 0.063, Central accuracy on global test data 66.496, Ensemble accuracy on global test data 60.088, Local accuracy on global train data 20.173, Local accuracy on local train data 98.817
Round  60, Devices participated 10, Average loss 0.042, Central accuracy on global test data 59.876, Ensemble accuracy on global test data 54.854, Local accuracy on global train data 23.652, Local accuracy on local train data 99.250
