python main_fedavg.py --dataset mnist --model mlp --epochs 1500 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.0 --weight_init kaiming --bias_init zeros --lr 0.1 --async_s2d 1 --noniid_hard

Round   0, Devices participated 10, Average loss 0.109, Central accuracy on global test data 25.030, Local accuracy on global train data 11.909, Local accuracy on local train data 97.933
Round   1, Devices participated 10, Average loss 0.061, Central accuracy on global test data 19.271, Local accuracy on global train data 10.117, Local accuracy on local train data 98.500
Round   2, Devices participated 10, Average loss 0.107, Central accuracy on global test data 17.428, Local accuracy on global train data 10.388, Local accuracy on local train data 98.050
Round   3, Devices participated 10, Average loss 0.051, Central accuracy on global test data 25.210, Local accuracy on global train data 9.949, Local accuracy on local train data 98.600
Round   4, Devices participated 10, Average loss 0.075, Central accuracy on global test data 31.711, Local accuracy on global train data 11.978, Local accuracy on local train data 98.217
Round   5, Devices participated 10, Average loss 0.038, Central accuracy on global test data 28.395, Local accuracy on global train data 10.320, Local accuracy on local train data 98.750
Round   6, Devices participated 10, Average loss 0.071, Central accuracy on global test data 21.344, Local accuracy on global train data 10.950, Local accuracy on local train data 98.183
Round   7, Devices participated 10, Average loss 0.040, Central accuracy on global test data 8.924, Local accuracy on global train data 9.702, Local accuracy on local train data 98.967
Round   8, Devices participated 10, Average loss 0.106, Central accuracy on global test data 19.591, Local accuracy on global train data 9.883, Local accuracy on local train data 97.750
Round   9, Devices participated 10, Average loss 0.050, Central accuracy on global test data 20.773, Local accuracy on global train data 11.013, Local accuracy on local train data 98.833
Round  10, Devices participated 10, Average loss 0.046, Central accuracy on global test data 18.560, Local accuracy on global train data 10.083, Local accuracy on local train data 99.000
Round  11, Devices participated 10, Average loss 0.047, Central accuracy on global test data 15.194, Local accuracy on global train data 10.073, Local accuracy on local train data 98.867
Round  12, Devices participated 10, Average loss 0.053, Central accuracy on global test data 16.376, Local accuracy on global train data 11.704, Local accuracy on local train data 98.450
Round  13, Devices participated 10, Average loss 0.048, Central accuracy on global test data 26.022, Local accuracy on global train data 9.944, Local accuracy on local train data 98.783
Round  14, Devices participated 10, Average loss 0.038, Central accuracy on global test data 36.398, Local accuracy on global train data 10.090, Local accuracy on local train data 98.917
Round  15, Devices participated 10, Average loss 0.045, Central accuracy on global test data 24.229, Local accuracy on global train data 10.042, Local accuracy on local train data 98.967
Round  16, Devices participated 10, Average loss 0.037, Central accuracy on global test data 41.506, Local accuracy on global train data 9.751, Local accuracy on local train data 98.917
Round  17, Devices participated 10, Average loss 0.052, Central accuracy on global test data 41.907, Local accuracy on global train data 12.085, Local accuracy on local train data 98.883
Round  18, Devices participated 10, Average loss 0.023, Central accuracy on global test data 30.609, Local accuracy on global train data 11.494, Local accuracy on local train data 99.300
Round  19, Devices participated 10, Average loss 0.037, Central accuracy on global test data 26.082, Local accuracy on global train data 11.790, Local accuracy on local train data 98.883
Round  20, Devices participated 10, Average loss 0.047, Central accuracy on global test data 26.723, Local accuracy on global train data 10.896, Local accuracy on local train data 98.950
Round  21, Devices participated 10, Average loss 0.042, Central accuracy on global test data 36.579, Local accuracy on global train data 12.356, Local accuracy on local train data 98.683
Round  22, Devices participated 10, Average loss 0.028, Central accuracy on global test data 36.689, Local accuracy on global train data 10.012, Local accuracy on local train data 99.217
Round  23, Devices participated 10, Average loss 0.022, Central accuracy on global test data 21.635, Local accuracy on global train data 10.027, Local accuracy on local train data 99.133
Round  24, Devices participated 10, Average loss 0.024, Central accuracy on global test data 33.944, Local accuracy on global train data 11.943, Local accuracy on local train data 99.183
Round  25, Devices participated 10, Average loss 0.029, Central accuracy on global test data 43.820, Local accuracy on global train data 9.695, Local accuracy on local train data 99.083
Round  26, Devices participated 10, Average loss 0.047, Central accuracy on global test data 31.480, Local accuracy on global train data 12.144, Local accuracy on local train data 98.667
