Round   0, Devices participated 10, Average loss 0.017, Central accuracy on global test data 21.995, Local accuracy on global train data 11.763, Local accuracy on local train data 99.600
Round   1, Devices participated 10, Average loss 0.012, Central accuracy on global test data 19.992, Local accuracy on global train data 10.352, Local accuracy on local train data 99.693
Round   2, Devices participated 10, Average loss 0.019, Central accuracy on global test data 17.208, Local accuracy on global train data 10.779, Local accuracy on local train data 99.613
Round   3, Devices participated 10, Average loss 0.011, Central accuracy on global test data 28.065, Local accuracy on global train data 9.961, Local accuracy on local train data 99.700
Round   4, Devices participated 10, Average loss 0.017, Central accuracy on global test data 30.379, Local accuracy on global train data 12.244, Local accuracy on local train data 99.630
Round   5, Devices participated 10, Average loss 0.007, Central accuracy on global test data 29.567, Local accuracy on global train data 10.117, Local accuracy on local train data 99.747
Round   6, Devices participated 10, Average loss 0.014, Central accuracy on global test data 23.828, Local accuracy on global train data 11.218, Local accuracy on local train data 99.623
Round   7, Devices participated 10, Average loss 0.008, Central accuracy on global test data 8.914, Local accuracy on global train data 9.661, Local accuracy on local train data 99.770
Round   8, Devices participated 10, Average loss 0.020, Central accuracy on global test data 20.423, Local accuracy on global train data 10.515, Local accuracy on local train data 99.573
Round   9, Devices participated 10, Average loss 0.010, Central accuracy on global test data 21.274, Local accuracy on global train data 10.872, Local accuracy on local train data 99.740
Round  10, Devices participated 10, Average loss 0.009, Central accuracy on global test data 18.259, Local accuracy on global train data 10.239, Local accuracy on local train data 99.797
Round  11, Devices participated 10, Average loss 0.010, Central accuracy on global test data 21.544, Local accuracy on global train data 9.712, Local accuracy on local train data 99.783
Round  12, Devices participated 10, Average loss 0.014, Central accuracy on global test data 14.894, Local accuracy on global train data 11.794, Local accuracy on local train data 99.683
Round  13, Devices participated 10, Average loss 0.010, Central accuracy on global test data 22.276, Local accuracy on global train data 10.164, Local accuracy on local train data 99.750
Round  14, Devices participated 10, Average loss 0.007, Central accuracy on global test data 36.118, Local accuracy on global train data 10.173, Local accuracy on local train data 99.793
Round  15, Devices participated 10, Average loss 0.008, Central accuracy on global test data 23.708, Local accuracy on global train data 10.144, Local accuracy on local train data 99.813
Round  16, Devices participated 10, Average loss 0.007, Central accuracy on global test data 43.159, Local accuracy on global train data 9.907, Local accuracy on local train data 99.773
Round  17, Devices participated 10, Average loss 0.010, Central accuracy on global test data 39.844, Local accuracy on global train data 12.144, Local accuracy on local train data 99.770
Round  18, Devices participated 10, Average loss 0.004, Central accuracy on global test data 29.257, Local accuracy on global train data 11.216, Local accuracy on local train data 99.853
Round  19, Devices participated 10, Average loss 0.008, Central accuracy on global test data 27.414, Local accuracy on global train data 11.655, Local accuracy on local train data 99.813
Round  20, Devices participated 10, Average loss 0.009, Central accuracy on global test data 27.885, Local accuracy on global train data 10.942, Local accuracy on local train data 99.807
Round  21, Devices participated 10, Average loss 0.008, Central accuracy on global test data 38.281, Local accuracy on global train data 12.019, Local accuracy on local train data 99.733
Round  22, Devices participated 10, Average loss 0.006, Central accuracy on global test data 38.922, Local accuracy on global train data 10.093, Local accuracy on local train data 99.847
Round  23, Devices participated 10, Average loss 0.004, Central accuracy on global test data 19.431, Local accuracy on global train data 10.159, Local accuracy on local train data 99.880
Round  24, Devices participated 10, Average loss 0.005, Central accuracy on global test data 36.558, Local accuracy on global train data 11.982, Local accuracy on local train data 99.840
Round  25, Devices participated 10, Average loss 0.005, Central accuracy on global test data 45.262, Local accuracy on global train data 9.912, Local accuracy on local train data 99.830
Round  26, Devices participated 10, Average loss 0.010, Central accuracy on global test data 30.429, Local accuracy on global train data 12.231, Local accuracy on local train data 99.737
Round  27, Devices participated 10, Average loss 0.004, Central accuracy on global test data 34.495, Local accuracy on global train data 11.025, Local accuracy on local train data 99.880
Round  28, Devices participated 10, Average loss 0.005, Central accuracy on global test data 41.206, Local accuracy on global train data 10.383, Local accuracy on local train data 99.857
Round  29, Devices participated 10, Average loss 0.006, Central accuracy on global test data 37.420, Local accuracy on global train data 10.957, Local accuracy on local train data 99.793
Round  30, Devices participated 10, Average loss 0.005, Central accuracy on global test data 27.384, Local accuracy on global train data 9.578, Local accuracy on local train data 99.827
Round  31, Devices participated 10, Average loss 0.010, Central accuracy on global test data 50.881, Local accuracy on global train data 11.838, Local accuracy on local train data 99.763
Round  32, Devices participated 10, Average loss 0.009, Central accuracy on global test data 40.144, Local accuracy on global train data 11.025, Local accuracy on local train data 99.707
Round  33, Devices participated 10, Average loss 0.007, Central accuracy on global test data 33.734, Local accuracy on global train data 10.205, Local accuracy on local train data 99.830
Round  34, Devices participated 10, Average loss 0.004, Central accuracy on global test data 36.609, Local accuracy on global train data 10.283, Local accuracy on local train data 99.840
Round  35, Devices participated 10, Average loss 0.006, Central accuracy on global test data 40.715, Local accuracy on global train data 12.629, Local accuracy on local train data 99.830
Round  36, Devices participated 10, Average loss 0.010, Central accuracy on global test data 42.518, Local accuracy on global train data 11.968, Local accuracy on local train data 99.747
Round  37, Devices participated 10, Average loss 0.011, Central accuracy on global test data 28.195, Local accuracy on global train data 12.161, Local accuracy on local train data 99.687
Round  38, Devices participated 10, Average loss 0.004, Central accuracy on global test data 52.704, Local accuracy on global train data 11.626, Local accuracy on local train data 99.860
Round  39, Devices participated 10, Average loss 0.005, Central accuracy on global test data 53.265, Local accuracy on global train data 11.235, Local accuracy on local train data 99.847
Round  40, Devices participated 10, Average loss 0.003, Central accuracy on global test data 27.264, Local accuracy on global train data 11.035, Local accuracy on local train data 99.927
Round  41, Devices participated 10, Average loss 0.006, Central accuracy on global test data 40.164, Local accuracy on global train data 12.151, Local accuracy on local train data 99.830
Round  42, Devices participated 10, Average loss 0.006, Central accuracy on global test data 48.367, Local accuracy on global train data 10.347, Local accuracy on local train data 99.870
Round  43, Devices participated 10, Average loss 0.011, Central accuracy on global test data 45.152, Local accuracy on global train data 12.075, Local accuracy on local train data 99.710
Round  44, Devices participated 10, Average loss 0.010, Central accuracy on global test data 51.813, Local accuracy on global train data 12.820, Local accuracy on local train data 99.773
Round  45, Devices participated 10, Average loss 0.006, Central accuracy on global test data 62.770, Local accuracy on global train data 12.561, Local accuracy on local train data 99.803
Round  46, Devices participated 10, Average loss 0.007, Central accuracy on global test data 51.122, Local accuracy on global train data 13.245, Local accuracy on local train data 99.793
Round  47, Devices participated 10, Average loss 0.007, Central accuracy on global test data 50.130, Local accuracy on global train data 12.686, Local accuracy on local train data 99.767
Round  48, Devices participated 10, Average loss 0.005, Central accuracy on global test data 51.222, Local accuracy on global train data 13.916, Local accuracy on local train data 99.870
Round  49, Devices participated 10, Average loss 0.004, Central accuracy on global test data 49.820, Local accuracy on global train data 12.156, Local accuracy on local train data 99.860
Round  50, Devices participated 10, Average loss 0.004, Central accuracy on global test data 46.775, Local accuracy on global train data 13.069, Local accuracy on local train data 99.863
Round  51, Devices participated 10, Average loss 0.003, Central accuracy on global test data 62.039, Local accuracy on global train data 12.468, Local accuracy on local train data 99.927
Round  52, Devices participated 10, Average loss 0.002, Central accuracy on global test data 51.112, Local accuracy on global train data 10.459, Local accuracy on local train data 99.933
Round  53, Devices participated 10, Average loss 0.007, Central accuracy on global test data 61.859, Local accuracy on global train data 11.724, Local accuracy on local train data 99.807
Round  54, Devices participated 10, Average loss 0.005, Central accuracy on global test data 44.091, Local accuracy on global train data 12.202, Local accuracy on local train data 99.857
Round  55, Devices participated 10, Average loss 0.006, Central accuracy on global test data 57.662, Local accuracy on global train data 10.562, Local accuracy on local train data 99.827
Round  56, Devices participated 10, Average loss 0.003, Central accuracy on global test data 56.991, Local accuracy on global train data 13.259, Local accuracy on local train data 99.943
Round  57, Devices participated 10, Average loss 0.004, Central accuracy on global test data 56.140, Local accuracy on global train data 13.601, Local accuracy on local train data 99.880
Round  58, Devices participated 10, Average loss 0.004, Central accuracy on global test data 52.454, Local accuracy on global train data 13.044, Local accuracy on local train data 99.890
Round  59, Devices participated 10, Average loss 0.006, Central accuracy on global test data 65.735, Local accuracy on global train data 13.088, Local accuracy on local train data 99.840
Round  60, Devices participated 10, Average loss 0.004, Central accuracy on global test data 57.192, Local accuracy on global train data 11.279, Local accuracy on local train data 99.883
Round  61, Devices participated 10, Average loss 0.003, Central accuracy on global test data 50.150, Local accuracy on global train data 11.387, Local accuracy on local train data 99.923
Round  62, Devices participated 10, Average loss 0.004, Central accuracy on global test data 58.063, Local accuracy on global train data 14.773, Local accuracy on local train data 99.873
Round  63, Devices participated 10, Average loss 0.008, Central accuracy on global test data 62.029, Local accuracy on global train data 12.466, Local accuracy on local train data 99.773
Round  64, Devices participated 10, Average loss 0.005, Central accuracy on global test data 54.297, Local accuracy on global train data 12.788, Local accuracy on local train data 99.807
Round  65, Devices participated 10, Average loss 0.004, Central accuracy on global test data 61.338, Local accuracy on global train data 10.784, Local accuracy on local train data 99.840
Round  66, Devices participated 10, Average loss 0.004, Central accuracy on global test data 44.111, Local accuracy on global train data 14.629, Local accuracy on local train data 99.897
Round  67, Devices participated 10, Average loss 0.006, Central accuracy on global test data 56.230, Local accuracy on global train data 13.699, Local accuracy on local train data 99.833
Round  68, Devices participated 10, Average loss 0.003, Central accuracy on global test data 57.963, Local accuracy on global train data 12.004, Local accuracy on local train data 99.917
Round  69, Devices participated 10, Average loss 0.002, Central accuracy on global test data 65.885, Local accuracy on global train data 14.265, Local accuracy on local train data 99.947
Round  70, Devices participated 10, Average loss 0.007, Central accuracy on global test data 50.771, Local accuracy on global train data 11.216, Local accuracy on local train data 99.800
Round  71, Devices participated 10, Average loss 0.013, Central accuracy on global test data 41.957, Local accuracy on global train data 12.839, Local accuracy on local train data 99.703
Round  72, Devices participated 10, Average loss 0.003, Central accuracy on global test data 64.383, Local accuracy on global train data 14.546, Local accuracy on local train data 99.893
Round  73, Devices participated 10, Average loss 0.006, Central accuracy on global test data 62.971, Local accuracy on global train data 14.976, Local accuracy on local train data 99.863
Round  74, Devices participated 10, Average loss 0.003, Central accuracy on global test data 61.689, Local accuracy on global train data 12.161, Local accuracy on local train data 99.913
Round  75, Devices participated 10, Average loss 0.005, Central accuracy on global test data 55.188, Local accuracy on global train data 12.957, Local accuracy on local train data 99.853
Round  76, Devices participated 10, Average loss 0.008, Central accuracy on global test data 60.387, Local accuracy on global train data 14.062, Local accuracy on local train data 99.777
Round  77, Devices participated 10, Average loss 0.003, Central accuracy on global test data 46.144, Local accuracy on global train data 15.820, Local accuracy on local train data 99.890
Round  78, Devices participated 10, Average loss 0.008, Central accuracy on global test data 51.392, Local accuracy on global train data 12.100, Local accuracy on local train data 99.733
Round  79, Devices participated 10, Average loss 0.003, Central accuracy on global test data 46.014, Local accuracy on global train data 12.800, Local accuracy on local train data 99.917
Round  80, Devices participated 10, Average loss 0.006, Central accuracy on global test data 53.746, Local accuracy on global train data 13.064, Local accuracy on local train data 99.847
Round  81, Devices participated 10, Average loss 0.003, Central accuracy on global test data 48.157, Local accuracy on global train data 13.398, Local accuracy on local train data 99.910
Round  82, Devices participated 10, Average loss 0.003, Central accuracy on global test data 55.369, Local accuracy on global train data 14.788, Local accuracy on local train data 99.940
Round  83, Devices participated 10, Average loss 0.006, Central accuracy on global test data 65.405, Local accuracy on global train data 13.181, Local accuracy on local train data 99.817
Round  84, Devices participated 10, Average loss 0.003, Central accuracy on global test data 59.425, Local accuracy on global train data 13.459, Local accuracy on local train data 99.903
Round  85, Devices participated 10, Average loss 0.006, Central accuracy on global test data 58.524, Local accuracy on global train data 14.097, Local accuracy on local train data 99.853
Round  86, Devices participated 10, Average loss 0.005, Central accuracy on global test data 63.391, Local accuracy on global train data 14.180, Local accuracy on local train data 99.817
Round  87, Devices participated 10, Average loss 0.011, Central accuracy on global test data 57.322, Local accuracy on global train data 13.335, Local accuracy on local train data 99.737
