Round   0, Devices participated 10, Average loss 0.109, Central accuracy on global test data 25.030, Local accuracy on global train data 11.909, Local accuracy on local train data 97.933
Round   1, Devices participated 10, Average loss 0.061, Central accuracy on global test data 19.271, Local accuracy on global train data 10.117, Local accuracy on local train data 98.500
Round   2, Devices participated 10, Average loss 0.107, Central accuracy on global test data 17.428, Local accuracy on global train data 10.388, Local accuracy on local train data 98.050
Round   3, Devices participated 10, Average loss 0.051, Central accuracy on global test data 23.357, Local accuracy on global train data 9.949, Local accuracy on local train data 98.600
Round   4, Devices participated 10, Average loss 0.077, Central accuracy on global test data 27.284, Local accuracy on global train data 11.978, Local accuracy on local train data 98.117
Round   5, Devices participated 10, Average loss 0.034, Central accuracy on global test data 28.476, Local accuracy on global train data 10.320, Local accuracy on local train data 98.783
Round   6, Devices participated 10, Average loss 0.075, Central accuracy on global test data 35.948, Local accuracy on global train data 10.950, Local accuracy on local train data 98.017
Round   7, Devices participated 10, Average loss 0.050, Central accuracy on global test data 28.225, Local accuracy on global train data 9.702, Local accuracy on local train data 98.767
Round   8, Devices participated 10, Average loss 0.112, Central accuracy on global test data 32.642, Local accuracy on global train data 9.883, Local accuracy on local train data 97.700
Round   9, Devices participated 10, Average loss 0.055, Central accuracy on global test data 34.655, Local accuracy on global train data 11.013, Local accuracy on local train data 98.767
Round  10, Devices participated 10, Average loss 0.058, Central accuracy on global test data 35.637, Local accuracy on global train data 10.142, Local accuracy on local train data 98.483
Round  11, Devices participated 10, Average loss 0.053, Central accuracy on global test data 30.899, Local accuracy on global train data 10.107, Local accuracy on local train data 98.433
Round  12, Devices participated 10, Average loss 0.046, Central accuracy on global test data 39.423, Local accuracy on global train data 11.707, Local accuracy on local train data 98.533
Round  13, Devices participated 10, Average loss 0.050, Central accuracy on global test data 28.435, Local accuracy on global train data 10.610, Local accuracy on local train data 98.683
Round  14, Devices participated 10, Average loss 0.035, Central accuracy on global test data 39.443, Local accuracy on global train data 10.601, Local accuracy on local train data 98.950
Round  15, Devices participated 10, Average loss 0.054, Central accuracy on global test data 35.597, Local accuracy on global train data 10.308, Local accuracy on local train data 98.717
Round  16, Devices participated 10, Average loss 0.035, Central accuracy on global test data 45.573, Local accuracy on global train data 10.100, Local accuracy on local train data 99.033
Round  17, Devices participated 10, Average loss 0.069, Central accuracy on global test data 58.253, Local accuracy on global train data 12.832, Local accuracy on local train data 98.267
Round  18, Devices participated 10, Average loss 0.023, Central accuracy on global test data 49.179, Local accuracy on global train data 14.951, Local accuracy on local train data 99.250
Round  19, Devices participated 10, Average loss 0.044, Central accuracy on global test data 46.174, Local accuracy on global train data 13.623, Local accuracy on local train data 99.083
Round  20, Devices participated 10, Average loss 0.032, Central accuracy on global test data 44.060, Local accuracy on global train data 13.442, Local accuracy on local train data 99.050
Round  21, Devices participated 10, Average loss 0.048, Central accuracy on global test data 44.541, Local accuracy on global train data 16.006, Local accuracy on local train data 98.850
Round  22, Devices participated 10, Average loss 0.032, Central accuracy on global test data 42.979, Local accuracy on global train data 10.427, Local accuracy on local train data 99.250
Round  23, Devices participated 10, Average loss 0.023, Central accuracy on global test data 51.552, Local accuracy on global train data 12.495, Local accuracy on local train data 99.133
Round  24, Devices participated 10, Average loss 0.033, Central accuracy on global test data 56.891, Local accuracy on global train data 17.383, Local accuracy on local train data 98.883
Round  25, Devices participated 10, Average loss 0.035, Central accuracy on global test data 57.031, Local accuracy on global train data 13.647, Local accuracy on local train data 98.917
Round  26, Devices participated 10, Average loss 0.058, Central accuracy on global test data 56.981, Local accuracy on global train data 15.542, Local accuracy on local train data 98.283
Round  27, Devices participated 10, Average loss 0.020, Central accuracy on global test data 46.775, Local accuracy on global train data 19.319, Local accuracy on local train data 99.483
Round  28, Devices participated 10, Average loss 0.035, Central accuracy on global test data 49.419, Local accuracy on global train data 14.023, Local accuracy on local train data 98.983
