Round   0, Devices participated 10, Average loss 0.109, Central accuracy on global test data 25.030, Ensemble accuracy on global test data 21.123, Local accuracy on global train data 11.909, Local accuracy on local train data 97.933
Round   1, Devices participated 10, Average loss 0.059, Central accuracy on global test data 19.321, Ensemble accuracy on global test data 24.814, Local accuracy on global train data 10.088, Local accuracy on local train data 98.550
Round   2, Devices participated 10, Average loss 0.082, Central accuracy on global test data 18.339, Ensemble accuracy on global test data 11.504, Local accuracy on global train data 10.710, Local accuracy on local train data 98.183
Round   3, Devices participated 10, Average loss 0.057, Central accuracy on global test data 20.933, Ensemble accuracy on global test data 24.297, Local accuracy on global train data 10.002, Local accuracy on local train data 98.533
Round   4, Devices participated 10, Average loss 0.083, Central accuracy on global test data 26.382, Ensemble accuracy on global test data 30.879, Local accuracy on global train data 12.131, Local accuracy on local train data 98.150
Round   5, Devices participated 10, Average loss 0.032, Central accuracy on global test data 27.634, Ensemble accuracy on global test data 18.584, Local accuracy on global train data 10.322, Local accuracy on local train data 98.817
Round   6, Devices participated 10, Average loss 0.085, Central accuracy on global test data 31.651, Ensemble accuracy on global test data 14.873, Local accuracy on global train data 11.184, Local accuracy on local train data 98.000
Round   7, Devices participated 10, Average loss 0.053, Central accuracy on global test data 26.222, Ensemble accuracy on global test data 8.711, Local accuracy on global train data 9.729, Local accuracy on local train data 98.833
Round   8, Devices participated 10, Average loss 0.088, Central accuracy on global test data 32.111, Ensemble accuracy on global test data 16.670, Local accuracy on global train data 10.713, Local accuracy on local train data 98.133
Round   9, Devices participated 10, Average loss 0.058, Central accuracy on global test data 35.527, Ensemble accuracy on global test data 16.924, Local accuracy on global train data 10.625, Local accuracy on local train data 98.517
Round  10, Devices participated 10, Average loss 0.055, Central accuracy on global test data 31.661, Ensemble accuracy on global test data 17.598, Local accuracy on global train data 10.520, Local accuracy on local train data 98.517
Round  11, Devices participated 10, Average loss 0.051, Central accuracy on global test data 32.302, Ensemble accuracy on global test data 20.312, Local accuracy on global train data 9.932, Local accuracy on local train data 98.600
Round  12, Devices participated 10, Average loss 0.076, Central accuracy on global test data 38.271, Ensemble accuracy on global test data 16.562, Local accuracy on global train data 11.416, Local accuracy on local train data 98.317
Round  13, Devices participated 10, Average loss 0.052, Central accuracy on global test data 29.147, Ensemble accuracy on global test data 16.309, Local accuracy on global train data 10.635, Local accuracy on local train data 98.717
Round  14, Devices participated 10, Average loss 0.035, Central accuracy on global test data 39.283, Ensemble accuracy on global test data 24.463, Local accuracy on global train data 10.884, Local accuracy on local train data 99.050
Round  15, Devices participated 10, Average loss 0.053, Central accuracy on global test data 39.954, Ensemble accuracy on global test data 10.254, Local accuracy on global train data 10.085, Local accuracy on local train data 98.633
Round  16, Devices participated 10, Average loss 0.036, Central accuracy on global test data 41.116, Ensemble accuracy on global test data 32.734, Local accuracy on global train data 10.129, Local accuracy on local train data 98.933
Round  17, Devices participated 10, Average loss 0.070, Central accuracy on global test data 51.542, Ensemble accuracy on global test data 45.137, Local accuracy on global train data 12.688, Local accuracy on local train data 98.283
Round  18, Devices participated 10, Average loss 0.023, Central accuracy on global test data 40.465, Ensemble accuracy on global test data 35.322, Local accuracy on global train data 13.462, Local accuracy on local train data 99.217
Round  19, Devices participated 10, Average loss 0.043, Central accuracy on global test data 45.923, Ensemble accuracy on global test data 25.684, Local accuracy on global train data 13.816, Local accuracy on local train data 99.050
Round  20, Devices participated 10, Average loss 0.037, Central accuracy on global test data 39.183, Ensemble accuracy on global test data 22.051, Local accuracy on global train data 13.813, Local accuracy on local train data 98.917
Round  21, Devices participated 10, Average loss 0.043, Central accuracy on global test data 41.266, Ensemble accuracy on global test data 49.092, Local accuracy on global train data 16.091, Local accuracy on local train data 98.900
Round  22, Devices participated 10, Average loss 0.035, Central accuracy on global test data 40.675, Ensemble accuracy on global test data 38.311, Local accuracy on global train data 10.781, Local accuracy on local train data 99.217
Round  23, Devices participated 10, Average loss 0.023, Central accuracy on global test data 53.255, Ensemble accuracy on global test data 28.281, Local accuracy on global train data 12.827, Local accuracy on local train data 99.150
Round  24, Devices participated 10, Average loss 0.035, Central accuracy on global test data 55.459, Ensemble accuracy on global test data 48.340, Local accuracy on global train data 17.026, Local accuracy on local train data 98.900
Round  25, Devices participated 10, Average loss 0.033, Central accuracy on global test data 58.594, Ensemble accuracy on global test data 49.014, Local accuracy on global train data 12.791, Local accuracy on local train data 98.967
Round  26, Devices participated 10, Average loss 0.062, Central accuracy on global test data 54.698, Ensemble accuracy on global test data 43.164, Local accuracy on global train data 14.990, Local accuracy on local train data 98.233
Round  27, Devices participated 10, Average loss 0.021, Central accuracy on global test data 45.843, Ensemble accuracy on global test data 48.428, Local accuracy on global train data 18.315, Local accuracy on local train data 99.317
Round  28, Devices participated 10, Average loss 0.032, Central accuracy on global test data 51.172, Ensemble accuracy on global test data 46.641, Local accuracy on global train data 13.660, Local accuracy on local train data 98.933
Round  29, Devices participated 10, Average loss 0.037, Central accuracy on global test data 53.415, Ensemble accuracy on global test data 42.578, Local accuracy on global train data 13.733, Local accuracy on local train data 98.883
Round  30, Devices participated 10, Average loss 0.040, Central accuracy on global test data 53.105, Ensemble accuracy on global test data 48.027, Local accuracy on global train data 11.350, Local accuracy on local train data 98.783
Round  31, Devices participated 10, Average loss 0.074, Central accuracy on global test data 54.657, Ensemble accuracy on global test data 47.734, Local accuracy on global train data 17.129, Local accuracy on local train data 98.267
Round  32, Devices participated 10, Average loss 0.021, Central accuracy on global test data 52.764, Ensemble accuracy on global test data 50.146, Local accuracy on global train data 19.224, Local accuracy on local train data 99.500
Round  33, Devices participated 10, Average loss 0.032, Central accuracy on global test data 63.171, Ensemble accuracy on global test data 50.342, Local accuracy on global train data 15.645, Local accuracy on local train data 99.350
