Round   0, Devices participated 10, Average loss 0.109, Central accuracy on global test data 25.030, Ensemble accuracy on global test data 21.123, Local accuracy on global train data 11.909, Local accuracy on local train data 97.933
Round   1, Devices participated 10, Average loss 0.059, Central accuracy on global test data 24.119, Ensemble accuracy on global test data 24.814, Local accuracy on global train data 10.088, Local accuracy on local train data 98.550
Round   2, Devices participated 10, Average loss 0.082, Central accuracy on global test data 23.868, Ensemble accuracy on global test data 11.504, Local accuracy on global train data 10.710, Local accuracy on local train data 98.183
Round   3, Devices participated 10, Average loss 0.057, Central accuracy on global test data 11.859, Ensemble accuracy on global test data 25.039, Local accuracy on global train data 10.002, Local accuracy on local train data 98.550
Round   4, Devices participated 10, Average loss 0.100, Central accuracy on global test data 14.133, Ensemble accuracy on global test data 22.178, Local accuracy on global train data 12.129, Local accuracy on local train data 97.867
Round   5, Devices participated 10, Average loss 0.039, Central accuracy on global test data 32.923, Ensemble accuracy on global test data 13.057, Local accuracy on global train data 10.322, Local accuracy on local train data 98.717
Round   6, Devices participated 10, Average loss 0.083, Central accuracy on global test data 28.085, Ensemble accuracy on global test data 22.998, Local accuracy on global train data 11.187, Local accuracy on local train data 98.067
Round   7, Devices participated 10, Average loss 0.053, Central accuracy on global test data 29.077, Ensemble accuracy on global test data 8.711, Local accuracy on global train data 9.734, Local accuracy on local train data 98.717
Round   8, Devices participated 10, Average loss 0.140, Central accuracy on global test data 25.240, Ensemble accuracy on global test data 15.342, Local accuracy on global train data 10.723, Local accuracy on local train data 97.750
Round   9, Devices participated 10, Average loss 0.057, Central accuracy on global test data 30.509, Ensemble accuracy on global test data 19.287, Local accuracy on global train data 10.774, Local accuracy on local train data 98.600
Round  10, Devices participated 10, Average loss 0.086, Central accuracy on global test data 34.475, Ensemble accuracy on global test data 17.031, Local accuracy on global train data 10.425, Local accuracy on local train data 98.500
Round  11, Devices participated 10, Average loss 0.048, Central accuracy on global test data 32.873, Ensemble accuracy on global test data 33.887, Local accuracy on global train data 9.927, Local accuracy on local train data 98.833
Round  12, Devices participated 10, Average loss 0.103, Central accuracy on global test data 27.754, Ensemble accuracy on global test data 18.047, Local accuracy on global train data 11.479, Local accuracy on local train data 98.250
Round  13, Devices participated 10, Average loss 0.073, Central accuracy on global test data 33.574, Ensemble accuracy on global test data 33.604, Local accuracy on global train data 10.569, Local accuracy on local train data 98.933
Round  14, Devices participated 10, Average loss 0.032, Central accuracy on global test data 36.599, Ensemble accuracy on global test data 24.805, Local accuracy on global train data 11.228, Local accuracy on local train data 99.133
Round  15, Devices participated 10, Average loss 0.085, Central accuracy on global test data 23.928, Ensemble accuracy on global test data 16.582, Local accuracy on global train data 10.168, Local accuracy on local train data 98.433
Round  16, Devices participated 10, Average loss 0.041, Central accuracy on global test data 30.809, Ensemble accuracy on global test data 34.170, Local accuracy on global train data 10.127, Local accuracy on local train data 98.800
Round  17, Devices participated 10, Average loss 0.094, Central accuracy on global test data 42.658, Ensemble accuracy on global test data 48.105, Local accuracy on global train data 13.574, Local accuracy on local train data 98.167
Round  18, Devices participated 10, Average loss 0.033, Central accuracy on global test data 45.543, Ensemble accuracy on global test data 34.990, Local accuracy on global train data 12.288, Local accuracy on local train data 99.050
Round  19, Devices participated 10, Average loss 0.067, Central accuracy on global test data 50.070, Ensemble accuracy on global test data 33.525, Local accuracy on global train data 13.538, Local accuracy on local train data 98.983
Round  20, Devices participated 10, Average loss 0.042, Central accuracy on global test data 43.910, Ensemble accuracy on global test data 20.830, Local accuracy on global train data 12.617, Local accuracy on local train data 98.850
Round  21, Devices participated 10, Average loss 0.052, Central accuracy on global test data 43.379, Ensemble accuracy on global test data 53.125, Local accuracy on global train data 15.347, Local accuracy on local train data 98.900
Round  22, Devices participated 10, Average loss 0.057, Central accuracy on global test data 27.564, Ensemble accuracy on global test data 22.930, Local accuracy on global train data 11.077, Local accuracy on local train data 98.933
Round  23, Devices participated 10, Average loss 0.021, Central accuracy on global test data 37.991, Ensemble accuracy on global test data 28.066, Local accuracy on global train data 12.056, Local accuracy on local train data 99.300
Round  24, Devices participated 10, Average loss 0.042, Central accuracy on global test data 57.853, Ensemble accuracy on global test data 49.121, Local accuracy on global train data 15.251, Local accuracy on local train data 98.733
Round  25, Devices participated 10, Average loss 0.024, Central accuracy on global test data 47.857, Ensemble accuracy on global test data 46.074, Local accuracy on global train data 12.205, Local accuracy on local train data 99.200
Round  26, Devices participated 10, Average loss 0.083, Central accuracy on global test data 47.796, Ensemble accuracy on global test data 47.275, Local accuracy on global train data 15.164, Local accuracy on local train data 98.050
Round  27, Devices participated 10, Average loss 0.026, Central accuracy on global test data 51.442, Ensemble accuracy on global test data 44.766, Local accuracy on global train data 18.000, Local accuracy on local train data 99.567
Round  28, Devices participated 10, Average loss 0.031, Central accuracy on global test data 53.075, Ensemble accuracy on global test data 41.582, Local accuracy on global train data 14.314, Local accuracy on local train data 99.200
Round  29, Devices participated 10, Average loss 0.026, Central accuracy on global test data 51.432, Ensemble accuracy on global test data 33.955, Local accuracy on global train data 16.289, Local accuracy on local train data 99.267
Round  30, Devices participated 10, Average loss 0.061, Central accuracy on global test data 57.111, Ensemble accuracy on global test data 54.336, Local accuracy on global train data 12.632, Local accuracy on local train data 98.783
Round  31, Devices participated 10, Average loss 0.056, Central accuracy on global test data 58.403, Ensemble accuracy on global test data 47.383, Local accuracy on global train data 19.688, Local accuracy on local train data 98.383
Round  32, Devices participated 10, Average loss 0.022, Central accuracy on global test data 59.024, Ensemble accuracy on global test data 52.949, Local accuracy on global train data 17.961, Local accuracy on local train data 99.317
Round  33, Devices participated 10, Average loss 0.054, Central accuracy on global test data 64.002, Ensemble accuracy on global test data 52.705, Local accuracy on global train data 18.853, Local accuracy on local train data 98.983
Round  34, Devices participated 10, Average loss 0.032, Central accuracy on global test data 63.792, Ensemble accuracy on global test data 54.326, Local accuracy on global train data 17.065, Local accuracy on local train data 99.033
Round  35, Devices participated 10, Average loss 0.039, Central accuracy on global test data 65.845, Ensemble accuracy on global test data 51.904, Local accuracy on global train data 21.934, Local accuracy on local train data 98.733
Round  36, Devices participated 10, Average loss 0.048, Central accuracy on global test data 58.293, Ensemble accuracy on global test data 57.949, Local accuracy on global train data 21.370, Local accuracy on local train data 98.683
Round  37, Devices participated 10, Average loss 0.049, Central accuracy on global test data 55.489, Ensemble accuracy on global test data 47.959, Local accuracy on global train data 19.331, Local accuracy on local train data 98.733
Round  38, Devices participated 10, Average loss 0.025, Central accuracy on global test data 56.300, Ensemble accuracy on global test data 65.000, Local accuracy on global train data 25.901, Local accuracy on local train data 99.400
Round  39, Devices participated 10, Average loss 0.031, Central accuracy on global test data 63.992, Ensemble accuracy on global test data 48.975, Local accuracy on global train data 21.267, Local accuracy on local train data 99.017
Round  40, Devices participated 10, Average loss 0.040, Central accuracy on global test data 62.640, Ensemble accuracy on global test data 57.666, Local accuracy on global train data 20.476, Local accuracy on local train data 98.950
Round  41, Devices participated 10, Average loss 0.031, Central accuracy on global test data 59.485, Ensemble accuracy on global test data 53.516, Local accuracy on global train data 22.244, Local accuracy on local train data 99.033
Round  42, Devices participated 10, Average loss 0.036, Central accuracy on global test data 54.077, Ensemble accuracy on global test data 54.023, Local accuracy on global train data 21.350, Local accuracy on local train data 99.350
Round  43, Devices participated 10, Average loss 0.048, Central accuracy on global test data 54.127, Ensemble accuracy on global test data 66.230, Local accuracy on global train data 26.589, Local accuracy on local train data 98.667
Round  44, Devices participated 10, Average loss 0.020, Central accuracy on global test data 53.015, Ensemble accuracy on global test data 62.490, Local accuracy on global train data 29.221, Local accuracy on local train data 99.250
Round  45, Devices participated 10, Average loss 0.025, Central accuracy on global test data 68.339, Ensemble accuracy on global test data 63.379, Local accuracy on global train data 27.859, Local accuracy on local train data 99.283
Round  46, Devices participated 10, Average loss 0.022, Central accuracy on global test data 64.613, Ensemble accuracy on global test data 62.402, Local accuracy on global train data 30.693, Local accuracy on local train data 99.300
Round  47, Devices participated 10, Average loss 0.020, Central accuracy on global test data 62.210, Ensemble accuracy on global test data 52.754, Local accuracy on global train data 28.838, Local accuracy on local train data 99.400
Round  48, Devices participated 10, Average loss 0.030, Central accuracy on global test data 67.067, Ensemble accuracy on global test data 66.709, Local accuracy on global train data 28.586, Local accuracy on local train data 99.117
Round  49, Devices participated 10, Average loss 0.037, Central accuracy on global test data 65.725, Ensemble accuracy on global test data 53.896, Local accuracy on global train data 21.733, Local accuracy on local train data 99.033
Round  50, Devices participated 10, Average loss 0.020, Central accuracy on global test data 62.179, Ensemble accuracy on global test data 67.598, Local accuracy on global train data 29.255, Local accuracy on local train data 99.267
Round  51, Devices participated 10, Average loss 0.014, Central accuracy on global test data 60.397, Ensemble accuracy on global test data 72.812, Local accuracy on global train data 32.229, Local accuracy on local train data 99.700
Round  52, Devices participated 10, Average loss 0.028, Central accuracy on global test data 55.829, Ensemble accuracy on global test data 66.211, Local accuracy on global train data 23.416, Local accuracy on local train data 99.367
Round  53, Devices participated 10, Average loss 0.024, Central accuracy on global test data 66.546, Ensemble accuracy on global test data 74.912, Local accuracy on global train data 31.755, Local accuracy on local train data 99.250
Round  54, Devices participated 10, Average loss 0.032, Central accuracy on global test data 66.787, Ensemble accuracy on global test data 58.389, Local accuracy on global train data 23.179, Local accuracy on local train data 99.183
Round  55, Devices participated 10, Average loss 0.033, Central accuracy on global test data 58.393, Ensemble accuracy on global test data 74.258, Local accuracy on global train data 25.984, Local accuracy on local train data 99.000
Round  56, Devices participated 10, Average loss 0.013, Central accuracy on global test data 59.135, Ensemble accuracy on global test data 71.475, Local accuracy on global train data 33.235, Local accuracy on local train data 99.700
Round  57, Devices participated 10, Average loss 0.021, Central accuracy on global test data 64.804, Ensemble accuracy on global test data 64.199, Local accuracy on global train data 31.221, Local accuracy on local train data 99.583
Round  58, Devices participated 10, Average loss 0.027, Central accuracy on global test data 61.959, Ensemble accuracy on global test data 68.975, Local accuracy on global train data 29.709, Local accuracy on local train data 99.483
Round  59, Devices participated 10, Average loss 0.025, Central accuracy on global test data 56.120, Ensemble accuracy on global test data 71.289, Local accuracy on global train data 31.606, Local accuracy on local train data 99.383
Round  60, Devices participated 10, Average loss 0.021, Central accuracy on global test data 63.662, Ensemble accuracy on global test data 69.648, Local accuracy on global train data 29.402, Local accuracy on local train data 99.317
Round  61, Devices participated 10, Average loss 0.019, Central accuracy on global test data 69.601, Ensemble accuracy on global test data 66.650, Local accuracy on global train data 25.208, Local accuracy on local train data 99.483
Round  62, Devices participated 10, Average loss 0.028, Central accuracy on global test data 70.333, Ensemble accuracy on global test data 71.523, Local accuracy on global train data 34.834, Local accuracy on local train data 99.200
Round  63, Devices participated 10, Average loss 0.040, Central accuracy on global test data 69.742, Ensemble accuracy on global test data 69.600, Local accuracy on global train data 24.932, Local accuracy on local train data 98.983
Round  64, Devices participated 10, Average loss 0.020, Central accuracy on global test data 77.364, Ensemble accuracy on global test data 66.074, Local accuracy on global train data 30.667, Local accuracy on local train data 99.383
Round  65, Devices participated 10, Average loss 0.015, Central accuracy on global test data 77.454, Ensemble accuracy on global test data 76.406, Local accuracy on global train data 23.755, Local accuracy on local train data 99.500
Round  66, Devices participated 10, Average loss 0.025, Central accuracy on global test data 81.490, Ensemble accuracy on global test data 72.764, Local accuracy on global train data 31.707, Local accuracy on local train data 99.450
Round  67, Devices participated 10, Average loss 0.031, Central accuracy on global test data 76.903, Ensemble accuracy on global test data 73.389, Local accuracy on global train data 31.494, Local accuracy on local train data 99.133
Round  68, Devices participated 10, Average loss 0.015, Central accuracy on global test data 73.448, Ensemble accuracy on global test data 70.400, Local accuracy on global train data 35.320, Local accuracy on local train data 99.617
Round  69, Devices participated 10, Average loss 0.025, Central accuracy on global test data 73.337, Ensemble accuracy on global test data 74.395, Local accuracy on global train data 38.933, Local accuracy on local train data 99.483
Round  70, Devices participated 10, Average loss 0.027, Central accuracy on global test data 67.538, Ensemble accuracy on global test data 74.893, Local accuracy on global train data 29.827, Local accuracy on local train data 99.233
Round  71, Devices participated 10, Average loss 0.029, Central accuracy on global test data 59.605, Ensemble accuracy on global test data 78.945, Local accuracy on global train data 36.567, Local accuracy on local train data 99.300
Round  72, Devices participated 10, Average loss 0.022, Central accuracy on global test data 70.353, Ensemble accuracy on global test data 76.758, Local accuracy on global train data 38.857, Local accuracy on local train data 99.283
Round  73, Devices participated 10, Average loss 0.022, Central accuracy on global test data 71.104, Ensemble accuracy on global test data 76.338, Local accuracy on global train data 37.646, Local accuracy on local train data 99.333
Round  74, Devices participated 10, Average loss 0.010, Central accuracy on global test data 70.593, Ensemble accuracy on global test data 78.398, Local accuracy on global train data 32.617, Local accuracy on local train data 99.700
Round  75, Devices participated 10, Average loss 0.018, Central accuracy on global test data 74.980, Ensemble accuracy on global test data 77.744, Local accuracy on global train data 30.315, Local accuracy on local train data 99.483
Round  76, Devices participated 10, Average loss 0.034, Central accuracy on global test data 68.249, Ensemble accuracy on global test data 80.547, Local accuracy on global train data 37.456, Local accuracy on local train data 99.000
Round  77, Devices participated 10, Average loss 0.020, Central accuracy on global test data 57.562, Ensemble accuracy on global test data 74.971, Local accuracy on global train data 38.269, Local accuracy on local train data 99.583
Round  78, Devices participated 10, Average loss 0.026, Central accuracy on global test data 63.622, Ensemble accuracy on global test data 75.566, Local accuracy on global train data 36.995, Local accuracy on local train data 99.250
Round  79, Devices participated 10, Average loss 0.012, Central accuracy on global test data 67.418, Ensemble accuracy on global test data 72.705, Local accuracy on global train data 34.287, Local accuracy on local train data 99.633
Round  80, Devices participated 10, Average loss 0.019, Central accuracy on global test data 71.224, Ensemble accuracy on global test data 74.609, Local accuracy on global train data 36.450, Local accuracy on local train data 99.450
Round  81, Devices participated 10, Average loss 0.014, Central accuracy on global test data 63.111, Ensemble accuracy on global test data 68.516, Local accuracy on global train data 34.495, Local accuracy on local train data 99.517
Round  82, Devices participated 10, Average loss 0.010, Central accuracy on global test data 62.740, Ensemble accuracy on global test data 71.270, Local accuracy on global train data 41.948, Local accuracy on local train data 99.683
Round  83, Devices participated 10, Average loss 0.020, Central accuracy on global test data 54.327, Ensemble accuracy on global test data 70.352, Local accuracy on global train data 32.834, Local accuracy on local train data 99.483
Round  84, Devices participated 10, Average loss 0.022, Central accuracy on global test data 69.131, Ensemble accuracy on global test data 76.123, Local accuracy on global train data 33.682, Local accuracy on local train data 99.400
Round  85, Devices participated 10, Average loss 0.022, Central accuracy on global test data 71.504, Ensemble accuracy on global test data 67.666, Local accuracy on global train data 31.321, Local accuracy on local train data 99.250
Round  86, Devices participated 10, Average loss 0.024, Central accuracy on global test data 78.355, Ensemble accuracy on global test data 69.844, Local accuracy on global train data 33.105, Local accuracy on local train data 99.333
Round  87, Devices participated 10, Average loss 0.024, Central accuracy on global test data 84.625, Ensemble accuracy on global test data 75.674, Local accuracy on global train data 35.337, Local accuracy on local train data 99.233
Round  88, Devices participated 10, Average loss 0.012, Central accuracy on global test data 78.986, Ensemble accuracy on global test data 78.740, Local accuracy on global train data 42.734, Local accuracy on local train data 99.650
Round  89, Devices participated 10, Average loss 0.021, Central accuracy on global test data 79.647, Ensemble accuracy on global test data 76.377, Local accuracy on global train data 45.903, Local accuracy on local train data 99.383
Round  90, Devices participated 10, Average loss 0.020, Central accuracy on global test data 76.923, Ensemble accuracy on global test data 70.352, Local accuracy on global train data 29.973, Local accuracy on local train data 99.550
Round  91, Devices participated 10, Average loss 0.017, Central accuracy on global test data 72.246, Ensemble accuracy on global test data 74.941, Local accuracy on global train data 38.242, Local accuracy on local train data 99.467
Round  92, Devices participated 10, Average loss 0.025, Central accuracy on global test data 62.690, Ensemble accuracy on global test data 82.461, Local accuracy on global train data 38.230, Local accuracy on local train data 99.167
Round  93, Devices participated 10, Average loss 0.008, Central accuracy on global test data 59.135, Ensemble accuracy on global test data 77.412, Local accuracy on global train data 47.031, Local accuracy on local train data 99.800
Round  94, Devices participated 10, Average loss 0.024, Central accuracy on global test data 71.965, Ensemble accuracy on global test data 81.670, Local accuracy on global train data 40.088, Local accuracy on local train data 99.367
Round  95, Devices participated 10, Average loss 0.021, Central accuracy on global test data 70.843, Ensemble accuracy on global test data 68.398, Local accuracy on global train data 37.839, Local accuracy on local train data 99.217
Round  96, Devices participated 10, Average loss 0.037, Central accuracy on global test data 71.575, Ensemble accuracy on global test data 78.789, Local accuracy on global train data 43.442, Local accuracy on local train data 99.000
Round  97, Devices participated 10, Average loss 0.013, Central accuracy on global test data 73.638, Ensemble accuracy on global test data 84.209, Local accuracy on global train data 40.828, Local accuracy on local train data 99.650
Round  98, Devices participated 10, Average loss 0.027, Central accuracy on global test data 77.204, Ensemble accuracy on global test data 76.182, Local accuracy on global train data 44.717, Local accuracy on local train data 99.283
Round  99, Devices participated 10, Average loss 0.023, Central accuracy on global test data 71.985, Ensemble accuracy on global test data 78.574, Local accuracy on global train data 39.285, Local accuracy on local train data 99.383
Round 100, Devices participated 10, Average loss 0.025, Central accuracy on global test data 71.605, Ensemble accuracy on global test data 80.117, Local accuracy on global train data 44.443, Local accuracy on local train data 99.350
Round 101, Devices participated 10, Average loss 0.011, Central accuracy on global test data 75.761, Ensemble accuracy on global test data 83.184, Local accuracy on global train data 42.310, Local accuracy on local train data 99.650
Round 102, Devices participated 10, Average loss 0.015, Central accuracy on global test data 70.102, Ensemble accuracy on global test data 70.537, Local accuracy on global train data 47.146, Local accuracy on local train data 99.467
Round 103, Devices participated 10, Average loss 0.013, Central accuracy on global test data 67.999, Ensemble accuracy on global test data 82.734, Local accuracy on global train data 43.794, Local accuracy on local train data 99.617
Round 104, Devices participated 10, Average loss 0.023, Central accuracy on global test data 64.623, Ensemble accuracy on global test data 78.115, Local accuracy on global train data 43.618, Local accuracy on local train data 99.183
Round 105, Devices participated 10, Average loss 0.016, Central accuracy on global test data 66.546, Ensemble accuracy on global test data 79.258, Local accuracy on global train data 48.247, Local accuracy on local train data 99.583
Round 106, Devices participated 10, Average loss 0.012, Central accuracy on global test data 65.124, Ensemble accuracy on global test data 80.332, Local accuracy on global train data 49.409, Local accuracy on local train data 99.650
Round 107, Devices participated 10, Average loss 0.018, Central accuracy on global test data 72.035, Ensemble accuracy on global test data 81.650, Local accuracy on global train data 47.363, Local accuracy on local train data 99.500
Round 108, Devices participated 10, Average loss 0.030, Central accuracy on global test data 77.073, Ensemble accuracy on global test data 67.031, Local accuracy on global train data 39.832, Local accuracy on local train data 99.333
Round 109, Devices participated 10, Average loss 0.024, Central accuracy on global test data 71.254, Ensemble accuracy on global test data 75.996, Local accuracy on global train data 40.713, Local accuracy on local train data 99.317
Round 110, Devices participated 10, Average loss 0.012, Central accuracy on global test data 71.615, Ensemble accuracy on global test data 82.080, Local accuracy on global train data 46.401, Local accuracy on local train data 99.650
Round 111, Devices participated 10, Average loss 0.028, Central accuracy on global test data 60.727, Ensemble accuracy on global test data 67.637, Local accuracy on global train data 40.657, Local accuracy on local train data 99.233
Round 112, Devices participated 10, Average loss 0.020, Central accuracy on global test data 64.363, Ensemble accuracy on global test data 78.789, Local accuracy on global train data 47.427, Local accuracy on local train data 99.567
Round 113, Devices participated 10, Average loss 0.024, Central accuracy on global test data 67.198, Ensemble accuracy on global test data 77.305, Local accuracy on global train data 33.484, Local accuracy on local train data 99.300
Round 114, Devices participated 10, Average loss 0.036, Central accuracy on global test data 59.996, Ensemble accuracy on global test data 80.527, Local accuracy on global train data 36.499, Local accuracy on local train data 98.983
Round 115, Devices participated 10, Average loss 0.011, Central accuracy on global test data 69.481, Ensemble accuracy on global test data 77.734, Local accuracy on global train data 44.209, Local accuracy on local train data 99.650
Round 116, Devices participated 10, Average loss 0.025, Central accuracy on global test data 71.595, Ensemble accuracy on global test data 78.545, Local accuracy on global train data 42.136, Local accuracy on local train data 99.333
Round 117, Devices participated 10, Average loss 0.021, Central accuracy on global test data 68.870, Ensemble accuracy on global test data 76.416, Local accuracy on global train data 36.418, Local accuracy on local train data 99.400
Round 118, Devices participated 10, Average loss 0.032, Central accuracy on global test data 66.797, Ensemble accuracy on global test data 74.287, Local accuracy on global train data 44.851, Local accuracy on local train data 99.300
Round 119, Devices participated 10, Average loss 0.018, Central accuracy on global test data 66.847, Ensemble accuracy on global test data 82.061, Local accuracy on global train data 42.510, Local accuracy on local train data 99.567
Round 120, Devices participated 10, Average loss 0.016, Central accuracy on global test data 63.742, Ensemble accuracy on global test data 75.830, Local accuracy on global train data 48.245, Local accuracy on local train data 99.567
Round 121, Devices participated 10, Average loss 0.019, Central accuracy on global test data 54.878, Ensemble accuracy on global test data 74.658, Local accuracy on global train data 38.740, Local accuracy on local train data 99.433
Round 122, Devices participated 10, Average loss 0.022, Central accuracy on global test data 56.540, Ensemble accuracy on global test data 80.254, Local accuracy on global train data 35.747, Local accuracy on local train data 99.483
Round 123, Devices participated 10, Average loss 0.012, Central accuracy on global test data 57.362, Ensemble accuracy on global test data 81.777, Local accuracy on global train data 36.094, Local accuracy on local train data 99.617
Round 124, Devices participated 10, Average loss 0.024, Central accuracy on global test data 74.199, Ensemble accuracy on global test data 80.957, Local accuracy on global train data 32.488, Local accuracy on local train data 99.367
Round 125, Devices participated 10, Average loss 0.018, Central accuracy on global test data 72.125, Ensemble accuracy on global test data 66.387, Local accuracy on global train data 38.926, Local accuracy on local train data 99.483
Round 126, Devices participated 10, Average loss 0.026, Central accuracy on global test data 61.078, Ensemble accuracy on global test data 66.006, Local accuracy on global train data 40.996, Local accuracy on local train data 99.267
Round 127, Devices participated 10, Average loss 0.015, Central accuracy on global test data 69.762, Ensemble accuracy on global test data 77.842, Local accuracy on global train data 41.587, Local accuracy on local train data 99.517
Round 128, Devices participated 10, Average loss 0.010, Central accuracy on global test data 63.862, Ensemble accuracy on global test data 78.135, Local accuracy on global train data 44.585, Local accuracy on local train data 99.767
Round 129, Devices participated 10, Average loss 0.017, Central accuracy on global test data 70.483, Ensemble accuracy on global test data 83.379, Local accuracy on global train data 45.276, Local accuracy on local train data 99.450
Round 130, Devices participated 10, Average loss 0.017, Central accuracy on global test data 64.363, Ensemble accuracy on global test data 74.697, Local accuracy on global train data 36.282, Local accuracy on local train data 99.317
Round 131, Devices participated 10, Average loss 0.014, Central accuracy on global test data 65.174, Ensemble accuracy on global test data 66.602, Local accuracy on global train data 37.759, Local accuracy on local train data 99.517
Round 132, Devices participated 10, Average loss 0.024, Central accuracy on global test data 73.377, Ensemble accuracy on global test data 82.344, Local accuracy on global train data 47.131, Local accuracy on local train data 99.233
Round 133, Devices participated 10, Average loss 0.024, Central accuracy on global test data 68.820, Ensemble accuracy on global test data 83.408, Local accuracy on global train data 39.702, Local accuracy on local train data 99.350
Round 134, Devices participated 10, Average loss 0.026, Central accuracy on global test data 60.076, Ensemble accuracy on global test data 76.133, Local accuracy on global train data 46.091, Local accuracy on local train data 99.250
Round 135, Devices participated 10, Average loss 0.012, Central accuracy on global test data 61.889, Ensemble accuracy on global test data 81.348, Local accuracy on global train data 42.246, Local accuracy on local train data 99.667
Round 136, Devices participated 10, Average loss 0.030, Central accuracy on global test data 72.646, Ensemble accuracy on global test data 77.930, Local accuracy on global train data 39.304, Local accuracy on local train data 99.283
Round 137, Devices participated 10, Average loss 0.016, Central accuracy on global test data 81.450, Ensemble accuracy on global test data 70.215, Local accuracy on global train data 41.387, Local accuracy on local train data 99.433
