Round   0, Devices participated 10, Average loss 0.109, Central accuracy on global test data 25.030, Local accuracy on global train data 11.909, Local accuracy on local train data 97.933
Round   1, Devices participated 10, Average loss 0.061, Central accuracy on global test data 27.214, Local accuracy on global train data 10.117, Local accuracy on local train data 98.500
Round   2, Devices participated 10, Average loss 0.107, Central accuracy on global test data 22.105, Local accuracy on global train data 10.388, Local accuracy on local train data 98.050
Round   3, Devices participated 10, Average loss 0.051, Central accuracy on global test data 12.540, Local accuracy on global train data 9.949, Local accuracy on local train data 98.600
Round   4, Devices participated 10, Average loss 0.087, Central accuracy on global test data 12.059, Local accuracy on global train data 11.895, Local accuracy on local train data 97.867
Round   5, Devices participated 10, Average loss 0.042, Central accuracy on global test data 28.636, Local accuracy on global train data 10.320, Local accuracy on local train data 98.683
Round   6, Devices participated 10, Average loss 0.077, Central accuracy on global test data 28.235, Local accuracy on global train data 10.950, Local accuracy on local train data 97.933
Round   7, Devices participated 10, Average loss 0.059, Central accuracy on global test data 24.990, Local accuracy on global train data 9.805, Local accuracy on local train data 98.650
Round   8, Devices participated 10, Average loss 0.145, Central accuracy on global test data 32.151, Local accuracy on global train data 10.000, Local accuracy on local train data 97.700
Round   9, Devices participated 10, Average loss 0.058, Central accuracy on global test data 37.470, Local accuracy on global train data 11.157, Local accuracy on local train data 98.767
Round  10, Devices participated 10, Average loss 0.066, Central accuracy on global test data 42.037, Local accuracy on global train data 11.750, Local accuracy on local train data 98.617
Round  11, Devices participated 10, Average loss 0.060, Central accuracy on global test data 42.278, Local accuracy on global train data 10.247, Local accuracy on local train data 98.400
Round  12, Devices participated 10, Average loss 0.060, Central accuracy on global test data 28.526, Local accuracy on global train data 11.987, Local accuracy on local train data 98.517
Round  13, Devices participated 10, Average loss 0.064, Central accuracy on global test data 22.776, Local accuracy on global train data 10.962, Local accuracy on local train data 98.633
Round  14, Devices participated 10, Average loss 0.034, Central accuracy on global test data 40.775, Local accuracy on global train data 11.416, Local accuracy on local train data 99.100
Round  15, Devices participated 10, Average loss 0.071, Central accuracy on global test data 38.171, Local accuracy on global train data 10.151, Local accuracy on local train data 98.667
Round  16, Devices participated 10, Average loss 0.033, Central accuracy on global test data 41.907, Local accuracy on global train data 10.432, Local accuracy on local train data 98.967
Round  17, Devices participated 10, Average loss 0.091, Central accuracy on global test data 55.168, Local accuracy on global train data 14.197, Local accuracy on local train data 98.117
Round  18, Devices participated 10, Average loss 0.027, Central accuracy on global test data 48.578, Local accuracy on global train data 16.726, Local accuracy on local train data 99.233
Round  19, Devices participated 10, Average loss 0.070, Central accuracy on global test data 47.436, Local accuracy on global train data 15.266, Local accuracy on local train data 98.917
Round  20, Devices participated 10, Average loss 0.039, Central accuracy on global test data 47.586, Local accuracy on global train data 14.041, Local accuracy on local train data 99.050
Round  21, Devices participated 10, Average loss 0.058, Central accuracy on global test data 46.114, Local accuracy on global train data 16.794, Local accuracy on local train data 98.667
Round  22, Devices participated 10, Average loss 0.045, Central accuracy on global test data 44.962, Local accuracy on global train data 10.505, Local accuracy on local train data 99.000
Round  23, Devices participated 10, Average loss 0.026, Central accuracy on global test data 52.504, Local accuracy on global train data 13.667, Local accuracy on local train data 99.200
Round  24, Devices participated 10, Average loss 0.031, Central accuracy on global test data 50.751, Local accuracy on global train data 18.381, Local accuracy on local train data 99.033
Round  25, Devices participated 10, Average loss 0.029, Central accuracy on global test data 44.521, Local accuracy on global train data 14.778, Local accuracy on local train data 99.083
Round  26, Devices participated 10, Average loss 0.054, Central accuracy on global test data 47.256, Local accuracy on global train data 15.769, Local accuracy on local train data 98.350
Round  27, Devices participated 10, Average loss 0.029, Central accuracy on global test data 54.357, Local accuracy on global train data 18.667, Local accuracy on local train data 99.400
Round  28, Devices participated 10, Average loss 0.035, Central accuracy on global test data 47.055, Local accuracy on global train data 15.042, Local accuracy on local train data 99.083
Round  29, Devices participated 10, Average loss 0.035, Central accuracy on global test data 48.928, Local accuracy on global train data 15.549, Local accuracy on local train data 99.067
Round  30, Devices participated 10, Average loss 0.037, Central accuracy on global test data 45.122, Local accuracy on global train data 12.720, Local accuracy on local train data 98.833
Round  31, Devices participated 10, Average loss 0.059, Central accuracy on global test data 54.006, Local accuracy on global train data 18.882, Local accuracy on local train data 98.433
Round  32, Devices participated 10, Average loss 0.021, Central accuracy on global test data 55.709, Local accuracy on global train data 18.689, Local accuracy on local train data 99.483
Round  33, Devices participated 10, Average loss 0.056, Central accuracy on global test data 65.595, Local accuracy on global train data 17.793, Local accuracy on local train data 99.100
Round  34, Devices participated 10, Average loss 0.030, Central accuracy on global test data 60.517, Local accuracy on global train data 15.850, Local accuracy on local train data 99.200
Round  35, Devices participated 10, Average loss 0.041, Central accuracy on global test data 64.143, Local accuracy on global train data 19.158, Local accuracy on local train data 98.783
Round  36, Devices participated 10, Average loss 0.051, Central accuracy on global test data 61.138, Local accuracy on global train data 18.589, Local accuracy on local train data 98.633
Round  37, Devices participated 10, Average loss 0.057, Central accuracy on global test data 63.181, Local accuracy on global train data 15.713, Local accuracy on local train data 98.533
Round  38, Devices participated 10, Average loss 0.029, Central accuracy on global test data 64.153, Local accuracy on global train data 18.218, Local accuracy on local train data 99.183
Round  39, Devices participated 10, Average loss 0.023, Central accuracy on global test data 66.967, Local accuracy on global train data 18.254, Local accuracy on local train data 99.150
Round  40, Devices participated 10, Average loss 0.044, Central accuracy on global test data 67.728, Local accuracy on global train data 17.188, Local accuracy on local train data 98.900
Round  41, Devices participated 10, Average loss 0.040, Central accuracy on global test data 67.748, Local accuracy on global train data 17.200, Local accuracy on local train data 98.883
Round  42, Devices participated 10, Average loss 0.028, Central accuracy on global test data 68.399, Local accuracy on global train data 17.974, Local accuracy on local train data 99.333
Round  43, Devices participated 10, Average loss 0.045, Central accuracy on global test data 64.263, Local accuracy on global train data 22.368, Local accuracy on local train data 98.683
Round  44, Devices participated 10, Average loss 0.025, Central accuracy on global test data 71.464, Local accuracy on global train data 24.365, Local accuracy on local train data 99.267
Round  45, Devices participated 10, Average loss 0.020, Central accuracy on global test data 72.766, Local accuracy on global train data 24.866, Local accuracy on local train data 99.333
Round  46, Devices participated 10, Average loss 0.024, Central accuracy on global test data 72.266, Local accuracy on global train data 26.177, Local accuracy on local train data 99.350
Round  47, Devices participated 10, Average loss 0.018, Central accuracy on global test data 70.132, Local accuracy on global train data 24.458, Local accuracy on local train data 99.583
Round  48, Devices participated 10, Average loss 0.028, Central accuracy on global test data 73.087, Local accuracy on global train data 24.136, Local accuracy on local train data 99.233
Round  49, Devices participated 10, Average loss 0.031, Central accuracy on global test data 69.812, Local accuracy on global train data 19.639, Local accuracy on local train data 99.117
Round  50, Devices participated 10, Average loss 0.020, Central accuracy on global test data 70.653, Local accuracy on global train data 28.071, Local accuracy on local train data 99.350
Round  51, Devices participated 10, Average loss 0.014, Central accuracy on global test data 70.423, Local accuracy on global train data 27.192, Local accuracy on local train data 99.667
Round  52, Devices participated 10, Average loss 0.019, Central accuracy on global test data 73.988, Local accuracy on global train data 18.113, Local accuracy on local train data 99.450
