Round   0, Devices participated 10, Average loss 0.092, Central accuracy on global test data 34.886, Ensemble accuracy on global test data 41.104, Local accuracy on global train data 19.832, Local accuracy on local train data 98.233
Round   1, Devices participated 10, Average loss 0.156, Central accuracy on global test data 32.422, Ensemble accuracy on global test data 31.885, Local accuracy on global train data 20.061, Local accuracy on local train data 97.630
Round   2, Devices participated 10, Average loss 0.104, Central accuracy on global test data 53.456, Ensemble accuracy on global test data 53.623, Local accuracy on global train data 22.656, Local accuracy on local train data 98.480
Round   3, Devices participated 10, Average loss 0.081, Central accuracy on global test data 66.546, Ensemble accuracy on global test data 65.156, Local accuracy on global train data 27.190, Local accuracy on local train data 98.550
Round   4, Devices participated 10, Average loss 0.093, Central accuracy on global test data 59.555, Ensemble accuracy on global test data 59.033, Local accuracy on global train data 32.515, Local accuracy on local train data 98.823
Round   5, Devices participated 10, Average loss 0.085, Central accuracy on global test data 64.473, Ensemble accuracy on global test data 59.287, Local accuracy on global train data 32.751, Local accuracy on local train data 98.723
Round   6, Devices participated 10, Average loss 0.035, Central accuracy on global test data 66.416, Ensemble accuracy on global test data 63.975, Local accuracy on global train data 34.883, Local accuracy on local train data 99.147
Round   7, Devices participated 10, Average loss 0.043, Central accuracy on global test data 84.275, Ensemble accuracy on global test data 83.828, Local accuracy on global train data 37.114, Local accuracy on local train data 98.683
Round   8, Devices participated 10, Average loss 0.030, Central accuracy on global test data 84.415, Ensemble accuracy on global test data 82.949, Local accuracy on global train data 43.408, Local accuracy on local train data 99.207
Round   9, Devices participated 10, Average loss 0.041, Central accuracy on global test data 83.784, Ensemble accuracy on global test data 79.326, Local accuracy on global train data 41.643, Local accuracy on local train data 98.967
Round  10, Devices participated 10, Average loss 0.036, Central accuracy on global test data 86.318, Ensemble accuracy on global test data 80.898, Local accuracy on global train data 42.600, Local accuracy on local train data 99.047
Round  11, Devices participated 10, Average loss 0.023, Central accuracy on global test data 83.674, Ensemble accuracy on global test data 76.143, Local accuracy on global train data 50.632, Local accuracy on local train data 99.390
Round  12, Devices participated 10, Average loss 0.043, Central accuracy on global test data 81.410, Ensemble accuracy on global test data 78.682, Local accuracy on global train data 45.679, Local accuracy on local train data 98.990
Round  13, Devices participated 10, Average loss 0.044, Central accuracy on global test data 85.697, Ensemble accuracy on global test data 83.447, Local accuracy on global train data 43.801, Local accuracy on local train data 99.163
Round  14, Devices participated 10, Average loss 0.045, Central accuracy on global test data 89.473, Ensemble accuracy on global test data 86.689, Local accuracy on global train data 50.273, Local accuracy on local train data 98.843
Round  15, Devices participated 10, Average loss 0.032, Central accuracy on global test data 89.443, Ensemble accuracy on global test data 86.963, Local accuracy on global train data 50.015, Local accuracy on local train data 99.113
Round  16, Devices participated 10, Average loss 0.057, Central accuracy on global test data 91.456, Ensemble accuracy on global test data 88.994, Local accuracy on global train data 47.649, Local accuracy on local train data 98.827
Round  17, Devices participated 10, Average loss 0.018, Central accuracy on global test data 90.425, Ensemble accuracy on global test data 85.771, Local accuracy on global train data 51.584, Local accuracy on local train data 99.533
Round  18, Devices participated 10, Average loss 0.039, Central accuracy on global test data 90.325, Ensemble accuracy on global test data 83.438, Local accuracy on global train data 50.566, Local accuracy on local train data 98.903
Round  19, Devices participated 10, Average loss 0.014, Central accuracy on global test data 90.565, Ensemble accuracy on global test data 87.324, Local accuracy on global train data 55.232, Local accuracy on local train data 99.653
Round  20, Devices participated 10, Average loss 0.027, Central accuracy on global test data 85.397, Ensemble accuracy on global test data 79.707, Local accuracy on global train data 50.857, Local accuracy on local train data 99.290
Round  21, Devices participated 10, Average loss 0.024, Central accuracy on global test data 86.899, Ensemble accuracy on global test data 82.275, Local accuracy on global train data 55.247, Local accuracy on local train data 99.380
Round  22, Devices participated 10, Average loss 0.021, Central accuracy on global test data 91.556, Ensemble accuracy on global test data 88.135, Local accuracy on global train data 61.145, Local accuracy on local train data 99.367
Round  23, Devices participated 10, Average loss 0.022, Central accuracy on global test data 81.490, Ensemble accuracy on global test data 76.182, Local accuracy on global train data 58.101, Local accuracy on local train data 99.427
Round  24, Devices participated 10, Average loss 0.023, Central accuracy on global test data 91.967, Ensemble accuracy on global test data 88.760, Local accuracy on global train data 56.008, Local accuracy on local train data 99.417
Round  25, Devices participated 10, Average loss 0.020, Central accuracy on global test data 89.994, Ensemble accuracy on global test data 84.844, Local accuracy on global train data 59.275, Local accuracy on local train data 99.460
Round  26, Devices participated 10, Average loss 0.021, Central accuracy on global test data 91.506, Ensemble accuracy on global test data 88.408, Local accuracy on global train data 62.803, Local accuracy on local train data 99.333
Round  27, Devices participated 10, Average loss 0.024, Central accuracy on global test data 91.897, Ensemble accuracy on global test data 89.424, Local accuracy on global train data 65.601, Local accuracy on local train data 99.287
Round  28, Devices participated 10, Average loss 0.014, Central accuracy on global test data 91.496, Ensemble accuracy on global test data 88.564, Local accuracy on global train data 68.291, Local accuracy on local train data 99.600
Round  29, Devices participated 10, Average loss 0.025, Central accuracy on global test data 93.860, Ensemble accuracy on global test data 90.547, Local accuracy on global train data 61.777, Local accuracy on local train data 99.303
Round  30, Devices participated 10, Average loss 0.017, Central accuracy on global test data 91.446, Ensemble accuracy on global test data 87.900, Local accuracy on global train data 63.257, Local accuracy on local train data 99.517
Round  31, Devices participated 10, Average loss 0.020, Central accuracy on global test data 94.111, Ensemble accuracy on global test data 88.613, Local accuracy on global train data 65.012, Local accuracy on local train data 99.587
Round  32, Devices participated 10, Average loss 0.013, Central accuracy on global test data 94.121, Ensemble accuracy on global test data 91.611, Local accuracy on global train data 68.303, Local accuracy on local train data 99.650
Round  33, Devices participated 10, Average loss 0.019, Central accuracy on global test data 91.556, Ensemble accuracy on global test data 86.035, Local accuracy on global train data 60.679, Local accuracy on local train data 99.480
Round  34, Devices participated 10, Average loss 0.008, Central accuracy on global test data 92.388, Ensemble accuracy on global test data 87.959, Local accuracy on global train data 68.030, Local accuracy on local train data 99.777
Round  35, Devices participated 10, Average loss 0.014, Central accuracy on global test data 93.490, Ensemble accuracy on global test data 90.684, Local accuracy on global train data 64.980, Local accuracy on local train data 99.593
Round  36, Devices participated 10, Average loss 0.017, Central accuracy on global test data 93.980, Ensemble accuracy on global test data 90.674, Local accuracy on global train data 68.115, Local accuracy on local train data 99.500
Round  37, Devices participated 10, Average loss 0.030, Central accuracy on global test data 92.839, Ensemble accuracy on global test data 89.365, Local accuracy on global train data 67.742, Local accuracy on local train data 99.240
Round  38, Devices participated 10, Average loss 0.013, Central accuracy on global test data 93.870, Ensemble accuracy on global test data 90.801, Local accuracy on global train data 68.013, Local accuracy on local train data 99.633
Round  39, Devices participated 10, Average loss 0.014, Central accuracy on global test data 94.421, Ensemble accuracy on global test data 91.104, Local accuracy on global train data 68.325, Local accuracy on local train data 99.637
Round  40, Devices participated 10, Average loss 0.014, Central accuracy on global test data 95.413, Ensemble accuracy on global test data 92.822, Local accuracy on global train data 67.288, Local accuracy on local train data 99.590
Round  41, Devices participated 10, Average loss 0.021, Central accuracy on global test data 94.191, Ensemble accuracy on global test data 91.426, Local accuracy on global train data 70.251, Local accuracy on local train data 99.483
Round  42, Devices participated 10, Average loss 0.013, Central accuracy on global test data 94.621, Ensemble accuracy on global test data 91.924, Local accuracy on global train data 70.908, Local accuracy on local train data 99.637
Round  43, Devices participated 10, Average loss 0.013, Central accuracy on global test data 95.012, Ensemble accuracy on global test data 92.080, Local accuracy on global train data 67.412, Local accuracy on local train data 99.630
Round  44, Devices participated 10, Average loss 0.019, Central accuracy on global test data 93.419, Ensemble accuracy on global test data 89.814, Local accuracy on global train data 67.542, Local accuracy on local train data 99.467
Round  45, Devices participated 10, Average loss 0.013, Central accuracy on global test data 94.812, Ensemble accuracy on global test data 92.510, Local accuracy on global train data 75.930, Local accuracy on local train data 99.627
Round  46, Devices participated 10, Average loss 0.020, Central accuracy on global test data 94.431, Ensemble accuracy on global test data 91.221, Local accuracy on global train data 73.462, Local accuracy on local train data 99.463
Round  47, Devices participated 10, Average loss 0.008, Central accuracy on global test data 94.681, Ensemble accuracy on global test data 92.090, Local accuracy on global train data 74.519, Local accuracy on local train data 99.740
Round  48, Devices participated 10, Average loss 0.015, Central accuracy on global test data 95.102, Ensemble accuracy on global test data 92.383, Local accuracy on global train data 74.346, Local accuracy on local train data 99.580
Round  49, Devices participated 10, Average loss 0.009, Central accuracy on global test data 93.940, Ensemble accuracy on global test data 91.025, Local accuracy on global train data 78.088, Local accuracy on local train data 99.760
Round  50, Devices participated 10, Average loss 0.018, Central accuracy on global test data 94.942, Ensemble accuracy on global test data 92.139, Local accuracy on global train data 73.447, Local accuracy on local train data 99.537
Round  51, Devices participated 10, Average loss 0.019, Central accuracy on global test data 95.333, Ensemble accuracy on global test data 92.520, Local accuracy on global train data 77.639, Local accuracy on local train data 99.637
Round  52, Devices participated 10, Average loss 0.013, Central accuracy on global test data 94.722, Ensemble accuracy on global test data 91.748, Local accuracy on global train data 74.861, Local accuracy on local train data 99.590
Round  53, Devices participated 10, Average loss 0.013, Central accuracy on global test data 94.461, Ensemble accuracy on global test data 91.367, Local accuracy on global train data 75.735, Local accuracy on local train data 99.680
Round  54, Devices participated 10, Average loss 0.006, Central accuracy on global test data 93.470, Ensemble accuracy on global test data 90.420, Local accuracy on global train data 77.339, Local accuracy on local train data 99.843
Round  55, Devices participated 10, Average loss 0.010, Central accuracy on global test data 95.052, Ensemble accuracy on global test data 92.539, Local accuracy on global train data 73.350, Local accuracy on local train data 99.677
Round  56, Devices participated 10, Average loss 0.016, Central accuracy on global test data 94.461, Ensemble accuracy on global test data 91.982, Local accuracy on global train data 77.256, Local accuracy on local train data 99.630
