Round   0, Devices participated 10, Average loss 0.092, Central accuracy on global test data 38.041, Ensemble accuracy on global test data 41.104, Local accuracy on global train data 19.832, Local accuracy on local train data 98.233
Round   1, Devices participated 10, Average loss 0.268, Central accuracy on global test data 34.355, Ensemble accuracy on global test data 34.521, Local accuracy on global train data 20.627, Local accuracy on local train data 97.463
Round   2, Devices participated 10, Average loss 0.129, Central accuracy on global test data 45.493, Ensemble accuracy on global test data 44.629, Local accuracy on global train data 23.352, Local accuracy on local train data 98.457
Round   3, Devices participated 10, Average loss 0.085, Central accuracy on global test data 69.271, Ensemble accuracy on global test data 68.027, Local accuracy on global train data 27.434, Local accuracy on local train data 98.610
Round   4, Devices participated 10, Average loss 0.094, Central accuracy on global test data 59.305, Ensemble accuracy on global test data 58.125, Local accuracy on global train data 32.507, Local accuracy on local train data 98.943
Round   5, Devices participated 10, Average loss 0.128, Central accuracy on global test data 59.505, Ensemble accuracy on global test data 59.854, Local accuracy on global train data 31.438, Local accuracy on local train data 98.597
Round   6, Devices participated 10, Average loss 0.093, Central accuracy on global test data 44.491, Ensemble accuracy on global test data 43.535, Local accuracy on global train data 31.279, Local accuracy on local train data 98.670
Round   7, Devices participated 10, Average loss 0.138, Central accuracy on global test data 81.601, Ensemble accuracy on global test data 81.436, Local accuracy on global train data 35.234, Local accuracy on local train data 98.210
Round   8, Devices participated 10, Average loss 0.062, Central accuracy on global test data 82.252, Ensemble accuracy on global test data 82.285, Local accuracy on global train data 35.359, Local accuracy on local train data 98.970
Round   9, Devices participated 10, Average loss 0.083, Central accuracy on global test data 58.854, Ensemble accuracy on global test data 59.219, Local accuracy on global train data 37.341, Local accuracy on local train data 98.600
Round  10, Devices participated 10, Average loss 0.351, Central accuracy on global test data 77.995, Ensemble accuracy on global test data 77.637, Local accuracy on global train data 34.966, Local accuracy on local train data 97.587
Round  11, Devices participated 10, Average loss 0.038, Central accuracy on global test data 78.355, Ensemble accuracy on global test data 73.350, Local accuracy on global train data 38.916, Local accuracy on local train data 99.153
Round  12, Devices participated 10, Average loss 0.060, Central accuracy on global test data 83.163, Ensemble accuracy on global test data 75.742, Local accuracy on global train data 39.629, Local accuracy on local train data 98.687
Round  13, Devices participated 10, Average loss 0.035, Central accuracy on global test data 83.333, Ensemble accuracy on global test data 81.504, Local accuracy on global train data 42.983, Local accuracy on local train data 99.103
Round  14, Devices participated 10, Average loss 0.067, Central accuracy on global test data 87.210, Ensemble accuracy on global test data 84.736, Local accuracy on global train data 44.343, Local accuracy on local train data 98.513
Round  15, Devices participated 10, Average loss 0.085, Central accuracy on global test data 85.156, Ensemble accuracy on global test data 83.320, Local accuracy on global train data 44.958, Local accuracy on local train data 98.293
Round  16, Devices participated 10, Average loss 0.104, Central accuracy on global test data 87.780, Ensemble accuracy on global test data 85.713, Local accuracy on global train data 37.446, Local accuracy on local train data 98.283
Round  17, Devices participated 10, Average loss 0.041, Central accuracy on global test data 85.086, Ensemble accuracy on global test data 83.184, Local accuracy on global train data 44.143, Local accuracy on local train data 99.283
Round  18, Devices participated 10, Average loss 0.098, Central accuracy on global test data 85.327, Ensemble accuracy on global test data 81.650, Local accuracy on global train data 41.326, Local accuracy on local train data 98.313
Round  19, Devices participated 10, Average loss 0.036, Central accuracy on global test data 82.772, Ensemble accuracy on global test data 78.682, Local accuracy on global train data 46.531, Local accuracy on local train data 99.330
Round  20, Devices participated 10, Average loss 0.054, Central accuracy on global test data 76.492, Ensemble accuracy on global test data 72.451, Local accuracy on global train data 44.258, Local accuracy on local train data 98.937
Round  21, Devices participated 10, Average loss 0.057, Central accuracy on global test data 84.806, Ensemble accuracy on global test data 81.875, Local accuracy on global train data 48.081, Local accuracy on local train data 99.017
Round  22, Devices participated 10, Average loss 0.047, Central accuracy on global test data 87.420, Ensemble accuracy on global test data 84.238, Local accuracy on global train data 51.843, Local accuracy on local train data 98.887
Round  23, Devices participated 10, Average loss 0.072, Central accuracy on global test data 73.888, Ensemble accuracy on global test data 66.719, Local accuracy on global train data 45.945, Local accuracy on local train data 98.883
Round  24, Devices participated 10, Average loss 0.059, Central accuracy on global test data 87.780, Ensemble accuracy on global test data 83.262, Local accuracy on global train data 43.203, Local accuracy on local train data 98.830
Round  25, Devices participated 10, Average loss 0.047, Central accuracy on global test data 82.402, Ensemble accuracy on global test data 76.904, Local accuracy on global train data 46.213, Local accuracy on local train data 98.990
Round  26, Devices participated 10, Average loss 0.057, Central accuracy on global test data 88.101, Ensemble accuracy on global test data 83.945, Local accuracy on global train data 50.085, Local accuracy on local train data 98.823
Round  27, Devices participated 10, Average loss 0.048, Central accuracy on global test data 88.502, Ensemble accuracy on global test data 83.535, Local accuracy on global train data 52.913, Local accuracy on local train data 98.910
Round  28, Devices participated 10, Average loss 0.051, Central accuracy on global test data 90.254, Ensemble accuracy on global test data 86.328, Local accuracy on global train data 52.219, Local accuracy on local train data 99.180
Round  29, Devices participated 10, Average loss 0.052, Central accuracy on global test data 89.653, Ensemble accuracy on global test data 85.908, Local accuracy on global train data 45.066, Local accuracy on local train data 98.743
Round  30, Devices participated 10, Average loss 0.033, Central accuracy on global test data 88.351, Ensemble accuracy on global test data 79.189, Local accuracy on global train data 46.536, Local accuracy on local train data 99.193
Round  31, Devices participated 10, Average loss 0.024, Central accuracy on global test data 87.510, Ensemble accuracy on global test data 80.430, Local accuracy on global train data 54.585, Local accuracy on local train data 99.367
Round  32, Devices participated 10, Average loss 0.025, Central accuracy on global test data 89.744, Ensemble accuracy on global test data 86.006, Local accuracy on global train data 55.063, Local accuracy on local train data 99.380
Round  33, Devices participated 10, Average loss 0.033, Central accuracy on global test data 87.360, Ensemble accuracy on global test data 80.430, Local accuracy on global train data 52.620, Local accuracy on local train data 99.167
Round  34, Devices participated 10, Average loss 0.019, Central accuracy on global test data 87.991, Ensemble accuracy on global test data 82.188, Local accuracy on global train data 55.112, Local accuracy on local train data 99.547
Round  35, Devices participated 10, Average loss 0.026, Central accuracy on global test data 89.834, Ensemble accuracy on global test data 87.119, Local accuracy on global train data 54.534, Local accuracy on local train data 99.363
Round  36, Devices participated 10, Average loss 0.024, Central accuracy on global test data 91.556, Ensemble accuracy on global test data 88.252, Local accuracy on global train data 59.143, Local accuracy on local train data 99.347
Round  37, Devices participated 10, Average loss 0.042, Central accuracy on global test data 90.625, Ensemble accuracy on global test data 86.270, Local accuracy on global train data 57.849, Local accuracy on local train data 98.843
Round  38, Devices participated 10, Average loss 0.025, Central accuracy on global test data 90.735, Ensemble accuracy on global test data 85.625, Local accuracy on global train data 58.801, Local accuracy on local train data 99.327
Round  39, Devices participated 10, Average loss 0.027, Central accuracy on global test data 93.039, Ensemble accuracy on global test data 89.404, Local accuracy on global train data 56.931, Local accuracy on local train data 99.367
Round  40, Devices participated 10, Average loss 0.023, Central accuracy on global test data 94.101, Ensemble accuracy on global test data 91.455, Local accuracy on global train data 60.295, Local accuracy on local train data 99.403
Round  41, Devices participated 10, Average loss 0.023, Central accuracy on global test data 92.298, Ensemble accuracy on global test data 88.857, Local accuracy on global train data 64.719, Local accuracy on local train data 99.480
Round  42, Devices participated 10, Average loss 0.022, Central accuracy on global test data 93.049, Ensemble accuracy on global test data 89.463, Local accuracy on global train data 64.126, Local accuracy on local train data 99.447
Round  43, Devices participated 10, Average loss 0.017, Central accuracy on global test data 93.770, Ensemble accuracy on global test data 91.143, Local accuracy on global train data 62.417, Local accuracy on local train data 99.567
Round  44, Devices participated 10, Average loss 0.031, Central accuracy on global test data 92.408, Ensemble accuracy on global test data 87.510, Local accuracy on global train data 63.567, Local accuracy on local train data 99.107
Round  45, Devices participated 10, Average loss 0.020, Central accuracy on global test data 93.890, Ensemble accuracy on global test data 91.074, Local accuracy on global train data 72.061, Local accuracy on local train data 99.430
Round  46, Devices participated 10, Average loss 0.030, Central accuracy on global test data 91.907, Ensemble accuracy on global test data 88.389, Local accuracy on global train data 66.196, Local accuracy on local train data 99.123
Round  47, Devices participated 10, Average loss 0.012, Central accuracy on global test data 93.450, Ensemble accuracy on global test data 89.141, Local accuracy on global train data 69.700, Local accuracy on local train data 99.677
Round  48, Devices participated 10, Average loss 0.029, Central accuracy on global test data 93.890, Ensemble accuracy on global test data 91.035, Local accuracy on global train data 70.552, Local accuracy on local train data 99.397
Round  49, Devices participated 10, Average loss 0.015, Central accuracy on global test data 92.157, Ensemble accuracy on global test data 88.945, Local accuracy on global train data 70.830, Local accuracy on local train data 99.583
Round  50, Devices participated 10, Average loss 0.024, Central accuracy on global test data 92.909, Ensemble accuracy on global test data 87.207, Local accuracy on global train data 64.475, Local accuracy on local train data 99.337
Round  51, Devices participated 10, Average loss 0.015, Central accuracy on global test data 94.712, Ensemble accuracy on global test data 91.787, Local accuracy on global train data 72.908, Local accuracy on local train data 99.597
Round  52, Devices participated 10, Average loss 0.018, Central accuracy on global test data 92.518, Ensemble accuracy on global test data 88.945, Local accuracy on global train data 70.364, Local accuracy on local train data 99.520
Round  53, Devices participated 10, Average loss 0.017, Central accuracy on global test data 92.368, Ensemble accuracy on global test data 87.559, Local accuracy on global train data 69.556, Local accuracy on local train data 99.497
Round  54, Devices participated 10, Average loss 0.008, Central accuracy on global test data 91.326, Ensemble accuracy on global test data 87.637, Local accuracy on global train data 70.364, Local accuracy on local train data 99.797
Round  55, Devices participated 10, Average loss 0.015, Central accuracy on global test data 93.900, Ensemble accuracy on global test data 91.426, Local accuracy on global train data 69.448, Local accuracy on local train data 99.563
Round  56, Devices participated 10, Average loss 0.019, Central accuracy on global test data 92.248, Ensemble accuracy on global test data 88.975, Local accuracy on global train data 69.998, Local accuracy on local train data 99.523
Round  57, Devices participated 10, Average loss 0.014, Central accuracy on global test data 91.587, Ensemble accuracy on global test data 87.129, Local accuracy on global train data 73.687, Local accuracy on local train data 99.593
Round  58, Devices participated 10, Average loss 0.017, Central accuracy on global test data 93.029, Ensemble accuracy on global test data 90.264, Local accuracy on global train data 68.792, Local accuracy on local train data 99.550
Round  59, Devices participated 10, Average loss 0.012, Central accuracy on global test data 93.920, Ensemble accuracy on global test data 90.605, Local accuracy on global train data 71.228, Local accuracy on local train data 99.653
Round  60, Devices participated 10, Average loss 0.016, Central accuracy on global test data 93.269, Ensemble accuracy on global test data 89.150, Local accuracy on global train data 70.564, Local accuracy on local train data 99.607
Round  61, Devices participated 10, Average loss 0.013, Central accuracy on global test data 94.671, Ensemble accuracy on global test data 92.012, Local accuracy on global train data 70.403, Local accuracy on local train data 99.627
Round  62, Devices participated 10, Average loss 0.013, Central accuracy on global test data 95.002, Ensemble accuracy on global test data 92.402, Local accuracy on global train data 70.410, Local accuracy on local train data 99.630
Round  63, Devices participated 10, Average loss 0.011, Central accuracy on global test data 95.142, Ensemble accuracy on global test data 92.344, Local accuracy on global train data 72.053, Local accuracy on local train data 99.683
Round  64, Devices participated 10, Average loss 0.017, Central accuracy on global test data 94.101, Ensemble accuracy on global test data 89.893, Local accuracy on global train data 72.878, Local accuracy on local train data 99.563
Round  65, Devices participated 10, Average loss 0.019, Central accuracy on global test data 94.762, Ensemble accuracy on global test data 91.934, Local accuracy on global train data 77.324, Local accuracy on local train data 99.450
Round  66, Devices participated 10, Average loss 0.011, Central accuracy on global test data 94.421, Ensemble accuracy on global test data 91.885, Local accuracy on global train data 74.856, Local accuracy on local train data 99.693
Round  67, Devices participated 10, Average loss 0.008, Central accuracy on global test data 94.361, Ensemble accuracy on global test data 91.621, Local accuracy on global train data 76.145, Local accuracy on local train data 99.780
Round  68, Devices participated 10, Average loss 0.009, Central accuracy on global test data 95.042, Ensemble accuracy on global test data 92.861, Local accuracy on global train data 78.308, Local accuracy on local train data 99.743
Round  69, Devices participated 10, Average loss 0.007, Central accuracy on global test data 93.640, Ensemble accuracy on global test data 90.010, Local accuracy on global train data 76.179, Local accuracy on local train data 99.800
Round  70, Devices participated 10, Average loss 0.023, Central accuracy on global test data 95.192, Ensemble accuracy on global test data 92.646, Local accuracy on global train data 72.808, Local accuracy on local train data 99.477
Round  71, Devices participated 10, Average loss 0.009, Central accuracy on global test data 94.812, Ensemble accuracy on global test data 91.719, Local accuracy on global train data 75.654, Local accuracy on local train data 99.697
Round  72, Devices participated 10, Average loss 0.015, Central accuracy on global test data 94.892, Ensemble accuracy on global test data 92.100, Local accuracy on global train data 75.972, Local accuracy on local train data 99.627
Round  73, Devices participated 10, Average loss 0.009, Central accuracy on global test data 95.533, Ensemble accuracy on global test data 92.998, Local accuracy on global train data 76.824, Local accuracy on local train data 99.747
Round  74, Devices participated 10, Average loss 0.022, Central accuracy on global test data 95.072, Ensemble accuracy on global test data 91.963, Local accuracy on global train data 75.317, Local accuracy on local train data 99.413
Round  75, Devices participated 10, Average loss 0.016, Central accuracy on global test data 95.653, Ensemble accuracy on global test data 92.607, Local accuracy on global train data 73.186, Local accuracy on local train data 99.607
Round  76, Devices participated 10, Average loss 0.011, Central accuracy on global test data 95.142, Ensemble accuracy on global test data 92.695, Local accuracy on global train data 75.537, Local accuracy on local train data 99.640
Round  77, Devices participated 10, Average loss 0.014, Central accuracy on global test data 95.302, Ensemble accuracy on global test data 92.920, Local accuracy on global train data 73.633, Local accuracy on local train data 99.620
Round  78, Devices participated 10, Average loss 0.007, Central accuracy on global test data 94.762, Ensemble accuracy on global test data 91.982, Local accuracy on global train data 76.448, Local accuracy on local train data 99.800
Round  79, Devices participated 10, Average loss 0.010, Central accuracy on global test data 96.004, Ensemble accuracy on global test data 93.613, Local accuracy on global train data 79.829, Local accuracy on local train data 99.703
Round  80, Devices participated 10, Average loss 0.015, Central accuracy on global test data 95.092, Ensemble accuracy on global test data 92.373, Local accuracy on global train data 79.819, Local accuracy on local train data 99.563
Round  81, Devices participated 10, Average loss 0.006, Central accuracy on global test data 94.922, Ensemble accuracy on global test data 91.582, Local accuracy on global train data 78.972, Local accuracy on local train data 99.803
Round  82, Devices participated 10, Average loss 0.005, Central accuracy on global test data 94.291, Ensemble accuracy on global test data 91.729, Local accuracy on global train data 78.279, Local accuracy on local train data 99.837
Round  83, Devices participated 10, Average loss 0.014, Central accuracy on global test data 95.032, Ensemble accuracy on global test data 91.748, Local accuracy on global train data 77.222, Local accuracy on local train data 99.610
Round  84, Devices participated 10, Average loss 0.016, Central accuracy on global test data 94.812, Ensemble accuracy on global test data 91.807, Local accuracy on global train data 76.184, Local accuracy on local train data 99.567
Round  85, Devices participated 10, Average loss 0.009, Central accuracy on global test data 95.593, Ensemble accuracy on global test data 93.203, Local accuracy on global train data 81.777, Local accuracy on local train data 99.757
