Round   0, Devices participated 10, Average loss 0.460, Central accuracy on global test data 39.383, Ensemble accuracy on global test data 42.207, Local accuracy on global train data 19.695, Local accuracy on local train data 91.483
Round   1, Devices participated 10, Average loss 0.643, Central accuracy on global test data 31.851, Ensemble accuracy on global test data 35.420, Local accuracy on global train data 20.198, Local accuracy on local train data 91.283
Round   2, Devices participated 10, Average loss 0.672, Central accuracy on global test data 48.518, Ensemble accuracy on global test data 49.648, Local accuracy on global train data 24.531, Local accuracy on local train data 92.900
Round   3, Devices participated 10, Average loss 0.618, Central accuracy on global test data 58.824, Ensemble accuracy on global test data 60.010, Local accuracy on global train data 26.260, Local accuracy on local train data 92.600
Round   4, Devices participated 10, Average loss 0.303, Central accuracy on global test data 50.661, Ensemble accuracy on global test data 49.385, Local accuracy on global train data 30.371, Local accuracy on local train data 96.067
Round   5, Devices participated 10, Average loss 0.788, Central accuracy on global test data 60.036, Ensemble accuracy on global test data 59.092, Local accuracy on global train data 34.480, Local accuracy on local train data 93.717
Round   6, Devices participated 10, Average loss 0.263, Central accuracy on global test data 65.304, Ensemble accuracy on global test data 58.164, Local accuracy on global train data 33.853, Local accuracy on local train data 95.117
Round   7, Devices participated 10, Average loss 0.244, Central accuracy on global test data 80.248, Ensemble accuracy on global test data 81.084, Local accuracy on global train data 40.752, Local accuracy on local train data 94.000
Round   8, Devices participated 10, Average loss 0.184, Central accuracy on global test data 81.250, Ensemble accuracy on global test data 80.137, Local accuracy on global train data 43.284, Local accuracy on local train data 95.933
Round   9, Devices participated 10, Average loss 0.161, Central accuracy on global test data 81.861, Ensemble accuracy on global test data 75.879, Local accuracy on global train data 45.354, Local accuracy on local train data 95.783
Round  10, Devices participated 10, Average loss 0.157, Central accuracy on global test data 83.423, Ensemble accuracy on global test data 80.195, Local accuracy on global train data 42.332, Local accuracy on local train data 96.333
Round  11, Devices participated 10, Average loss 0.104, Central accuracy on global test data 79.597, Ensemble accuracy on global test data 71.787, Local accuracy on global train data 49.690, Local accuracy on local train data 97.583
Round  12, Devices participated 10, Average loss 0.192, Central accuracy on global test data 85.587, Ensemble accuracy on global test data 80.566, Local accuracy on global train data 47.407, Local accuracy on local train data 95.617
Round  13, Devices participated 10, Average loss 0.110, Central accuracy on global test data 86.869, Ensemble accuracy on global test data 83.418, Local accuracy on global train data 49.204, Local accuracy on local train data 97.100
Round  14, Devices participated 10, Average loss 0.136, Central accuracy on global test data 88.652, Ensemble accuracy on global test data 82.646, Local accuracy on global train data 56.047, Local accuracy on local train data 96.267
Round  15, Devices participated 10, Average loss 0.145, Central accuracy on global test data 88.902, Ensemble accuracy on global test data 87.451, Local accuracy on global train data 53.789, Local accuracy on local train data 96.400
Round  16, Devices participated 10, Average loss 0.177, Central accuracy on global test data 90.525, Ensemble accuracy on global test data 88.408, Local accuracy on global train data 49.468, Local accuracy on local train data 95.850
Round  17, Devices participated 10, Average loss 0.079, Central accuracy on global test data 90.725, Ensemble accuracy on global test data 85.869, Local accuracy on global train data 53.435, Local accuracy on local train data 97.933
Round  18, Devices participated 10, Average loss 0.182, Central accuracy on global test data 90.705, Ensemble accuracy on global test data 84.443, Local accuracy on global train data 54.368, Local accuracy on local train data 95.283
Round  19, Devices participated 10, Average loss 0.075, Central accuracy on global test data 87.560, Ensemble accuracy on global test data 83.525, Local accuracy on global train data 55.703, Local accuracy on local train data 97.967
Round  20, Devices participated 10, Average loss 0.106, Central accuracy on global test data 83.674, Ensemble accuracy on global test data 75.283, Local accuracy on global train data 51.531, Local accuracy on local train data 97.200
Round  21, Devices participated 10, Average loss 0.102, Central accuracy on global test data 85.807, Ensemble accuracy on global test data 80.293, Local accuracy on global train data 56.213, Local accuracy on local train data 97.383
Round  22, Devices participated 10, Average loss 0.078, Central accuracy on global test data 91.687, Ensemble accuracy on global test data 87.939, Local accuracy on global train data 61.716, Local accuracy on local train data 97.733
Round  23, Devices participated 10, Average loss 0.085, Central accuracy on global test data 83.223, Ensemble accuracy on global test data 74.150, Local accuracy on global train data 59.949, Local accuracy on local train data 97.583
Round  24, Devices participated 10, Average loss 0.099, Central accuracy on global test data 91.346, Ensemble accuracy on global test data 88.438, Local accuracy on global train data 56.155, Local accuracy on local train data 97.383
Round  25, Devices participated 10, Average loss 0.100, Central accuracy on global test data 89.503, Ensemble accuracy on global test data 84.678, Local accuracy on global train data 61.760, Local accuracy on local train data 97.450
Round  26, Devices participated 10, Average loss 0.080, Central accuracy on global test data 91.657, Ensemble accuracy on global test data 88.975, Local accuracy on global train data 63.325, Local accuracy on local train data 97.617
Round  27, Devices participated 10, Average loss 0.116, Central accuracy on global test data 91.206, Ensemble accuracy on global test data 87.432, Local accuracy on global train data 65.125, Local accuracy on local train data 97.200
Round  28, Devices participated 10, Average loss 0.069, Central accuracy on global test data 91.677, Ensemble accuracy on global test data 88.975, Local accuracy on global train data 67.898, Local accuracy on local train data 98.450
Round  29, Devices participated 10, Average loss 0.130, Central accuracy on global test data 92.989, Ensemble accuracy on global test data 89.912, Local accuracy on global train data 58.989, Local accuracy on local train data 96.583
Round  30, Devices participated 10, Average loss 0.089, Central accuracy on global test data 90.465, Ensemble accuracy on global test data 86.250, Local accuracy on global train data 63.750, Local accuracy on local train data 97.583
Round  31, Devices participated 10, Average loss 0.069, Central accuracy on global test data 90.615, Ensemble accuracy on global test data 84.111, Local accuracy on global train data 64.731, Local accuracy on local train data 98.100
Round  32, Devices participated 10, Average loss 0.059, Central accuracy on global test data 93.229, Ensemble accuracy on global test data 90.400, Local accuracy on global train data 69.309, Local accuracy on local train data 98.283
Round  33, Devices participated 10, Average loss 0.068, Central accuracy on global test data 90.174, Ensemble accuracy on global test data 83.857, Local accuracy on global train data 64.102, Local accuracy on local train data 98.200
Round  34, Devices participated 10, Average loss 0.038, Central accuracy on global test data 89.764, Ensemble accuracy on global test data 85.361, Local accuracy on global train data 65.044, Local accuracy on local train data 98.817
Round  35, Devices participated 10, Average loss 0.073, Central accuracy on global test data 93.480, Ensemble accuracy on global test data 90.508, Local accuracy on global train data 64.231, Local accuracy on local train data 98.117
Round  36, Devices participated 10, Average loss 0.069, Central accuracy on global test data 93.409, Ensemble accuracy on global test data 90.137, Local accuracy on global train data 69.495, Local accuracy on local train data 98.250
Round  37, Devices participated 10, Average loss 0.119, Central accuracy on global test data 92.288, Ensemble accuracy on global test data 88.525, Local accuracy on global train data 68.154, Local accuracy on local train data 96.917
Round  38, Devices participated 10, Average loss 0.068, Central accuracy on global test data 93.820, Ensemble accuracy on global test data 90.088, Local accuracy on global train data 67.834, Local accuracy on local train data 98.167
Round  39, Devices participated 10, Average loss 0.047, Central accuracy on global test data 93.600, Ensemble accuracy on global test data 89.990, Local accuracy on global train data 64.998, Local accuracy on local train data 98.550
Round  40, Devices participated 10, Average loss 0.076, Central accuracy on global test data 94.661, Ensemble accuracy on global test data 92.197, Local accuracy on global train data 66.770, Local accuracy on local train data 97.933
Round  41, Devices participated 10, Average loss 0.077, Central accuracy on global test data 94.060, Ensemble accuracy on global test data 90.742, Local accuracy on global train data 71.714, Local accuracy on local train data 97.917
