Round   0, Devices participated 10, Average loss 0.460, Central accuracy on global test data 32.973, Ensemble accuracy on global test data 42.207, Local accuracy on global train data 19.695, Local accuracy on local train data 91.483
Round   1, Devices participated 10, Average loss 0.280, Central accuracy on global test data 41.476, Ensemble accuracy on global test data 36.035, Local accuracy on global train data 17.705, Local accuracy on local train data 91.633
Round   2, Devices participated 10, Average loss 0.161, Central accuracy on global test data 53.816, Ensemble accuracy on global test data 49.834, Local accuracy on global train data 20.977, Local accuracy on local train data 95.450
Round   3, Devices participated 10, Average loss 0.155, Central accuracy on global test data 59.906, Ensemble accuracy on global test data 55.674, Local accuracy on global train data 21.643, Local accuracy on local train data 95.433
Round   4, Devices participated 10, Average loss 0.134, Central accuracy on global test data 63.662, Ensemble accuracy on global test data 58.242, Local accuracy on global train data 24.783, Local accuracy on local train data 96.450
Round   5, Devices participated 10, Average loss 0.142, Central accuracy on global test data 67.608, Ensemble accuracy on global test data 56.689, Local accuracy on global train data 27.834, Local accuracy on local train data 96.133
Round   6, Devices participated 10, Average loss 0.119, Central accuracy on global test data 69.231, Ensemble accuracy on global test data 60.820, Local accuracy on global train data 28.730, Local accuracy on local train data 96.633
Round   7, Devices participated 10, Average loss 0.141, Central accuracy on global test data 85.497, Ensemble accuracy on global test data 82.988, Local accuracy on global train data 30.859, Local accuracy on local train data 95.800
Round   8, Devices participated 10, Average loss 0.118, Central accuracy on global test data 83.223, Ensemble accuracy on global test data 79.648, Local accuracy on global train data 34.658, Local accuracy on local train data 96.883
Round   9, Devices participated 10, Average loss 0.119, Central accuracy on global test data 85.347, Ensemble accuracy on global test data 80.273, Local accuracy on global train data 36.309, Local accuracy on local train data 96.333
Round  10, Devices participated 10, Average loss 0.142, Central accuracy on global test data 86.769, Ensemble accuracy on global test data 81.562, Local accuracy on global train data 39.929, Local accuracy on local train data 96.617
Round  11, Devices participated 10, Average loss 0.073, Central accuracy on global test data 80.028, Ensemble accuracy on global test data 73.623, Local accuracy on global train data 46.765, Local accuracy on local train data 97.967
Round  12, Devices participated 10, Average loss 0.141, Central accuracy on global test data 85.507, Ensemble accuracy on global test data 78.340, Local accuracy on global train data 40.479, Local accuracy on local train data 96.133
Round  13, Devices participated 10, Average loss 0.093, Central accuracy on global test data 90.174, Ensemble accuracy on global test data 87.031, Local accuracy on global train data 44.805, Local accuracy on local train data 97.267
Round  14, Devices participated 10, Average loss 0.157, Central accuracy on global test data 90.625, Ensemble accuracy on global test data 87.402, Local accuracy on global train data 50.537, Local accuracy on local train data 95.900
Round  15, Devices participated 10, Average loss 0.099, Central accuracy on global test data 90.996, Ensemble accuracy on global test data 88.174, Local accuracy on global train data 48.555, Local accuracy on local train data 97.350
Round  16, Devices participated 10, Average loss 0.145, Central accuracy on global test data 91.587, Ensemble accuracy on global test data 89.277, Local accuracy on global train data 48.250, Local accuracy on local train data 96.550
Round  17, Devices participated 10, Average loss 0.056, Central accuracy on global test data 91.076, Ensemble accuracy on global test data 87.715, Local accuracy on global train data 55.579, Local accuracy on local train data 98.333
Round  18, Devices participated 10, Average loss 0.101, Central accuracy on global test data 91.056, Ensemble accuracy on global test data 85.674, Local accuracy on global train data 49.851, Local accuracy on local train data 97.033
Round  19, Devices participated 10, Average loss 0.049, Central accuracy on global test data 90.304, Ensemble accuracy on global test data 87.598, Local accuracy on global train data 54.045, Local accuracy on local train data 98.633
