Round   0, Devices participated 10, Average loss 0.092, Central accuracy on global test data 35.367, Ensemble accuracy on global test data 41.104, Local accuracy on global train data 19.832, Local accuracy on local train data 98.233
Round   1, Devices participated 10, Average loss 0.066, Central accuracy on global test data 37.590, Ensemble accuracy on global test data 27.100, Local accuracy on global train data 17.576, Local accuracy on local train data 97.893
Round   2, Devices participated 10, Average loss 0.039, Central accuracy on global test data 56.230, Ensemble accuracy on global test data 48.926, Local accuracy on global train data 21.414, Local accuracy on local train data 98.817
Round   3, Devices participated 10, Average loss 0.040, Central accuracy on global test data 63.181, Ensemble accuracy on global test data 58.975, Local accuracy on global train data 21.887, Local accuracy on local train data 98.773
Round   4, Devices participated 10, Average loss 0.032, Central accuracy on global test data 71.004, Ensemble accuracy on global test data 61.270, Local accuracy on global train data 21.934, Local accuracy on local train data 99.073
Round   5, Devices participated 10, Average loss 0.036, Central accuracy on global test data 70.964, Ensemble accuracy on global test data 61.055, Local accuracy on global train data 26.531, Local accuracy on local train data 99.043
Round   6, Devices participated 10, Average loss 0.038, Central accuracy on global test data 69.972, Ensemble accuracy on global test data 60.078, Local accuracy on global train data 26.829, Local accuracy on local train data 99.110
Round   7, Devices participated 10, Average loss 0.033, Central accuracy on global test data 83.554, Ensemble accuracy on global test data 84.961, Local accuracy on global train data 29.749, Local accuracy on local train data 98.983
Round   8, Devices participated 10, Average loss 0.025, Central accuracy on global test data 86.378, Ensemble accuracy on global test data 82.598, Local accuracy on global train data 34.531, Local accuracy on local train data 99.263
Round   9, Devices participated 10, Average loss 0.031, Central accuracy on global test data 87.610, Ensemble accuracy on global test data 80.361, Local accuracy on global train data 33.921, Local accuracy on local train data 99.133
Round  10, Devices participated 10, Average loss 0.026, Central accuracy on global test data 88.582, Ensemble accuracy on global test data 83.730, Local accuracy on global train data 38.816, Local accuracy on local train data 99.243
Round  11, Devices participated 10, Average loss 0.014, Central accuracy on global test data 83.163, Ensemble accuracy on global test data 76.055, Local accuracy on global train data 48.394, Local accuracy on local train data 99.607
Round  12, Devices participated 10, Average loss 0.034, Central accuracy on global test data 84.916, Ensemble accuracy on global test data 78.730, Local accuracy on global train data 39.170, Local accuracy on local train data 99.127
Round  13, Devices participated 10, Average loss 0.023, Central accuracy on global test data 89.784, Ensemble accuracy on global test data 87.090, Local accuracy on global train data 40.605, Local accuracy on local train data 99.403
Round  14, Devices participated 10, Average loss 0.036, Central accuracy on global test data 90.605, Ensemble accuracy on global test data 89.395, Local accuracy on global train data 49.565, Local accuracy on local train data 99.020
Round  15, Devices participated 10, Average loss 0.022, Central accuracy on global test data 91.276, Ensemble accuracy on global test data 89.424, Local accuracy on global train data 47.385, Local accuracy on local train data 99.447
Round  16, Devices participated 10, Average loss 0.027, Central accuracy on global test data 92.478, Ensemble accuracy on global test data 89.688, Local accuracy on global train data 46.326, Local accuracy on local train data 99.247
Round  17, Devices participated 10, Average loss 0.013, Central accuracy on global test data 92.278, Ensemble accuracy on global test data 89.521, Local accuracy on global train data 50.742, Local accuracy on local train data 99.687
Round  18, Devices participated 10, Average loss 0.042, Central accuracy on global test data 90.315, Ensemble accuracy on global test data 84.248, Local accuracy on global train data 46.682, Local accuracy on local train data 99.097
Round  19, Devices participated 10, Average loss 0.008, Central accuracy on global test data 90.405, Ensemble accuracy on global test data 88.555, Local accuracy on global train data 55.286, Local accuracy on local train data 99.733
Round  20, Devices participated 10, Average loss 0.023, Central accuracy on global test data 88.111, Ensemble accuracy on global test data 80.557, Local accuracy on global train data 48.218, Local accuracy on local train data 99.463
Round  21, Devices participated 10, Average loss 0.017, Central accuracy on global test data 89.553, Ensemble accuracy on global test data 85.215, Local accuracy on global train data 54.700, Local accuracy on local train data 99.540
Round  22, Devices participated 10, Average loss 0.015, Central accuracy on global test data 92.989, Ensemble accuracy on global test data 90.264, Local accuracy on global train data 60.649, Local accuracy on local train data 99.550
Round  23, Devices participated 10, Average loss 0.017, Central accuracy on global test data 83.964, Ensemble accuracy on global test data 77.393, Local accuracy on global train data 55.676, Local accuracy on local train data 99.553
