Round   0, Devices participated 10, Average loss 0.460, Central accuracy on global test data 40.735, Ensemble accuracy on global test data 42.207, Local accuracy on global train data 19.695, Local accuracy on local train data 91.483
Round   1, Devices participated 10, Average loss 0.416, Central accuracy on global test data 36.769, Ensemble accuracy on global test data 36.689, Local accuracy on global train data 20.105, Local accuracy on local train data 91.733
Round   2, Devices participated 10, Average loss 0.279, Central accuracy on global test data 55.439, Ensemble accuracy on global test data 56.328, Local accuracy on global train data 23.286, Local accuracy on local train data 93.867
Round   3, Devices participated 10, Average loss 0.394, Central accuracy on global test data 62.190, Ensemble accuracy on global test data 61.611, Local accuracy on global train data 26.467, Local accuracy on local train data 94.000
Round   4, Devices participated 10, Average loss 0.239, Central accuracy on global test data 62.550, Ensemble accuracy on global test data 59.883, Local accuracy on global train data 33.044, Local accuracy on local train data 95.400
Round   5, Devices participated 10, Average loss 0.207, Central accuracy on global test data 64.533, Ensemble accuracy on global test data 61.982, Local accuracy on global train data 38.374, Local accuracy on local train data 95.350
Round   6, Devices participated 10, Average loss 0.167, Central accuracy on global test data 71.585, Ensemble accuracy on global test data 68.008, Local accuracy on global train data 36.707, Local accuracy on local train data 96.200
Round   7, Devices participated 10, Average loss 0.162, Central accuracy on global test data 82.422, Ensemble accuracy on global test data 80.605, Local accuracy on global train data 39.941, Local accuracy on local train data 95.483
Round   8, Devices participated 10, Average loss 0.113, Central accuracy on global test data 81.891, Ensemble accuracy on global test data 84.023, Local accuracy on global train data 46.062, Local accuracy on local train data 96.767
Round   9, Devices participated 10, Average loss 0.211, Central accuracy on global test data 74.940, Ensemble accuracy on global test data 74.961, Local accuracy on global train data 44.346, Local accuracy on local train data 95.117
Round  10, Devices participated 10, Average loss 0.143, Central accuracy on global test data 86.318, Ensemble accuracy on global test data 82.891, Local accuracy on global train data 48.035, Local accuracy on local train data 96.667
Round  11, Devices participated 10, Average loss 0.095, Central accuracy on global test data 83.744, Ensemble accuracy on global test data 74.014, Local accuracy on global train data 53.862, Local accuracy on local train data 97.750
Round  12, Devices participated 10, Average loss 0.161, Central accuracy on global test data 87.210, Ensemble accuracy on global test data 81.016, Local accuracy on global train data 46.743, Local accuracy on local train data 95.800
Round  13, Devices participated 10, Average loss 0.106, Central accuracy on global test data 88.061, Ensemble accuracy on global test data 82.588, Local accuracy on global train data 48.357, Local accuracy on local train data 97.333
Round  14, Devices participated 10, Average loss 0.156, Central accuracy on global test data 87.891, Ensemble accuracy on global test data 87.002, Local accuracy on global train data 57.209, Local accuracy on local train data 95.617
Round  15, Devices participated 10, Average loss 0.098, Central accuracy on global test data 91.426, Ensemble accuracy on global test data 88.359, Local accuracy on global train data 55.889, Local accuracy on local train data 97.233
Round  16, Devices participated 10, Average loss 0.130, Central accuracy on global test data 91.797, Ensemble accuracy on global test data 89.473, Local accuracy on global train data 55.300, Local accuracy on local train data 96.667
Round  17, Devices participated 10, Average loss 0.061, Central accuracy on global test data 91.567, Ensemble accuracy on global test data 88.330, Local accuracy on global train data 59.185, Local accuracy on local train data 98.300
Round  18, Devices participated 10, Average loss 0.122, Central accuracy on global test data 90.164, Ensemble accuracy on global test data 84.668, Local accuracy on global train data 56.743, Local accuracy on local train data 96.650
Round  19, Devices participated 10, Average loss 0.050, Central accuracy on global test data 89.633, Ensemble accuracy on global test data 86.816, Local accuracy on global train data 60.068, Local accuracy on local train data 98.717
