python main_fedavg.py --dataset mnist --model mlp --epochs 1500 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.0 --weight_init kaiming --bias_init zeros --lr 0.1

Round   0, Devices participated 10, Average loss 0.375, Central accuracy on global test data 29.297, Local accuracy on global train data 19.368, Local accuracy on local train data 92.433
Round   1, Devices participated 10, Average loss 0.274, Central accuracy on global test data 37.800, Local accuracy on global train data 16.973, Local accuracy on local train data 91.917
Round   2, Devices participated 10, Average loss 0.206, Central accuracy on global test data 52.344, Local accuracy on global train data 20.544, Local accuracy on local train data 94.050
Round   3, Devices participated 10, Average loss 0.165, Central accuracy on global test data 59.475, Local accuracy on global train data 21.528, Local accuracy on local train data 95.500
Round   4, Devices participated 10, Average loss 0.124, Central accuracy on global test data 64.954, Local accuracy on global train data 23.516, Local accuracy on local train data 96.167
Round   5, Devices participated 10, Average loss 0.147, Central accuracy on global test data 69.391, Local accuracy on global train data 26.948, Local accuracy on local train data 96.017
Round   6, Devices participated 10, Average loss 0.129, Central accuracy on global test data 68.610, Local accuracy on global train data 27.585, Local accuracy on local train data 96.250
Round   7, Devices participated 10, Average loss 0.139, Central accuracy on global test data 85.407, Local accuracy on global train data 29.700, Local accuracy on local train data 95.767
Round   8, Devices participated 10, Average loss 0.102, Central accuracy on global test data 84.625, Local accuracy on global train data 34.377, Local accuracy on local train data 97.233
Round   9, Devices participated 10, Average loss 0.125, Central accuracy on global test data 86.048, Local accuracy on global train data 37.820, Local accuracy on local train data 96.550
Round  10, Devices participated 10, Average loss 0.128, Central accuracy on global test data 86.629, Local accuracy on global train data 38.550, Local accuracy on local train data 96.733
Round  11, Devices participated 10, Average loss 0.062, Central accuracy on global test data 79.247, Local accuracy on global train data 46.145, Local accuracy on local train data 98.383
Round  12, Devices participated 10, Average loss 0.141, Central accuracy on global test data 84.245, Local accuracy on global train data 42.295, Local accuracy on local train data 95.950
Round  13, Devices participated 10, Average loss 0.104, Central accuracy on global test data 90.665, Local accuracy on global train data 43.333, Local accuracy on local train data 96.850
Round  14, Devices participated 10, Average loss 0.141, Central accuracy on global test data 90.355, Local accuracy on global train data 53.342, Local accuracy on local train data 96.433
Round  15, Devices participated 10, Average loss 0.112, Central accuracy on global test data 89.513, Local accuracy on global train data 49.478, Local accuracy on local train data 96.933
Round  16, Devices participated 10, Average loss 0.132, Central accuracy on global test data 91.046, Local accuracy on global train data 46.006, Local accuracy on local train data 96.483
Round  17, Devices participated 10, Average loss 0.063, Central accuracy on global test data 91.677, Local accuracy on global train data 56.184, Local accuracy on local train data 98.133
Round  18, Devices participated 10, Average loss 0.141, Central accuracy on global test data 89.934, Local accuracy on global train data 48.813, Local accuracy on local train data 96.400
Round  19, Devices participated 10, Average loss 0.051, Central accuracy on global test data 89.694, Local accuracy on global train data 57.903, Local accuracy on local train data 98.600
Round  20, Devices participated 10, Average loss 0.073, Central accuracy on global test data 87.530, Local accuracy on global train data 49.888, Local accuracy on local train data 97.667
Round  21, Devices participated 10, Average loss 0.074, Central accuracy on global test data 88.011, Local accuracy on global train data 57.292, Local accuracy on local train data 97.883
Round  22, Devices participated 10, Average loss 0.063, Central accuracy on global test data 92.358, Local accuracy on global train data 60.388, Local accuracy on local train data 98.133
Round  23, Devices participated 10, Average loss 0.077, Central accuracy on global test data 80.759, Local accuracy on global train data 58.157, Local accuracy on local train data 98.000
Round  24, Devices participated 10, Average loss 0.099, Central accuracy on global test data 91.887, Local accuracy on global train data 57.380, Local accuracy on local train data 97.083
Round  25, Devices participated 10, Average loss 0.082, Central accuracy on global test data 90.164, Local accuracy on global train data 56.814, Local accuracy on local train data 97.850
Round  26, Devices participated 10, Average loss 0.065, Central accuracy on global test data 92.438, Local accuracy on global train data 61.033, Local accuracy on local train data 98.050
